nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
3.258,3.258,3.258,0.0,2023-04-07
3.2,3.2,3.2,-0.0178023327,2023-04-14
3.274,3.274,3.274,0.023125,2023-04-21
3.251,3.251,3.251,-0.0070250458,2023-04-28
3.194,3.194,3.194,-0.0175330667,2023-05-05
3.114,3.114,3.114,-0.0250469631,2023-05-12
3.17,3.17,3.17,0.0179833012,2023-05-19
3.124,3.124,3.124,-0.014511041,2023-05-26
3.199,3.199,3.199,0.0240076825,2023-05-31
3.167,3.167,3.167,-0.010003126,2023-06-02
3.233,3.233,3.233,0.0208399116,2023-06-09
3.264,3.264,3.264,0.0095886174,2023-06-16
3.252,3.252,3.252,-0.0036764706,2023-06-21
3.278,3.278,3.278,0.00799508,2023-06-30
3.175,3.175,3.175,-0.0314215985,2023-07-07
3.205,3.205,3.205,0.0094488189,2023-07-14
3.12,3.12,3.12,-0.0265210608,2023-07-21
3.191,3.191,3.191,0.0227564103,2023-07-28
3.198,3.198,3.198,0.0021936697,2023-07-31
3.229,3.229,3.229,0.0096935585,2023-08-04
3.131,3.131,3.131,-0.0303499535,2023-08-11
3.063,3.063,3.063,-0.0217183009,2023-08-18
3.036,3.036,3.036,-0.0088148874,2023-08-25
3.08,3.08,3.08,0.0144927536,2023-08-31
3.07,3.07,3.07,-0.0032467532,2023-09-01
3.021,3.021,3.021,-0.0159609121,2023-09-08
3.042,3.042,3.042,0.0069513406,2023-09-15
3.081,3.081,3.081,0.0128205128,2023-09-22
3.033,3.033,3.033,-0.0155793574,2023-09-28
2.961,2.961,2.961,-0.0237388724,2023-10-13
2.85,2.85,2.85,-0.0374873354,2023-10-20
2.849,2.849,2.849,-0.0003508772,2023-10-27
2.81,2.81,2.81,-0.0136890137,2023-10-31
2.83,2.83,2.83,0.0071174377,2023-11-03
2.8,2.8,2.8,-0.0106007067,2023-11-10
2.785,2.785,2.785,-0.0053571429,2023-11-17
2.77,2.77,2.77,-0.0053859964,2023-11-24
2.773,2.773,2.773,0.0010830325,2023-11-30
2.748,2.748,2.748,-0.0090155067,2023-12-01
2.698,2.698,2.698,-0.0181950509,2023-12-08
2.689,2.689,2.689,-0.0033358043,2023-12-15
2.689,2.689,2.689,0.0,2023-12-22
2.785,2.785,2.785,0.0357010041,2023-12-29
2.767,2.767,2.767,-0.0064631957,2024-01-05
2.722,2.722,2.722,-0.0162631008,2024-01-12
2.67,2.67,2.67,-0.0191036003,2024-01-19
2.76,2.76,2.76,0.0337078652,2024-01-26
2.685,2.685,2.685,-0.027173913,2024-01-31
2.677,2.677,2.677,-0.0029795158,2024-02-02
2.759,2.759,2.759,0.0306313037,2024-02-08
2.865,2.865,2.865,0.0384197173,2024-02-23
2.897,2.897,2.897,0.0111692845,2024-02-29
2.917,2.917,2.917,0.0069036935,2024-03-01
2.967,2.967,2.967,0.0171408982,2024-03-08
2.887,2.887,2.887,-0.0269632626,2024-03-15
2.882,2.882,2.882,-0.0017319016,2024-03-22
2.916,2.916,2.916,0.0117973629,2024-03-29
2.985,2.985,2.985,0.0236625514,2024-04-03
3.014,3.014,3.014,0.0097152429,2024-04-12
3.088,3.088,3.088,0.0245520902,2024-04-19
3.097,3.097,3.097,0.0029145078,2024-04-26
3.105,3.105,3.105,0.002583145,2024-04-30
3.288,3.288,3.288,0.0589371981,2024-05-10
3.363,3.363,3.363,0.022810219,2024-05-17
3.242,3.242,3.242,-0.03597978,2024-05-24
3.164,3.164,3.164,-0.0240592227,2024-05-31
3.205,3.205,3.205,0.0129582807,2024-06-07
