nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-10-16
1.0,1.0,1.0,0.0,2023-10-20
0.9998,0.9998,0.9998,-0.0002,2023-10-27
0.9998,0.9998,0.9998,0.0,2023-10-31
0.9997,0.9997,0.9997,-0.00010002,2023-11-03
1.004,1.004,1.004,0.0043012904,2023-11-10
1.0131,1.0131,1.0131,0.009063745,2023-11-17
1.0149,1.0149,1.0149,0.0017767249,2023-11-24
1.0165,1.0165,1.0165,0.00157651,2023-11-30
1.019,1.019,1.019,0.0024594196,2023-12-01
0.9882,0.9882,0.9882,-0.0302257115,2023-12-08
1.0303,1.0303,1.0303,0.042602712,2023-12-15
1.0126,1.0126,1.0126,-0.0171794623,2023-12-22
1.0315,1.0315,1.0315,0.0186648232,2023-12-29
1.036,1.036,1.036,0.0043625788,2024-01-05
1.0285,1.0285,1.0285,-0.0072393822,2024-01-12
0.9612,0.9612,0.9612,-0.0654350997,2024-01-19
0.9457,0.9457,0.9457,-0.0161256762,2024-01-26
0.8258,0.8258,0.8258,-0.1267843925,2024-01-31
0.7678,0.7678,0.7678,-0.0702349237,2024-02-02
0.6708,0.6708,0.6708,-0.1263349831,2024-02-08
0.7567,0.7567,0.7567,0.1280560525,2024-02-23
0.7622,0.7622,0.7622,0.0072684023,2024-02-29
0.7632,0.7632,0.7632,0.0013119916,2024-03-01
0.7613,0.7613,0.7613,-0.0024895178,2024-03-08
0.7983,0.7983,0.7983,0.0486010771,2024-03-15
0.8148,0.8148,0.8148,0.0206689215,2024-03-22
0.8284,0.8284,0.8284,0.0166912126,2024-03-29
0.8678,0.8678,0.8678,0.0475615645,2024-04-03
0.8279,0.8279,0.8279,-0.045978336,2024-04-12
0.7616,0.7616,0.7616,-0.0800821355,2024-04-19
0.7988,0.7988,0.7988,0.0488445378,2024-04-26
0.8218,0.8218,0.8218,0.0287931898,2024-04-30
0.8429,0.8429,0.8429,0.0256753468,2024-05-10
0.8617,0.8617,0.8617,0.0223039506,2024-05-17
0.827,0.827,0.827,-0.0402692352,2024-05-24
0.8189,0.8189,0.8189,-0.0097944377,2024-05-31
0.7703,0.7703,0.7703,-0.0593479057,2024-06-07
0.789,0.789,0.789,0.024276256,2024-06-14
0.7776,0.7776,0.7776,-0.0144486692,2024-06-21
0.7838,0.7838,0.7838,0.007973251,2024-06-28
0.7826,0.7826,0.7826,-0.0015310028,2024-07-05
