nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.3431,1.3431,1.3431,0.0,2025-05-09
1.3249,1.3249,1.3249,-0.0135507408,2025-05-16
1.3226,1.3226,1.3226,-0.0017359801,2025-05-23
1.324,1.324,1.324,0.0010585211,2025-05-30
1.3329,1.3329,1.3329,0.0067220544,2025-06-06
1.3304,1.3304,1.3304,-0.0018756096,2025-06-13
1.337,1.337,1.337,0.004960914,2025-06-20
1.3281,1.3281,1.3281,-0.0066566941,2025-06-27
1.3265,1.3265,1.3265,-0.0012047286,2025-06-30
1.3237,1.3237,1.3237,-0.0021108179,2025-07-04
1.3522,1.3522,1.3522,0.0215305583,2025-07-11
1.3613,1.3613,1.3613,0.0067297737,2025-07-18
1.4271,1.4271,1.4271,0.0483361493,2025-07-25
1.4183,1.4183,1.4183,-0.0061663513,2025-07-31
1.4104,1.4104,1.4104,-0.0055700486,2025-08-01
1.4176,1.4176,1.4176,0.0051049348,2025-08-08
1.4389,1.4389,1.4389,0.015025395,2025-08-15
1.4526,1.4526,1.4526,0.009521162,2025-08-22
1.4623,1.4623,1.4623,0.0066776814,2025-08-29
1.4762,1.4762,1.4762,0.0095055734,2025-09-05
1.4928,1.4928,1.4928,0.0112450887,2025-09-12
1.4879,1.4879,1.4879,-0.0032824223,2025-09-19
1.4884,1.4884,1.4884,0.0003360441,2025-09-26
1.4989,1.4989,1.4989,0.0070545552,2025-09-30
1.5083,1.5083,1.5083,0.0062712656,2025-10-10
1.5222,1.5222,1.5222,0.0092156733,2025-10-17
1.5114,1.5114,1.5114,-0.0070949941,2025-10-24
1.5219,1.5219,1.5219,0.0069472013,2025-10-31
1.5316,1.5316,1.5316,0.0063736119,2025-11-07
1.5284,1.5284,1.5284,-0.0020893184,2025-11-14
1.546,1.546,1.546,0.0115153101,2025-11-21
1.5468,1.5468,1.5468,0.0005174644,2025-11-28
1.552,1.552,1.552,0.0033617792,2025-12-05
1.5583,1.5583,1.5583,0.0040592784,2025-12-12
1.5498,1.5498,1.5498,-0.0054546621,2025-12-19
1.6006,1.6006,1.6006,0.032778423,2025-12-26
1.583,1.583,1.583,-0.0109958765,2025-12-31
1.5837,1.5837,1.5837,0.0004421984,2026-01-09
1.6162,1.6162,1.6162,0.0205215634,2026-01-16
1.6396,1.6396,1.6396,0.0144784061,2026-01-23
1.6402,1.6402,1.6402,0.0003659429,2026-01-30
1.6298,1.6298,1.6298,-0.0063406902,2026-02-06
1.6426,1.6426,1.6426,0.0078537244,2026-02-13
1.6374,1.6374,1.6374,-0.0031657129,2026-02-27
1.6402,1.6402,1.6402,0.0017100281,2026-03-06
1.6207,1.6207,1.6207,-0.011888794,2026-03-13
1.6217,1.6217,1.6217,0.0006170173,2026-03-20
1.6136,1.6136,1.6136,-0.0049947586,2026-03-27
1.5994,1.5994,1.5994,-0.0088001983,2026-04-03
1.6111,1.6111,1.6111,0.0073152432,2026-04-10
1.6159,1.6159,1.6159,0.0029793309,2026-04-17
1.6167,1.6167,1.6167,0.0004950801,2026-04-24
1.6221,1.6221,1.6221,0.0033401373,2026-04-30
1.6145,1.6145,1.6145,-0.0046852845,2026-05-08
1.6185,1.6185,1.6185,0.0024775472,2026-05-15
1.6072,1.6072,1.6072,-0.0069817732,2026-05-22
