nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-01-31
1.0,1.0,1.0,0.0,2023-02-01
1.0001,1.0001,1.0001,0.0001,2023-02-02
1.0001,1.0001,1.0001,0.0,2023-02-03
1.0002,1.0002,1.0002,9.999e-05,2023-02-06
1.0002,1.0002,1.0002,0.0,2023-02-07
1.0003,1.0003,1.0003,9.998e-05,2023-02-08
1.0003,1.0003,1.0003,0.0,2023-02-09
1.0003,1.0003,1.0003,0.0,2023-02-10
1.0004,1.0004,1.0004,9.997e-05,2023-02-13
1.0005,1.0005,1.0005,9.996e-05,2023-02-14
1.0005,1.0005,1.0005,0.0,2023-02-15
1.0006,1.0006,1.0006,9.995e-05,2023-02-16
1.0006,1.0006,1.0006,0.0,2023-02-17
1.0008,1.0008,1.0008,0.0001998801,2023-02-20
1.0008,1.0008,1.0008,0.0,2023-02-21
1.0008,1.0008,1.0008,0.0,2023-02-22
1.0009,1.0009,1.0009,9.99201e-05,2023-02-23
1.0009,1.0009,1.0009,0.0,2023-02-24
1.0011,1.0011,1.0011,0.0001998202,2023-02-27
1.0011,1.0011,1.0011,0.0,2023-02-28
1.0011,1.0011,1.0011,0.0,2023-03-01
1.0012,1.0012,1.0012,9.98901e-05,2023-03-02
1.0012,1.0012,1.0012,0.0,2023-03-03
1.0013,1.0013,1.0013,9.98801e-05,2023-03-06
1.0013,1.0013,1.0013,0.0,2023-03-07
1.0013,1.0013,1.0013,0.0,2023-03-08
1.0012,1.0012,1.0012,-9.98702e-05,2023-03-09
1.0012,1.0012,1.0012,0.0,2023-03-10
1.0012,1.0012,1.0012,0.0,2023-03-13
1.0011,1.0011,1.0011,-9.98801e-05,2023-03-14
1.0011,1.0011,1.0011,0.0,2023-03-15
1.0018,1.0018,1.0018,0.0006992308,2023-03-16
1.0022,1.0022,1.0022,0.0003992813,2023-03-17
1.0029,1.0029,1.0029,0.0006984634,2023-03-20
1.0033,1.0033,1.0033,0.0003988434,2023-03-21
1.0035,1.0035,1.0035,0.0001993422,2023-03-22
1.0038,1.0038,1.0038,0.0002989537,2023-03-23
1.0041,1.0041,1.0041,0.0002988643,2023-03-24
1.0048,1.0048,1.0048,0.0006971417,2023-03-27
1.0051,1.0051,1.0051,0.0002985669,2023-03-28
1.0052,1.0052,1.0052,9.94926e-05,2023-03-29
1.0055,1.0055,1.0055,0.0002984481,2023-03-30
1.0057,1.0057,1.0057,0.000198906,2023-03-31
1.0064,1.0064,1.0064,0.0006960326,2023-04-03
1.0066,1.0066,1.0066,0.0001987281,2023-04-04
1.0072,1.0072,1.0072,0.000596066,2023-04-06
1.0076,1.0076,1.0076,0.0003971406,2023-04-07
1.0082,1.0082,1.0082,0.0005954744,2023-04-10
1.0086,1.0086,1.0086,0.0003967467,2023-04-11
1.0088,1.0088,1.0088,0.0001982947,2023-04-12
1.009,1.009,1.009,0.0001982554,2023-04-13
1.0092,1.0092,1.0092,0.0001982161,2023-04-14
1.0099,1.0099,1.0099,0.0006936187,2023-04-17
1.0103,1.0103,1.0103,0.0003960788,2023-04-18
1.0105,1.0105,1.0105,0.000197961,2023-04-19
1.0107,1.0107,1.0107,0.0001979218,2023-04-20
1.011,1.011,1.011,0.000296824,2023-04-21
1.0115,1.0115,1.0115,0.0004945598,2023-04-24
1.0116,1.0116,1.0116,9.88631e-05,2023-04-25
1.012,1.012,1.012,0.0003954132,2023-04-26
1.0123,1.0123,1.0123,0.0002964427,2023-04-27
1.0127,1.0127,1.0127,0.0003951398,2023-04-28
1.0139,1.0139,1.0139,0.0011849511,2023-05-04
1.0144,1.0144,1.0144,0.0004931453,2023-05-05
1.0151,1.0151,1.0151,0.0006900631,2023-05-08
1.0156,1.0156,1.0156,0.0004925623,2023-05-09
1.016,1.016,1.016,0.0003938558,2023-05-10
1.0164,1.0164,1.0164,0.0003937008,2023-05-11
1.0169,1.0169,1.0169,0.0004919323,2023-05-12
1.0176,1.0176,1.0176,0.0006883666,2023-05-15
1.0179,1.0179,1.0179,0.0002948113,2023-05-16
1.018,1.018,1.018,9.82415e-05,2023-05-17
1.0184,1.0184,1.0184,0.0003929273,2023-05-18
1.0186,1.0186,1.0186,0.0001963865,2023-05-19
1.0194,1.0194,1.0194,0.0007853917,2023-05-22
1.0196,1.0196,1.0196,0.0001961938,2023-05-23
1.0199,1.0199,1.0199,0.000294233,2023-05-24
1.0202,1.0202,1.0202,0.0002941465,2023-05-25
1.0205,1.0205,1.0205,0.00029406,2023-05-26
1.0211,1.0211,1.0211,0.0005879471,2023-05-29
1.0214,1.0214,1.0214,0.0002938008,2023-05-30
1.0217,1.0217,1.0217,0.0002937145,2023-05-31
1.0219,1.0219,1.0219,0.0001957522,2023-06-01
1.0222,1.0222,1.0222,0.0002935708,2023-06-02
1.0228,1.0228,1.0228,0.0005869693,2023-06-05
1.0231,1.0231,1.0231,0.0002933125,2023-06-06
1.0234,1.0234,1.0234,0.0002932265,2023-06-07
1.0236,1.0236,1.0236,0.000195427,2023-06-08
1.0239,1.0239,1.0239,0.0002930832,2023-06-09
1.0245,1.0245,1.0245,0.0005859947,2023-06-12
1.0248,1.0248,1.0248,0.0002928258,2023-06-13
1.025,1.025,1.025,0.00019516,2023-06-14
1.0252,1.0252,1.0252,0.000195122,2023-06-15
1.0255,1.0255,1.0255,0.0002926258,2023-06-16
1.026,1.026,1.026,0.000487567,2023-06-19
1.0261,1.0261,1.0261,9.74659e-05,2023-06-20
1.0263,1.0263,1.0263,0.0001949128,2023-06-21
1.0272,1.0272,1.0272,0.0008769366,2023-06-26
1.0,1.0275,1.0275,0.0002920561,2023-06-27
1.0001,1.0276,1.02760275,0.0001,2023-06-28
1.0004,1.0279,1.027911,0.00029997,2023-06-29
1.0006,1.0281,1.0281165,0.00019992,2023-06-30
1.0012,1.0287,1.028733,0.0005996402,2023-07-03
1.0015,1.029,1.02904125,0.0002996404,2023-07-04
1.0023,1.0298,1.02986325,0.0007988018,2023-07-07
1.003,1.0305,1.0305825,0.0006983937,2023-07-14
1.004,1.0315,1.03161,0.000997009,2023-07-21
1.0054,1.0329,1.0330485,0.0013944223,2023-07-28
1.0067,1.0342,1.03438425,0.0012930177,2023-08-04
1.0081,1.0356,1.03582275,0.0013906824,2023-08-11
1.0094,1.0369,1.0371585,0.0012895546,2023-08-18
1.011,1.0385,1.0388025,0.0015851001,2023-08-25
1.012,1.0395,1.03983,0.0009891197,2023-09-01
1.0133,1.0408,1.04116575,0.001284585,2023-09-08
1.0143,1.0418,1.04219325,0.0009868746,2023-09-15
1.0155,1.043,1.04342625,0.0011830819,2023-09-22
1.0165,1.044,1.04445375,0.0009847366,2023-09-28
1.0196,1.0471,1.047639,0.0030496803,2023-10-13
1.0204,1.0479,1.048461,0.0007846214,2023-10-20
1.0215,1.049,1.04959125,0.0010780086,2023-10-27
1.0238,1.0513,1.0519545,0.0022515908,2023-11-03
1.0251,1.0526,1.05329025,0.0012697793,2023-11-10
1.0267,1.0542,1.05493425,0.0015608233,2023-11-17
1.0276,1.0551,1.055859,0.0008765949,2023-11-24
1.023,1.0555,1.05627,0.0003892565,2023-12-01
1.0238,1.0563,1.05709602,0.0007820137,2023-12-08
1.0252,1.0577,1.05854155,0.0013674546,2023-12-15
1.026,1.0585,1.05936757,0.0007803355,2023-12-22
1.0271,1.0596,1.06050334,0.0010721248,2023-12-29
1.0279,1.0604,1.06132936,0.000778892,2024-01-05
1.0288,1.0613,1.06225863,0.0008755716,2024-01-12
1.0311,1.0636,1.06463343,0.0022356143,2024-01-19
1.0333,1.0658,1.06690498,0.0021336437,2024-01-26
1.0364,1.0689,1.07010579,0.0030000968,2024-02-02
1.0382,1.0707,1.07196433,0.0017367812,2024-02-08
1.0446,1.0771,1.07857248,0.0061645155,2024-02-23
1.0473,1.0798,1.08136028,0.0025847214,2024-03-01
1.0492,1.0817,1.08332208,0.0018141889,2024-03-08
1.0491,1.0816,1.08321882,-9.53107e-05,2024-03-15
1.0492,1.0817,1.08332208,9.53198e-05,2024-03-22
1.0502,1.0827,1.0843546,0.0009531071,2024-03-29
1.0502,1.0827,1.0843546,0.0,2024-04-03
1.0526,1.0851,1.08683265,0.002285279,2024-04-12
1.0553,1.0878,1.08962046,0.002565077,2024-04-19
1.0567,1.0892,1.09106599,0.001326637,2024-04-26
1.0555,1.088,1.08982696,-0.0011356109,2024-04-30
1.0584,1.0909,1.09282128,0.002747513,2024-05-10
1.0595,1.092,1.09395705,0.0010393046,2024-05-17
1.0609,1.0934,1.09540258,0.001321378,2024-05-24
1.0647,1.0972,1.09932617,0.0035818645,2024-05-31
1.0656,1.0981,1.10025544,0.0008453085,2024-06-07
1.0679,1.1004,1.10263024,0.0021584084,2024-06-14
1.0692,1.1017,1.10397252,0.0012173424,2024-06-21
1.0711,1.1036,1.10593431,0.0017770296,2024-06-28
1.0719,1.1044,1.10676033,0.0007468957,2024-07-05
1.0729,1.1054,1.10779285,0.0009329228,2024-07-12
1.0738,1.1063,1.10872212,0.000838848,2024-07-19
1.0761,1.1086,1.11109692,0.0021419259,2024-07-26
1.0773,1.1098,1.11233594,0.001115138,2024-07-31
1.0784,1.1109,1.11347172,0.0010210712,2024-08-02
1.0795,1.112,1.11460749,0.0010200297,2024-08-09
1.0801,1.1126,1.11522701,0.0005558129,2024-08-16
1.0805,1.113,1.11564001,0.0003703361,2024-08-23
1.0792,1.1117,1.11429774,-0.0012031467,2024-08-30
1.0802,1.1127,1.11533026,0.0009266123,2024-09-06
1.0796,1.1121,1.11471074,-0.0005554527,2024-09-13
1.0796,1.1121,1.11471074,0.0,2024-09-20
1.0784,1.1109,1.11347172,-0.0011115228,2024-09-27
1.075,1.1075,1.10996114,-0.003152819,2024-09-30
1.0729,1.1054,1.10779285,-0.0019534884,2024-10-11
1.0759,1.1084,1.11089041,0.0027961599,2024-10-18
1.0739,1.1064,1.10882537,-0.0018589088,2024-10-25
1.0742,1.1067,1.10913513,0.0002793556,2024-10-31
1.0738,1.1063,1.10872212,-0.0003723701,2024-11-01
1.0734,1.1059,1.10830911,-0.0003725088,2024-11-08
1.0746,1.1071,1.10954813,0.001117943,2024-11-15
1.075,1.1075,1.10996114,0.0003722315,2024-11-22
1.0773,1.1098,1.11233594,0.0021395349,2024-11-29
1.0835,1.116,1.11873758,0.0057551286,2024-12-06
1.0836,1.1161,1.11884083,9.22935e-05,2024-12-13
1.0845,1.117,1.1197701,0.0008305648,2024-12-20
1.0855,1.118,1.12080262,0.0009220839,2024-12-27
1.0869,1.1194,1.12224816,0.0012897282,2024-12-31
1.088,1.1205,1.12338393,0.0010120526,2025-01-03
1.0884,1.1209,1.12379694,0.0003676471,2025-01-10
1.0884,1.1209,1.12379694,0.0,2025-01-17
1.0888,1.1213,1.12420995,0.0003675119,2025-01-24
1.0892,1.1217,1.12462296,0.0003673769,2025-01-27
1.0912,1.1237,1.126688,0.0018362101,2025-02-07
1.0922,1.1247,1.12772052,0.0009164223,2025-02-14
1.0912,1.1237,1.126688,-0.0009155832,2025-02-21
1.0827,1.1233,1.12627499,-0.0003665689,2025-02-24
1.0828,1.1234,1.12637902,9.23617e-05,2025-02-28
1.0832,1.1238,1.12679511,0.0003694126,2025-03-07
1.0828,1.1234,1.12637902,-0.0003692762,2025-03-14
1.0837,1.1243,1.12731524,0.0008311784,2025-03-21
1.0851,1.1257,1.12877158,0.0012918704,2025-03-28
1.0855,1.1261,1.12918768,0.0003686296,2025-03-31
1.0872,1.1278,1.1309561,0.0015660986,2025-04-03
1.0885,1.1291,1.13230842,0.0011957322,2025-04-11
1.0894,1.13,1.13324464,0.0008268259,2025-04-18
1.0893,1.1299,1.13314062,-9.17936e-05,2025-04-25
1.0896,1.1302,1.13345269,0.0002754062,2025-04-30
1.0921,1.1327,1.13605331,0.00229442,2025-05-09
1.0929,1.1335,1.13688551,0.0007325337,2025-05-16
1.0948,1.1354,1.13886198,0.0017384939,2025-05-23
1.0967,1.1373,1.14083844,0.0017354768,2025-05-30
1.0987,1.1393,1.14291894,0.0018236528,2025-06-06
1.1015,1.1421,1.14583163,0.0025484664,2025-06-13
1.1037,1.1443,1.14812017,0.0019972764,2025-06-20
1.1053,1.1459,1.14978456,0.0014496693,2025-06-27
1.1052,1.1458,1.14968054,-9.04732e-05,2025-06-30
1.1068,1.1474,1.15134493,0.0014477018,2025-07-04
1.1074,1.148,1.15196908,0.0005421034,2025-07-11
1.1083,1.1489,1.1529053,0.0008127145,2025-07-18
1.1065,1.1471,1.15103286,-0.001624109,2025-07-25
1.107,1.1476,1.15155298,0.0004518753,2025-07-31
1.1072,1.1478,1.15176103,0.0001806685,2025-08-01
1.1095,1.1501,1.1541536,0.0020773121,2025-08-08
1.1082,1.1488,1.15280128,-0.001171699,2025-08-15
1.1047,1.1453,1.14916042,-0.0031582747,2025-08-22
1.1046,1.1452,1.14905639,-9.05223e-05,2025-08-29
1.1058,1.1464,1.15030469,0.0010863661,2025-09-05
1.1052,1.1458,1.14968054,-0.0005425936,2025-09-12
1.1051,1.1457,1.14957651,-9.04814e-05,2025-09-19
1.1029,1.1435,1.14728797,-0.0019907701,2025-09-26
1.1033,1.1439,1.14770407,0.0003626802,2025-09-30
1.1045,1.1451,1.14895237,0.0010876462,2025-10-10
1.106,1.1466,1.15051274,0.0013580806,2025-10-17
1.1077,1.1483,1.15228116,0.0015370705,2025-10-24
1.1111,1.1517,1.15581799,0.0030694231,2025-10-31
1.1117,1.1523,1.15644214,0.0005400054,2025-11-07
