nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-05-13
1.0,1.0,1.0,0.0,2021-05-14
0.9999,0.9999,0.9999,-0.0001,2021-05-17
0.9999,0.9999,0.9999,0.0,2021-05-18
0.9998,0.9998,0.9998,-0.00010001,2021-05-19
0.9998,0.9998,0.9998,0.0,2021-05-20
0.9998,0.9998,0.9998,0.0,2021-05-21
0.9997,0.9997,0.9997,-0.00010002,2021-05-24
0.9997,0.9997,0.9997,0.0,2021-05-25
0.9996,0.9996,0.9996,-0.00010003,2021-05-26
0.9984,0.9984,0.9984,-0.0012004802,2021-05-27
0.9984,0.9984,0.9984,0.0,2021-05-28
0.9983,0.9983,0.9983,-0.0001001603,2021-05-31
0.9983,0.9983,0.9983,0.0,2021-06-01
0.9982,0.9982,0.9982,-0.0001001703,2021-06-02
0.9982,0.9982,0.9982,0.0,2021-06-03
0.9982,0.9982,0.9982,0.0,2021-06-04
0.9981,0.9981,0.9981,-0.0001001803,2021-06-07
0.9981,0.9981,0.9981,0.0,2021-06-08
0.998,0.998,0.998,-0.0001001904,2021-06-09
0.998,0.998,0.998,0.0,2021-06-10
0.998,0.998,0.998,0.0,2021-06-11
0.9979,0.9979,0.9979,-0.0001002004,2021-06-15
0.9978,0.9978,0.9978,-0.0001002104,2021-06-16
0.9978,0.9978,0.9978,0.0,2021-06-17
0.9978,0.9978,0.9978,0.0,2021-06-18
0.9989,0.9989,0.9989,0.0011024253,2021-06-21
0.9989,0.9989,0.9989,0.0,2021-06-22
0.9989,0.9989,0.9989,0.0,2021-06-23
0.9988,0.9988,0.9988,-0.0001001101,2021-06-24
0.9988,0.9988,0.9988,0.0,2021-06-25
0.9987,0.9987,0.9987,-0.0001001201,2021-06-28
0.9987,0.9987,0.9987,0.0,2021-06-29
0.9987,0.9987,0.9987,0.0,2021-06-30
0.9986,0.9986,0.9986,-0.0001001302,2021-07-01
0.9986,0.9986,0.9986,0.0,2021-07-02
0.9985,0.9985,0.9985,-0.0001001402,2021-07-05
0.9985,0.9985,0.9985,0.0,2021-07-06
0.9985,0.9985,0.9985,0.0,2021-07-07
0.9984,0.9984,0.9984,-0.0001001502,2021-07-08
0.9984,0.9984,0.9984,0.0,2021-07-09
0.9983,0.9983,0.9983,-0.0001001603,2021-07-12
