nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.065,1.065,1.065,0.0,2025-06-03
1.084,1.084,1.084,0.0178403756,2025-06-06
1.072,1.072,1.072,-0.0110701107,2025-06-13
1.075,1.075,1.075,0.0027985075,2025-06-20
1.081,1.081,1.081,0.0055813953,2025-06-27
1.09,1.09,1.09,0.0083256244,2025-06-30
1.081,1.081,1.081,-0.0082568807,2025-07-04
1.121,1.121,1.121,0.0370027752,2025-07-11
1.104,1.104,1.104,-0.0151650312,2025-07-18
1.155,1.155,1.155,0.0461956522,2025-07-25
1.149,1.149,1.149,-0.0051948052,2025-07-31
1.143,1.143,1.143,-0.0052219321,2025-08-01
1.146,1.146,1.146,0.0026246719,2025-08-08
1.146,1.146,1.146,0.0,2025-08-15
1.191,1.191,1.191,0.0392670157,2025-08-22
1.229,1.229,1.229,0.0319059614,2025-08-29
1.0,1.273,1.273,0.0358014646,2025-09-03
0.982,1.255,1.250086,-0.018,2025-09-05
0.923,1.196,1.174979,-0.0600814664,2025-09-12
0.923,1.196,1.174979,0.0,2025-09-19
0.91,1.183,1.15843,-0.014084507,2025-09-26
0.89,1.163,1.13297,-0.021978022,2025-09-30
0.886,1.159,1.127878,-0.004494382,2025-10-10
0.915,1.188,1.164795,0.032731377,2025-10-17
0.899,1.172,1.144427,-0.0174863388,2025-10-24
0.901,1.174,1.146973,0.0022246941,2025-10-31
0.9,1.173,1.1457,-0.0011098779,2025-11-07
0.883,1.156,1.124059,-0.0188888889,2025-11-14
0.913,1.186,1.162249,0.0339750849,2025-11-21
0.902,1.175,1.148246,-0.0120481928,2025-11-28
0.883,1.156,1.124059,-0.0210643016,2025-12-05
0.87,1.143,1.10751,-0.0147225368,2025-12-12
0.869,1.142,1.106237,-0.0011494253,2025-12-19
0.926,1.199,1.178798,0.0655926352,2025-12-26
0.922,1.195,1.173706,-0.0043196544,2025-12-31
0.995,1.268,1.266635,0.079175705,2026-01-09
1.032,1.305,1.313736,0.0371859296,2026-01-16
1.092,1.365,1.390116,0.0581395349,2026-01-23
1.082,1.355,1.377386,-0.0091575092,2026-01-30
1.053,1.326,1.340469,-0.0268022181,2026-02-06
1.031,1.304,1.312463,-0.0208926876,2026-02-13
1.044,1.317,1.329012,0.0126091174,2026-02-27
0.996,1.269,1.267908,-0.0459770115,2026-03-06
0.966,1.239,1.229718,-0.0301204819,2026-03-13
0.994,1.267,1.265362,0.0289855072,2026-03-20
1.002,1.275,1.275546,0.0080482897,2026-03-27
0.992,1.265,1.262816,-0.0099800399,2026-03-31
0.996,1.269,1.267908,0.0040322581,2026-04-03
0.954,1.227,1.214442,-0.0421686747,2026-04-10
0.979,1.252,1.246267,0.0262054507,2026-04-17
0.983,1.256,1.251359,0.0040858018,2026-04-24
0.981,1.254,1.248813,-0.002034588,2026-04-30
1.019,1.292,1.297187,0.0387359837,2026-05-08
1.021,1.294,1.299733,0.0019627085,2026-05-15
0.974,1.247,1.239902,-0.0460333007,2026-05-22
