nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-05-27
0.9999,0.9999,0.9999,-0.0001,2024-05-31
0.9944,0.9944,0.9944,-0.0055005501,2024-06-07
0.9945,0.9945,0.9945,0.0001005632,2024-06-14
0.9926,0.9926,0.9926,-0.0019105078,2024-06-21
0.9855,0.9855,0.9855,-0.0071529317,2024-06-28
0.9769,0.9769,0.9769,-0.0087265348,2024-07-05
0.9806,0.9806,0.9806,0.003787491,2024-07-12
0.977,0.977,0.977,-0.0036712217,2024-07-19
0.9759,0.9759,0.9759,-0.0011258956,2024-07-22
0.966,0.966,0.966,-0.010144482,2024-07-23
0.9661,0.9661,0.9661,0.0001035197,2024-07-24
0.9663,0.9663,0.9663,0.0002070179,2024-07-25
0.968,0.968,0.968,0.001759288,2024-07-26
0.9653,0.9653,0.9653,-0.0027892562,2024-07-29
0.9665,0.9665,0.9665,0.0012431368,2024-07-30
0.9773,0.9773,0.9773,0.0111743404,2024-07-31
0.9717,0.9717,0.9717,-0.0057300726,2024-08-01
0.9621,0.9621,0.9621,-0.0098795925,2024-08-02
0.9519,0.9519,0.9519,-0.0106018085,2024-08-05
0.9588,0.9588,0.9588,0.0072486606,2024-08-06
0.9582,0.9582,0.9582,-0.0006257822,2024-08-07
0.9557,0.9557,0.9557,-0.0026090587,2024-08-08
0.9509,0.9509,0.9509,-0.0050224966,2024-08-09
0.9488,0.9488,0.9488,-0.0022084341,2024-08-12
0.9495,0.9495,0.9495,0.000737774,2024-08-13
0.9473,0.9473,0.9473,-0.002317009,2024-08-14
0.9444,0.9444,0.9444,-0.0030613322,2024-08-15
0.9407,0.9407,0.9407,-0.0039178314,2024-08-16
0.9362,0.9362,0.9362,-0.0047836717,2024-08-19
0.9396,0.9396,0.9396,0.0036317026,2024-08-20
0.9359,0.9359,0.9359,-0.0039378459,2024-08-21
0.938,0.938,0.938,0.0022438295,2024-08-22
0.9404,0.9404,0.9404,0.0025586354,2024-08-23
0.935,0.935,0.935,-0.0057422373,2024-08-26
0.9381,0.9381,0.9381,0.003315508,2024-08-27
0.9298,0.9298,0.9298,-0.0088476708,2024-08-28
0.9195,0.9195,0.9195,-0.0110776511,2024-08-29
0.9278,0.9278,0.9278,0.0090266449,2024-08-30
0.9151,0.9151,0.9151,-0.0136882949,2024-09-02
0.918,0.918,0.918,0.0031690526,2024-09-03
0.9166,0.9166,0.9166,-0.0015250545,2024-09-04
