nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-09-15
0.9999,0.9999,0.9999,-0.0001,2021-09-17
0.9998,0.9998,0.9998,-0.00010001,2021-09-24
0.9994,0.9994,0.9994,-0.00040008,2021-09-30
0.9986,0.9986,0.9986,-0.0008004803,2021-10-08
0.9982,0.9982,0.9982,-0.0004005608,2021-10-15
0.9978,0.9978,0.9978,-0.0004007213,2021-10-22
0.9974,0.9974,0.9974,-0.0004008819,2021-10-29
0.9912,0.9912,0.9912,-0.006216162,2021-11-05
0.9951,0.9951,0.9951,0.0039346247,2021-11-12
0.9923,0.9923,0.9923,-0.0028137876,2021-11-19
0.9687,0.9687,0.9687,-0.0237831301,2021-11-26
0.9754,0.9754,0.9754,0.006916486,2021-11-30
1.0237,1.0237,1.0237,0.0495181464,2021-12-03
1.0042,1.0042,1.0042,-0.0190485494,2021-12-10
0.9979,0.9979,0.9979,-0.0062736507,2021-12-17
1.0,1.0033,1.0033,0.0054113639,2021-12-24
1.018,1.0213,1.0213594,0.018,2021-12-31
1.0131,1.0164,1.01644323,-0.0048133595,2022-01-07
1.0065,1.0098,1.00982145,-0.006514658,2022-01-14
0.9815,0.9848,0.98473895,-0.0248385494,2022-01-21
0.8874,0.8907,0.89032842,-0.0958736628,2022-01-28
0.9385,0.9418,0.94159705,0.0575839531,2022-02-11
0.9173,0.9206,0.92032709,-0.0225892381,2022-02-18
0.9128,0.9161,0.91581224,-0.0049057015,2022-02-25
0.9181,0.9214,0.92112973,0.0058063103,2022-02-28
0.9447,0.948,0.94781751,0.0289728788,2022-03-04
0.9441,0.9474,0.94721553,-0.0006351223,2022-03-11
0.9378,0.9411,0.94089474,-0.0066730219,2022-03-18
0.9518,0.9551,0.95494094,0.0149285562,2022-03-25
0.9459,0.9492,0.94902147,-0.0061987813,2022-03-31
0.9379,0.9412,0.94099507,-0.0084575537,2022-04-01
0.9507,0.954,0.95383731,0.0136475104,2022-04-08
0.9162,0.9195,0.91922346,-0.0362890502,2022-04-15
0.8721,0.8754,0.87497793,-0.0481335953,2022-04-22
0.8382,0.8415,0.84096606,-0.038871689,2022-04-29
0.8592,0.8625,0.86203536,0.0250536865,2022-05-06
0.8953,0.8986,0.89825449,0.0420158287,2022-05-13
0.9184,0.9217,0.92143072,0.0258014073,2022-05-20
0.9591,0.9624,0.96226503,0.0443162021,2022-05-27
0.9947,0.998,0.99798251,0.0371181316,2022-05-31
0.9677,0.971,0.97089341,-0.0271438625,2022-06-02
1.0049,1.0082,1.00821617,0.0384416658,2022-06-10
1.02,1.0233,1.023366,0.0150263708,2022-06-17
0.9939,0.9972,0.99717987,-0.0255882353,2022-06-24
0.9924,0.9957,0.99567492,-0.0015092062,2022-06-30
0.9994,1.0027,1.00269802,0.0070536074,2022-07-01
1.0011,1.0044,1.00440363,0.0017010206,2022-07-08
1.0747,1.078,1.07824651,0.073519129,2022-07-15
1.0698,1.0731,1.07333034,-0.0045594119,2022-07-22
1.0005,1.0038,1.00380165,-0.0647784633,2022-07-29
0.9879,0.9912,0.99116007,-0.0125937031,2022-08-05
0.9777,0.981,0.98092641,-0.0103249317,2022-08-12
0.963,0.9663,0.9661779,-0.0150352869,2022-08-19
0.9507,0.954,0.95383731,-0.0127725857,2022-08-26
0.9517,0.955,0.95484061,0.0010518565,2022-08-31
0.9619,0.9652,0.96507427,0.0107176631,2022-09-02
0.9725,0.9758,0.97570925,0.0110198565,2022-09-09
0.9252,0.9285,0.92825316,-0.0486375321,2022-09-16
0.8912,0.8945,0.89414096,-0.0367488111,2022-09-23
0.8701,0.8734,0.87297133,-0.0236759425,2022-09-30
0.9036,0.9069,0.90658188,0.0385013217,2022-10-14
0.9007,0.904,0.90367231,-0.0032093847,2022-10-21
0.8619,0.8652,0.86474427,-0.0430776063,2022-10-28
0.8718,0.8751,0.87467694,0.0114862513,2022-10-31
0.9411,0.9444,0.94420563,0.0794907089,2022-11-04
0.95,0.9533,0.953135,0.0094570184,2022-11-11
0.9429,0.9462,0.94601157,-0.0074736842,2022-11-18
0.9289,0.9322,0.93196537,-0.0148478099,2022-11-25
0.9377,0.941,0.94079441,0.0094735709,2022-11-30
0.9525,0.9558,0.95564325,0.0157832996,2022-12-02
0.9605,0.9638,0.96366965,0.0083989501,2022-12-09
0.9257,0.929,0.92875481,-0.0362311296,2022-12-16
0.8806,0.8839,0.88350598,-0.0487198877,2022-12-23
0.8914,0.8947,0.89434162,0.0122643652,2022-12-30
0.9342,0.9375,0.93728286,0.0480143594,2023-01-06
0.9293,0.9326,0.93236669,-0.0052451295,2023-01-13
0.9573,0.9606,0.96045909,0.0301302055,2023-01-20
0.9846,0.9879,0.98784918,0.028517706,2023-01-31
1.0115,1.0148,1.01483795,0.0273207394,2023-02-03
1.0199,1.0232,1.02326567,0.0083044983,2023-02-10
1.0212,1.0245,1.02456996,0.0012746348,2023-02-17
1.025,1.0283,1.0283825,0.0037211124,2023-02-24
1.0285,1.0318,1.03189405,0.0034146341,2023-02-28
1.0226,1.0259,1.02597458,-0.0057365095,2023-03-03
0.9972,1.0005,1.00049076,-0.0248386466,2023-03-10
0.9757,0.979,0.97891981,-0.021560369,2023-03-17
0.9735,0.9768,0.97671255,-0.0022547914,2023-03-24
0.9978,1.0011,1.00109274,0.0249614792,2023-03-31
1.0122,1.0155,1.01554026,0.0144317498,2023-04-07
0.9718,0.9751,0.97500694,-0.0399130607,2023-04-14
