nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-07-08
1.0,1.0,1.0,0.0,2021-07-09
1.0,1.0,1.0,0.0,2021-07-15
1.0,1.0,1.0,0.0,2021-07-16
1.0024,1.0024,1.0024,0.0024,2021-07-23
1.0131,1.0131,1.0131,0.0106743815,2021-07-30
1.0201,1.0201,1.0201,0.0069094857,2021-08-06
1.0319,1.0319,1.0319,0.0115674934,2021-08-13
1.043,1.043,1.043,0.0107568563,2021-08-20
1.0474,1.0474,1.0474,0.0042186002,2021-08-27
1.0576,1.0576,1.0576,0.0097383998,2021-09-03
1.0684,1.0684,1.0684,0.0102118003,2021-09-10
1.0817,1.0817,1.0817,0.0124485212,2021-09-17
1.086,1.086,1.086,0.0039752242,2021-09-24
1.0909,1.0909,1.0909,0.0045119705,2021-09-30
1.0897,1.0897,1.0897,-0.0011000092,2021-10-08
1.0905,1.0905,1.0905,0.000734147,2021-10-15
1.0923,1.0923,1.0923,0.001650619,2021-10-22
1.0948,1.0948,1.0948,0.0022887485,2021-10-29
1.0964,1.0964,1.0964,0.0014614541,2021-11-05
1.0978,1.0978,1.0978,0.0012769062,2021-11-12
1.1029,1.1029,1.1029,0.0046456549,2021-11-19
1.1059,1.1059,1.1059,0.0027201016,2021-11-26
1.1087,1.1087,1.1087,0.0025318745,2021-12-03
1.1099,1.1099,1.1099,0.0010823487,2021-12-10
1.1125,1.1125,1.1125,0.0023425534,2021-12-17
1.1131,1.1131,1.1131,0.0005393258,2021-12-24
1.1135,1.1135,1.1135,0.0003593568,2021-12-31
1.115,1.115,1.115,0.0013471037,2022-01-07
1.1182,1.1182,1.1182,0.0028699552,2022-01-14
1.12,1.12,1.12,0.0016097299,2022-01-21
1.1258,1.1258,1.1258,0.0051785714,2022-01-28
1.1269,1.1269,1.1269,0.000977083,2022-02-11
1.1286,1.1286,1.1286,0.0015085633,2022-02-18
1.1287,1.1287,1.1287,8.86054e-05,2022-02-25
1.1282,1.1282,1.1282,-0.0004429875,2022-03-04
1.1282,1.1282,1.1282,0.0,2022-03-11
1.1267,1.1267,1.1267,-0.0013295515,2022-03-18
1.1256,1.1256,1.1256,-0.0009763025,2022-03-25
1.1265,1.1265,1.1265,0.0007995736,2022-04-01
1.1256,1.1256,1.1256,-0.0007989348,2022-04-08
1.1241,1.1241,1.1241,-0.0013326226,2022-04-15
1.1269,1.1269,1.1269,0.0024908816,2022-04-22
1.1286,1.1286,1.1286,0.0015085633,2022-04-29
1.1284,1.1284,1.1284,-0.0001772107,2022-05-06
1.128,1.128,1.128,-0.0003544842,2022-05-13
1.1296,1.1296,1.1296,0.0014184397,2022-05-20
1.1334,1.1334,1.1334,0.0033640227,2022-05-27
1.1365,1.1365,1.1365,0.0027351332,2022-06-02
1.1413,1.1413,1.1413,0.0042234932,2022-06-10
1.1407,1.1407,1.1407,-0.0005257163,2022-06-17
1.1413,1.1413,1.1413,0.0005259928,2022-06-24
1.1429,1.1429,1.1429,0.0014019101,2022-07-01
1.0003,1.1431,1.1431,0.0001749934,2022-07-08
0.9995,1.1423,1.14218579,-0.0007997601,2022-07-15
0.9992,1.142,1.14184297,-0.0003001501,2022-07-22
0.9985,1.1413,1.14104304,-0.0007005604,2022-07-29
0.9868,1.1296,1.12767278,-0.0117175764,2022-08-05
0.9871,1.1299,1.12801561,0.000304013,2022-08-12
0.9896,1.1324,1.1308725,0.0025326715,2022-08-19
0.9926,1.1354,1.13430077,0.0030315279,2022-08-26
0.9928,1.1356,1.13452932,0.000201491,2022-09-02
0.992,1.1348,1.13361512,-0.0008058018,2022-09-09
0.953,1.0958,1.08904759,-0.0393145161,2022-09-16
0.9251,1.0679,1.05716466,-0.0292759706,2022-09-23
0.9026,1.0454,1.03145262,-0.024321695,2022-09-30
0.9361,1.0789,1.06973499,0.0371150011,2022-10-14
0.9329,1.0757,1.06607817,-0.0034184382,2022-10-21
0.8922,1.035,1.01956795,-0.0436273984,2022-10-28
0.9718,1.1146,1.11053142,0.0892176642,2022-11-04
0.9802,1.123,1.12013058,0.0086437539,2022-11-11
0.9728,1.1156,1.11167418,-0.0075494797,2022-11-18
0.9585,1.1013,1.09533275,-0.0146998355,2022-11-25
0.9815,1.1243,1.12161617,0.0239958268,2022-12-02
0.9892,1.132,1.1304154,0.007845135,2022-12-09
0.9542,1.097,1.09041889,-0.035382127,2022-12-16
0.9086,1.0514,1.03830917,-0.0477887235,2022-12-23
0.9194,1.0622,1.05065094,0.0118864187,2022-12-30
0.9616,1.1044,1.0988753,0.0458994997,2023-01-06
0.9563,1.0991,1.09281868,-0.0055116473,2023-01-13
0.9837,1.1265,1.12413023,0.0286520966,2023-01-20
1.0298,1.1726,1.17681134,0.0468638813,2023-02-03
1.0363,1.1791,1.18423926,0.0063119052,2023-02-10
1.0359,1.1787,1.18378216,-0.0003859886,2023-02-17
1.0359,1.1787,1.18378216,0.0,2023-02-24
1.0393,1.1821,1.18766753,0.0032821701,2023-03-03
1.0387,1.1815,1.18698188,-0.0005773117,2023-03-10
1.0388,1.1816,1.18709615,9.62742e-05,2023-03-17
1.0387,1.1815,1.18698188,-9.62649e-05,2023-03-24
1.0506,1.1934,1.20058069,0.0114566285,2023-03-31
1.0559,1.1987,1.2066373,0.0050447363,2023-04-07
1.0659,1.2087,1.21806487,0.0094705938,2023-04-14
1.0668,1.2096,1.21909335,0.0008443569,2023-04-21
1.0632,1.206,1.21497943,-0.0033745782,2023-04-28
1.0646,1.2074,1.21657929,0.0013167795,2023-05-05
1.0721,1.2149,1.22514997,0.0070448995,2023-05-12
1.0751,1.2179,1.22857824,0.0027982464,2023-05-19
1.0769,1.2197,1.2306352,0.0016742629,2023-05-26
1.0846,1.2274,1.23943443,0.0071501532,2023-06-02
1.0889,1.2317,1.24434829,0.0039645952,2023-06-09
1.0939,1.2367,1.25006207,0.0045917899,2023-06-16
1.0901,1.2329,1.24571959,-0.0034738093,2023-06-21
1.0795,1.2223,1.23360637,-0.0097238785,2023-06-30
1.0749,1.2177,1.22834969,-0.0042612321,2023-07-07
1.0767,1.2195,1.23040665,0.0016745744,2023-07-14
1.0738,1.2166,1.22709265,-0.0026934151,2023-07-21
1.0761,1.2189,1.22972099,0.0021419259,2023-07-28
1.0784,1.2212,1.23234934,0.0021373478,2023-08-04
1.0779,1.2207,1.23177796,-0.0004636499,2023-08-11
1.088,1.2308,1.2433198,0.0093700714,2023-08-18
1.0881,1.2309,1.24343408,9.19118e-05,2023-08-25
1.0937,1.2365,1.24983352,0.0051465858,2023-09-01
1.0959,1.2387,1.25234759,0.0020115205,2023-09-04
1.094,1.2368,1.25017635,-0.0017337348,2023-09-05
1.0947,1.2375,1.25097628,0.0006398537,2023-09-06
1.0979,1.2407,1.2546331,0.0029231753,2023-09-07
1.1008,1.2436,1.2579471,0.0026414063,2023-09-08
1.1018,1.2446,1.25908985,0.0009084302,2023-09-11
1.0999,1.2427,1.25691861,-0.0017244509,2023-09-12
1.0999,1.2427,1.25691861,0.0,2023-09-13
1.0995,1.2423,1.25646151,-0.0003636694,2023-09-14
1.1005,1.2433,1.25760427,0.0009095043,2023-09-15
1.1018,1.2446,1.25908985,0.0011812812,2023-09-18
1.1037,1.2465,1.26126109,0.0017244509,2023-09-19
1.1056,1.2484,1.26343233,0.0017214823,2023-09-20
1.1077,1.2505,1.26583212,0.0018994211,2023-09-21
1.1082,1.251,1.2664035,0.0004513858,2023-09-22
1.1108,1.2536,1.26937467,0.0023461469,2023-09-25
1.112,1.2548,1.27074598,0.0010803025,2023-09-26
1.1095,1.2523,1.26788908,-0.0022482014,2023-09-27
1.1087,1.2515,1.26697488,-0.0007210455,2023-09-28
1.1006,1.2434,1.25771854,-0.0073058537,2023-10-09
1.1019,1.2447,1.25920413,0.0011811739,2023-10-10
1.1001,1.2429,1.25714717,-0.0016335421,2023-10-11
1.0981,1.2409,1.25486165,-0.0018180165,2023-10-12
1.098,1.2408,1.25474738,-9.10664e-05,2023-10-13
1.0978,1.2406,1.25451882,-0.0001821494,2023-10-16
1.0966,1.2394,1.25314752,-0.0010930953,2023-10-17
1.0972,1.24,1.25383317,0.0005471457,2023-10-18
1.099,1.2418,1.25589013,0.0016405396,2023-10-19
1.1006,1.2434,1.25771854,0.001455869,2023-10-20
1.0999,1.2427,1.25691861,-0.0006360167,2023-10-23
1.0984,1.2412,1.25520448,-0.0013637603,2023-10-24
1.1021,1.2449,1.25943268,0.0033685361,2023-10-25
1.1005,1.2433,1.25760427,-0.0014517739,2023-10-26
1.0992,1.242,1.25611868,-0.0011812812,2023-10-27
1.1002,1.243,1.25726144,0.0009097525,2023-10-30
1.0999,1.2427,1.25691861,-0.0002726777,2023-10-31
1.1045,1.2473,1.2621753,0.0041821984,2023-11-01
1.1013,1.2441,1.25851847,-0.0028972386,2023-11-02
1.1047,1.2475,1.26240385,0.0030872605,2023-11-03
1.1049,1.2477,1.2626324,0.0001810446,2023-11-06
1.1055,1.2483,1.26331805,0.0005430356,2023-11-07
1.1126,1.2554,1.27143163,0.0064224333,2023-11-08
1.1146,1.2574,1.27371714,0.0017975912,2023-11-09
1.1188,1.2616,1.27851672,0.003768168,2023-11-10
1.1163,1.2591,1.27565983,-0.002234537,2023-11-13
1.114,1.2568,1.27303149,-0.002060378,2023-11-14
1.1124,1.2552,1.27120308,-0.0014362657,2023-11-15
1.1161,1.2589,1.27543128,0.0033261417,2023-11-16
1.1138,1.2566,1.27280294,-0.0020607472,2023-11-17
1.1172,1.26,1.27668831,0.0030526127,2023-11-20
1.1177,1.2605,1.27725969,0.0004475474,2023-11-21
1.1176,1.2604,1.27714542,-8.94694e-05,2023-11-22
1.1182,1.261,1.27783107,0.0005368647,2023-11-23
1.1248,1.2676,1.28537327,0.0059023431,2023-11-24
1.1242,1.267,1.28468761,-0.0005334282,2023-11-27
1.1315,1.2743,1.29302974,0.0064935065,2023-11-28
1.1251,1.2679,1.2857161,-0.0056562086,2023-11-29
1.1228,1.2656,1.28308775,-0.0020442627,2023-11-30
1.1189,1.2617,1.278631,-0.0034734592,2023-12-01
1.1177,1.2605,1.27725969,-0.0010724819,2023-12-04
1.1237,1.2665,1.28411624,0.0053681668,2023-12-05
1.1282,1.271,1.28925864,0.0040046276,2023-12-06
1.1306,1.2734,1.29200126,0.0021272824,2023-12-07
1.1324,1.2752,1.29405822,0.001592075,2023-12-08
1.1511,1.2939,1.31542778,0.0165135994,2023-12-11
1.1517,1.2945,1.31611344,0.0005212406,2023-12-12
1.1562,1.299,1.32125584,0.0039072675,2023-12-13
1.02,1.2936,1.31508495,-0.0046704722,2023-12-14
1.0163,1.2899,1.31031455,-0.003627451,2023-12-15
1.0181,1.2917,1.31263529,0.0017711306,2023-12-18
1.0177,1.2913,1.31211957,-0.0003928887,2023-12-19
1.0167,1.2903,1.31083027,-0.0009826078,2023-12-20
1.0142,1.2878,1.30760702,-0.0024589358,2023-12-21
1.0111,1.2847,1.30361019,-0.0030565963,2023-12-22
1.011,1.2846,1.30348126,-9.89022e-05,2023-12-25
1.0146,1.2882,1.30812274,0.0035608309,2023-12-26
1.0188,1.2924,1.3135378,0.0041395624,2023-12-27
1.0168,1.2904,1.3109592,-0.0019630938,2023-12-28
1.0144,1.288,1.30786488,-0.0023603462,2023-12-29
1.021,1.2946,1.31637425,0.0065063091,2024-01-02
1.021,1.2946,1.31637425,0.0,2024-01-03
1.0277,1.3013,1.32501256,0.0065621939,2024-01-04
1.0286,1.3022,1.32617293,0.0008757419,2024-01-05
1.0265,1.3001,1.3234654,-0.00204161,2024-01-08
1.0242,1.2978,1.32050001,-0.0022406235,2024-01-09
1.028,1.3016,1.32539935,0.0037102128,2024-01-10
1.0301,1.3037,1.32810687,0.0020428016,2024-01-11
1.0294,1.303,1.32720436,-0.0006795457,2024-01-12
1.0296,1.3032,1.32746222,0.0001942879,2024-01-15
1.0306,1.3042,1.32875152,0.000971251,2024-01-16
1.0325,1.3061,1.33120119,0.0018435863,2024-01-17
1.0312,1.3048,1.3295251,-0.0012590799,2024-01-18
1.0314,1.305,1.32978296,0.0001939488,2024-01-19
1.0285,1.3021,1.326044,-0.0028117122,2024-01-22
1.0259,1.2995,1.32269182,-0.0025279533,2024-01-23
1.0284,1.302,1.32591507,0.0024368847,2024-01-24
1.0334,1.307,1.33236156,0.0048619214,2024-01-25
1.0335,1.3071,1.33249049,9.6768e-05,2024-01-26
1.0345,1.3081,1.33377979,0.0009675859,2024-01-29
1.0372,1.3108,1.3372609,0.0026099565,2024-01-30
1.0337,1.3073,1.33274835,-0.0033744697,2024-01-31
1.0351,1.3087,1.33455337,0.0013543581,2024-02-01
1.0346,1.3082,1.33390872,-0.0004830451,2024-02-02
1.0357,1.3093,1.33532695,0.0010632128,2024-02-06
