nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-04-14
1.0,1.0,1.0,0.0,2016-04-15
1.0,1.0,1.0,0.0,2016-04-18
1.0,1.0,1.0,0.0,2016-04-19
1.0,1.0,1.0,0.0,2016-04-20
1.0,1.0,1.0,0.0,2016-04-21
1.0009,1.0009,1.0009,0.0009,2016-04-22
1.0022,1.0022,1.0022,0.0012988311,2016-04-25
1.0065,1.0065,1.0065,0.0042905608,2016-04-26
1.0063,1.0063,1.0063,-0.0001987084,2016-04-27
1.0053,1.0053,1.0053,-0.0009937394,2016-04-28
1.0057,1.0057,1.0057,0.0003978912,2016-04-29
1.011,1.011,1.011,0.0052699612,2016-05-03
1.0125,1.0125,1.0125,0.0014836795,2016-05-04
1.0111,1.0111,1.0111,-0.001382716,2016-05-05
1.0075,1.0075,1.0075,-0.0035604787,2016-05-06
1.0012,1.0012,1.0012,-0.0062531017,2016-05-09
1.0,1.0,1.0,-0.0011985617,2016-05-10
0.9997,0.9997,0.9997,-0.0003,2016-05-11
1.0017,1.0017,1.0017,0.0020006002,2016-05-12
0.9997,0.9997,0.9997,-0.0019966058,2016-05-13
1.0017,1.0017,1.0017,0.0020006002,2016-05-16
1.0025,1.0025,1.0025,0.0007986423,2016-05-17
0.9965,0.9965,0.9965,-0.0059850374,2016-05-18
0.9967,0.9967,0.9967,0.0002007025,2016-05-19
0.9975,0.9975,0.9975,0.0008026487,2016-05-20
1.0,1.0,1.0,0.0025062657,2016-05-23
1.0004,1.0004,1.0004,0.0004,2016-05-24
1.0011,1.0011,1.0011,0.0006997201,2016-05-25
1.0003,1.0003,1.0003,-0.000799121,2016-05-26
1.0016,1.0016,1.0016,0.0012996101,2016-05-27
1.0027,1.0027,1.0027,0.0010982428,2016-05-30
1.0116,1.0116,1.0116,0.0088760347,2016-05-31
1.0147,1.0147,1.0147,0.0030644524,2016-06-01
1.0208,1.0208,1.0208,0.0060116291,2016-06-02
1.0208,1.0208,1.0208,0.0,2016-06-03
1.0207,1.0207,1.0207,-9.79624e-05,2016-06-06
1.0235,1.0235,1.0235,0.0027432154,2016-06-07
1.0318,1.0318,1.0318,0.0081094284,2016-06-08
1.0146,1.0146,1.0146,-0.0166698973,2016-06-13
1.014,1.014,1.014,-0.0005913661,2016-06-14
1.0239,1.0239,1.0239,0.0097633136,2016-06-15
1.0334,1.0334,1.0334,0.0092782498,2016-06-16
1.0312,1.0312,1.0312,-0.0021288949,2016-06-17
1.0256,1.0256,1.0256,-0.0054305663,2016-06-20
