nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-04-29
1.0,1.0,1.0,0.0,2021-04-30
1.0,1.0,1.0,0.0,2021-05-06
1.0,1.0,1.0,0.0,2021-05-07
0.9999,0.9999,0.9999,-0.0001,2021-05-10
0.9999,0.9999,0.9999,0.0,2021-05-11
0.9999,0.9999,0.9999,0.0,2021-05-12
0.9999,0.9999,0.9999,0.0,2021-05-13
0.9999,0.9999,0.9999,0.0,2021-05-14
0.9998,0.9998,0.9998,-0.00010001,2021-05-17
0.9998,0.9998,0.9998,0.0,2021-05-18
0.9998,0.9998,0.9998,0.0,2021-05-19
1.0001,1.0001,1.0001,0.00030006,2021-05-20
0.9993,0.9993,0.9993,-0.00079992,2021-05-21
1.001,1.001,1.001,0.0017011908,2021-05-24
1.004,1.004,1.004,0.002997003,2021-05-25
1.0033,1.0033,1.0033,-0.0006972112,2021-05-26
1.0063,1.0063,1.0063,0.0029901326,2021-05-27
1.0028,1.0028,1.0028,-0.003478088,2021-05-28
1.0058,1.0058,1.0058,0.0029916235,2021-05-31
1.0076,1.0076,1.0076,0.0017896202,2021-06-01
1.0031,1.0031,1.0031,-0.004466058,2021-06-02
0.9987,0.9987,0.9987,-0.0043864022,2021-06-03
0.9995,0.9995,0.9995,0.0008010414,2021-06-04
1.0008,1.0008,1.0008,0.0013006503,2021-06-07
0.9987,0.9987,0.9987,-0.0020983213,2021-06-08
0.9987,0.9987,0.9987,0.0,2021-06-09
1.0004,1.0004,1.0004,0.0017022129,2021-06-10
0.9948,0.9948,0.9948,-0.0055977609,2021-06-11
0.9893,0.9893,0.9893,-0.0055287495,2021-06-15
0.9799,0.9799,0.9799,-0.0095016678,2021-06-16
0.9816,0.9816,0.9816,0.0017348709,2021-06-17
0.9801,0.9801,0.9801,-0.0015281174,2021-06-18
0.9761,0.9761,0.9761,-0.0040812162,2021-06-21
0.9774,0.9774,0.9774,0.0013318308,2021-06-22
0.9834,0.9834,0.9834,0.0061387354,2021-06-23
0.9829,0.9829,0.9829,-0.0005084401,2021-06-24
0.9893,0.9893,0.9893,0.006511344,2021-06-25
0.9904,0.9904,0.9904,0.0011118973,2021-06-28
0.9864,0.9864,0.9864,-0.0040387722,2021-06-29
0.9928,0.9928,0.9928,0.0064882401,2021-06-30
0.9927,0.9927,0.9927,-0.0001007252,2021-07-01
0.9839,0.9839,0.9839,-0.0088647124,2021-07-02
