nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-03-23
1.0,1.0,1.0,0.0,2023-03-24
0.9998,0.9998,0.9998,-0.0002,2023-03-31
0.9998,0.9998,0.9998,0.0,2023-04-06
0.9998,0.9998,0.9998,0.0,2023-04-07
0.9998,0.9998,0.9998,0.0,2023-04-10
0.9998,0.9998,0.9998,0.0,2023-04-11
0.9995,0.9995,0.9995,-0.00030006,2023-04-12
0.9974,0.9974,0.9974,-0.0021010505,2023-04-13
0.9986,0.9986,0.9986,0.0012031281,2023-04-14
1.0042,1.0042,1.0042,0.005607851,2023-04-17
1.0068,1.0068,1.0068,0.0025891257,2023-04-18
1.0011,1.0011,1.0011,-0.0056615018,2023-04-19
0.9972,0.9972,0.9972,-0.0038957147,2023-04-21
0.9828,0.9828,0.9828,-0.0144404332,2023-04-24
0.9701,0.9701,0.9701,-0.0129222629,2023-04-25
0.9692,0.9692,0.9692,-0.0009277394,2023-04-26
0.967,0.967,0.967,-0.0022699133,2023-04-28
0.9477,0.9477,0.9477,-0.019958635,2023-05-04
0.9448,0.9448,0.9448,-0.0030600401,2023-05-05
0.9564,0.9564,0.9564,0.0122777307,2023-05-08
0.9479,0.9479,0.9479,-0.0088874948,2023-05-09
0.9478,0.9478,0.9478,-0.0001054964,2023-05-10
0.9471,0.9471,0.9471,-0.0007385524,2023-05-11
0.9349,0.9349,0.9349,-0.0128814275,2023-05-12
0.9489,0.9489,0.9489,0.0149748636,2023-05-15
0.9456,0.9456,0.9456,-0.003477711,2023-05-16
0.9446,0.9446,0.9446,-0.0010575296,2023-05-17
0.9448,0.9448,0.9448,0.0002117298,2023-05-19
0.9497,0.9497,0.9497,0.0051862828,2023-05-22
0.9384,0.9384,0.9384,-0.0118984943,2023-05-23
0.93,0.93,0.93,-0.0089514066,2023-05-24
0.9292,0.9292,0.9292,-0.0008602151,2023-05-26
0.9243,0.9243,0.9243,-0.0052733534,2023-05-29
0.9231,0.9231,0.9231,-0.0012982798,2023-05-30
0.9176,0.9176,0.9176,-0.0059581844,2023-05-31
0.9319,0.9319,0.9319,0.0155841325,2023-06-02
0.9275,0.9275,0.9275,-0.0047215366,2023-06-05
0.9267,0.9267,0.9267,-0.0008625337,2023-06-09
0.9473,0.9473,0.9473,0.0222294162,2023-06-16
0.9206,0.9206,0.9206,-0.0281853689,2023-06-21
0.9252,0.9252,0.9252,0.0049967413,2023-06-30
0.9176,0.9176,0.9176,-0.0082144401,2023-07-07
0.9377,0.9377,0.9377,0.0219049695,2023-07-14
0.9212,0.9212,0.9212,-0.0175962461,2023-07-21
0.9663,0.9663,0.9663,0.048957881,2023-07-28
0.9794,0.9794,0.9794,0.0135568664,2023-07-31
0.9821,0.9821,0.9821,0.0027567899,2023-08-04
0.9356,0.9356,0.9356,-0.0473475206,2023-08-11
0.9019,0.9019,0.9019,-0.0360196665,2023-08-18
0.8767,0.8767,0.8767,-0.0279410134,2023-08-25
0.8922,0.8922,0.8922,0.0176799361,2023-08-31
0.9023,0.9023,0.9023,0.0113203318,2023-09-01
0.8946,0.8946,0.8946,-0.0085337471,2023-09-08
0.891,0.891,0.891,-0.0040241449,2023-09-15
0.8973,0.8973,0.8973,0.0070707071,2023-09-22
0.8921,0.8921,0.8921,-0.0057951633,2023-09-28
0.8918,0.8918,0.8918,-0.0003362852,2023-10-13
0.8573,0.8573,0.8573,-0.038685804,2023-10-20
0.8672,0.8672,0.8672,0.0115478829,2023-10-27
0.865,0.865,0.865,-0.0025369004,2023-10-31
0.8579,0.8579,0.8579,-0.0082080925,2023-11-03
0.8611,0.8611,0.8611,0.0037300385,2023-11-10
0.8562,0.8562,0.8562,-0.005690396,2023-11-17
0.8501,0.8501,0.8501,-0.0071245036,2023-11-24
0.8433,0.8433,0.8433,-0.0079990589,2023-11-30
0.8433,0.8433,0.8433,0.0,2023-12-01
0.8402,0.8402,0.8402,-0.0036760346,2023-12-08
0.8393,0.8393,0.8393,-0.0010711735,2023-12-15
0.8435,0.8435,0.8435,0.0050041701,2023-12-22
0.8462,0.8462,0.8462,0.0032009484,2023-12-29
0.8497,0.8497,0.8497,0.004136138,2024-01-05
0.8516,0.8516,0.8516,0.0022360833,2024-01-12
0.8535,0.8535,0.8535,0.0022310944,2024-01-19
0.8672,0.8672,0.8672,0.0160515524,2024-01-26
0.8815,0.8815,0.8815,0.0164898524,2024-01-31
0.8823,0.8823,0.8823,0.000907544,2024-02-02
0.889,0.889,0.889,0.007593789,2024-02-08
0.8989,0.8989,0.8989,0.011136108,2024-02-23
0.9274,0.9274,0.9274,0.0317054177,2024-02-29
0.9277,0.9277,0.9277,0.000323485,2024-03-01
0.9281,0.9281,0.9281,0.0004311739,2024-03-08
0.927,0.927,0.927,-0.0011852171,2024-03-15
0.9303,0.9303,0.9303,0.0035598706,2024-03-22
0.9309,0.9309,0.9309,0.0006449532,2024-03-29
0.9337,0.9337,0.9337,0.0030078419,2024-04-03
0.9458,0.9458,0.9458,0.0129591946,2024-04-12
0.9501,0.9501,0.9501,0.0045464157,2024-04-19
0.9549,0.9549,0.9549,0.0050520998,2024-04-26
0.9537,0.9537,0.9537,-0.0012566761,2024-04-30
0.9556,0.9556,0.9556,0.0019922407,2024-05-10
0.9561,0.9561,0.9561,0.0005232315,2024-05-17
0.9576,0.9576,0.9576,0.0015688735,2024-05-24
0.9597,0.9597,0.9597,0.0021929825,2024-05-31
0.9629,0.9629,0.9629,0.0033343753,2024-06-07
0.9633,0.9633,0.9633,0.0004154118,2024-06-14
0.9639,0.9639,0.9639,0.0006228589,2024-06-21
0.9644,0.9644,0.9644,0.000518726,2024-06-28
0.9648,0.9648,0.9648,0.0004147657,2024-07-05
0.9652,0.9652,0.9652,0.0004145937,2024-07-10
0.9652,0.9652,0.9652,0.0,2024-07-11
0.9653,0.9653,0.9653,0.0001036055,2024-07-12
0.9655,0.9655,0.9655,0.0002071895,2024-07-15
0.9656,0.9656,0.9656,0.0001035733,2024-07-16
0.9657,0.9657,0.9657,0.0001035626,2024-07-17
0.9657,0.9657,0.9657,0.0,2024-07-18
