nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-10-27
1.0,1.0,1.0,0.0,2025-10-31
1.0001,1.0001,1.0001,0.0001,2025-11-07
1.0001,1.0001,1.0001,0.0,2025-11-14
1.0001,1.0001,1.0001,0.0,2025-11-21
1.0015,1.0015,1.0015,0.00139986,2025-11-28
1.0065,1.0065,1.0065,0.0049925112,2025-12-05
1.0066,1.0066,1.0066,9.93542e-05,2025-12-12
0.9925,0.9925,0.9925,-0.0140075502,2025-12-19
1.015,1.015,1.015,0.0226700252,2025-12-26
1.0039,1.0039,1.0039,-0.0109359606,2025-12-31
1.0487,1.0487,1.0487,0.0446259588,2026-01-09
1.0859,1.0859,1.0859,0.0354724897,2026-01-16
1.0958,1.0958,1.0958,0.0091168616,2026-01-23
1.1019,1.1019,1.1019,0.0055667093,2026-01-30
1.0713,1.0713,1.0713,-0.0277702151,2026-02-06
1.0796,1.0796,1.0796,0.0077475964,2026-02-13
1.0669,1.0669,1.0669,-0.0117636162,2026-02-27
1.0165,1.0165,1.0165,-0.0472396663,2026-03-06
1.0462,1.0462,1.0462,0.0292179046,2026-03-13
1.0168,1.0168,1.0168,-0.0281017014,2026-03-20
1.0231,1.0231,1.0231,0.0061959087,2026-03-27
0.9974,0.9974,0.9974,-0.0251197341,2026-03-31
0.9895,0.9895,0.9895,-0.0079205935,2026-04-03
1.0633,1.0633,1.0633,0.0745831228,2026-04-10
1.1127,1.1127,1.1127,0.0464591367,2026-04-17
1.1006,1.1006,1.1006,-0.0108744495,2026-04-24
1.0831,1.0831,1.0831,-0.015900418,2026-04-30
1.1219,1.1219,1.1219,0.0358231004,2026-05-08
1.0955,1.0955,1.0955,-0.023531509,2026-05-15
1.093,1.093,1.093,-0.002282063,2026-05-22
