nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2024-07-19
1.0001,1.0001,1.0001,0.0,2024-07-26
1.0,1.0,1.0,-9.999e-05,2024-07-31
1.0,1.0,1.0,0.0,2024-08-02
1.0013,1.0013,1.0013,0.0013,2024-08-09
1.0036,1.0036,1.0036,0.0022970139,2024-08-16
1.0011,1.0011,1.0011,-0.0024910323,2024-08-23
1.0021,1.0021,1.0021,0.0009989012,2024-08-30
0.9943,0.9943,0.9943,-0.0077836543,2024-09-06
0.9848,0.9848,0.9848,-0.0095544604,2024-09-13
0.9911,0.9911,0.9911,0.006397238,2024-09-20
1.0389,1.0389,1.0389,0.0482292402,2024-09-27
1.0632,1.0632,1.0632,0.0233901242,2024-09-30
1.0496,1.0496,1.0496,-0.0127915726,2024-10-11
1.0476,1.0476,1.0476,-0.0019054878,2024-10-18
1.0475,1.0475,1.0475,-9.54563e-05,2024-10-25
1.0355,1.0355,1.0355,-0.0114558473,2024-10-31
1.0431,1.0431,1.0431,0.0073394495,2024-11-01
1.0481,1.0481,1.0481,0.0047934043,2024-11-08
1.0317,1.0317,1.0317,-0.0156473619,2024-11-15
1.0206,1.0206,1.0206,-0.0107589416,2024-11-22
1.0169,1.0169,1.0169,-0.0036253184,2024-11-29
1.0368,1.0368,1.0368,0.0195692792,2024-12-06
1.0337,1.0337,1.0337,-0.0029899691,2024-12-13
1.0297,1.0297,1.0297,-0.0038695947,2024-12-20
1.0337,1.0337,1.0337,0.0038846266,2024-12-27
1.0344,1.0344,1.0344,0.0006771791,2024-12-31
1.0224,1.0224,1.0224,-0.0116009281,2025-01-03
0.9927,0.9927,0.9927,-0.0290492958,2025-01-10
1.011,1.011,1.011,0.0184345724,2025-01-17
1.0127,1.0127,1.0127,0.0016815035,2025-01-24
1.02,1.02,1.02,0.0072084527,2025-01-27
1.0356,1.0356,1.0356,0.0152941176,2025-02-07
1.0544,1.0544,1.0544,0.0181537273,2025-02-14
1.0653,1.0653,1.0653,0.0103376328,2025-02-21
1.0487,1.0487,1.0487,-0.015582465,2025-02-28
1.0706,1.0706,1.0706,0.020882998,2025-03-07
1.0915,1.0915,1.0915,0.0195217635,2025-03-14
1.0885,1.0885,1.0885,-0.0027485112,2025-03-21
1.0903,1.0903,1.0903,0.0016536518,2025-03-28
1.082,1.082,1.082,-0.0076125837,2025-03-31
1.0906,1.0906,1.0906,0.007948244,2025-04-03
1.0515,1.0515,1.0515,-0.0358518247,2025-04-11
1.0668,1.0668,1.0668,0.0145506419,2025-04-18
1.0738,1.0738,1.0738,0.0065616798,2025-04-25
1.0651,1.0651,1.0651,-0.0081020674,2025-04-30
1.0858,1.0858,1.0858,0.0194347949,2025-05-09
1.1037,1.1037,1.1037,0.0164855406,2025-05-16
1.108,1.108,1.108,0.0038959862,2025-05-23
1.102,1.102,1.102,-0.0054151625,2025-05-30
1.0059,1.1059,1.1059,0.00353902,2025-06-04
1.0056,1.1056,1.10557018,-0.0002982404,2025-06-06
1.0075,1.1075,1.10765906,0.0018894193,2025-06-13
0.9992,1.0992,1.09853393,-0.0082382134,2025-06-20
1.017,1.117,1.11810349,0.0178142514,2025-06-27
1.0174,1.1174,1.11854325,0.0003933137,2025-06-30
1.0211,1.1211,1.12261108,0.0036367211,2025-07-04
1.0324,1.1324,1.13503446,0.0110664969,2025-07-11
1.0433,1.1433,1.14701806,0.0105579233,2025-07-18
1.0693,1.1693,1.17560281,0.024920924,2025-07-25
1.0547,1.1547,1.15955138,-0.0136537922,2025-07-31
1.0529,1.1529,1.15757243,-0.0017066464,2025-08-01
1.0695,1.1695,1.1758227,0.0157659797,2025-08-08
1.0844,1.1844,1.19220396,0.0139317438,2025-08-15
1.094,1.194,1.20275833,0.0088528218,2025-08-22
1.0928,1.1928,1.20143903,-0.0010968921,2025-08-29
1.1087,1.2087,1.2189197,0.0145497804,2025-09-05
1.124,1.224,1.23574073,0.0137999459,2025-09-12
1.1244,1.2244,1.2361805,0.0003558719,2025-09-19
1.1274,1.2274,1.23947874,0.0026680896,2025-09-26
1.129,1.229,1.2412378,0.0014191946,2025-09-30
1.1311,1.2311,1.24354657,0.0018600531,2025-10-10
1.1211,1.2211,1.23255243,-0.0088409513,2025-10-17
1.163,1.263,1.27861785,0.0373740077,2025-10-24
1.1716,1.2716,1.28807281,0.007394669,2025-10-31
1.2024,1.3024,1.32193475,0.0262888358,2025-11-07
1.2173,1.3173,1.33831601,0.0123918829,2025-11-14
1.1815,1.2815,1.298957,-0.0294093486,2025-11-21
1.1928,1.2928,1.31138038,0.0095641134,2025-11-28
1.2226,1.3226,1.3441429,0.0249832327,2025-12-05
1.203,1.303,1.32259439,-0.0160314085,2025-12-12
1.1967,1.2967,1.31566809,-0.0052369077,2025-12-19
1.1946,1.2946,1.31335932,-0.0017548258,2025-12-26
1.1768,1.2768,1.29378976,-0.0149003851,2025-12-31
1.1962,1.2962,1.31511838,0.0164853841,2026-01-09
1.1793,1.2793,1.29653829,-0.0141280722,2026-01-16
1.1715,1.2715,1.28796287,-0.0066140931,2026-01-23
1.1974,1.2974,1.31643768,0.022108408,2026-01-30
1.1723,1.2723,1.2888424,-0.0209620845,2026-02-06
1.1641,1.2641,1.27982721,-0.0069947966,2026-02-13
1.1576,1.2576,1.27268102,-0.0055837127,2026-02-27
1.1667,1.2667,1.28268568,0.0078610919,2026-03-06
1.1903,1.2903,1.30863184,0.0202279935,2026-03-13
1.1586,1.2586,1.27378044,-0.0266319415,2026-03-20
1.1407,1.2407,1.25410093,-0.0154496806,2026-03-27
1.1279,1.2279,1.24002844,-0.01122118,2026-04-03
1.1471,1.2471,1.26113718,0.0170227857,2026-04-08
1.142,1.242,1.25553017,-0.0044459942,2026-04-09
1.1433,1.2433,1.25695941,0.0011383538,2026-04-10
1.1319,1.2319,1.2444261,-0.0099711362,2026-04-13
1.143,1.243,1.25662959,0.00980652,2026-04-14
1.1413,1.2413,1.25476058,-0.0014873141,2026-04-15
1.1567,1.2567,1.27169155,0.0134933847,2026-04-16
1.1555,1.2555,1.27037225,-0.0010374341,2026-04-17
1.1626,1.2626,1.27817809,0.0061445262,2026-04-20
1.1602,1.2602,1.2755395,-0.0020643386,2026-04-21
1.1531,1.2531,1.26773366,-0.0061196345,2026-04-22
1.1533,1.2533,1.26795354,0.0001734455,2026-04-23
1.1492,1.2492,1.26344595,-0.003555016,2026-04-24
1.1479,1.2479,1.26201671,-0.0011312217,2026-04-27
1.1497,1.2497,1.26399566,0.0015680808,2026-04-28
1.1714,1.2714,1.28785293,0.018874489,2026-04-29
1.1601,1.2601,1.27542956,-0.0096465767,2026-04-30
1.1585,1.2585,1.27367049,-0.0013791914,2026-05-06
1.1615,1.2615,1.27696873,0.0025895555,2026-05-07
1.1632,1.2632,1.27883774,0.0014636246,2026-05-08
1.1649,1.2649,1.28070674,0.0014614856,2026-05-11
1.1606,1.2606,1.27597926,-0.003691304,2026-05-12
1.1557,1.2557,1.27059214,-0.0042219542,2026-05-13
1.1495,1.2495,1.26377577,-0.005364714,2026-05-14
1.1366,1.2366,1.24959334,-0.0112222706,2026-05-15
1.1403,1.2403,1.25366117,0.0032553229,2026-05-18
1.147,1.247,1.26102724,0.0058756468,2026-05-19
1.1405,1.2405,1.25388105,-0.0056669573,2026-05-20
1.1234,1.2234,1.23508108,-0.0149934239,2026-05-21
1.1235,1.2235,1.23519102,8.90155e-05,2026-05-22
1.1286,1.2286,1.24079803,0.0045393858,2026-05-25
1.1265,1.2265,1.23848926,-0.0018607124,2026-05-26
1.112,1.212,1.22254777,-0.0128717266,2026-05-27
