nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-11-16
1.0082,1.0082,1.0082,0.0082,2023-12-01
0.98,0.98,0.98,-0.0279706407,2023-12-08
0.9701,0.9701,0.9701,-0.0101020408,2023-12-15
0.9564,0.9564,0.9564,-0.0141222554,2023-12-22
0.9362,0.9362,0.9362,-0.0211208699,2023-12-29
0.907,0.907,0.907,-0.0311899167,2024-01-05
0.8935,0.8935,0.8935,-0.0148842337,2024-01-12
0.9139,0.9139,0.9139,0.0228315613,2024-01-19
0.9567,0.9567,0.9567,0.0468322574,2024-01-26
0.9353,0.9353,0.9353,-0.0223685586,2024-02-02
0.9187,0.9187,0.9187,-0.017748316,2024-02-23
0.9611,0.9611,0.9611,0.0461521715,2024-03-01
0.9626,0.9626,0.9626,0.0015607117,2024-03-08
1.009,1.009,1.009,0.0482027841,2024-03-15
1.0077,1.0077,1.0077,-0.0012884044,2024-03-22
0.9328,0.9328,0.9328,-0.0743276769,2024-03-29
0.9225,0.9225,0.9225,-0.011042024,2024-04-03
0.8822,0.8822,0.8822,-0.0436856369,2024-04-12
0.8821,0.8821,0.8821,-0.000113353,2024-04-19
0.8756,0.8756,0.8756,-0.007368779,2024-04-26
0.8848,0.8848,0.8848,0.0105070809,2024-04-30
0.9313,0.9313,0.9313,0.0525542495,2024-05-10
0.9244,0.9244,0.9244,-0.0074089982,2024-05-17
0.8783,0.8783,0.8783,-0.0498701861,2024-05-24
0.8773,0.8773,0.8773,-0.0011385631,2024-05-31
0.8827,0.8827,0.8827,0.0061552491,2024-06-07
0.8607,0.8607,0.8607,-0.0249235301,2024-06-14
0.8566,0.8566,0.8566,-0.0047635645,2024-06-21
0.7846,0.7846,0.7846,-0.0840532337,2024-06-28
0.7839,0.7839,0.7839,-0.0008921744,2024-07-05
0.7941,0.7941,0.7941,0.0130118638,2024-07-12
0.7816,0.7816,0.7816,-0.0157410905,2024-07-19
0.7785,0.7785,0.7785,-0.0039662231,2024-07-26
0.7764,0.7764,0.7764,-0.0026974952,2024-07-31
0.775,0.775,0.775,-0.0018031942,2024-08-02
0.7693,0.7693,0.7693,-0.0073548387,2024-08-09
0.7722,0.7722,0.7722,0.0037696607,2024-08-16
0.7691,0.7691,0.7691,-0.004014504,2024-08-23
0.7632,0.7632,0.7632,-0.0076713041,2024-08-30
0.7658,0.7658,0.7658,0.0034067086,2024-09-06
0.7641,0.7641,0.7641,-0.0022199008,2024-09-13
0.7637,0.7637,0.7637,-0.0005234917,2024-09-20
0.8213,0.8213,0.8213,0.0754222862,2024-09-27
0.8095,0.8095,0.8095,-0.0143674662,2024-09-30
0.7364,0.7364,0.7364,-0.090302656,2024-10-11
0.7392,0.7392,0.7392,0.0038022814,2024-10-18
0.7389,0.7389,0.7389,-0.0004058442,2024-10-25
0.8386,0.8386,0.8386,0.1349303018,2024-10-31
0.8123,0.8123,0.8123,-0.0313617935,2024-11-01
0.8617,0.8617,0.8617,0.0608149698,2024-11-08
0.8273,0.8273,0.8273,-0.0399210862,2024-11-15
0.8703,0.8703,0.8703,0.0519763085,2024-11-22
0.8414,0.8414,0.8414,-0.0332069401,2024-11-29
0.8714,0.8714,0.8714,0.0356548609,2024-12-06
0.9335,0.9335,0.9335,0.0712646316,2024-12-13
0.8474,0.8474,0.8474,-0.0922335297,2024-12-20
0.8595,0.8595,0.8595,0.014278971,2024-12-27
0.8175,0.8175,0.8175,-0.0488656195,2024-12-31
0.7878,0.7878,0.7878,-0.0363302752,2025-01-03
0.7912,0.7912,0.7912,0.0043158162,2025-01-10
0.777,0.777,0.777,-0.0179474216,2025-01-17
0.7922,0.7922,0.7922,0.0195624196,2025-01-24
0.7704,0.7704,0.7704,-0.0275183035,2025-01-27
0.8,0.8,0.8,0.0384215992,2025-02-07
0.8165,0.8165,0.8165,0.020625,2025-02-14
0.8434,0.8434,0.8434,0.0329454991,2025-02-21
0.8397,0.8397,0.8397,-0.004387005,2025-02-28
0.8814,0.8814,0.8814,0.0496605931,2025-03-07
0.8997,0.8997,0.8997,0.0207624234,2025-03-14
0.8952,0.8952,0.8952,-0.0050016672,2025-03-21
0.8394,0.8394,0.8394,-0.0623324397,2025-03-28
0.8444,0.8444,0.8444,0.0059566357,2025-03-31
0.8796,0.8796,0.8796,0.0416864045,2025-04-03
0.8168,0.8168,0.8168,-0.0713960891,2025-04-11
0.856,0.856,0.856,0.0479921645,2025-04-18
