nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-11-11
1.0,1.0,1.0,0.0,2021-11-12
0.9998,0.9998,0.9998,-0.0002,2021-11-19
0.9992,0.9992,0.9992,-0.00060012,2021-11-26
0.9739,0.9739,0.9739,-0.0253202562,2021-11-30
1.0204,1.0204,1.0204,0.0477461752,2021-12-03
1.0023,1.0023,1.0023,-0.0177381419,2021-12-10
1.0469,1.0469,1.0469,0.0444976554,2021-12-17
1.04,1.04,1.04,-0.0065908874,2021-12-24
1.0212,1.0212,1.0212,-0.0180769231,2021-12-31
1.0708,1.0708,1.0708,0.0485703094,2022-01-07
1.079,1.079,1.079,0.0076578259,2022-01-14
1.1002,1.1002,1.1002,0.0196478221,2022-01-21
1.0618,1.0618,1.0618,-0.034902745,2022-01-28
1.1457,1.1457,1.1457,0.079016764,2022-02-11
1.1432,1.1432,1.1432,-0.0021820721,2022-02-18
1.1047,1.1047,1.1047,-0.0336773968,2022-02-25
1.1044,1.1044,1.1044,-0.0002715669,2022-02-28
1.1166,1.1166,1.1166,0.0110467222,2022-03-04
1.0457,1.0457,1.0457,-0.0634963281,2022-03-11
1.0374,1.0374,1.0374,-0.0079372669,2022-03-18
1.053,1.053,1.053,0.015037594,2022-03-25
1.0592,1.0592,1.0592,0.0058879392,2022-03-31
1.0634,1.0634,1.0634,0.0039652568,2022-04-01
1.0899,1.0899,1.0899,0.0249200677,2022-04-08
1.0879,1.0879,1.0879,-0.0018350307,2022-04-15
1.0599,1.0599,1.0599,-0.0257376597,2022-04-22
1.0753,1.0753,1.0753,0.0145296726,2022-04-29
1.0501,1.0501,1.0501,-0.0234353204,2022-05-06
1.0671,1.0671,1.0671,0.0161889344,2022-05-13
1.1039,1.1039,1.1039,0.0344859901,2022-05-20
1.122,1.122,1.122,0.0163964127,2022-05-27
1.1269,1.1269,1.1269,0.0043672014,2022-05-31
1.1241,1.1241,1.1241,-0.0024846925,2022-06-02
1.1224,1.1224,1.1224,-0.001512321,2022-06-10
1.0922,1.0922,1.0922,-0.0269066287,2022-06-17
1.0815,1.0815,1.0815,-0.0097967405,2022-06-24
1.093,1.093,1.093,0.0106333796,2022-06-30
1.0929,1.0929,1.0929,-9.14913e-05,2022-07-01
1.0842,1.0842,1.0842,-0.0079604721,2022-07-08
1.0549,1.0549,1.0549,-0.0270245342,2022-07-15
1.0764,1.0764,1.0764,0.0203810788,2022-07-22
1.0628,1.0628,1.0628,-0.0126347083,2022-07-29
1.0371,1.0371,1.0371,-0.0241814076,2022-08-05
1.0466,1.0466,1.0466,0.0091601581,2022-08-12
1.0506,1.0506,1.0506,0.0038218995,2022-08-19
1.0777,1.0777,1.0777,0.0257947839,2022-08-26
1.074,1.074,1.074,-0.0034332375,2022-08-31
1.0603,1.0603,1.0603,-0.0127560521,2022-09-02
1.0774,1.0774,1.0774,0.0161275111,2022-09-09
1.0557,1.0557,1.0557,-0.0201410804,2022-09-16
1.0511,1.0511,1.0511,-0.0043572985,2022-09-23
1.0051,1.0051,1.0051,-0.0437636761,2022-09-30
1.0138,1.0138,1.0138,0.0086558551,2022-10-14
1.0336,1.0336,1.0336,0.0195304794,2022-10-21
0.9845,0.9845,0.9845,-0.04750387,2022-10-28
0.9585,0.9585,0.9585,-0.0264093448,2022-10-31
1.0256,1.0256,1.0256,0.0700052165,2022-11-04
1.064,1.064,1.064,0.0374414977,2022-11-11
1.0737,1.0737,1.0737,0.0091165414,2022-11-18
1.1087,1.1087,1.1087,0.0325975598,2022-11-25
1.1403,1.1403,1.1403,0.028501849,2022-11-30
1.12,1.12,1.12,-0.0178023327,2022-12-02
1.1484,1.1484,1.1484,0.0253571429,2022-12-09
1.1522,1.1522,1.1522,0.0033089516,2022-12-16
1.1264,1.1264,1.1264,-0.0223919458,2022-12-23
1.1322,1.1322,1.1322,0.0051491477,2022-12-30
1.1472,1.1472,1.1472,0.0132485427,2023-01-06
1.1639,1.1639,1.1639,0.0145571827,2023-01-13
1.1877,1.1877,1.1877,0.0204484921,2023-01-20
1.176,1.176,1.176,-0.0098509725,2023-01-31
1.1757,1.1757,1.1757,-0.000255102,2023-02-03
1.1785,1.1785,1.1785,0.0023815599,2023-02-10
1.2027,1.2027,1.2027,0.0205345779,2023-02-17
1.2157,1.2157,1.2157,0.0108090131,2023-02-24
1.2154,1.2154,1.2154,-0.0002467714,2023-02-28
1.2721,1.2721,1.2721,0.0466513082,2023-03-03
1.2626,1.2626,1.2626,-0.0074679664,2023-03-10
1.308,1.308,1.308,0.0359575479,2023-03-17
1.2709,1.2709,1.2709,-0.0283639144,2023-03-24
1.2938,1.2938,1.2938,0.0180187269,2023-03-31
1.3185,1.3185,1.3185,0.0190910496,2023-04-07
1.3783,1.3783,1.3783,0.0453545696,2023-04-14
1.4,1.4,1.4,0.0157440325,2023-04-21
1.4563,1.4563,1.4563,0.0402142857,2023-04-28
