nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-07-05
0.9999,0.9999,0.9999,-0.0001,2023-07-07
0.9998,0.9998,0.9998,-0.00010001,2023-07-14
0.9997,0.9997,0.9997,-0.00010002,2023-07-21
0.9946,0.9946,0.9946,-0.0051015305,2023-07-28
0.9854,0.9854,0.9854,-0.0092499497,2023-08-04
0.9616,0.9616,0.9616,-0.0241526284,2023-08-11
0.9549,0.9549,0.9549,-0.0069675541,2023-08-18
0.95,0.95,0.95,-0.0051314274,2023-08-25
0.965,0.965,0.965,0.0157894737,2023-09-01
0.9725,0.9725,0.9725,0.0077720207,2023-09-08
0.9809,0.9809,0.9809,0.0086375321,2023-09-15
0.9907,0.9907,0.9907,0.0099908248,2023-09-22
0.9645,0.9645,0.9645,-0.0264459473,2023-10-13
0.9289,0.9289,0.9289,-0.0369103162,2023-10-20
0.9483,0.9483,0.9483,0.0208849176,2023-10-27
0.9564,0.9564,0.9564,0.0085416008,2023-11-03
0.9273,0.9273,0.9273,-0.0304265997,2023-11-10
0.9387,0.9387,0.9387,0.0122937561,2023-11-17
0.9461,0.9461,0.9461,0.0078832428,2023-11-24
0.9275,0.9275,0.9275,-0.0196596554,2023-12-01
0.92,0.92,0.92,-0.0080862534,2023-12-08
0.9239,0.9239,0.9239,0.0042391304,2023-12-15
0.9218,0.9218,0.9218,-0.0022729733,2023-12-22
0.9613,0.9613,0.9613,0.0428509438,2023-12-29
0.9743,0.9743,0.9743,0.0135233538,2024-01-05
0.9795,0.9795,0.9795,0.0053371651,2024-01-12
0.9381,0.9381,0.9381,-0.0422664625,2024-01-19
0.9862,0.9862,0.9862,0.0512738514,2024-01-26
0.9751,0.9751,0.9751,-0.0112553235,2024-02-02
1.0527,1.0527,1.0527,0.0795815814,2024-02-23
1.054,1.054,1.054,0.0012349197,2024-03-01
1.092,1.092,1.092,0.0360531309,2024-03-08
1.091,1.091,1.091,-0.0009157509,2024-03-15
1.1067,1.1067,1.1067,0.0143904675,2024-03-22
1.1054,1.1054,1.1054,-0.0011746634,2024-03-29
1.1498,1.1498,1.1498,0.0401664556,2024-04-12
1.1749,1.1749,1.1749,0.0218298835,2024-04-19
1.1888,1.1888,1.1888,0.0118307941,2024-04-26
1.2483,1.2483,1.2483,0.0500504711,2024-05-10
1.2668,1.2668,1.2668,0.0148201554,2024-05-17
1.2628,1.2628,1.2628,-0.0031575624,2024-05-24
1.2789,1.2789,1.2789,0.0127494457,2024-05-31
1.3308,1.3308,1.3308,0.0405817499,2024-06-07
1.3165,1.3165,1.3165,-0.0107454163,2024-06-14
1.3338,1.3338,1.3338,0.0131409039,2024-06-21
1.3356,1.3356,1.3356,0.0013495277,2024-06-28
1.3494,1.3494,1.3494,0.0103324349,2024-07-05
1.3098,1.3098,1.3098,-0.0293463762,2024-07-12
1.2698,1.2698,1.2698,-0.0305390136,2024-07-19
1.2617,1.2617,1.2617,-0.0063789573,2024-07-26
1.2695,1.2695,1.2695,0.0061821352,2024-07-31
1.2767,1.2767,1.2767,0.0056715242,2024-08-02
1.2483,1.2483,1.2483,-0.02224485,2024-08-09
1.2827,1.2827,1.2827,0.0275574782,2024-08-16
1.2686,1.2686,1.2686,-0.0109924378,2024-08-23
1.2446,1.2446,1.2446,-0.0189184928,2024-08-30
1.2055,1.2055,1.2055,-0.0314157159,2024-09-06
1.1635,1.1635,1.1635,-0.0348403152,2024-09-13
1.1833,1.1833,1.1833,0.0170176193,2024-09-20
1.2697,1.2697,1.2697,0.0730161413,2024-09-27
1.2977,1.2977,1.2977,0.0220524533,2024-09-30
1.3487,1.3487,1.3487,0.0393003005,2024-10-11
1.3421,1.3421,1.3421,-0.0048936012,2024-10-18
1.3274,1.3274,1.3274,-0.0109529841,2024-10-25
1.2715,1.2715,1.2715,-0.0421124002,2024-10-31
1.2811,1.2811,1.2811,0.0075501376,2024-11-01
1.2898,1.2898,1.2898,0.006791039,2024-11-08
1.2754,1.2754,1.2754,-0.0111645216,2024-11-15
1.2541,1.2541,1.2541,-0.0167006429,2024-11-22
1.2674,1.2674,1.2674,0.0106052149,2024-11-29
1.3163,1.3163,1.3163,0.0385829257,2024-12-06
1.3425,1.3425,1.3425,0.0199042771,2024-12-13
1.3688,1.3688,1.3688,0.0195903166,2024-12-20
1.4075,1.4075,1.4075,0.0282729398,2024-12-27
1.4192,1.4192,1.4192,0.008312611,2024-12-31
1.3768,1.3768,1.3768,-0.0298759865,2025-01-03
1.3425,1.3425,1.3425,-0.0249128414,2025-01-10
1.353,1.353,1.353,0.0078212291,2025-01-17
1.3453,1.3453,1.3453,-0.0056910569,2025-01-24
1.3468,1.3468,1.3468,0.0011149929,2025-01-27
1.342,1.342,1.342,-0.0035640036,2025-02-07
1.3647,1.3647,1.3647,0.0169150522,2025-02-14
1.3652,1.3652,1.3652,0.0003663809,2025-02-21
1.3411,1.3411,1.3411,-0.0176530911,2025-02-28
1.3543,1.3543,1.3543,0.0098426665,2025-03-07
1.3752,1.3752,1.3752,0.0154323267,2025-03-14
1.3816,1.3816,1.3816,0.0046538685,2025-03-21
1.3919,1.3919,1.3919,0.0074551245,2025-03-28
1.3681,1.3681,1.3681,-0.0170989295,2025-03-31
1.3817,1.3817,1.3817,0.0099407938,2025-04-03
1.3165,1.3165,1.3165,-0.0471882464,2025-04-11
1.3407,1.3407,1.3407,0.0183820737,2025-04-18
1.347,1.347,1.347,0.0046990378,2025-04-25
1.3632,1.3632,1.3632,0.0120267261,2025-04-30
1.3687,1.3687,1.3687,0.0040346244,2025-05-09
1.3834,1.3834,1.3834,0.0107401184,2025-05-16
1.4081,1.4081,1.4081,0.0178545612,2025-05-23
1.4226,1.4226,1.4226,0.0102975641,2025-05-30
1.4407,1.4407,1.4407,0.0127231829,2025-06-06
1.4802,1.4802,1.4802,0.0274172277,2025-06-13
1.4564,1.4564,1.4564,-0.0160789083,2025-06-20
1.4656,1.4656,1.4656,0.0063169459,2025-06-27
1.464,1.464,1.464,-0.0010917031,2025-06-30
1.4894,1.4894,1.4894,0.0173497268,2025-07-04
1.5049,1.5049,1.5049,0.0104068753,2025-07-11
1.5148,1.5148,1.5148,0.0065785102,2025-07-18
1.5927,1.5927,1.5927,0.0514259308,2025-07-25
1.5826,1.5826,1.5826,-0.0063414328,2025-07-31
1.567,1.567,1.567,-0.009857197,2025-08-01
1.6157,1.6157,1.6157,0.0310784939,2025-08-08
1.6257,1.6257,1.6257,0.0061892678,2025-08-15
1.6477,1.6477,1.6477,0.0135326321,2025-08-22
1.6391,1.6391,1.6391,-0.0052193967,2025-08-29
1.6246,1.6246,1.6246,-0.0088463181,2025-09-05
1.6597,1.6597,1.6597,0.0216053182,2025-09-12
1.6363,1.6363,1.6363,-0.0140989335,2025-09-19
1.601,1.601,1.601,-0.0215730612,2025-09-26
1.6098,1.6098,1.6098,0.0054965646,2025-09-30
1.6323,1.6323,1.6323,0.0139768915,2025-10-10
1.6363,1.6363,1.6363,0.0024505299,2025-10-17
1.6733,1.6733,1.6733,0.0226119905,2025-10-24
1.6471,1.6471,1.6471,-0.0156576824,2025-10-31
1.6951,1.6951,1.6951,0.0291421286,2025-11-07
1.7101,1.7101,1.7101,0.0088490355,2025-11-14
1.6627,1.6627,1.6627,-0.0277176773,2025-11-21
1.6688,1.6688,1.6688,0.0036687316,2025-11-28
1.6889,1.6889,1.6889,0.0120445829,2025-12-05
1.6606,1.6606,1.6606,-0.0167564687,2025-12-12
1.6495,1.6495,1.6495,-0.006684331,2025-12-19
1.6401,1.6401,1.6401,-0.0056986966,2025-12-26
1.6145,1.6145,1.6145,-0.0156088043,2025-12-31
1.6424,1.6424,1.6424,0.0172808919,2026-01-09
1.641,1.641,1.641,-0.0008524111,2026-01-16
1.6504,1.6504,1.6504,0.0057282145,2026-01-23
1.6903,1.6903,1.6903,0.0241759573,2026-01-30
1.6964,1.6964,1.6964,0.0036088268,2026-02-06
1.685,1.685,1.685,-0.0067201132,2026-02-13
1.6839,1.6839,1.6839,-0.000652819,2026-02-27
1.6964,1.6964,1.6964,0.0074232437,2026-03-06
1.6873,1.6873,1.6873,-0.0053643009,2026-03-13
1.6557,1.6557,1.6557,-0.0187281456,2026-03-20
1.6443,1.6443,1.6443,-0.0068853053,2026-03-27
1.6283,1.6283,1.6283,-0.0097305844,2026-04-03
1.6501,1.6501,1.6501,0.0133881963,2026-04-10
1.6334,1.6334,1.6334,-0.0101205988,2026-04-17
1.653,1.653,1.653,0.0119995102,2026-04-24
1.6588,1.6588,1.6588,0.0035087719,2026-04-30
1.6503,1.6503,1.6503,-0.0051241862,2026-05-08
1.6538,1.6538,1.6538,0.0021208265,2026-05-15
1.6169,1.6169,1.6169,-0.0223122506,2026-05-22
