nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-10-16
0.9999,0.9999,0.9999,-0.0001,2023-10-20
0.9998,0.9998,0.9998,-0.00010001,2023-10-27
0.9998,0.9998,0.9998,0.0,2023-10-31
0.9997,0.9997,0.9997,-0.00010002,2023-11-03
0.9996,0.9996,0.9996,-0.00010003,2023-11-10
0.9995,0.9995,0.9995,-0.00010004,2023-11-17
0.9993,0.9993,0.9993,-0.0002001001,2023-11-24
0.9992,0.9992,0.9992,-0.00010007,2023-11-30
0.9992,0.9992,0.9992,0.0,2023-12-01
0.9991,0.9991,0.9991,-0.0001000801,2023-12-08
0.999,0.999,0.999,-0.0001000901,2023-12-15
0.9885,0.9885,0.9885,-0.0105105105,2023-12-22
0.9818,0.9818,0.9818,-0.0067779464,2023-12-29
0.9779,0.9779,0.9779,-0.0039722958,2024-01-05
0.9784,0.9784,0.9784,0.0005112997,2024-01-12
0.9837,0.9837,0.9837,0.0054170074,2024-01-19
0.9924,0.9924,0.9924,0.0088441598,2024-01-26
0.9973,0.9973,0.9973,0.0049375252,2024-01-31
0.9983,0.9983,0.9983,0.0010027073,2024-02-02
1.0044,1.0044,1.0044,0.0061103877,2024-02-08
1.0157,1.0157,1.0157,0.0112504978,2024-02-23
1.0166,1.0166,1.0166,0.0008860884,2024-02-29
1.0161,1.0161,1.0161,-0.0004918355,2024-03-01
1.0243,1.0243,1.0243,0.0080700718,2024-03-08
1.0338,1.0338,1.0338,0.0092746266,2024-03-15
1.0459,1.0459,1.0459,0.0117043916,2024-03-22
1.0583,1.0583,1.0583,0.011855818,2024-03-29
1.0605,1.0605,1.0605,0.0020788056,2024-04-03
1.0718,1.0718,1.0718,0.0106553512,2024-04-12
1.0733,1.0733,1.0733,0.0013995148,2024-04-19
1.0729,1.0729,1.0729,-0.0003726824,2024-04-26
1.0734,1.0734,1.0734,0.0004660267,2024-04-30
1.0779,1.0779,1.0779,0.0041922862,2024-05-10
1.0854,1.0854,1.0854,0.0069579738,2024-05-17
1.1041,1.1041,1.1041,0.0172286715,2024-05-24
1.1092,1.1092,1.1092,0.0046191468,2024-05-31
1.1094,1.1094,1.1094,0.0001803101,2024-06-07
1.1104,1.1104,1.1104,0.0009013881,2024-06-14
1.1131,1.1131,1.1131,0.0024315562,2024-06-21
1.1141,1.1141,1.1141,0.0008983919,2024-06-28
1.1183,1.1183,1.1183,0.0037698591,2024-07-05
1.1216,1.1216,1.1216,0.0029509076,2024-07-12
1.1242,1.1242,1.1242,0.002318117,2024-07-19
1.1268,1.1268,1.1268,0.0023127557,2024-07-26
1.1267,1.1267,1.1267,-8.87469e-05,2024-07-31
1.1272,1.1272,1.1272,0.0004437739,2024-08-02
1.127,1.127,1.127,-0.0001774308,2024-08-09
1.1266,1.1266,1.1266,-0.0003549246,2024-08-16
1.1237,1.1237,1.1237,-0.0025741168,2024-08-23
1.1265,1.1265,1.1265,0.0024917683,2024-08-30
1.1275,1.1275,1.1275,0.0008877053,2024-09-06
1.1257,1.1257,1.1257,-0.0015964523,2024-09-13
1.1268,1.1268,1.1268,0.0009771698,2024-09-20
1.1374,1.1374,1.1374,0.0094071707,2024-09-27
1.1454,1.1454,1.1454,0.0070335854,2024-09-30
1.1399,1.1399,1.1399,-0.004801816,2024-10-11
1.1514,1.1514,1.1514,0.0100886043,2024-10-18
1.1596,1.1596,1.1596,0.0071217648,2024-10-25
1.1571,1.1571,1.1571,-0.0021559158,2024-10-31
1.1562,1.1562,1.1562,-0.0007778066,2024-11-01
1.1646,1.1646,1.1646,0.007265179,2024-11-08
1.1636,1.1636,1.1636,-0.0008586639,2024-11-15
1.1652,1.1652,1.1652,0.001375043,2024-11-22
1.1695,1.1695,1.1695,0.0036903536,2024-11-29
1.1725,1.1725,1.1725,0.0025651988,2024-12-06
1.182,1.182,1.182,0.0081023454,2024-12-13
1.1805,1.1805,1.1805,-0.0012690355,2024-12-20
1.1825,1.1825,1.1825,0.0016941974,2024-12-27
1.1832,1.1832,1.1832,0.0005919662,2024-12-31
1.1842,1.1842,1.1842,0.0008451657,2025-01-03
1.1835,1.1835,1.1835,-0.0005911164,2025-01-10
1.1622,1.1622,1.1622,-0.0179974651,2025-01-17
1.1704,1.1704,1.1704,0.0070555842,2025-01-24
1.1855,1.1855,1.1855,0.0129015721,2025-01-27
1.2031,1.2031,1.2031,0.0148460565,2025-02-07
1.2297,1.2297,1.2297,0.0221095503,2025-02-14
