nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-07-03
1.011,1.011,1.011,0.011,2024-07-05
1.002,1.002,1.002,-0.0089020772,2024-07-12
1.023,1.023,1.023,0.0209580838,2024-07-19
0.996,0.996,0.996,-0.0263929619,2024-07-26
0.996,0.996,0.996,0.0,2024-08-02
1.001,1.001,1.001,0.0050200803,2024-08-09
1.0,1.0,1.0,-0.000999001,2024-08-16
0.941,0.941,0.941,-0.059,2024-08-23
0.951,0.951,0.951,0.0106269926,2024-08-30
1.176,1.176,1.176,0.2365930599,2025-10-31
1.21,1.21,1.21,0.0289115646,2025-11-07
1.241,1.241,1.241,0.0256198347,2025-11-14
1.163,1.163,1.163,-0.0628525383,2025-11-21
1.18,1.18,1.18,0.0146173689,2025-11-28
1.193,1.193,1.193,0.0110169492,2025-12-05
1.157,1.157,1.157,-0.0301760268,2025-12-12
1.169,1.169,1.169,0.0103716508,2025-12-19
1.163,1.163,1.163,-0.005132592,2025-12-26
1.132,1.132,1.132,-0.0266552021,2025-12-31
1.161,1.161,1.161,0.0256183746,2026-01-09
1.127,1.127,1.127,-0.0292850991,2026-01-16
1.127,1.127,1.127,0.0,2026-01-23
1.115,1.115,1.115,-0.0106477374,2026-01-30
1.179,1.179,1.179,0.0573991031,2026-02-06
1.14,1.14,1.14,-0.0330788804,2026-02-13
1.141,1.141,1.141,0.000877193,2026-02-27
1.13,1.13,1.13,-0.0096406661,2026-03-06
1.084,1.084,1.084,-0.0407079646,2026-03-13
1.075,1.075,1.075,-0.008302583,2026-03-20
1.068,1.068,1.068,-0.0065116279,2026-03-27
1.052,1.052,1.052,-0.0149812734,2026-04-03
1.04,1.04,1.04,-0.0114068441,2026-04-10
1.031,1.031,1.031,-0.0086538462,2026-04-17
1.015,1.015,1.015,-0.0155189137,2026-04-24
1.005,1.005,1.005,-0.0098522167,2026-04-30
1.028,1.028,1.028,0.0228855721,2026-05-08
1.011,1.011,1.011,-0.016536965,2026-05-15
0.964,0.964,0.964,-0.0464886251,2026-05-22
