nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-03-20
1.0001,1.0001,1.0001,0.0001,2020-03-23
1.0001,1.0001,1.0001,0.0,2020-03-24
1.0001,1.0001,1.0001,0.0,2020-03-25
1.0001,1.0001,1.0001,0.0,2020-03-26
1.0001,1.0001,1.0001,0.0,2020-03-27
1.0001,1.0001,1.0001,0.0,2020-03-30
1.0001,1.0001,1.0001,0.0,2020-03-31
1.0001,1.0001,1.0001,0.0,2020-04-01
1.0001,1.0001,1.0001,0.0,2020-04-02
1.0001,1.0001,1.0001,0.0,2020-04-03
1.0001,1.0001,1.0001,0.0,2020-04-07
1.0001,1.0001,1.0001,0.0,2020-04-08
1.0001,1.0001,1.0001,0.0,2020-04-09
0.9999,0.9999,0.9999,-0.00019998,2020-04-10
0.9997,0.9997,0.9997,-0.00020002,2020-04-13
0.9997,0.9997,0.9997,0.0,2020-04-14
0.9996,0.9996,0.9996,-0.00010003,2020-04-15
0.9996,0.9996,0.9996,0.0,2020-04-16
0.9996,0.9996,0.9996,0.0,2020-04-17
0.9995,0.9995,0.9995,-0.00010004,2020-04-20
0.9995,0.9995,0.9995,0.0,2020-04-21
0.9994,0.9994,0.9994,-0.00010005,2020-04-22
0.9994,0.9994,0.9994,0.0,2020-04-23
0.9994,0.9994,0.9994,0.0,2020-04-24
0.9992,0.9992,0.9992,-0.0002001201,2020-04-27
0.9992,0.9992,0.9992,0.0,2020-04-28
0.9991,0.9991,0.9991,-0.0001000801,2020-04-29
0.9991,0.9991,0.9991,0.0,2020-04-30
0.9989,0.9989,0.9989,-0.0002001802,2020-05-06
0.9986,0.9986,0.9986,-0.0003003304,2020-05-07
0.9986,0.9986,0.9986,0.0,2020-05-08
0.9985,0.9985,0.9985,-0.0001001402,2020-05-11
0.9984,0.9984,0.9984,-0.0001001502,2020-05-12
0.9985,0.9985,0.9985,0.0001001603,2020-05-13
0.9985,0.9985,0.9985,0.0,2020-05-14
0.9984,0.9984,0.9984,-0.0001001502,2020-05-15
0.9984,0.9984,0.9984,0.0,2020-05-18
0.9983,0.9983,0.9983,-0.0001001603,2020-05-19
0.9983,0.9983,0.9983,0.0,2020-05-20
0.9983,0.9983,0.9983,0.0,2020-05-21
0.9982,0.9982,0.9982,-0.0001001703,2020-05-22
0.9981,0.9981,0.9981,-0.0001001803,2020-05-25
0.998,0.998,0.998,-0.0001001904,2020-05-26
0.9982,0.9982,0.9982,0.0002004008,2020-05-27
0.9999,0.9999,0.9999,0.0017030655,2020-05-28
0.998,0.998,0.998,-0.00190019,2020-05-29
1.0046,1.0046,1.0046,0.0066132265,2020-06-01
1.0071,1.0071,1.0071,0.0024885527,2020-06-02
1.0071,1.0071,1.0071,0.0,2020-06-03
1.0073,1.0073,1.0073,0.00019859,2020-06-04
1.006,1.006,1.006,-0.0012905788,2020-06-05
1.007,1.007,1.007,0.0009940358,2020-06-08
1.0102,1.0102,1.0102,0.0031777557,2020-06-09
1.0064,1.0064,1.0064,-0.0037616314,2020-06-10
0.9952,0.9952,0.9952,-0.0111287758,2020-06-11
0.9946,0.9946,0.9946,-0.0006028939,2020-06-12
0.9867,0.9867,0.9867,-0.0079428916,2020-06-15
1.0009,1.0009,1.0009,0.0143914057,2020-06-16
1.001,1.001,1.001,9.99101e-05,2020-06-17
0.9998,0.9998,0.9998,-0.0011988012,2020-06-18
1.0006,1.0006,1.0006,0.00080016,2020-06-19
0.9956,0.9956,0.9956,-0.0049970018,2020-06-22
0.9957,0.9957,0.9957,0.0001004419,2020-06-23
1.0035,1.0035,1.0035,0.0078336848,2020-06-24
0.9987,0.9987,0.9987,-0.0047832586,2020-06-29
1.01,1.01,1.01,0.0113147091,2020-06-30
1.0313,1.0313,1.0313,0.0210891089,2020-07-01
1.0375,1.0375,1.0375,0.0060118297,2020-07-02
1.0504,1.0504,1.0504,0.0124337349,2020-07-03
1.1085,1.1085,1.1085,0.055312262,2020-07-06
1.1013,1.1013,1.1013,-0.0064952639,2020-07-07
1.1104,1.1104,1.1104,0.008262962,2020-07-08
1.1126,1.1126,1.1126,0.001981268,2020-07-09
1.0894,1.0894,1.0894,-0.0208520582,2020-07-10
1.1029,1.1029,1.1029,0.0123921425,2020-07-13
1.0927,1.0927,1.0927,-0.0092483453,2020-07-14
1.0962,1.0962,1.0962,0.003203075,2020-07-15
1.0895,1.0895,1.0895,-0.0061120234,2020-07-16
1.0902,1.0902,1.0902,0.0006424966,2020-07-17
1.1235,1.1235,1.1235,0.0305448542,2020-07-20
1.1117,1.1117,1.1117,-0.0105028927,2020-07-21
1.1076,1.1076,1.1076,-0.0036880453,2020-07-22
1.0969,1.0969,1.0969,-0.0096605273,2020-07-23
1.0677,1.0677,1.0677,-0.0266204759,2020-07-24
1.0637,1.0637,1.0637,-0.0037463707,2020-07-27
1.0644,1.0644,1.0644,0.0006580803,2020-07-28
1.0803,1.0803,1.0803,0.0149379932,2020-07-29
1.0727,1.0727,1.0727,-0.0070350828,2020-07-30
1.0734,1.0734,1.0734,0.000652559,2020-07-31
1.0833,1.0833,1.0833,0.0092230296,2020-08-03
1.1053,1.1053,1.1053,0.0203083172,2020-08-04
1.0945,1.0945,1.0945,-0.0097711029,2020-08-05
1.0972,1.0972,1.0972,0.0024668799,2020-08-06
1.0842,1.0842,1.0842,-0.0118483412,2020-08-07
1.0952,1.0952,1.0952,0.0101457296,2020-08-10
1.0984,1.0984,1.0984,0.0029218408,2020-08-11
1.1094,1.1094,1.1094,0.0100145666,2020-08-12
1.101,1.101,1.101,-0.0075716604,2020-08-13
1.1122,1.1122,1.1122,0.0101725704,2020-08-14
1.1385,1.1385,1.1385,0.0236468261,2020-08-17
1.1269,1.1269,1.1269,-0.010188845,2020-08-18
1.1121,1.1121,1.1121,-0.0131333747,2020-08-19
1.1011,1.1011,1.1011,-0.0098911968,2020-08-20
1.1036,1.1036,1.1036,0.0022704568,2020-08-21
1.0987,1.0987,1.0987,-0.0044400145,2020-08-24
1.0987,1.0987,1.0987,0.0,2020-08-25
1.0886,1.0886,1.0886,-0.0091926823,2020-08-26
1.0803,1.0803,1.0803,-0.0076244718,2020-08-27
1.1029,1.1029,1.1029,0.0209201148,2020-08-28
1.0848,1.0848,1.0848,-0.0164112794,2020-08-31
1.0828,1.0828,1.0828,-0.0018436578,2020-09-01
1.0782,1.0782,1.0782,-0.0042482453,2020-09-02
1.0746,1.0746,1.0746,-0.0033388982,2020-09-03
1.0699,1.0699,1.0699,-0.0043737205,2020-09-04
1.0702,1.0702,1.0702,0.0002804,2020-09-07
1.0861,1.0861,1.0861,0.0148570361,2020-09-08
1.076,1.076,1.076,-0.0092993279,2020-09-09
1.0757,1.0757,1.0757,-0.0002788104,2020-09-10
1.0734,1.0734,1.0734,-0.0021381426,2020-09-11
1.0741,1.0741,1.0741,0.0006521334,2020-09-14
1.0805,1.0805,1.0805,0.0059584769,2020-09-15
1.0784,1.0784,1.0784,-0.0019435447,2020-09-16
1.0726,1.0726,1.0726,-0.0053783383,2020-09-17
1.1039,1.1039,1.1039,0.0291814283,2020-09-18
1.0924,1.0924,1.0924,-0.0104176103,2020-09-21
1.0806,1.0806,1.0806,-0.0108019041,2020-09-22
1.0747,1.0747,1.0747,-0.0054599297,2020-09-23
1.0557,1.0557,1.0557,-0.0176793524,2020-09-24
1.0568,1.0568,1.0568,0.0010419627,2020-09-25
1.0648,1.0648,1.0648,0.0075700227,2020-09-28
1.054,1.054,1.054,-0.0101427498,2020-09-29
1.0521,1.0521,1.0521,-0.0018026565,2020-09-30
1.0575,1.0575,1.0575,0.005132592,2020-10-09
1.0881,1.0881,1.0881,0.0289361702,2020-10-12
1.0909,1.0909,1.0909,0.0025732929,2020-10-13
1.0892,1.0892,1.0892,-0.0015583463,2020-10-14
1.0956,1.0956,1.0956,0.0058758722,2020-10-15
1.1209,1.1209,1.1209,0.0230923695,2020-10-16
1.1253,1.1253,1.1253,0.0039254171,2020-10-19
1.1262,1.1262,1.1262,0.0007997867,2020-10-20
1.1369,1.1369,1.1369,0.0095009767,2020-10-21
1.1433,1.1433,1.1433,0.005629343,2020-10-22
1.1538,1.1538,1.1538,0.0091839412,2020-10-23
1.145,1.145,1.145,-0.0076269717,2020-10-26
1.1335,1.1335,1.1335,-0.0100436681,2020-10-27
1.1201,1.1201,1.1201,-0.0118217909,2020-10-28
1.1197,1.1197,1.1197,-0.000357111,2020-10-29
1.1087,1.1087,1.1087,-0.00982406,2020-10-30
1.1178,1.1178,1.1178,0.0082078109,2020-11-02
1.1347,1.1347,1.1347,0.0151189837,2020-11-03
1.1519,1.1519,1.1519,0.0151581916,2020-11-04
1.1784,1.1784,1.1784,0.0230054692,2020-11-05
1.1703,1.1703,1.1703,-0.0068737271,2020-11-06
1.1774,1.1774,1.1774,0.0060668205,2020-11-09
1.1845,1.1845,1.1845,0.0060302361,2020-11-10
1.2006,1.2006,1.2006,0.013592233,2020-11-11
1.186,1.186,1.186,-0.0121605864,2020-11-12
1.1566,1.1566,1.1566,-0.0247892074,2020-11-13
1.1732,1.1732,1.1732,0.0143524122,2020-11-16
1.1867,1.1867,1.1867,0.0115069894,2020-11-17
1.2123,1.2123,1.2123,0.0215724277,2020-11-18
1.208,1.208,1.208,-0.0035469768,2020-11-19
1.2013,1.2013,1.2013,-0.0055463576,2020-11-20
1.2154,1.2154,1.2154,0.0117372846,2020-11-23
1.2036,1.2036,1.2036,-0.0097087379,2020-11-24
1.2093,1.2093,1.2093,0.0047357926,2020-11-25
1.2318,1.2318,1.2318,0.018605805,2020-11-26
1.2483,1.2483,1.2483,0.0133950317,2020-11-27
1.2282,1.2282,1.2282,-0.0161018986,2020-11-30
1.2675,1.2675,1.2675,0.0319980459,2020-12-01
1.2657,1.2657,1.2657,-0.0014201183,2020-12-02
1.2573,1.2573,1.2573,-0.0066366438,2020-12-03
