nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-09-27
1.0,1.0,1.0,0.0,2017-09-28
1.0,1.0,1.0,0.0,2017-09-29
1.0,1.0,1.0,0.0,2017-10-09
1.0,1.0,1.0,0.0,2017-10-10
1.0,1.0,1.0,0.0,2017-10-11
1.0,1.0,1.0,0.0,2017-10-12
1.0,1.0,1.0,0.0,2017-10-13
1.0,1.0,1.0,0.0,2017-10-16
1.0,1.0,1.0,0.0,2017-10-17
1.0,1.0,1.0,0.0,2017-10-18
1.0,1.0,1.0,0.0,2017-10-19
1.0,1.0,1.0,0.0,2017-10-20
1.0,1.0,1.0,0.0,2017-10-23
1.0,1.0,1.0,0.0,2017-10-24
1.0,1.0,1.0,0.0,2017-10-25
1.004,1.004,1.004,0.004,2017-10-26
1.004,1.004,1.004,0.0,2017-10-27
1.005,1.005,1.005,0.0009960159,2017-10-30
1.009,1.009,1.009,0.0039800995,2017-10-31
1.006,1.006,1.006,-0.0029732408,2017-11-01
1.004,1.004,1.004,-0.0019880716,2017-11-02
1.002,1.002,1.002,-0.0019920319,2017-11-03
1.008,1.008,1.008,0.005988024,2017-11-06
1.009,1.009,1.009,0.0009920635,2017-11-07
1.01,1.01,1.01,0.0009910803,2017-11-08
1.02,1.02,1.02,0.0099009901,2017-11-09
1.024,1.024,1.024,0.0039215686,2017-11-10
1.028,1.028,1.028,0.00390625,2017-11-13
1.023,1.023,1.023,-0.0048638132,2017-11-14
1.026,1.026,1.026,0.0029325513,2017-11-15
1.032,1.032,1.032,0.0058479532,2017-11-16
1.029,1.029,1.029,-0.0029069767,2017-11-17
1.03,1.03,1.03,0.0009718173,2017-11-20
1.038,1.038,1.038,0.0077669903,2017-11-21
1.037,1.037,1.037,-0.0009633911,2017-11-22
1.022,1.022,1.022,-0.0144648023,2017-11-23
1.017,1.017,1.017,-0.0048923679,2017-11-24
1.012,1.012,1.012,-0.0049164208,2017-11-27
1.014,1.014,1.014,0.0019762846,2017-11-28
1.012,1.012,1.012,-0.0019723866,2017-11-29
1.01,1.01,1.01,-0.0019762846,2017-11-30
1.007,1.007,1.007,-0.002970297,2017-12-01
1.009,1.009,1.009,0.0019860973,2017-12-04
1.015,1.015,1.015,0.0059464817,2017-12-05
1.011,1.011,1.011,-0.0039408867,2017-12-06
1.002,1.002,1.002,-0.0089020772,2017-12-07
1.003,1.003,1.003,0.000998004,2017-12-08
1.006,1.006,1.006,0.0029910269,2017-12-11
1.005,1.005,1.005,-0.0009940358,2017-12-12
1.008,1.008,1.008,0.0029850746,2017-12-13
1.008,1.008,1.008,0.0,2017-12-14
1.005,1.005,1.005,-0.0029761905,2017-12-15
1.008,1.008,1.008,0.0029850746,2017-12-18
1.009,1.009,1.009,0.0009920635,2017-12-19
1.016,1.016,1.016,0.0069375619,2017-12-20
1.016,1.016,1.016,0.0,2017-12-21
1.017,1.017,1.017,0.000984252,2017-12-22
1.019,1.019,1.019,0.0019665683,2017-12-25
1.015,1.015,1.015,-0.0039254171,2017-12-26
1.01,1.01,1.01,-0.0049261084,2017-12-27
1.027,1.027,1.027,0.0168316832,2017-12-28
1.019,1.019,1.019,-0.0077896787,2017-12-29
1.024,1.024,1.024,0.0049067713,2018-01-02
1.026,1.026,1.026,0.001953125,2018-01-03
1.032,1.032,1.032,0.0058479532,2018-01-04
1.039,1.039,1.039,0.0067829457,2018-01-05
1.055,1.055,1.055,0.0153994225,2018-01-08
1.066,1.066,1.066,0.0104265403,2018-01-09
1.07,1.07,1.07,0.0037523452,2018-01-10
1.062,1.062,1.062,-0.0074766355,2018-01-11
1.069,1.069,1.069,0.0065913371,2018-01-12
1.067,1.067,1.067,-0.0018709074,2018-01-15
1.06,1.06,1.06,-0.0065604499,2018-01-16
1.056,1.056,1.056,-0.0037735849,2018-01-17
1.058,1.058,1.058,0.0018939394,2018-01-18
1.058,1.058,1.058,0.0,2018-01-19
1.072,1.072,1.072,0.0132325142,2018-01-22
1.077,1.077,1.077,0.0046641791,2018-01-23
1.068,1.068,1.068,-0.008356546,2018-01-24
1.065,1.065,1.065,-0.0028089888,2018-01-25
1.072,1.072,1.072,0.00657277,2018-01-26
1.058,1.058,1.058,-0.0130597015,2018-01-29
1.055,1.055,1.055,-0.0028355388,2018-01-30
1.065,1.065,1.065,0.009478673,2018-01-31
1.067,1.067,1.067,0.0018779343,2018-02-01
1.074,1.074,1.074,0.0065604499,2018-02-02
1.064,1.064,1.064,-0.009310987,2018-02-05
1.053,1.053,1.053,-0.0103383459,2018-02-06
1.04,1.04,1.04,-0.012345679,2018-02-07
1.043,1.043,1.043,0.0028846154,2018-02-08
1.027,1.027,1.027,-0.0153403643,2018-02-09
1.034,1.034,1.034,0.0068159688,2018-02-12
1.039,1.039,1.039,0.0048355899,2018-02-13
1.043,1.043,1.043,0.0038498556,2018-02-14
1.057,1.057,1.057,0.0134228188,2018-02-22
1.058,1.058,1.058,0.0009460738,2018-02-23
1.059,1.059,1.059,0.0009451796,2018-02-26
1.055,1.055,1.055,-0.0037771483,2018-02-27
1.04,1.04,1.04,-0.0142180095,2018-02-28
1.044,1.044,1.044,0.0038461538,2018-03-01
1.043,1.043,1.043,-0.0009578544,2018-03-02
1.04,1.04,1.04,-0.0028763183,2018-03-05
1.04,1.04,1.04,0.0,2018-03-06
1.04,1.04,1.04,0.0,2018-03-07
1.047,1.047,1.047,0.0067307692,2018-03-08
1.05,1.05,1.05,0.0028653295,2018-03-09
1.05,1.05,1.05,0.0,2018-03-12
1.047,1.047,1.047,-0.0028571429,2018-03-13
1.047,1.047,1.047,0.0,2018-03-14
1.048,1.048,1.048,0.0009551098,2018-03-15
1.044,1.044,1.044,-0.0038167939,2018-03-16
1.048,1.048,1.048,0.0038314176,2018-03-19
1.048,1.048,1.048,0.0,2018-03-20
1.044,1.044,1.044,-0.0038167939,2018-03-21
1.045,1.045,1.045,0.0009578544,2018-03-22
1.041,1.041,1.041,-0.0038277512,2018-03-23
1.041,1.041,1.041,0.0,2018-03-26
1.0,1.033,1.033,-0.0076849183,2018-03-27
1.0,1.033,1.033,0.0,2018-03-28
1.0,1.033,1.033,0.0,2018-03-29
1.0,1.033,1.033,0.0,2018-03-30
0.999,1.032,1.031967,-0.001,2018-04-02
0.999,1.032,1.031967,0.0,2018-04-03
1.002,1.035,1.035066,0.003003003,2018-04-04
1.001,1.034,1.034033,-0.000998004,2018-04-09
1.003,1.036,1.036099,0.001998002,2018-04-10
1.002,1.035,1.035066,-0.000997009,2018-04-11
1.0,1.033,1.033,-0.001996008,2018-04-12
0.997,1.03,1.029901,-0.003,2018-04-13
0.995,1.028,1.027835,-0.0020060181,2018-04-16
0.994,1.027,1.026802,-0.0010050251,2018-04-17
0.994,1.027,1.026802,0.0,2018-04-18
0.995,1.028,1.027835,0.0010060362,2018-04-19
0.995,1.028,1.027835,0.0,2018-04-20
0.995,1.028,1.027835,0.0,2018-04-23
0.996,1.029,1.028868,0.0010050251,2018-04-24
0.996,1.029,1.028868,0.0,2018-04-25
