nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-04-30
1.0,1.0,1.0,0.0,2021-05-06
1.0,1.0,1.0,0.0,2021-05-07
1.0,1.0,1.0,0.0,2021-05-10
1.0,1.0,1.0,0.0,2021-05-11
1.0,1.0,1.0,0.0,2021-05-12
1.0,1.0,1.0,0.0,2021-05-13
1.0,1.0,1.0,0.0,2021-05-14
1.0,1.0,1.0,0.0,2021-05-17
1.0,1.0,1.0,0.0,2021-05-18
1.0,1.0,1.0,0.0,2021-05-19
0.999,0.999,0.999,-0.001,2021-05-20
0.996,0.996,0.996,-0.003003003,2021-05-21
1.0,1.0,1.0,0.0040160643,2021-05-24
1.005,1.005,1.005,0.005,2021-05-25
1.007,1.007,1.007,0.0019900498,2021-05-26
1.008,1.008,1.008,0.0009930487,2021-05-27
1.01,1.01,1.01,0.001984127,2021-05-28
1.017,1.017,1.017,0.0069306931,2021-05-31
1.017,1.017,1.017,0.0,2021-06-01
1.015,1.015,1.015,-0.0019665683,2021-06-02
1.009,1.009,1.009,-0.00591133,2021-06-03
1.018,1.018,1.018,0.0089197225,2021-06-04
1.023,1.023,1.023,0.0049115914,2021-06-07
1.024,1.024,1.024,0.0009775171,2021-06-08
1.025,1.025,1.025,0.0009765625,2021-06-09
1.037,1.037,1.037,0.0117073171,2021-06-10
1.036,1.036,1.036,-0.0009643202,2021-06-11
1.033,1.033,1.033,-0.0028957529,2021-06-15
1.01,1.01,1.01,-0.0222652469,2021-06-16
1.012,1.012,1.012,0.001980198,2021-06-17
1.019,1.019,1.019,0.006916996,2021-06-18
1.033,1.033,1.033,0.0137389598,2021-06-21
1.044,1.044,1.044,0.0106485963,2021-06-22
1.053,1.053,1.053,0.0086206897,2021-06-23
1.039,1.039,1.039,-0.0132953466,2021-06-24
1.042,1.042,1.042,0.0028873917,2021-06-25
1.057,1.057,1.057,0.0143953935,2021-06-28
1.061,1.061,1.061,0.0037842952,2021-06-29
1.065,1.065,1.065,0.0037700283,2021-06-30
1.052,1.052,1.052,-0.0122065728,2021-07-01
1.043,1.043,1.043,-0.0085551331,2021-07-02
1.048,1.048,1.048,0.0047938639,2021-07-05
1.045,1.045,1.045,-0.0028625954,2021-07-06
1.074,1.074,1.074,0.0277511962,2021-07-07
1.087,1.087,1.087,0.0121042831,2021-07-08
1.096,1.096,1.096,0.0082796688,2021-07-09
1.128,1.128,1.128,0.0291970803,2021-07-12
1.133,1.133,1.133,0.0044326241,2021-07-13
1.118,1.118,1.118,-0.013239188,2021-07-14
1.129,1.129,1.129,0.0098389982,2021-07-15
1.131,1.131,1.131,0.0017714792,2021-07-16
1.115,1.115,1.115,-0.0141467728,2021-07-19
1.116,1.116,1.116,0.000896861,2021-07-20
1.134,1.134,1.134,0.0161290323,2021-07-21
1.132,1.132,1.132,-0.0017636684,2021-07-22
1.132,1.132,1.132,0.0,2021-07-23
1.124,1.124,1.124,-0.0070671378,2021-07-26
1.098,1.098,1.098,-0.0231316726,2021-07-27
1.091,1.091,1.091,-0.0063752277,2021-07-28
1.118,1.118,1.118,0.0247479377,2021-07-29
1.106,1.106,1.106,-0.0107334526,2021-07-30
1.126,1.126,1.126,0.0180831826,2021-08-02
1.102,1.102,1.102,-0.0213143872,2021-08-03
1.141,1.141,1.141,0.0353901996,2021-08-04
1.135,1.135,1.135,-0.0052585451,2021-08-05
1.136,1.136,1.136,0.0008810573,2021-08-06
1.129,1.129,1.129,-0.0061619718,2021-08-09
1.139,1.139,1.139,0.0088573959,2021-08-10
1.134,1.134,1.134,-0.0043898156,2021-08-11
1.139,1.139,1.139,0.0044091711,2021-08-12
1.129,1.129,1.129,-0.0087796313,2021-08-13
1.108,1.108,1.108,-0.0186005314,2021-08-16
1.081,1.081,1.081,-0.024368231,2021-08-17
1.074,1.074,1.074,-0.0064754857,2021-08-18
1.086,1.086,1.086,0.0111731844,2021-08-19
1.069,1.069,1.069,-0.0156537753,2021-08-20
1.092,1.092,1.092,0.021515435,2021-08-23
1.11,1.11,1.11,0.0164835165,2021-08-24
1.121,1.121,1.121,0.0099099099,2021-08-25
1.119,1.119,1.119,-0.0017841213,2021-08-26
1.123,1.123,1.123,0.0035746202,2021-08-27
1.12,1.12,1.12,-0.0026714159,2021-08-30
1.112,1.112,1.112,-0.0071428571,2021-08-31
1.091,1.091,1.091,-0.0188848921,2021-09-01
1.104,1.104,1.104,0.0119156737,2021-09-02
1.085,1.085,1.085,-0.0172101449,2021-09-03
1.118,1.118,1.118,0.0304147465,2021-09-06
1.137,1.137,1.137,0.0169946333,2021-09-07
1.13,1.13,1.13,-0.0061565523,2021-09-08
1.122,1.122,1.122,-0.007079646,2021-09-09
1.141,1.141,1.141,0.0169340463,2021-09-10
1.135,1.135,1.135,-0.0052585451,2021-09-13
1.15,1.15,1.15,0.013215859,2021-09-14
1.153,1.153,1.153,0.0026086957,2021-09-15
1.108,1.108,1.108,-0.039028621,2021-09-16
1.103,1.103,1.103,-0.0045126354,2021-09-17
1.092,1.092,1.092,-0.0099728015,2021-09-22
1.09,1.09,1.09,-0.0018315018,2021-09-23
1.085,1.085,1.085,-0.004587156,2021-09-24
1.064,1.064,1.064,-0.0193548387,2021-09-27
1.048,1.048,1.048,-0.015037594,2021-09-28
1.032,1.032,1.032,-0.0152671756,2021-09-29
1.056,1.056,1.056,0.023255814,2021-09-30
1.051,1.051,1.051,-0.0047348485,2021-10-08
1.048,1.048,1.048,-0.0028544244,2021-10-11
1.024,1.024,1.024,-0.0229007634,2021-10-12
1.037,1.037,1.037,0.0126953125,2021-10-13
1.042,1.042,1.042,0.0048216008,2021-10-14
1.061,1.061,1.061,0.0182341651,2021-10-15
1.074,1.074,1.074,0.0122525919,2021-10-18
1.076,1.076,1.076,0.0018621974,2021-10-19
1.09,1.09,1.09,0.0130111524,2021-10-20
1.082,1.082,1.082,-0.0073394495,2021-10-21
1.081,1.081,1.081,-0.0009242144,2021-10-22
1.098,1.098,1.098,0.0157261795,2021-10-25
1.09,1.09,1.09,-0.0072859745,2021-10-26
1.084,1.084,1.084,-0.0055045872,2021-10-27
1.057,1.057,1.057,-0.0249077491,2021-10-28
1.074,1.074,1.074,0.0160832545,2021-10-29
1.081,1.081,1.081,0.0065176909,2021-11-01
1.07,1.07,1.07,-0.0101757632,2021-11-02
1.06,1.06,1.06,-0.0093457944,2021-11-03
1.076,1.076,1.076,0.0150943396,2021-11-04
1.061,1.061,1.061,-0.0139405204,2021-11-05
1.08,1.08,1.08,0.0179076343,2021-11-08
1.084,1.084,1.084,0.0037037037,2021-11-09
1.071,1.071,1.071,-0.0119926199,2021-11-10
1.066,1.066,1.066,-0.0046685341,2021-11-11
1.073,1.073,1.073,0.0065666041,2021-11-12
1.053,1.053,1.053,-0.018639329,2021-11-15
1.046,1.046,1.046,-0.0066476733,2021-11-16
1.062,1.062,1.062,0.0152963671,2021-11-17
1.058,1.058,1.058,-0.0037664783,2021-11-18
1.08,1.08,1.08,0.0207939509,2021-11-19
1.109,1.109,1.109,0.0268518519,2021-11-22
1.103,1.103,1.103,-0.0054102795,2021-11-23
1.097,1.097,1.097,-0.0054397099,2021-11-24
1.102,1.102,1.102,0.0045578851,2021-11-25
1.11,1.11,1.11,0.0072595281,2021-11-26
1.125,1.125,1.125,0.0135135135,2021-11-29
1.119,1.119,1.119,-0.0053333333,2021-11-30
1.119,1.119,1.119,0.0,2021-12-01
1.112,1.112,1.112,-0.0062555853,2021-12-02
1.115,1.115,1.115,0.0026978417,2021-12-03
1.094,1.094,1.094,-0.0188340807,2021-12-06
1.074,1.074,1.074,-0.0182815356,2021-12-07
1.104,1.104,1.104,0.0279329609,2021-12-08
1.103,1.103,1.103,-0.0009057971,2021-12-09
1.102,1.102,1.102,-0.0009066183,2021-12-10
1.115,1.115,1.115,0.0117967332,2021-12-13
1.114,1.114,1.114,-0.000896861,2021-12-14
1.112,1.112,1.112,-0.0017953321,2021-12-15
1.113,1.113,1.113,0.0008992806,2021-12-16
1.097,1.097,1.097,-0.0143755615,2021-12-17
1.072,1.072,1.072,-0.0227894257,2021-12-20
1.071,1.071,1.071,-0.0009328358,2021-12-21
1.083,1.083,1.083,0.0112044818,2021-12-22
1.096,1.096,1.096,0.0120036934,2021-12-23
1.079,1.079,1.079,-0.0155109489,2021-12-24
1.082,1.082,1.082,0.0027803522,2021-12-27
1.091,1.091,1.091,0.0083179298,2021-12-28
1.073,1.073,1.073,-0.0164986251,2021-12-29
1.09,1.09,1.09,0.0158434296,2021-12-30
1.101,1.101,1.101,0.0100917431,2021-12-31
1.105,1.105,1.105,0.0036330609,2022-01-04
1.081,1.081,1.081,-0.021719457,2022-01-05
1.08,1.08,1.08,-0.0009250694,2022-01-06
1.067,1.067,1.067,-0.012037037,2022-01-07
1.066,1.066,1.066,-0.0009372071,2022-01-10
1.061,1.061,1.061,-0.0046904315,2022-01-11
1.086,1.086,1.086,0.0235626767,2022-01-12
1.074,1.074,1.074,-0.0110497238,2022-01-13
1.076,1.076,1.076,0.0018621974,2022-01-14
1.091,1.091,1.091,0.0139405204,2022-01-17
1.085,1.085,1.085,-0.0054995417,2022-01-18
1.07,1.07,1.07,-0.0138248848,2022-01-19
1.077,1.077,1.077,0.0065420561,2022-01-20
1.08,1.08,1.08,0.0027855153,2022-01-21
1.08,1.08,1.08,0.0,2022-01-24
1.062,1.062,1.062,-0.0166666667,2022-01-25
1.068,1.068,1.068,0.0056497175,2022-01-26
1.047,1.047,1.047,-0.0196629213,2022-01-27
1.048,1.048,1.048,0.0009551098,2022-01-28
1.051,1.051,1.051,0.0028625954,2022-02-07
1.026,1.026,1.026,-0.0237868696,2022-02-08
1.043,1.043,1.043,0.0165692008,2022-02-09
1.031,1.031,1.031,-0.0115052733,2022-02-10
1.013,1.013,1.013,-0.0174587779,2022-02-11
1.012,1.012,1.012,-0.0009871668,2022-02-14
1.018,1.018,1.018,0.0059288538,2022-02-15
1.028,1.028,1.028,0.0098231827,2022-02-16
1.03,1.03,1.03,0.0019455253,2022-02-17
1.027,1.027,1.027,-0.0029126214,2022-02-18
1.018,1.018,1.018,-0.0087633885,2022-02-21
1.013,1.013,1.013,-0.0049115914,2022-02-22
1.031,1.031,1.031,0.017769003,2022-02-23
1.007,1.007,1.007,-0.0232783705,2022-02-24
1.019,1.019,1.019,0.0119165839,2022-02-25
1.018,1.018,1.018,-0.0009813543,2022-02-28
1.017,1.017,1.017,-0.0009823183,2022-03-01
1.009,1.009,1.009,-0.0078662734,2022-03-02
0.998,0.998,0.998,-0.0109018831,2022-03-03
0.982,0.982,0.982,-0.0160320641,2022-03-04
0.957,0.957,0.957,-0.0254582485,2022-03-07
0.936,0.936,0.936,-0.0219435737,2022-03-08
0.936,0.936,0.936,0.0,2022-03-09
0.947,0.947,0.947,0.0117521368,2022-03-10
0.947,0.947,0.947,0.0,2022-03-11
0.928,0.928,0.928,-0.020063358,2022-03-14
0.918,0.918,0.918,-0.0107758621,2022-03-15
0.946,0.946,0.946,0.0305010893,2022-03-16
0.966,0.966,0.966,0.021141649,2022-03-17
0.96,0.96,0.96,-0.0062111801,2022-03-18
0.964,0.964,0.964,0.0041666667,2022-03-21
0.959,0.959,0.959,-0.005186722,2022-03-22
0.967,0.967,0.967,0.0083420229,2022-03-23
0.958,0.958,0.958,-0.0093071355,2022-03-24
0.942,0.942,0.942,-0.0167014614,2022-03-25
0.931,0.931,0.931,-0.0116772824,2022-03-28
0.94,0.94,0.94,0.0096670247,2022-03-29
0.966,0.966,0.966,0.0276595745,2022-03-30
0.948,0.948,0.948,-0.0186335404,2022-03-31
0.951,0.951,0.951,0.003164557,2022-04-01
0.943,0.943,0.943,-0.0084121977,2022-04-06
0.931,0.931,0.931,-0.0127253446,2022-04-07
0.924,0.924,0.924,-0.007518797,2022-04-08
0.909,0.909,0.909,-0.0162337662,2022-04-11
0.906,0.906,0.906,-0.00330033,2022-04-12
0.904,0.904,0.904,-0.0022075055,2022-04-13
0.906,0.906,0.906,0.0022123894,2022-04-14
0.9,0.9,0.9,-0.0066225166,2022-04-15
0.896,0.896,0.896,-0.0044444444,2022-04-18
0.898,0.898,0.898,0.0022321429,2022-04-19
0.891,0.891,0.891,-0.0077951002,2022-04-20
0.888,0.888,0.888,-0.0033670034,2022-04-21
0.888,0.888,0.888,0.0,2022-04-22
0.883,0.883,0.883,-0.0056306306,2022-04-25
0.882,0.882,0.882,-0.0011325028,2022-04-26
0.887,0.887,0.887,0.0056689342,2022-04-27
0.888,0.888,0.888,0.0011273957,2022-04-28
0.891,0.891,0.891,0.0033783784,2022-04-29
0.891,0.891,0.891,0.0,2022-05-05
0.891,0.891,0.891,0.0,2022-05-06
0.889,0.889,0.889,-0.0022446689,2022-05-09
0.891,0.891,0.891,0.0022497188,2022-05-10
0.893,0.893,0.893,0.0022446689,2022-05-11
0.893,0.893,0.893,0.0,2022-05-12
0.893,0.893,0.893,0.0,2022-05-13
0.893,0.893,0.893,0.0,2022-05-16
0.895,0.895,0.895,0.0022396417,2022-05-17
0.894,0.894,0.894,-0.0011173184,2022-05-18
0.896,0.896,0.896,0.0022371365,2022-05-19
0.901,0.901,0.901,0.0055803571,2022-05-20
0.905,0.905,0.905,0.0044395117,2022-05-23
0.889,0.889,0.889,-0.017679558,2022-05-24
0.894,0.894,0.894,0.005624297,2022-05-25
0.893,0.893,0.893,-0.0011185682,2022-05-26
0.897,0.897,0.897,0.0044792833,2022-05-27
0.902,0.902,0.902,0.005574136,2022-05-30
0.903,0.903,0.903,0.0011086475,2022-05-31
0.91,0.91,0.91,0.007751938,2022-06-01
0.911,0.911,0.911,0.0010989011,2022-06-02
0.936,0.936,0.936,0.027442371,2022-06-06
0.939,0.939,0.939,0.0032051282,2022-06-07
0.942,0.942,0.942,0.0031948882,2022-06-08
0.929,0.929,0.929,-0.0138004246,2022-06-09
0.955,0.955,0.955,0.0279870829,2022-06-10
0.954,0.954,0.954,-0.0010471204,2022-06-13
0.952,0.952,0.952,-0.0020964361,2022-06-14
0.946,0.946,0.946,-0.006302521,2022-06-15
0.944,0.944,0.944,-0.0021141649,2022-06-16
0.97,0.97,0.97,0.0275423729,2022-06-17
0.97,0.97,0.97,0.0,2022-06-20
0.961,0.961,0.961,-0.0092783505,2022-06-21
0.961,0.961,0.961,0.0,2022-06-22
0.978,0.978,0.978,0.0176899063,2022-06-23
0.994,0.994,0.994,0.0163599182,2022-06-24
0.996,0.996,0.996,0.0020120724,2022-06-27
1.004,1.004,1.004,0.0080321285,2022-06-28
0.977,0.977,0.977,-0.0268924303,2022-06-29
0.992,0.992,0.992,0.0153531218,2022-06-30
0.995,0.995,0.995,0.0030241935,2022-07-01
1.005,1.005,1.005,0.0100502513,2022-07-04
1.016,1.016,1.016,0.0109452736,2022-07-05
1.007,1.007,1.007,-0.0088582677,2022-07-06
1.019,1.019,1.019,0.0119165839,2022-07-07
1.004,1.004,1.004,-0.014720314,2022-07-08
0.981,0.981,0.981,-0.0229083665,2022-07-11
0.96,0.96,0.96,-0.0214067278,2022-07-12
0.968,0.968,0.968,0.0083333333,2022-07-13
0.98,0.98,0.98,0.0123966942,2022-07-14
0.97,0.97,0.97,-0.0102040816,2022-07-15
0.991,0.991,0.991,0.0216494845,2022-07-18
0.996,0.996,0.996,0.0050454087,2022-07-19
1.012,1.012,1.012,0.016064257,2022-07-20
0.995,0.995,0.995,-0.016798419,2022-07-21
0.978,0.978,0.978,-0.0170854271,2022-07-22
0.964,0.964,0.964,-0.0143149284,2022-07-25
0.969,0.969,0.969,0.005186722,2022-07-26
0.972,0.972,0.972,0.0030959752,2022-07-27
0.976,0.976,0.976,0.0041152263,2022-07-28
0.965,0.965,0.965,-0.0112704918,2022-07-29
0.98,0.98,0.98,0.0155440415,2022-08-01
0.954,0.954,0.954,-0.0265306122,2022-08-02
0.94,0.94,0.94,-0.0146750524,2022-08-03
0.942,0.942,0.942,0.0021276596,2022-08-04
