nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-01
1.0,1.0,1.0,0.0,2022-09-02
0.9999,0.9999,0.9999,-0.0001,2022-09-05
0.9999,0.9999,0.9999,0.0,2022-09-06
0.9999,0.9999,0.9999,0.0,2022-09-07
0.9998,0.9998,0.9998,-0.00010001,2022-09-08
0.9998,0.9998,0.9998,0.0,2022-09-09
0.9997,0.9997,0.9997,-0.00010002,2022-09-13
0.9997,0.9997,0.9997,0.0,2022-09-14
0.9997,0.9997,0.9997,0.0,2022-09-15
0.9997,0.9997,0.9997,0.0,2022-09-16
0.9996,0.9996,0.9996,-0.00010003,2022-09-19
0.9974,0.9974,0.9974,-0.0022008804,2022-09-20
0.9945,0.9945,0.9945,-0.0029075597,2022-09-21
0.9943,0.9943,0.9943,-0.0002011061,2022-09-22
0.989,0.989,0.989,-0.0053303832,2022-09-23
0.9771,0.9771,0.9771,-0.0120323559,2022-09-26
0.976,0.976,0.976,-0.0011257804,2022-09-27
0.9612,0.9612,0.9612,-0.0151639344,2022-09-28
0.9706,0.9706,0.9706,0.0097794424,2022-09-29
0.9662,0.9662,0.9662,-0.0045332784,2022-09-30
0.9593,0.9593,0.9593,-0.0071413786,2022-10-10
0.9616,0.9616,0.9616,0.0023975816,2022-10-11
0.9605,0.9605,0.9605,-0.0011439268,2022-10-12
0.9593,0.9593,0.9593,-0.0012493493,2022-10-13
0.9673,0.9673,0.9673,0.0083394142,2022-10-14
0.9626,0.9626,0.9626,-0.0048588856,2022-10-17
0.9604,0.9604,0.9604,-0.0022854768,2022-10-18
0.9563,0.9563,0.9563,-0.0042690546,2022-10-19
0.9498,0.9498,0.9498,-0.0067970302,2022-10-20
0.945,0.945,0.945,-0.0050536955,2022-10-21
0.9389,0.9389,0.9389,-0.0064550265,2022-10-24
0.9385,0.9385,0.9385,-0.0004260305,2022-10-25
0.936,0.936,0.936,-0.0026638253,2022-10-26
0.9293,0.9293,0.9293,-0.0071581197,2022-10-27
0.9138,0.9138,0.9138,-0.0166792209,2022-10-28
0.9149,0.9149,0.9149,0.0012037645,2022-10-31
0.9293,0.9293,0.9293,0.0157394251,2022-11-01
0.9347,0.9347,0.9347,0.0058108254,2022-11-02
0.9287,0.9287,0.9287,-0.0064191719,2022-11-03
0.9561,0.9561,0.9561,0.0295036072,2022-11-04
0.9638,0.9638,0.9638,0.0080535509,2022-11-07
0.9559,0.9559,0.9559,-0.0081967213,2022-11-08
0.9461,0.9461,0.9461,-0.0102521184,2022-11-09
0.9358,0.9358,0.9358,-0.0108867984,2022-11-10
0.9627,0.9627,0.9627,0.0287454584,2022-11-11
0.939,0.939,0.939,-0.0246182611,2022-11-18
0.9179,0.9179,0.9179,-0.0224707135,2022-11-25
