nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-07-09
1.0001,1.0001,1.0001,0.0001,2024-07-12
1.0002,1.0002,1.0002,9.999e-05,2024-07-19
1.0003,1.0003,1.0003,9.998e-05,2024-07-26
1.0005,1.0005,1.0005,0.00019994,2024-08-02
1.0006,1.0006,1.0006,9.995e-05,2024-08-09
1.0012,1.0012,1.0012,0.0005996402,2024-08-16
1.0016,1.0016,1.0016,0.0003995206,2024-08-23
1.0014,1.0014,1.0014,-0.0001996805,2024-08-30
0.9999,0.9999,0.9999,-0.0014979029,2024-09-06
1.0005,1.0005,1.0005,0.00060006,2024-09-13
1.0033,1.0033,1.0033,0.0027986007,2024-09-20
1.0333,1.0333,1.0333,0.0299013256,2024-09-27
1.0874,1.0874,1.0874,0.0523565276,2024-09-30
1.0689,1.0689,1.0689,-0.0170130587,2024-10-11
1.084,1.084,1.084,0.0141266723,2024-10-18
1.0904,1.0904,1.0904,0.005904059,2024-10-25
1.0731,1.0731,1.0731,-0.0158657373,2024-11-01
1.0848,1.0848,1.0848,0.0109029913,2024-11-08
1.0718,1.0718,1.0718,-0.0119837758,2024-11-15
1.0953,1.0953,1.0953,0.0219257324,2024-11-22
1.0945,1.0945,1.0945,-0.0007303935,2024-11-29
1.0846,1.0846,1.0846,-0.0090452261,2024-12-06
1.0794,1.0794,1.0794,-0.0047943942,2024-12-13
1.0641,1.0641,1.0641,-0.0141745414,2024-12-20
1.0878,1.0878,1.0878,0.0222723428,2024-12-27
1.0643,1.0643,1.0643,-0.0216032359,2025-01-03
1.0676,1.0676,1.0676,0.0031006295,2025-01-10
1.0874,1.0874,1.0874,0.018546272,2025-01-17
1.1,1.1,1.1,0.0115872724,2025-01-24
1.0869,1.0869,1.0869,-0.0119090909,2025-01-27
1.1167,1.1167,1.1167,0.0274174257,2025-02-07
1.1483,1.1483,1.1483,0.0282976628,2025-02-14
1.186,1.186,1.186,0.0328311417,2025-02-21
1.1577,1.1577,1.1577,-0.0238617201,2025-02-28
1.2047,1.2047,1.2047,0.0405977369,2025-03-07
1.2463,1.2463,1.2463,0.0345314186,2025-03-14
1.2088,1.2088,1.2088,-0.0300890636,2025-03-21
1.2061,1.2061,1.2061,-0.0022336201,2025-03-28
1.2049,1.2049,1.2049,-0.0009949424,2025-04-03
1.1965,1.1965,1.1965,-0.0069715329,2025-04-11
1.2688,1.2688,1.2688,0.0604262432,2025-04-18
1.2711,1.2711,1.2711,0.0018127364,2025-04-25
1.2559,1.2559,1.2559,-0.0119581465,2025-04-30
1.2872,1.2872,1.2872,0.0249223664,2025-05-09
1.2665,1.2665,1.2665,-0.016081417,2025-05-16
1.3483,1.3483,1.3483,0.0645874457,2025-05-23
1.3418,1.3418,1.3418,-0.0048208856,2025-05-30
1.4633,1.4633,1.4633,0.0905500075,2025-06-06
1.5194,1.5194,1.5194,0.0383380031,2025-06-13
1.4293,1.4293,1.4293,-0.0592997236,2025-06-20
1.4706,1.4706,1.4706,0.0288952634,2025-06-27
1.4999,1.4999,1.4999,0.0199238406,2025-07-04
1.4956,1.4956,1.4956,-0.0028668578,2025-07-11
1.5563,1.5563,1.5563,0.0405857181,2025-07-18
1.6158,1.6158,1.6158,0.0382317034,2025-07-25
1.5739,1.5739,1.5739,-0.0259314272,2025-08-01
1.6762,1.6762,1.6762,0.0649977762,2025-08-08
1.7675,1.7675,1.7675,0.0544684405,2025-08-15
1.8213,1.8213,1.8213,0.0304384724,2025-08-22
2.0223,2.0223,2.0223,0.1103607313,2025-08-29
2.0427,2.0427,2.0427,0.0100875241,2025-09-05
2.2529,2.2529,2.2529,0.1029030205,2025-09-12
1.889,2.189,2.189,-0.0283634427,2025-09-19
1.9287,2.2287,2.23500492,0.0210164108,2025-09-26
1.9966,2.2966,2.31368841,0.0352050604,2025-09-30
2.0418,2.3418,2.36606681,0.0226384854,2025-10-10
1.9851,2.2851,2.30036204,-0.027769615,2025-10-17
1.9665,2.2665,2.2788081,-0.009369805,2025-10-24
1.974,2.274,2.28749921,0.0038138825,2025-10-31
1.9786,2.2786,2.29282975,0.0023302938,2025-11-07
2.0476,2.3476,2.37278793,0.0348731426,2025-11-14
1.866,2.166,2.16234727,-0.0886891971,2025-11-21
1.9349,2.2349,2.24218957,0.0369239014,2025-11-28
2.0084,2.3084,2.32736241,0.0379864592,2025-12-05
2.0304,2.3304,2.35285633,0.0109539932,2025-12-12
2.0114,2.3114,2.33083886,-0.009357762,2025-12-19
2.1207,2.4207,2.45749725,0.0543402605,2025-12-26
2.0666,2.3666,2.3948054,-0.0255104447,2025-12-31
2.1954,2.4954,2.54406067,0.0623245911,2026-01-09
2.3787,2.6787,2.75647131,0.0834927576,2026-01-16
2.5106,2.8106,2.9093189,0.0554504561,2026-01-23
2.4478,2.7478,2.83654537,-0.0250139409,2026-01-30
2.2866,2.5866,2.64974452,-0.0658550535,2026-02-06
2.386,2.686,2.76493065,0.0434706551,2026-02-13
2.6232,2.9232,3.03980138,0.0994132439,2026-02-27
2.5311,2.8311,2.93307459,-0.0351097896,2026-03-06
2.6808,2.9808,3.10654907,0.0591442456,2026-03-13
2.4704,2.7704,2.86273457,-0.0784840346,2026-03-20
2.4885,2.7885,2.88370911,0.0073267487,2026-03-27
2.5326,2.8326,2.93481281,0.017721519,2026-04-03
2.5816,2.8816,2.99159471,0.0193477059,2026-04-10
2.5404,2.8404,2.94385156,-0.0159590951,2026-04-17
2.4512,2.7512,2.84048534,-0.0351125807,2026-04-24
2.4079,2.7079,2.79030868,-0.0176648172,2026-04-30
2.7174,3.0174,3.14896167,0.1285352382,2026-05-08
2.5946,2.8946,3.00665929,-0.0451902554,2026-05-15
2.3623,2.9623,3.08511101,0.026092654,2026-05-22
