nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-04-09
1.0001,1.0001,1.0001,0.0001,2025-04-11
1.0003,1.0003,1.0003,0.00019998,2025-04-18
1.0063,1.0063,1.0063,0.0059982005,2025-04-25
1.0437,1.0437,1.0437,0.0371658551,2025-04-30
1.0831,1.0831,1.0831,0.0377503114,2025-05-09
1.0997,1.0997,1.0997,0.015326378,2025-05-16
1.0927,1.0927,1.0927,-0.0063653724,2025-05-23
1.1331,1.1331,1.1331,0.0369726366,2025-05-30
1.1584,1.1584,1.1584,0.0223281264,2025-06-06
1.1288,1.1288,1.1288,-0.0255524862,2025-06-13
1.0974,1.0974,1.0974,-0.027817151,2025-06-20
1.1729,1.1729,1.1729,0.0687989794,2025-06-27
1.1856,1.1856,1.1856,0.0108278626,2025-06-30
1.2064,1.2064,1.2064,0.0175438596,2025-07-04
1.2621,1.2621,1.2621,0.0461704244,2025-07-11
1.2839,1.2839,1.2839,0.0172727993,2025-07-18
1.3177,1.3177,1.3177,0.0263260379,2025-07-25
1.319,1.319,1.319,0.0009865675,2025-07-31
1.3324,1.3324,1.3324,0.0101592115,2025-08-01
1.3586,1.3586,1.3586,0.0196637646,2025-08-08
1.3532,1.3532,1.3532,-0.0039746798,2025-08-15
1.3931,1.3931,1.3931,0.0294856636,2025-08-22
1.3208,1.3208,1.3208,-0.0518986433,2025-08-29
1.3187,1.3187,1.3187,-0.0015899455,2025-09-05
1.351,1.351,1.351,0.0244938197,2025-09-12
1.3517,1.3517,1.3517,0.0005181347,2025-09-19
1.3362,1.3362,1.3362,-0.0114670415,2025-09-26
1.3254,1.3254,1.3254,-0.0080826224,2025-09-30
1.3291,1.3291,1.3291,0.0027916101,2025-10-10
1.3544,1.3544,1.3544,0.0190354375,2025-10-17
1.425,1.425,1.425,0.0521264028,2025-10-24
1.4239,1.4239,1.4239,-0.0007719298,2025-10-31
1.4532,1.4532,1.4532,0.0205772877,2025-11-07
1.4953,1.4953,1.4953,0.0289705478,2025-11-14
1.3964,1.3964,1.3964,-0.0661405738,2025-11-21
1.449,1.449,1.449,0.0376682899,2025-11-28
1.4494,1.4494,1.4494,0.0002760524,2025-12-05
1.4309,1.4309,1.4309,-0.0127639023,2025-12-12
1.0208,1.4259,1.4259,-0.0034943043,2025-12-19
1.0313,1.4364,1.44056688,0.0102860502,2025-12-26
1.0301,1.4352,1.43889066,-0.0011635799,2025-12-31
1.0717,1.4768,1.49699944,0.0403844287,2026-01-09
1.0779,1.483,1.50565988,0.0057852011,2026-01-16
1.0884,1.4935,1.52032676,0.0097411634,2026-01-23
1.0853,1.4904,1.51599654,-0.0028482176,2026-01-30
1.0909,1.496,1.52381888,0.0051598636,2026-02-06
1.0989,1.504,1.53499364,0.0073333944,2026-02-13
1.1099,1.515,1.55035894,0.01001001,2026-02-27
1.0808,1.4859,1.50971074,-0.0262185783,2026-03-06
1.0777,1.4828,1.50538052,-0.0028682457,2026-03-13
1.0273,1.4324,1.4349795,-0.0467662615,2026-03-20
1.034,1.4391,1.44433836,0.0065219507,2026-03-27
1.0235,1.4286,1.42967148,-0.0101547389,2026-03-31
0.9766,1.3817,1.36415942,-0.0458231558,2026-04-03
1.0336,1.4387,1.44377962,0.0583657588,2026-04-10
1.0307,1.4358,1.43972877,-0.0028057276,2026-04-17
1.0472,1.4523,1.46277672,0.0160085379,2026-04-24
1.1021,1.5072,1.53946355,0.0524255157,2026-04-30
1.1298,1.5349,1.57815617,0.0251338354,2026-05-08
1.0768,1.4819,1.50412335,-0.0469109577,2026-05-15
1.0389,1.444,1.45118291,-0.0351968796,2026-05-22
