nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-11-13
1.0001,1.0001,1.0001,0.0001,2024-11-15
1.0002,1.0002,1.0002,9.999e-05,2024-11-22
1.0001,1.0001,1.0001,-9.998e-05,2024-11-29
1.0002,1.0002,1.0002,9.999e-05,2024-12-06
1.0086,1.0086,1.0086,0.0083983203,2024-12-13
1.0036,1.0036,1.0036,-0.0049573666,2024-12-20
0.9929,0.9929,0.9929,-0.0106616182,2024-12-27
0.961,0.961,0.961,-0.0321281096,2024-12-31
0.9112,0.9112,0.9112,-0.0518210198,2025-01-03
0.9022,0.9022,0.9022,-0.0098770852,2025-01-10
0.9534,0.9534,0.9534,0.0567501663,2025-01-17
0.9711,0.9711,0.9711,0.0185651353,2025-01-24
0.9567,0.9567,0.9567,-0.0148285449,2025-01-27
1.0049,1.0049,1.0049,0.0503815198,2025-02-07
1.0259,1.0259,1.0259,0.0208976018,2025-02-14
1.0608,1.0608,1.0608,0.0340189102,2025-02-21
1.0358,1.0358,1.0358,-0.0235671192,2025-02-28
1.0804,1.0804,1.0804,0.0430585055,2025-03-07
1.0979,1.0979,1.0979,0.0161977046,2025-03-14
1.0737,1.0737,1.0737,-0.0220420803,2025-03-21
1.0532,1.0532,1.0532,-0.0190928565,2025-03-28
1.0469,1.0469,1.0469,-0.0059817698,2025-03-31
1.0458,1.0458,1.0458,-0.0010507212,2025-04-03
0.9846,0.9846,0.9846,-0.0585197935,2025-04-11
0.9795,0.9795,0.9795,-0.0051797684,2025-04-18
0.9999,0.9999,0.9999,0.0208269525,2025-04-25
1.0028,1.0028,1.0028,0.00290029,2025-04-30
1.0269,1.0269,1.0269,0.0240327084,2025-05-09
1.0262,1.0262,1.0262,-0.0006816633,2025-05-16
1.0151,1.0151,1.0151,-0.010816605,2025-05-23
1.0243,1.0243,1.0243,0.0090631465,2025-05-30
1.0481,1.0481,1.0481,0.0232353803,2025-06-06
1.0432,1.0432,1.0432,-0.0046751264,2025-06-13
1.0276,1.0276,1.0276,-0.0149539877,2025-06-20
1.0784,1.0784,1.0784,0.049435578,2025-06-27
1.0917,1.0917,1.0917,0.0123330861,2025-06-30
1.0858,1.0858,1.0858,-0.0054044151,2025-07-04
1.1131,1.1131,1.1131,0.0251427519,2025-07-11
1.1295,1.1295,1.1295,0.0147336268,2025-07-18
1.1554,1.1554,1.1554,0.0229305002,2025-07-25
1.1491,1.1491,1.1491,-0.0054526571,2025-07-31
1.1512,1.1512,1.1512,0.0018275172,2025-08-01
1.1826,1.1826,1.1826,0.027275886,2025-08-08
1.233,1.233,1.233,0.0426179604,2025-08-15
1.2823,1.2823,1.2823,0.0399837794,2025-08-22
1.299,1.299,1.299,0.0130234734,2025-08-29
1.2714,1.2714,1.2714,-0.0212471132,2025-09-05
1.3022,1.3022,1.3022,0.0242252635,2025-09-12
1.3103,1.3103,1.3103,0.0062202427,2025-09-19
1.3016,1.3016,1.3016,-0.0066397008,2025-09-26
1.3325,1.3325,1.3325,0.0237400123,2025-09-30
1.3236,1.3236,1.3236,-0.0066791745,2025-10-10
1.2708,1.2708,1.2708,-0.0398912058,2025-10-17
1.3132,1.3132,1.3132,0.0333648096,2025-10-24
1.3314,1.3314,1.3314,0.0138592751,2025-10-31
1.3394,1.3394,1.3394,0.0060087126,2025-11-07
1.3359,1.3359,1.3359,-0.0026131103,2025-11-14
1.2596,1.2596,1.2596,-0.0571150535,2025-11-21
1.3085,1.3085,1.3085,0.0388218482,2025-11-28
1.3126,1.3126,1.3126,0.0031333588,2025-12-05
1.3239,1.3239,1.3239,0.0086088679,2025-12-12
1.3206,1.3206,1.3206,-0.0024926354,2025-12-19
1.3733,1.3733,1.3733,0.0399061033,2025-12-26
1.3731,1.3731,1.3731,-0.0001456346,2025-12-31
1.4785,1.4785,1.4785,0.0767606147,2026-01-09
1.5031,1.5031,1.5031,0.016638485,2026-01-16
1.5427,1.5427,1.5427,0.0263455525,2026-01-23
1.5091,1.5091,1.5091,-0.0217799961,2026-01-30
1.4774,1.4774,1.4774,-0.0210058976,2026-02-06
1.5046,1.5046,1.5046,0.0184107215,2026-02-13
1.5705,1.5705,1.5705,0.0437990163,2026-02-27
1.5222,1.5222,1.5222,-0.0307545368,2026-03-06
1.5164,1.5164,1.5164,-0.0038102746,2026-03-13
1.434,1.434,1.434,-0.0543392245,2026-03-20
1.4328,1.4328,1.4328,-0.0008368201,2026-03-27
1.4089,1.4089,1.4089,-0.0166806253,2026-03-31
1.3968,1.3968,1.3968,-0.0085882603,2026-04-03
1.4874,1.4874,1.4874,0.064862543,2026-04-10
1.5475,1.5475,1.5475,0.0404060777,2026-04-17
1.5482,1.5482,1.5482,0.0004523425,2026-04-24
1.5614,1.5614,1.5614,0.0085260302,2026-04-30
1.6338,1.6338,1.6338,0.0463686435,2026-05-08
1.6217,1.6217,1.6217,-0.0074060473,2026-05-15
1.6268,1.6268,1.6268,0.003144848,2026-05-22
