nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-02-27
1.0,1.0,1.0,0.0,2025-02-28
1.0,1.0,1.0,0.0,2025-03-07
1.0002,1.0002,1.0002,0.0002,2025-03-14
1.0002,1.0002,1.0002,0.0,2025-03-21
1.0004,1.0004,1.0004,0.00019996,2025-03-28
1.0003,1.0003,1.0003,-9.996e-05,2025-03-31
0.9835,0.9835,0.9835,-0.0167949615,2025-04-03
0.9153,0.9153,0.9153,-0.069344179,2025-04-11
0.9086,0.9086,0.9086,-0.0073200044,2025-04-18
0.9294,0.9294,0.9294,0.0228923619,2025-04-25
0.9295,0.9295,0.9295,0.0001075963,2025-04-30
0.9621,0.9621,0.9621,0.0350726197,2025-05-09
0.9773,0.9773,0.9773,0.0157987735,2025-05-16
0.9697,0.9697,0.9697,-0.0077765272,2025-05-23
0.958,0.958,0.958,-0.0120655873,2025-05-30
0.9808,0.9808,0.9808,0.0237995825,2025-06-06
0.9835,0.9835,0.9835,0.0027528548,2025-06-13
0.9694,0.9694,0.9694,-0.0143365531,2025-06-20
1.0268,1.0268,1.0268,0.0592118836,2025-06-27
1.041,1.041,1.041,0.0138293728,2025-06-30
1.0433,1.0433,1.0433,0.002209414,2025-07-04
1.0681,1.0681,1.0681,0.0237707275,2025-07-11
1.0985,1.0985,1.0985,0.0284617545,2025-07-18
1.1308,1.1308,1.1308,0.0294037324,2025-07-25
1.1281,1.1281,1.1281,-0.0023876901,2025-07-31
1.126,1.126,1.126,-0.0018615371,2025-08-01
1.1337,1.1337,1.1337,0.0068383659,2025-08-08
1.2323,1.2323,1.2323,0.086971862,2025-08-15
1.3069,1.3069,1.3069,0.0605372068,2025-08-22
1.4125,1.4125,1.4125,0.0808018976,2025-08-29
1.4524,1.4524,1.4524,0.0282477876,2025-09-05
1.4913,1.4913,1.4913,0.0267832553,2025-09-12
1.5401,1.5401,1.5401,0.0327231275,2025-09-19
1.5823,1.5823,1.5823,0.0274008181,2025-09-26
1.6266,1.6266,1.6266,0.0279972192,2025-09-30
1.5699,1.5699,1.5699,-0.034857986,2025-10-10
1.4905,1.4905,1.4905,-0.0505764698,2025-10-17
1.6086,1.6086,1.6086,0.079235156,2025-10-24
1.6274,1.6274,1.6274,0.0116871814,2025-10-31
1.6413,1.6413,1.6413,0.0085412314,2025-11-07
1.5963,1.5963,1.5963,-0.0274172912,2025-11-14
1.5042,1.5042,1.5042,-0.0576959218,2025-11-21
1.5725,1.5725,1.5725,0.045406196,2025-11-28
1.6067,1.6067,1.6067,0.0217488076,2025-12-05
1.6509,1.6509,1.6509,0.0275098027,2025-12-12
1.6154,1.6154,1.6154,-0.0215034224,2025-12-19
1.6808,1.6808,1.6808,0.0404853287,2025-12-26
1.6739,1.6739,1.6739,-0.004105188,2025-12-31
1.7596,1.7596,1.7596,0.0511978015,2026-01-09
1.8001,1.8001,1.8001,0.0230165947,2026-01-16
1.8073,1.8073,1.8073,0.0039997778,2026-01-23
1.813,1.813,1.813,0.0031538759,2026-01-30
1.7645,1.7645,1.7645,-0.026751241,2026-02-06
1.7826,1.7826,1.7826,0.0102578634,2026-02-13
1.8122,1.8122,1.8122,0.016604959,2026-02-27
1.7768,1.7768,1.7768,-0.0195342677,2026-03-06
1.8152,1.8152,1.8152,0.0216118865,2026-03-13
1.8456,1.8456,1.8456,0.0167474658,2026-03-20
1.8337,1.8337,1.8337,-0.0064477677,2026-03-27
1.7728,1.7728,1.7728,-0.0332115395,2026-03-31
1.7522,1.7522,1.7522,-0.0116200361,2026-04-03
1.9208,1.9208,1.9208,0.0962218925,2026-04-10
2.0398,2.0398,2.0398,0.0619533528,2026-04-17
2.044,2.044,2.044,0.0020590254,2026-04-24
2.0554,2.0554,2.0554,0.0055772994,2026-04-30
2.1247,2.1247,2.1247,0.033716065,2026-05-08
2.2223,2.2223,2.2223,0.0459358968,2026-05-15
2.2437,2.2437,2.2437,0.009629663,2026-05-22
