nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-12-30
1.0,1.0,1.0,0.0,2020-01-03
1.0,1.0,1.0,0.0,2020-01-10
0.993,0.993,0.993,-0.007,2020-01-17
0.915,0.915,0.915,-0.0785498489,2020-01-23
0.974,0.974,0.974,0.0644808743,2020-02-07
0.987,0.987,0.987,0.0133470226,2020-02-14
1.046,1.046,1.046,0.0597771023,2020-02-21
0.957,0.957,0.957,-0.0850860421,2020-02-28
1.029,1.029,1.029,0.0752351097,2020-03-06
0.933,0.933,0.933,-0.0932944606,2020-03-13
0.873,0.873,0.873,-0.0643086817,2020-03-20
0.844,0.844,0.844,-0.0332187858,2020-03-27
0.825,0.825,0.825,-0.0225118483,2020-04-03
0.845,0.845,0.845,0.0242424242,2020-04-10
0.861,0.861,0.861,0.0189349112,2020-04-17
0.832,0.832,0.832,-0.0336817654,2020-04-24
0.894,0.894,0.894,0.0745192308,2020-04-30
0.887,0.887,0.887,-0.0078299776,2020-05-08
0.928,0.928,0.928,0.0462232244,2020-05-15
0.895,0.895,0.895,-0.0355603448,2020-05-22
0.901,0.901,0.901,0.0067039106,2020-05-29
0.942,0.942,0.942,0.0455049945,2020-06-05
0.974,0.974,0.974,0.033970276,2020-06-12
0.984,0.984,0.984,0.0102669405,2020-06-19
1.047,1.047,1.047,0.0640243902,2020-06-24
0.874,0.874,0.874,-0.1652340019,2020-06-29
0.887,0.887,0.887,0.0148741419,2020-06-30
0.927,0.927,0.927,0.0450958286,2020-07-01
0.985,0.985,0.985,0.0625674218,2020-07-02
1.069,1.069,1.069,0.0852791878,2020-07-03
1.237,1.237,1.237,0.1571562208,2020-07-06
1.222,1.222,1.222,-0.0121261116,2020-07-07
1.273,1.273,1.273,0.0417348609,2020-07-08
1.258,1.258,1.258,-0.0117831893,2020-07-09
1.183,1.183,1.183,-0.059618442,2020-07-10
1.186,1.186,1.186,0.0025359256,2020-07-13
1.169,1.169,1.169,-0.0143338954,2020-07-14
1.14,1.14,1.14,-0.0248075278,2020-07-15
1.094,1.094,1.094,-0.0403508772,2020-07-16
1.08,1.08,1.08,-0.012797075,2020-07-17
1.159,1.159,1.159,0.0731481481,2020-07-20
1.131,1.131,1.131,-0.0241587575,2020-07-21
1.123,1.123,1.123,-0.0070733864,2020-07-22
1.1,1.1,1.1,-0.0204808549,2020-07-23
1.053,1.053,1.053,-0.0427272727,2020-07-24
1.04,1.04,1.04,-0.012345679,2020-07-27
1.039,1.039,1.039,-0.0009615385,2020-07-28
1.072,1.072,1.072,0.031761309,2020-07-29
1.052,1.052,1.052,-0.0186567164,2020-07-30
1.055,1.055,1.055,0.002851711,2020-07-31
1.072,1.072,1.072,0.0161137441,2020-08-03
1.1,1.1,1.1,0.026119403,2020-08-04
