nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0715,1.0715,1.0715,0.0,2024-04-12
1.0769,1.0769,1.0769,0.005039664,2024-04-19
1.0725,1.0725,1.0725,-0.0040858018,2024-04-26
1.0797,1.0797,1.0797,0.0067132867,2024-04-30
1.1028,1.1028,1.1028,0.0213948319,2024-05-10
1.1037,1.1037,1.1037,0.0008161045,2024-05-17
1.0965,1.0965,1.0965,-0.0065235118,2024-05-24
1.0949,1.0949,1.0949,-0.0014591883,2024-05-31
1.0963,1.0963,1.0963,0.0012786556,2024-06-07
1.0869,1.0869,1.0869,-0.0085742954,2024-06-14
1.0891,1.0891,1.0891,0.0020241053,2024-06-21
1.0833,1.0833,1.0833,-0.0053254981,2024-06-28
1.086,1.086,1.086,0.0024923844,2024-07-05
1.0907,1.0907,1.0907,0.0043278085,2024-07-12
1.0741,1.0741,1.0741,-0.0152195838,2024-07-19
1.0337,1.0337,1.0337,-0.0376128852,2024-07-26
1.0478,1.0478,1.0478,0.0136403212,2024-07-31
1.0526,1.0526,1.0526,0.0045810269,2024-08-02
1.0363,1.0363,1.0363,-0.0154854646,2024-08-09
1.0293,1.0293,1.0293,-0.0067548007,2024-08-16
1.0292,1.0292,1.0292,-9.71534e-05,2024-08-23
1.0368,1.0368,1.0368,0.0073843762,2024-08-30
1.0388,1.0388,1.0388,0.0019290123,2024-09-06
1.0352,1.0352,1.0352,-0.0034655372,2024-09-13
1.0398,1.0398,1.0398,0.0044435858,2024-09-20
1.0256,1.0256,1.0256,-0.0136564724,2024-09-27
1.0315,1.0315,1.0315,0.0057527301,2024-09-30
0.9376,0.9376,0.9376,-0.091032477,2024-10-11
0.9471,0.9471,0.9471,0.0101322526,2024-10-18
0.9596,0.9596,0.9596,0.0131981839,2024-10-25
0.9525,0.9525,0.9525,-0.0073989162,2024-10-31
0.9604,0.9604,0.9604,0.0082939633,2024-11-01
0.9595,0.9595,0.9595,-0.0009371095,2024-11-08
0.9562,0.9562,0.9562,-0.0034392913,2024-11-15
0.9626,0.9626,0.9626,0.0066931604,2024-11-22
0.968,0.968,0.968,0.0056098068,2024-11-29
0.9683,0.9683,0.9683,0.0003099174,2024-12-06
0.987,0.987,0.987,0.0193121966,2024-12-13
0.9788,0.9788,0.9788,-0.0083080041,2024-12-20
0.9752,0.9752,0.9752,-0.003677973,2024-12-27
0.9742,0.9742,0.9742,-0.0010254307,2024-12-31
0.9727,0.9727,0.9727,-0.0015397249,2025-01-03
0.9806,0.9806,0.9806,0.008121723,2025-01-10
0.992,0.992,0.992,0.0116255354,2025-01-17
1.0012,1.0012,1.0012,0.0092741935,2025-01-24
1.0037,1.0037,1.0037,0.0024970036,2025-01-27
1.0068,1.0068,1.0068,0.0030885723,2025-02-07
1.008,1.008,1.008,0.0011918951,2025-02-14
1.0062,1.0062,1.0062,-0.0017857143,2025-02-21
1.0014,1.0014,1.0014,-0.0047704234,2025-02-28
1.0244,1.0244,1.0244,0.022967845,2025-03-07
1.0385,1.0385,1.0385,0.0137641546,2025-03-14
1.0322,1.0322,1.0322,-0.006066442,2025-03-21
1.0351,1.0351,1.0351,0.002809533,2025-03-28
1.0288,1.0288,1.0288,-0.0060863685,2025-03-31
1.0472,1.0472,1.0472,0.0178849145,2025-04-03
1.0347,1.0347,1.0347,-0.0119365928,2025-04-11
1.0358,1.0358,1.0358,0.0010631101,2025-04-18
1.0419,1.0419,1.0419,0.0058891678,2025-04-25
1.0468,1.0468,1.0468,0.0047029465,2025-04-30
1.0583,1.0583,1.0583,0.0109858617,2025-05-09
1.0507,1.0507,1.0507,-0.0071813285,2025-05-16
1.0623,1.0623,1.0623,0.0110402589,2025-05-23
1.0656,1.0656,1.0656,0.0031064671,2025-05-30
1.0739,1.0739,1.0739,0.007789039,2025-06-06
1.0834,1.0834,1.0834,0.0088462613,2025-06-13
1.0827,1.0827,1.0827,-0.0006461141,2025-06-20
1.0896,1.0896,1.0896,0.0063729565,2025-06-27
1.0855,1.0855,1.0855,-0.0037628488,2025-06-30
1.0936,1.0936,1.0936,0.0074619991,2025-07-04
1.088,1.088,1.088,-0.0051207023,2025-07-11
1.0919,1.0919,1.0919,0.0035845588,2025-07-18
1.1042,1.1042,1.1042,0.0112647678,2025-07-25
1.0896,1.0896,1.0896,-0.0132222423,2025-07-31
1.095,1.095,1.095,0.0049559471,2025-08-01
1.123,1.123,1.123,0.0255707763,2025-08-08
1.133,1.133,1.133,0.0089047195,2025-08-15
1.1547,1.1547,1.1547,0.019152692,2025-08-22
1.1367,1.1367,1.1367,-0.0155884645,2025-08-29
1.1589,1.1589,1.1589,0.0195302191,2025-09-05
1.1828,1.1828,1.1828,0.0206230046,2025-09-12
1.1666,1.1666,1.1666,-0.0136963138,2025-09-19
