nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-01-18
1.0,1.0,1.0,0.0,2016-01-19
0.9999,0.9999,0.9999,-0.0001,2016-01-20
0.9999,0.9999,0.9999,0.0,2016-01-21
0.9999,0.9999,0.9999,0.0,2016-01-22
0.9998,0.9998,0.9998,-0.00010001,2016-01-25
0.9997,0.9997,0.9997,-0.00010002,2016-01-26
0.9997,0.9997,0.9997,0.0,2016-01-27
0.9996,0.9996,0.9996,-0.00010003,2016-01-28
0.9996,0.9996,0.9996,0.0,2016-01-29
0.9995,0.9995,0.9995,-0.00010004,2016-02-01
0.9995,0.9995,0.9995,0.0,2016-02-02
0.9995,0.9995,0.9995,0.0,2016-02-03
0.9994,0.9994,0.9994,-0.00010005,2016-02-04
0.9994,0.9994,0.9994,0.0,2016-02-05
0.9991,0.9991,0.9991,-0.0003001801,2016-02-12
0.999,0.999,0.999,-0.0001000901,2016-02-15
0.9989,0.9989,0.9989,-0.0001001001,2016-02-16
0.9981,0.9981,0.9981,-0.000800881,2016-02-17
1.0052,1.0052,1.0052,0.0071135157,2016-02-18
1.0108,1.0108,1.0108,0.0055710306,2016-02-19
1.0223,1.0223,1.0223,0.011377127,2016-02-22
1.0171,1.0171,1.0171,-0.0050865695,2016-02-23
1.0054,1.0054,1.0054,-0.0115032937,2016-02-24
0.9739,0.9739,0.9739,-0.0313308136,2016-02-25
0.9956,0.9956,0.9956,0.0222815484,2016-02-26
0.9791,0.9791,0.9791,-0.0165729209,2016-02-29
0.9977,0.9977,0.9977,0.0189970381,2016-03-01
1.0329,1.0329,1.0329,0.0352811466,2016-03-02
1.033,1.033,1.033,9.68148e-05,2016-03-03
1.0654,1.0654,1.0654,0.0313649564,2016-03-04
1.0732,1.0732,1.0732,0.0073211939,2016-03-07
1.0609,1.0609,1.0609,-0.0114610511,2016-03-08
1.0285,1.0285,1.0285,-0.0305401075,2016-03-09
1.0193,1.0193,1.0193,-0.0089450656,2016-03-10
1.0419,1.0419,1.0419,0.0221720789,2016-03-11
1.0514,1.0514,1.0514,0.0091179576,2016-03-14
1.0364,1.0364,1.0364,-0.014266692,2016-03-15
1.0181,1.0181,1.0181,-0.0176572752,2016-03-16
1.051,1.051,1.051,0.0323150967,2016-03-17
1.0651,1.0651,1.0651,0.0134157945,2016-03-18
1.0787,1.0787,1.0787,0.0127687541,2016-03-21
1.0644,1.0644,1.0644,-0.0132566979,2016-03-22
1.0701,1.0701,1.0701,0.0053551297,2016-03-23
1.045,1.045,1.045,-0.0234557518,2016-03-24
1.045,1.045,1.045,0.0,2016-03-25
1.0449,1.0449,1.0449,-9.56938e-05,2016-03-28
1.0367,1.0367,1.0367,-0.0078476409,2016-03-29
1.0758,1.0758,1.0758,0.0377158291,2016-03-30
1.0746,1.0746,1.0746,-0.001115449,2016-03-31
1.0536,1.0536,1.0536,-0.0195421552,2016-04-01
1.0592,1.0592,1.0592,0.0053151101,2016-04-05
1.0514,1.0514,1.0514,-0.0073640483,2016-04-06
1.0588,1.0588,1.0588,0.0070382347,2016-04-07
1.0551,1.0551,1.0551,-0.0034945221,2016-04-08
1.0769,1.0769,1.0769,0.0206615487,2016-04-11
1.0772,1.0772,1.0772,0.0002785774,2016-04-12
1.1295,1.1295,1.1295,0.048551801,2016-04-13
1.1182,1.1182,1.1182,-0.0100044267,2016-04-14
1.1159,1.1159,1.1159,-0.0020568771,2016-04-15
1.0954,1.0954,1.0954,-0.0183708218,2016-04-18
1.1271,1.1271,1.1271,0.0289392003,2016-04-19
1.1155,1.1155,1.1155,-0.0102918996,2016-04-20
1.1507,1.1507,1.1507,0.0315553563,2016-04-21
1.13,1.13,1.13,-0.0179890501,2016-04-22
1.1208,1.1208,1.1208,-0.0081415929,2016-04-25
1.123,1.123,1.123,0.0019628837,2016-04-26
1.1161,1.1161,1.1161,-0.0061442565,2016-04-27
1.1066,1.1066,1.1066,-0.0085117821,2016-04-28
1.095,1.095,1.095,-0.0104825592,2016-04-29
1.0964,1.0964,1.0964,0.0012785388,2016-05-03
1.0969,1.0969,1.0969,0.0004560379,2016-05-04
1.1076,1.1076,1.1076,0.0097547634,2016-05-05
1.0774,1.0774,1.0774,-0.0272661611,2016-05-06
1.0467,1.0467,1.0467,-0.0284945239,2016-05-09
