nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-05-30
1.0001,1.0001,1.0001,0.0001,2023-05-31
1.0001,1.0001,1.0001,0.0,2023-06-01
1.0001,1.0001,1.0001,0.0,2023-06-02
1.0001,1.0001,1.0001,0.0,2023-06-05
1.0,1.0,1.0,-9.999e-05,2023-06-06
1.0001,1.0001,1.0001,0.0001,2023-06-07
1.0001,1.0001,1.0001,0.0,2023-06-08
1.0001,1.0001,1.0001,0.0,2023-06-09
0.9948,0.9948,0.9948,-0.0052994701,2023-06-12
1.0159,1.0159,1.0159,0.0212102935,2023-06-13
1.048,1.048,1.048,0.0315975982,2023-06-14
1.0384,1.0384,1.0384,-0.0091603053,2023-06-15
1.0675,1.0675,1.0675,0.0280238829,2023-06-16
1.0906,1.0906,1.0906,0.0216393443,2023-06-19
1.0944,1.0944,1.0944,0.0034843206,2023-06-20
1.0272,1.0272,1.0272,-0.0614035088,2023-06-21
0.9573,0.9573,0.9573,-0.0680490654,2023-06-26
0.9423,0.9423,0.9423,-0.0156690693,2023-06-27
0.8972,0.8972,0.8972,-0.0478616152,2023-06-28
0.9396,0.9396,0.9396,0.0472581364,2023-06-29
0.9449,0.9449,0.9449,0.0056406982,2023-06-30
0.952,0.952,0.952,0.0075140226,2023-07-03
0.9603,0.9603,0.9603,0.0087184874,2023-07-04
0.921,0.921,0.921,-0.040924711,2023-07-05
0.9477,0.9477,0.9477,0.028990228,2023-07-06
0.9208,0.9208,0.9208,-0.0283845099,2023-07-07
0.9097,0.9097,0.9097,-0.012054735,2023-07-10
0.9597,0.9597,0.9597,0.0549631747,2023-07-11
0.968,0.968,0.968,0.008648536,2023-07-12
0.9981,0.9981,0.9981,0.0310950413,2023-07-13
0.9783,0.9783,0.9783,-0.0198376916,2023-07-14
0.9916,0.9916,0.9916,0.0135950118,2023-07-17
0.95,0.95,0.95,-0.0419524002,2023-07-18
0.941,0.941,0.941,-0.0094736842,2023-07-19
0.868,0.868,0.868,-0.0775770457,2023-07-20
0.8541,0.8541,0.8541,-0.0160138249,2023-07-21
0.8468,0.8468,0.8468,-0.0085470085,2023-07-24
0.8655,0.8655,0.8655,0.0220831365,2023-07-25
0.8658,0.8658,0.8658,0.0003466205,2023-07-26
0.8824,0.8824,0.8824,0.0191730192,2023-07-27
0.8933,0.8933,0.8933,0.0123526745,2023-07-28
0.8973,0.8973,0.8973,0.004477779,2023-07-31
0.9186,0.9186,0.9186,0.0237378803,2023-08-01
0.9221,0.9221,0.9221,0.0038101459,2023-08-02
0.9125,0.9125,0.9125,-0.0104110183,2023-08-03
