nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9999,0.9999,0.9999,0.0,2014-08-22
1.0007,1.0007,1.0007,0.00080008,2014-08-29
1.0001,1.0001,1.0001,-0.0005995803,2014-09-05
1.0012,1.0012,1.0012,0.00109989,2014-09-12
1.0006,1.0006,1.0006,-0.0005992809,2014-09-19
0.9991,0.9991,0.9991,-0.0014991005,2014-09-26
1.0026,1.0026,1.0026,0.0035031528,2014-09-30
1.0035,1.0035,1.0035,0.0008976661,2014-10-10
1.0054,1.0054,1.0054,0.0018933732,2014-10-17
1.0038,1.0038,1.0038,-0.0015914064,2014-10-24
1.006,1.006,1.006,0.0021916716,2014-10-31
1.0088,1.0088,1.0088,0.0027833002,2014-11-07
1.0104,1.0104,1.0104,0.0015860428,2014-11-14
1.0124,1.0124,1.0124,0.0019794141,2014-11-21
1.0203,1.0203,1.0203,0.0078032398,2014-11-28
1.0211,1.0211,1.0211,0.0007840831,2014-12-05
1.019,1.019,1.019,-0.0020566056,2014-12-12
1.0278,1.0278,1.0278,0.0086359176,2014-12-19
1.053,1.053,1.053,0.0245183888,2014-12-26
1.0521,1.0521,1.0521,-0.0008547009,2014-12-31
1.0569,1.0569,1.0569,0.004562304,2015-01-09
1.0819,1.0819,1.0819,0.0236540827,2015-01-16
1.0884,1.0884,1.0884,0.006007949,2015-01-23
1.0883,1.0883,1.0883,-9.1878e-05,2015-01-30
1.0962,1.0962,1.0962,0.0072590278,2015-02-06
1.0947,1.0947,1.0947,-0.0013683634,2015-02-13
1.1033,1.1033,1.1033,0.0078560336,2015-02-17
1.1031,1.1031,1.1031,-0.0001812744,2015-02-27
1.1046,1.1046,1.1046,0.0013598042,2015-03-06
1.1096,1.1096,1.1096,0.0045265254,2015-03-13
1.1116,1.1116,1.1116,0.0018024513,2015-03-20
1.1148,1.1148,1.1148,0.0028787334,2015-03-27
1.1255,1.1255,1.1255,0.0095981342,2015-04-03
1.1285,1.1285,1.1285,0.002665482,2015-04-10
1.1278,1.1278,1.1278,-0.0006202924,2015-04-17
1.1338,1.1338,1.1338,0.0053200922,2015-04-24
1.1303,1.1303,1.1303,-0.0030869642,2015-04-30
1.1442,1.1442,1.1442,0.0122976201,2015-05-08
1.139,1.139,1.139,-0.00454466,2015-05-15
1.1412,1.1412,1.1412,0.0019315189,2015-05-22
1.1449,1.1449,1.1449,0.0032422012,2015-05-29
1.1472,1.1472,1.1472,0.0020089091,2015-06-05
1.171,1.171,1.171,0.0207461646,2015-06-12
1.1553,1.1553,1.1553,-0.0134073442,2015-06-19
