nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-08-22
1.0,1.0,1.0,0.0,2022-08-26
1.0,1.0,1.0,0.0,2022-08-31
1.0,1.0,1.0,0.0,2022-09-02
1.0,1.0,1.0,0.0,2022-09-09
1.0,1.0,1.0,0.0,2022-09-16
1.0,1.0,1.0,0.0,2022-09-23
1.001,1.001,1.001,0.001,2022-09-30
1.0,1.0,1.0,-0.000999001,2022-10-14
1.0,1.0,1.0,0.0,2022-10-21
1.0,1.0,1.0,0.0,2022-10-28
1.0,1.0,1.0,0.0,2022-10-31
1.0,1.0,1.0,0.0,2022-11-04
1.0,1.0,1.0,0.0,2022-11-11
1.0,1.0,1.0,0.0,2022-11-18
0.987,0.987,0.987,-0.013,2022-11-25
0.991,0.991,0.991,0.0040526849,2022-11-30
1.004,1.004,1.004,0.0131180626,2022-12-02
0.994,0.994,0.994,-0.0099601594,2022-12-09
0.971,0.971,0.971,-0.023138833,2022-12-16
0.924,0.924,0.924,-0.0484037075,2022-12-23
0.952,0.952,0.952,0.0303030303,2022-12-30
0.986,0.986,0.986,0.0357142857,2023-01-06
0.992,0.992,0.992,0.0060851927,2023-01-13
1.014,1.014,1.014,0.0221774194,2023-01-20
1.024,1.024,1.024,0.0098619329,2023-01-31
1.036,1.036,1.036,0.01171875,2023-02-03
1.044,1.044,1.044,0.0077220077,2023-02-10
1.03,1.03,1.03,-0.0134099617,2023-02-17
1.045,1.045,1.045,0.0145631068,2023-02-24
1.051,1.051,1.051,0.0057416268,2023-02-28
1.055,1.055,1.055,0.0038058991,2023-03-03
1.04,1.04,1.04,-0.0142180095,2023-03-10
1.038,1.038,1.038,-0.0019230769,2023-03-17
1.056,1.056,1.056,0.0173410405,2023-03-24
1.061,1.061,1.061,0.0047348485,2023-03-31
1.073,1.073,1.073,0.0113100848,2023-04-07
1.072,1.072,1.072,-0.0009319664,2023-04-14
1.049,1.049,1.049,-0.0214552239,2023-04-21
1.058,1.058,1.058,0.0085795996,2023-04-28
1.062,1.062,1.062,0.0037807183,2023-05-05
1.045,1.045,1.045,-0.016007533,2023-05-12
1.063,1.063,1.063,0.0172248804,2023-05-19
1.064,1.064,1.064,0.0009407338,2023-05-26
1.065,1.065,1.065,0.0009398496,2023-05-31
1.075,1.075,1.075,0.0093896714,2023-06-02
1.059,1.059,1.059,-0.0148837209,2023-06-09
1.09,1.09,1.09,0.029272899,2023-06-16
1.074,1.074,1.074,-0.0146788991,2023-06-21
1.087,1.087,1.087,0.0121042831,2023-06-30
1.073,1.073,1.073,-0.0128794848,2023-07-07
1.067,1.067,1.067,-0.0055917987,2023-07-14
1.046,1.046,1.046,-0.0196813496,2023-07-21
1.06,1.06,1.06,0.0133843212,2023-07-28
1.067,1.067,1.067,0.0066037736,2023-07-31
1.068,1.068,1.068,0.0009372071,2023-08-04
1.034,1.034,1.034,-0.031835206,2023-08-11
1.012,1.012,1.012,-0.0212765957,2023-08-18
0.974,0.974,0.974,-0.0375494071,2023-08-25
1.018,1.018,1.018,0.045174538,2023-08-31
1.021,1.021,1.021,0.0029469548,2023-09-01
1.012,1.012,1.012,-0.0088148874,2023-09-08
1.017,1.017,1.017,0.0049407115,2023-09-15
1.017,1.017,1.017,0.0,2023-09-22
1.034,1.034,1.034,0.0167158309,2023-09-28
1.029,1.029,1.029,-0.0048355899,2023-10-13
0.991,0.991,0.991,-0.0369290573,2023-10-20
1.011,1.011,1.011,0.0201816347,2023-10-27
1.029,1.029,1.029,0.0178041543,2023-10-31
1.028,1.028,1.028,-0.0009718173,2023-11-03
1.036,1.036,1.036,0.0077821012,2023-11-10
1.048,1.048,1.048,0.0115830116,2023-11-17
1.034,1.034,1.034,-0.0133587786,2023-11-24
1.039,1.039,1.039,0.0048355899,2023-11-30
1.045,1.045,1.045,0.0057747834,2023-12-01
1.036,1.036,1.036,-0.0086124402,2023-12-08
1.033,1.033,1.033,-0.0028957529,2023-12-15
1.007,1.007,1.007,-0.0251694095,2023-12-22
1.036,1.036,1.036,0.0287984111,2023-12-29
1.005,1.005,1.005,-0.0299227799,2024-01-05
0.992,0.992,0.992,-0.0129353234,2024-01-12
0.948,0.948,0.948,-0.0443548387,2024-01-19
0.938,0.938,0.938,-0.0105485232,2024-01-26
0.817,0.817,0.817,-0.1289978678,2024-02-02
0.873,0.873,0.873,0.0685434517,2024-02-08
0.91,0.91,0.91,0.0423825888,2024-02-23
0.938,0.938,0.938,0.0307692308,2024-03-01
0.93,0.93,0.93,-0.0085287846,2024-03-08
0.969,0.969,0.969,0.0419354839,2024-03-15
0.982,0.982,0.982,0.0134158927,2024-03-22
0.955,0.955,0.955,-0.0274949084,2024-03-29
0.976,0.976,0.976,0.0219895288,2024-04-03
0.96,0.96,0.96,-0.0163934426,2024-04-12
0.946,0.946,0.946,-0.0145833333,2024-04-19
0.962,0.962,0.962,0.0169133192,2024-04-26
0.983,0.983,0.983,0.0218295218,2024-04-30
1.007,1.007,1.007,0.024415056,2024-05-10
1.008,1.008,1.008,0.0009930487,2024-05-17
0.976,0.976,0.976,-0.0317460317,2024-05-24
0.98,0.98,0.98,0.0040983607,2024-05-31
0.945,0.945,0.945,-0.0357142857,2024-06-07
0.95,0.95,0.95,0.0052910053,2024-06-14
0.942,0.942,0.942,-0.0084210526,2024-06-21
0.928,0.928,0.928,-0.0148619958,2024-06-28
0.913,0.913,0.913,-0.0161637931,2024-07-05
0.939,0.939,0.939,0.0284775465,2024-07-12
0.918,0.918,0.918,-0.0223642173,2024-07-19
0.888,0.888,0.888,-0.0326797386,2024-07-26
0.918,0.918,0.918,0.0337837838,2024-07-31
0.904,0.904,0.904,-0.0152505447,2024-08-02
0.896,0.896,0.896,-0.0088495575,2024-08-09
0.884,0.884,0.884,-0.0133928571,2024-08-16
0.852,0.852,0.852,-0.036199095,2024-08-23
0.878,0.878,0.878,0.0305164319,2024-08-30
0.863,0.863,0.863,-0.0170842825,2024-09-06
0.845,0.845,0.845,-0.0208574739,2024-09-13
0.853,0.853,0.853,0.0094674556,2024-09-20
0.97,0.97,0.97,0.1371629543,2024-09-27
1.068,1.068,1.068,0.1010309278,2024-09-30
1.001,1.001,1.001,-0.0627340824,2024-10-11
1.049,1.049,1.049,0.047952048,2024-10-18
1.083,1.083,1.083,0.0324118208,2024-10-25
1.101,1.101,1.101,0.0166204986,2024-10-31
1.068,1.068,1.068,-0.029972752,2024-11-01
1.154,1.154,1.154,0.0805243446,2024-11-08
1.114,1.114,1.114,-0.0346620451,2024-11-15
1.09,1.09,1.09,-0.0215439856,2024-11-22
1.119,1.119,1.119,0.0266055046,2024-11-29
1.146,1.146,1.146,0.0241286863,2024-12-06
1.152,1.152,1.152,0.0052356021,2024-12-13
1.142,1.142,1.142,-0.0086805556,2024-12-20
1.129,1.129,1.129,-0.0113835377,2024-12-27
1.092,1.092,1.092,-0.0327723649,2024-12-31
1.031,1.031,1.031,-0.0558608059,2025-01-03
1.02,1.02,1.02,-0.0106692532,2025-01-10
1.075,1.075,1.075,0.0539215686,2025-01-17
1.093,1.093,1.093,0.016744186,2025-01-24
1.081,1.081,1.081,-0.010978957,2025-01-27
1.133,1.133,1.133,0.0481036078,2025-02-07
1.152,1.152,1.152,0.0167696381,2025-02-14
1.191,1.191,1.191,0.0338541667,2025-02-21
1.138,1.138,1.138,-0.0445004198,2025-02-28
1.165,1.165,1.165,0.0237258348,2025-03-07
1.184,1.184,1.184,0.0163090129,2025-03-14
1.16,1.16,1.16,-0.0202702703,2025-03-21
1.18,1.18,1.18,0.0172413793,2025-03-28
1.173,1.173,1.173,-0.0059322034,2025-03-31
1.172,1.172,1.172,-0.0008525149,2025-04-03
1.116,1.116,1.116,-0.04778157,2025-04-11
1.119,1.119,1.119,0.002688172,2025-04-18
1.149,1.149,1.149,0.0268096515,2025-04-25
1.154,1.154,1.154,0.0043516101,2025-04-30
1.18,1.18,1.18,0.0225303293,2025-05-09
1.185,1.185,1.185,0.0042372881,2025-05-16
1.174,1.174,1.174,-0.0092827004,2025-05-23
1.186,1.186,1.186,0.0102214651,2025-05-30
1.214,1.214,1.214,0.023608769,2025-06-06
1.205,1.205,1.205,-0.0074135091,2025-06-13
1.193,1.193,1.193,-0.0099585062,2025-06-20
1.25,1.25,1.25,0.0477787091,2025-06-27
1.262,1.262,1.262,0.0096,2025-06-30
1.26,1.26,1.26,-0.0015847861,2025-07-04
1.295,1.295,1.295,0.0277777778,2025-07-11
1.322,1.322,1.322,0.0208494208,2025-07-18
1.365,1.365,1.365,0.032526475,2025-07-25
1.352,1.352,1.352,-0.0095238095,2025-07-31
1.356,1.356,1.356,0.0029585799,2025-08-01
1.396,1.396,1.396,0.0294985251,2025-08-08
1.445,1.445,1.445,0.0351002865,2025-08-15
1.497,1.497,1.497,0.0359861592,2025-08-22
1.512,1.512,1.512,0.0100200401,2025-08-29
1.497,1.497,1.497,-0.0099206349,2025-09-05
1.54,1.54,1.54,0.0287241149,2025-09-12
1.544,1.544,1.544,0.0025974026,2025-09-19
1.543,1.543,1.543,-0.0006476684,2025-09-26
1.576,1.576,1.576,0.0213869086,2025-09-30
1.581,1.581,1.581,0.0031725888,2025-10-10
1.523,1.523,1.523,-0.036685642,2025-10-17
1.579,1.579,1.579,0.0367695338,2025-10-24
1.604,1.604,1.604,0.0158328056,2025-10-31
1.322,1.622,1.622,0.0112219451,2025-11-07
1.33,1.63,1.63181543,0.0060514372,2025-11-14
1.249,1.549,1.53243419,-0.0609022556,2025-11-21
1.309,1.609,1.60604992,0.0480384307,2025-11-28
1.317,1.617,1.61586536,0.0061115355,2025-12-05
1.316,1.616,1.61463843,-0.0007593014,2025-12-12
1.322,1.622,1.622,0.0045592705,2025-12-19
1.36,1.66,1.6686233,0.0287443268,2025-12-26
1.361,1.661,1.66985023,0.0007352941,2025-12-31
1.439,1.739,1.76555068,0.0573108009,2026-01-09
1.462,1.762,1.79377005,0.0159833218,2026-01-16
1.522,1.822,1.86738578,0.0410396717,2026-01-23
1.49,1.79,1.82812405,-0.0210249671,2026-01-30
1.483,1.783,1.81953555,-0.0046979866,2026-02-06
1.517,1.817,1.86125113,0.0229265003,2026-02-13
1.572,1.872,1.92873222,0.036255768,2026-02-27
1.535,1.835,1.88333585,-0.0235368957,2026-03-06
1.531,1.831,1.87842814,-0.0026058632,2026-03-13
1.457,1.757,1.7876354,-0.0483344219,2026-03-20
1.466,1.766,1.79867776,0.0061770762,2026-03-27
1.448,1.748,1.77659304,-0.0122783083,2026-03-31
1.431,1.731,1.75573525,-0.0117403315,2026-04-03
1.508,1.808,1.85020877,0.0538085255,2026-04-10
1.565,1.865,1.92014372,0.0377984085,2026-04-17
1.571,1.871,1.9275053,0.0038338658,2026-04-24
1.603,1.903,1.96676702,0.0203691916,2026-04-30
1.666,1.966,2.04406354,0.03930131,2026-05-08
1.667,1.967,2.04529047,0.0006002401,2026-05-15
1.68,1.98,2.06124054,0.0077984403,2026-05-22
