nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-01-24
1.0001,1.0001,1.0001,0.0001,2024-01-26
1.0003,1.0003,1.0003,0.00019998,2024-01-31
0.9975,0.9975,0.9975,-0.0027991603,2024-02-02
1.0023,1.0023,1.0023,0.0048120301,2024-02-08
1.0037,1.0037,1.0037,0.0013967874,2024-02-23
1.0047,1.0047,1.0047,0.0009963136,2024-02-29
1.0052,1.0052,1.0052,0.000497661,2024-03-01
1.0076,1.0076,1.0076,0.0023875846,2024-03-08
1.0075,1.0075,1.0075,-9.92457e-05,2024-03-15
1.0078,1.0078,1.0078,0.0002977667,2024-03-22
1.0084,1.0084,1.0084,0.0005953562,2024-03-29
1.0083,1.0083,1.0083,-9.9167e-05,2024-04-03
1.009,1.009,1.009,0.0006942378,2024-04-12
1.0079,1.0079,1.0079,-0.0010901883,2024-04-19
1.0097,1.0097,1.0097,0.0017858915,2024-04-26
1.011,1.011,1.011,0.0012875111,2024-04-30
1.0116,1.0116,1.0116,0.0005934718,2024-05-10
1.0123,1.0123,1.0123,0.0006919731,2024-05-17
1.013,1.013,1.013,0.0006914946,2024-05-24
1.0148,1.0148,1.0148,0.0017769003,2024-05-31
1.015,1.015,1.015,0.0001970832,2024-06-07
1.0175,1.0175,1.0175,0.0024630542,2024-06-14
1.0185,1.0185,1.0185,0.000982801,2024-06-21
1.0188,1.0188,1.0188,0.0002945508,2024-06-28
1.0202,1.0202,1.0202,0.0013741657,2024-07-05
1.02,1.02,1.02,-0.00019604,2024-07-12
1.0213,1.0213,1.0213,0.0012745098,2024-07-19
1.0205,1.0205,1.0205,-0.0007833154,2024-07-26
1.0195,1.0195,1.0195,-0.0009799118,2024-07-31
1.0192,1.0192,1.0192,-0.0002942619,2024-08-02
1.0198,1.0198,1.0198,0.000588697,2024-08-09
1.0214,1.0214,1.0214,0.0015689351,2024-08-16
1.023,1.023,1.023,0.0015664774,2024-08-23
1.0234,1.0234,1.0234,0.0003910068,2024-08-30
1.0227,1.0227,1.0227,-0.0006839945,2024-09-06
1.0236,1.0236,1.0236,0.0008800235,2024-09-13
1.0243,1.0243,1.0243,0.0006838609,2024-09-20
1.0266,1.0266,1.0266,0.0022454359,2024-09-27
1.0315,1.0315,1.0315,0.0047730372,2024-09-30
1.0465,1.0465,1.0465,0.0145419292,2024-10-11
1.0475,1.0475,1.0475,0.0009555662,2024-10-18
1.057,1.057,1.057,0.0090692124,2024-10-25
1.0541,1.0541,1.0541,-0.002743614,2024-10-31
1.0535,1.0535,1.0535,-0.000569206,2024-11-01
1.0611,1.0611,1.0611,0.0072140484,2024-11-08
1.069,1.069,1.069,0.0074451041,2024-11-15
1.0721,1.0721,1.0721,0.0028999065,2024-11-22
1.0714,1.0714,1.0714,-0.0006529242,2024-11-29
1.071,1.071,1.071,-0.0003733433,2024-12-06
1.0692,1.0692,1.0692,-0.0016806723,2024-12-13
1.0727,1.0727,1.0727,0.0032734755,2024-12-20
1.0743,1.0743,1.0743,0.0014915633,2024-12-27
1.0734,1.0734,1.0734,-0.0008377548,2024-12-31
1.0721,1.0721,1.0721,-0.0012111049,2025-01-03
1.0727,1.0727,1.0727,0.0005596493,2025-01-10
1.0744,1.0744,1.0744,0.0015847861,2025-01-17
1.0762,1.0762,1.0762,0.0016753537,2025-01-24
1.0761,1.0761,1.0761,-9.29195e-05,2025-01-27
1.0789,1.0789,1.0789,0.0026019887,2025-02-07
1.0792,1.0792,1.0792,0.000278061,2025-02-14
1.0824,1.0824,1.0824,0.0029651594,2025-02-21
1.0835,1.0835,1.0835,0.0010162602,2025-02-28
