nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-04-28
1.0001,1.0001,1.0001,0.0001,2020-04-29
1.0,1.0,1.0,-9.999e-05,2020-04-30
0.9998,0.9998,0.9998,-0.0002,2020-05-06
0.9999,0.9999,0.9999,0.00010002,2020-05-07
0.9999,0.9999,0.9999,0.0,2020-05-08
0.9999,0.9999,0.9999,0.0,2020-05-11
1.0027,1.0027,1.0027,0.00280028,2020-05-12
1.0026,1.0026,1.0026,-9.97307e-05,2020-05-13
1.0,1.0,1.0,-0.0025932575,2020-05-14
0.9986,0.9986,0.9986,-0.0014,2020-05-15
1.0023,1.0023,1.0023,0.0037051873,2020-05-18
1.0058,1.0058,1.0058,0.0034919685,2020-05-19
1.0049,1.0049,1.0049,-0.0008948101,2020-05-20
1.0057,1.0057,1.0057,0.0007960991,2020-05-21
0.9955,0.9955,0.9955,-0.0101421895,2020-05-22
0.9994,0.9994,0.9994,0.0039176293,2020-05-25
1.0057,1.0057,1.0057,0.0063037823,2020-05-26
1.0036,1.0036,1.0036,-0.0020880978,2020-05-27
1.0035,1.0035,1.0035,-9.96413e-05,2020-05-28
1.0092,1.0092,1.0092,0.0056801196,2020-05-29
1.0166,1.0166,1.0166,0.0073325406,2020-06-01
1.013,1.013,1.013,-0.0035412158,2020-06-02
1.0131,1.0131,1.0131,9.87167e-05,2020-06-03
1.0123,1.0123,1.0123,-0.0007896555,2020-06-04
1.0134,1.0134,1.0134,0.0010866344,2020-06-05
1.0113,1.0113,1.0113,-0.0020722321,2020-06-08
1.0174,1.0174,1.0174,0.0060318402,2020-06-09
1.0272,1.0272,1.0272,0.0096323963,2020-06-10
1.0214,1.0214,1.0214,-0.0056464174,2020-06-11
1.0244,1.0244,1.0244,0.0029371451,2020-06-12
1.0178,1.0178,1.0178,-0.0064427958,2020-06-15
1.0341,1.0341,1.0341,0.0160149342,2020-06-16
1.0361,1.0361,1.0361,0.0019340489,2020-06-17
1.0353,1.0353,1.0353,-0.0007721262,2020-06-18
1.0449,1.0449,1.0449,0.0092726746,2020-06-19
1.0414,1.0414,1.0414,-0.0033496028,2020-06-22
1.0516,1.0516,1.0516,0.0097945074,2020-06-23
1.0553,1.0553,1.0553,0.0035184481,2020-06-24
1.0629,1.0629,1.0629,0.0072017436,2020-06-29
1.0728,1.0728,1.0728,0.0093141406,2020-06-30
1.0769,1.0769,1.0769,0.0038217748,2020-07-01
1.0805,1.0805,1.0805,0.0033429288,2020-07-02
1.0872,1.0872,1.0872,0.0062008329,2020-07-03
1.0996,1.0996,1.0996,0.0114054452,2020-07-06
1.1023,1.1023,1.1023,0.0024554383,2020-07-07
1.1139,1.1139,1.1139,0.010523451,2020-07-08
1.1331,1.1331,1.1331,0.0172367358,2020-07-09
1.1238,1.1238,1.1238,-0.0082075721,2020-07-10
1.1352,1.1352,1.1352,0.0101441538,2020-07-17
1.1365,1.1365,1.1365,0.0011451727,2020-07-24
1.1898,1.1898,1.1898,0.0468983722,2020-07-31
1.2437,1.2437,1.2437,0.0453017314,2020-08-07
1.2106,1.2106,1.2106,-0.0266141352,2020-08-14
1.2232,1.2232,1.2232,0.0104080621,2020-08-21
1.2565,1.2565,1.2565,0.0272236756,2020-08-28
1.2529,1.2529,1.2529,-0.0028651015,2020-08-31
1.2508,1.2508,1.2508,-0.0016761114,2020-09-04
1.2077,1.2077,1.2077,-0.0344579469,2020-09-11
1.2511,1.2511,1.2511,0.0359360768,2020-09-18
1.1985,1.1985,1.1985,-0.0420430022,2020-09-25
1.2215,1.2215,1.2215,0.019190655,2020-09-30
1.2631,1.2631,1.2631,0.0340564879,2020-10-09
1.2489,1.2489,1.2489,-0.0112421819,2020-10-16
1.1847,1.1847,1.1847,-0.0514052366,2020-10-23
1.2212,1.2212,1.2212,0.0308094876,2020-10-30
1.2391,1.2391,1.2391,0.0146577137,2020-11-06
1.2374,1.2374,1.2374,-0.0013719635,2020-11-13
1.2511,1.2511,1.2511,0.0110716017,2020-11-20
1.2268,1.2268,1.2268,-0.0194229078,2020-11-27
1.2217,1.2217,1.2217,-0.0041571568,2020-11-30
1.2547,1.2547,1.2547,0.0270115413,2020-12-04
1.2275,1.2275,1.2275,-0.0216784889,2020-12-11
1.241,1.241,1.241,0.0109979633,2020-12-18
1.253,1.253,1.253,0.0096696213,2020-12-25
1.2713,1.2713,1.2713,0.0146049481,2020-12-31
1.3188,1.3188,1.3188,0.0373633289,2021-01-08
1.2994,1.2994,1.2994,-0.0147103427,2021-01-15
1.3697,1.3697,1.3697,0.0541018932,2021-01-22
1.3107,1.3107,1.3107,-0.0430751259,2021-01-29
1.3382,1.3382,1.3382,0.0209811551,2021-02-05
1.4227,1.4227,1.4227,0.0631445225,2021-02-10
1.3901,1.3901,1.3901,-0.0229141773,2021-02-19
1.3086,1.3086,1.3086,-0.0586288756,2021-02-26
