nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-08-15
1.0,1.0,1.0,0.0,2023-08-18
1.0,1.0,1.0,0.0,2023-08-25
1.0,1.0,1.0,0.0,2023-08-31
1.0,1.0,1.0,0.0,2023-09-01
0.997,0.997,0.997,-0.003,2023-09-08
0.995,0.995,0.995,-0.0020060181,2023-09-15
1.002,1.002,1.002,0.0070351759,2023-09-22
1.014,1.014,1.014,0.0119760479,2023-09-28
1.014,1.014,1.014,0.0,2023-10-13
0.977,0.977,0.977,-0.0364891519,2023-10-20
1.01,1.01,1.01,0.033776868,2023-10-27
1.004,1.004,1.004,-0.0059405941,2023-10-31
1.01,1.01,1.01,0.0059760956,2023-11-03
1.025,1.025,1.025,0.0148514851,2023-11-10
1.036,1.036,1.036,0.0107317073,2023-11-17
1.021,1.021,1.021,-0.0144787645,2023-11-24
1.027,1.027,1.027,0.0058765916,2023-11-30
1.031,1.031,1.031,0.0038948393,2023-12-01
1.025,1.025,1.025,-0.0058195926,2023-12-08
1.021,1.021,1.021,-0.003902439,2023-12-15
1.016,1.016,1.016,-0.0048971596,2023-12-22
1.039,1.039,1.039,0.0226377953,2023-12-29
1.025,1.025,1.025,-0.0134744947,2024-01-05
1.022,1.022,1.022,-0.0029268293,2024-01-12
0.989,0.989,0.989,-0.0322896282,2024-01-19
0.985,0.985,0.985,-0.0040444894,2024-01-26
0.927,0.927,0.927,-0.0588832487,2024-01-31
0.921,0.921,0.921,-0.0064724919,2024-02-02
0.959,0.959,0.959,0.0412595005,2024-02-08
0.956,0.956,0.956,-0.0031282586,2024-02-23
0.954,0.954,0.954,-0.0020920502,2024-02-29
0.956,0.956,0.956,0.0020964361,2024-03-01
0.946,0.946,0.946,-0.010460251,2024-03-08
0.965,0.965,0.965,0.0200845666,2024-03-15
0.973,0.973,0.973,0.0082901554,2024-03-22
0.968,0.968,0.968,-0.0051387461,2024-03-29
0.979,0.979,0.979,0.0113636364,2024-04-03
0.974,0.974,0.974,-0.0051072523,2024-04-12
0.95,0.95,0.95,-0.0246406571,2024-04-19
0.968,0.968,0.968,0.0189473684,2024-04-26
0.973,0.973,0.973,0.0051652893,2024-04-30
1.008,1.008,1.008,0.035971223,2024-05-10
