nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-11-15
0.9999,0.9999,0.9999,-0.0001,2021-11-19
0.9996,0.9996,0.9996,-0.00030003,2021-11-26
0.9915,0.9915,0.9915,-0.0081032413,2021-11-30
0.9798,0.9798,0.9798,-0.0118003026,2021-12-03
0.9805,0.9805,0.9805,0.0007144315,2021-12-10
1.0106,1.0106,1.0106,0.0306986232,2021-12-17
1.0096,1.0096,1.0096,-0.0009895112,2021-12-24
1.0226,1.0226,1.0226,0.0128763867,2021-12-31
1.0075,1.0075,1.0075,-0.014766282,2022-01-07
0.9755,0.9755,0.9755,-0.0317617866,2022-01-14
0.951,0.951,0.951,-0.0251153255,2022-01-21
0.9146,0.9146,0.9146,-0.0382754995,2022-01-28
0.9632,0.9632,0.9632,0.0531379838,2022-02-11
0.9659,0.9659,0.9659,0.0028031561,2022-02-18
0.9649,0.9649,0.9649,-0.0010353039,2022-02-25
0.9629,0.9629,0.9629,-0.0020727537,2022-02-28
0.9491,0.9491,0.9491,-0.0143317063,2022-03-04
0.8707,0.8707,0.8707,-0.0826045728,2022-03-11
0.8439,0.8439,0.8439,-0.0307798323,2022-03-18
0.807,0.807,0.807,-0.0437255599,2022-03-25
0.8202,0.8202,0.8202,0.0163568773,2022-03-31
0.8173,0.8173,0.8173,-0.003535723,2022-04-01
0.8182,0.8182,0.8182,0.0011011868,2022-04-08
0.8132,0.8132,0.8132,-0.0061109753,2022-04-15
0.778,0.778,0.778,-0.0432857846,2022-04-22
0.7083,0.7083,0.7083,-0.0895886889,2022-04-29
0.7081,0.7081,0.7081,-0.0002823662,2022-05-06
0.7122,0.7122,0.7122,0.0057901426,2022-05-13
0.7317,0.7317,0.7317,0.0273799495,2022-05-20
0.7493,0.7493,0.7493,0.0240535739,2022-05-27
0.797,0.797,0.797,0.0636594155,2022-05-31
0.8744,0.8744,0.8744,0.0971141782,2022-06-02
0.9492,0.9492,0.9492,0.0855443733,2022-06-10
0.9911,0.9911,0.9911,0.0441424357,2022-06-17
0.9921,0.9921,0.9921,0.0010089799,2022-06-24
1.0644,1.0644,1.0644,0.0728757182,2022-06-30
