nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-06-14
1.0,1.0,1.0,0.0,2019-06-17
1.0,1.0,1.0,0.0,2019-06-18
1.0,1.0,1.0,0.0,2019-06-19
1.0,1.0,1.0,0.0,2019-06-20
1.0,1.0,1.0,0.0,2019-06-21
1.0,1.0,1.0,0.0,2019-06-24
1.0,1.0,1.0,0.0,2019-06-25
1.0,1.0,1.0,0.0,2019-06-26
1.0,1.0,1.0,0.0,2019-06-27
0.999,0.999,0.999,-0.001,2019-06-28
0.999,0.999,0.999,0.0,2019-07-01
0.999,0.999,0.999,0.0,2019-07-02
0.999,0.999,0.999,0.0,2019-07-03
0.999,0.999,0.999,0.0,2019-07-04
0.999,0.999,0.999,0.0,2019-07-05
0.999,0.999,0.999,0.0,2019-07-08
0.998,0.998,0.998,-0.001001001,2019-07-09
1.013,1.013,1.013,0.0150300601,2019-07-10
1.014,1.014,1.014,0.0009871668,2019-07-11
0.996,0.996,0.996,-0.0177514793,2019-07-12
1.05,1.05,1.05,0.0542168675,2019-07-15
1.06,1.06,1.06,0.0095238095,2019-07-16
1.079,1.079,1.079,0.0179245283,2019-07-17
1.072,1.072,1.072,-0.0064874884,2019-07-18
1.073,1.073,1.073,0.0009328358,2019-07-19
1.058,1.058,1.058,-0.0139794967,2019-07-22
1.064,1.064,1.064,0.0056710775,2019-07-23
1.069,1.069,1.069,0.0046992481,2019-07-24
1.112,1.112,1.112,0.0402245089,2019-07-25
1.093,1.093,1.093,-0.0170863309,2019-07-26
1.082,1.082,1.082,-0.0100640439,2019-07-29
1.085,1.085,1.085,0.0027726433,2019-07-30
1.081,1.081,1.081,-0.0036866359,2019-07-31
1.069,1.069,1.069,-0.0111008326,2019-08-01
1.025,1.025,1.025,-0.0411599626,2019-08-02
1.005,1.005,1.005,-0.0195121951,2019-08-05
1.006,1.006,1.006,0.0009950249,2019-08-06
1.009,1.009,1.009,0.0029821074,2019-08-07
1.012,1.012,1.012,0.0029732408,2019-08-08
1.001,1.001,1.001,-0.0108695652,2019-08-09
1.008,1.008,1.008,0.006993007,2019-08-12
0.981,0.981,0.981,-0.0267857143,2019-08-13
0.977,0.977,0.977,-0.004077472,2019-08-14
0.967,0.967,0.967,-0.0102354145,2019-08-15
1.0,1.0,1.0,0.0341261634,2019-08-16
1.033,1.033,1.033,0.033,2019-08-19
1.111,1.111,1.111,0.0755082285,2019-08-20
1.138,1.138,1.138,0.0243024302,2019-08-21
1.145,1.145,1.145,0.0061511424,2019-08-22
1.19,1.19,1.19,0.03930131,2019-08-23
1.188,1.188,1.188,-0.0016806723,2019-08-26
1.231,1.231,1.231,0.0361952862,2019-08-27
1.191,1.191,1.191,-0.0324939074,2019-08-28
1.231,1.231,1.231,0.0335852225,2019-08-29
1.194,1.194,1.194,-0.0300568643,2019-08-30
1.224,1.224,1.224,0.0251256281,2019-09-02
1.23,1.23,1.23,0.0049019608,2019-09-03
1.226,1.226,1.226,-0.0032520325,2019-09-04
1.236,1.236,1.236,0.0081566069,2019-09-05
1.219,1.219,1.219,-0.0137540453,2019-09-06
1.19,1.19,1.19,-0.0237899918,2019-09-09
1.194,1.194,1.194,0.0033613445,2019-09-10
1.182,1.182,1.182,-0.0100502513,2019-09-11
1.2,1.2,1.2,0.0152284264,2019-09-12
1.184,1.184,1.184,-0.0133333333,2019-09-16
1.195,1.195,1.195,0.0092905405,2019-09-17
1.198,1.198,1.198,0.0025104603,2019-09-18
1.193,1.193,1.193,-0.0041736227,2019-09-19
1.185,1.185,1.185,-0.0067057837,2019-09-20
1.158,1.158,1.158,-0.0227848101,2019-09-23
1.213,1.213,1.213,0.0474956822,2019-09-24
1.169,1.169,1.169,-0.0362737016,2019-09-25
1.176,1.176,1.176,0.005988024,2019-09-26
1.167,1.167,1.167,-0.0076530612,2019-09-27
1.155,1.155,1.155,-0.0102827763,2019-09-30
1.221,1.221,1.221,0.0571428571,2019-10-08
1.208,1.208,1.208,-0.0106470106,2019-10-09
1.225,1.225,1.225,0.0140728477,2019-10-10
1.177,1.177,1.177,-0.0391836735,2019-10-11
1.221,1.221,1.221,0.0373831776,2019-10-14
1.223,1.223,1.223,0.0016380016,2019-10-15
1.23,1.23,1.23,0.0057236304,2019-10-16
1.24,1.24,1.24,0.0081300813,2019-10-17
