nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-09-30
1.0003,1.0003,1.0003,0.0003,2016-10-14
0.995,0.995,0.995,-0.0052984105,2016-10-17
1.0046,1.0046,1.0046,0.0096482412,2016-10-21
1.0066,1.0066,1.0066,0.0019908421,2016-10-28
1.0053,1.0053,1.0053,-0.0012914763,2016-10-31
1.0347,1.0347,1.0347,0.0292450015,2016-11-01
1.0083,1.0083,1.0083,-0.0255146419,2016-11-04
1.0082,1.0082,1.0082,-9.91768e-05,2016-11-11
1.0115,1.0115,1.0115,0.0032731601,2016-11-15
1.0061,1.0061,1.0061,-0.005338606,2016-11-18
1.0267,1.0267,1.0267,0.0204751019,2016-11-25
1.0324,1.0324,1.0324,0.0055517678,2016-11-30
1.0105,1.0105,1.0105,-0.0212127083,2016-12-01
1.0347,1.0347,1.0347,0.0239485403,2016-12-02
1.0436,1.0436,1.0436,0.008601527,2016-12-09
1.0157,1.0157,1.0157,-0.026734381,2016-12-15
1.0236,1.0236,1.0236,0.0077778872,2016-12-16
1.0166,1.0166,1.0166,-0.0068386088,2016-12-23
1.0105,1.0105,1.0105,-0.0060003935,2016-12-30
1.0105,1.0105,1.0105,0.0,2016-12-31
1.0185,1.0185,1.0185,0.0079168728,2017-01-06
1.003,1.003,1.003,-0.0152184585,2017-01-13
0.9972,0.9972,0.9972,-0.005782652,2017-01-16
1.0114,1.0114,1.0114,0.0142398716,2017-01-20
1.0198,1.0198,1.0198,0.0083053194,2017-01-26
1.0175,1.0175,1.0175,-0.0022553442,2017-02-03
1.0269,1.0269,1.0269,0.0092383292,2017-02-10
1.0277,1.0277,1.0277,0.0007790437,2017-02-15
1.0268,1.0268,1.0268,-0.0008757419,2017-02-17
1.0478,1.0478,1.0478,0.0204518894,2017-02-24
1.0418,1.0418,1.0418,-0.0057262836,2017-02-28
1.0756,1.0756,1.0756,0.0324438472,2017-03-01
1.0434,1.0434,1.0434,-0.0299367795,2017-03-03
1.0596,1.0596,1.0596,0.0155261645,2017-03-10
1.062,1.062,1.062,0.0022650057,2017-03-15
1.0602,1.0602,1.0602,-0.0016949153,2017-03-17
1.0843,1.0843,1.0843,0.0227315601,2017-03-24
1.0756,1.0756,1.0756,-0.0080236097,2017-03-31
1.0991,1.0991,1.0991,0.0218482707,2017-04-07
1.0847,1.0847,1.0847,-0.0131016286,2017-04-14
1.0864,1.0864,1.0864,0.0015672536,2017-04-17
1.1019,1.1019,1.1019,0.0142673049,2017-04-21
1.0936,1.0936,1.0936,-0.007532444,2017-04-28
1.0847,1.0847,1.0847,-0.008138259,2017-05-05
1.087,1.087,1.087,0.002120402,2017-05-12
1.0916,1.0916,1.0916,0.0042318307,2017-05-15
1.0984,1.0984,1.0984,0.0062293881,2017-05-19
1.0947,1.0947,1.0947,-0.0033685361,2017-05-26
1.0912,1.0912,1.0912,-0.003197223,2017-05-31
1.087,1.087,1.087,-0.0038489736,2017-06-02
1.1257,1.1257,1.1257,0.0356025759,2017-06-09
1.1252,1.1252,1.1252,-0.0004441681,2017-06-15
1.1223,1.1223,1.1223,-0.0025773196,2017-06-16
1.1444,1.1444,1.1444,0.0196917045,2017-06-23
1.17,1.17,1.17,0.0223698008,2017-06-30
1.1538,1.1538,1.1538,-0.0138461538,2017-07-07
1.1541,1.1541,1.1541,0.0002600104,2017-07-14
1.1311,1.1311,1.1311,-0.019928949,2017-07-17
1.145,1.145,1.145,0.0122889223,2017-07-21
1.1472,1.1472,1.1472,0.0019213974,2017-07-28
1.1482,1.1482,1.1482,0.0008716876,2017-07-31
1.1413,1.1413,1.1413,-0.006009406,2017-08-01
1.1297,1.1297,1.1297,-0.0101638482,2017-08-04
1.1296,1.1296,1.1296,-8.85191e-05,2017-08-11
1.1487,1.1487,1.1487,0.0169086402,2017-08-15
1.1446,1.1446,1.1446,-0.0035692522,2017-08-18
1.1397,1.1397,1.1397,-0.0042809715,2017-08-25
1.1413,1.1413,1.1413,0.0014038782,2017-08-31
1.1448,1.1448,1.1448,0.0030666783,2017-09-01
1.1515,1.1515,1.1515,0.0058525507,2017-09-08
1.1848,1.1848,1.1848,0.0289188016,2017-09-15
1.1844,1.1844,1.1844,-0.0003376097,2017-09-22
1.2212,1.2212,1.2212,0.0310705843,2017-09-29
1.2448,1.2448,1.2448,0.0193252538,2017-10-13
1.2361,1.2361,1.2361,-0.0069890746,2017-10-16
1.2663,1.2663,1.2663,0.0244316803,2017-10-20
1.2999,1.2999,1.2999,0.0265339967,2017-10-27
1.3083,1.3083,1.3083,0.0064620355,2017-10-31
1.309,1.309,1.309,0.0005350455,2017-11-01
1.2989,1.2989,1.2989,-0.0077158136,2017-11-03
1.4099,1.4099,1.4099,0.0854569251,2017-11-10
1.3872,1.3872,1.3872,-0.0161004327,2017-11-15
1.3942,1.3942,1.3942,0.0050461361,2017-11-17
1.359,1.359,1.359,-0.0252474537,2017-11-24
1.309,1.309,1.309,-0.0367917586,2017-11-30
1.3151,1.3151,1.3151,0.0046600458,2017-12-01
1.321,1.321,1.321,0.0044863508,2017-12-08
1.3488,1.3488,1.3488,0.0210446631,2017-12-15
1.3919,1.3919,1.3919,0.0319543298,2017-12-22
1.3878,1.3878,1.3878,-0.0029456139,2017-12-29
1.4182,1.4182,1.4182,0.0219051737,2018-01-05
1.4456,1.4456,1.4456,0.0193202651,2018-01-12
1.4327,1.4327,1.4327,-0.0089236303,2018-01-15
1.4198,1.4198,1.4198,-0.0090039785,2018-01-19
1.4662,1.4662,1.4662,0.0326806592,2018-01-26
1.4299,1.4299,1.4299,-0.0247578775,2018-01-31
1.3765,1.3765,1.3765,-0.0373452689,2018-02-01
1.4269,1.4269,1.4269,0.0366146023,2018-02-02
1.2855,1.2855,1.2855,-0.0990959423,2018-02-09
1.3387,1.3387,1.3387,0.0413846752,2018-02-14
1.3784,1.3784,1.3784,0.0296556361,2018-02-22
1.3764,1.3764,1.3764,-0.0014509576,2018-02-23
1.3765,1.3765,1.3765,7.26533e-05,2018-02-28
1.3636,1.3636,1.3636,-0.0093715946,2018-03-01
1.3719,1.3719,1.3719,0.006086829,2018-03-02
1.4033,1.4033,1.4033,0.0228879656,2018-03-09
1.4071,1.4071,1.4071,0.0027079028,2018-03-15
1.3934,1.3934,1.3934,-0.0097363371,2018-03-16
1.3353,1.3353,1.3353,-0.0416965695,2018-03-23
1.3636,1.3636,1.3636,0.0211937392,2018-03-30
1.3478,1.3478,1.3478,-0.0115869757,2018-04-04
1.3527,1.3527,1.3527,0.0036355542,2018-04-13
1.3465,1.3465,1.3465,-0.0045834257,2018-04-16
1.3085,1.3085,1.3085,-0.0282213145,2018-04-20
1.329,1.329,1.329,0.015666794,2018-04-27
1.3523,1.3523,1.3523,0.0175319789,2018-05-04
1.3743,1.3743,1.3743,0.0162685795,2018-05-11
1.4044,1.4044,1.4044,0.0219020592,2018-05-15
1.3902,1.3902,1.3902,-0.0101110795,2018-05-18
1.3789,1.3789,1.3789,-0.0081283269,2018-05-25
1.3927,1.3927,1.3927,0.0100079774,2018-05-31
1.3754,1.3754,1.3754,-0.0124219143,2018-06-01
1.3999,1.3999,1.3999,0.0178129999,2018-06-08
1.3812,1.3812,1.3812,-0.013358097,2018-06-15
1.3532,1.3532,1.3532,-0.020272227,2018-06-22
1.3278,1.3278,1.3278,-0.0187703222,2018-06-29
1.27,1.27,1.27,-0.0435306522,2018-07-06
1.3388,1.3388,1.3388,0.0541732283,2018-07-13
1.3382,1.3382,1.3382,-0.0004481625,2018-07-16
1.3305,1.3305,1.3305,-0.0057539979,2018-07-20
1.331,1.331,1.331,0.0003757986,2018-07-27
1.3113,1.3113,1.3113,-0.0148009016,2018-07-31
1.2486,1.2486,1.2486,-0.0478151453,2018-08-01
1.2343,1.2343,1.2343,-0.0114528272,2018-08-03
1.2658,1.2658,1.2658,0.025520538,2018-08-10
1.2226,1.2226,1.2226,-0.0341286143,2018-08-15
1.2047,1.2047,1.2047,-0.0146409292,2018-08-17
1.2373,1.2373,1.2373,0.027060679,2018-08-24
1.2486,1.2486,1.2486,0.0091327891,2018-08-31
1.2363,1.2363,1.2363,-0.0098510332,2018-09-07
1.2153,1.2153,1.2153,-0.0169861684,2018-09-10
1.2151,1.2151,1.2151,-0.0001645684,2018-09-11
1.202,1.202,1.202,-0.0107810057,2018-09-12
1.2086,1.2086,1.2086,0.0054908486,2018-09-13
1.199,1.199,1.199,-0.0079430746,2018-09-14
1.1862,1.1862,1.1862,-0.010675563,2018-09-17
1.2538,1.2538,1.2538,0.0569887034,2018-09-21
1.2541,1.2541,1.2541,0.0002392726,2018-09-28
1.1484,1.1484,1.1484,-0.08428355,2018-10-12
1.1382,1.1382,1.1382,-0.0088819227,2018-10-15
1.1266,1.1266,1.1266,-0.0101915305,2018-10-19
1.1347,1.1347,1.1347,0.0071897745,2018-10-26
1.1468,1.1468,1.1468,0.0106636115,2018-10-31
1.1959,1.1959,1.1959,0.042814789,2018-11-01
1.2117,1.2117,1.2117,0.013211807,2018-11-02
1.1792,1.1792,1.1792,-0.0268218206,2018-11-09
1.2222,1.2222,1.2222,0.0364654003,2018-11-15
1.2253,1.2253,1.2253,0.0025364098,2018-11-16
1.1779,1.1779,1.1779,-0.0386844038,2018-11-23
1.1959,1.1959,1.1959,0.0152814331,2018-11-30
1.1801,1.1801,1.1801,-0.013211807,2018-12-07
