nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-06-10
1.0,1.0,1.0,0.0,2021-06-11
1.0007,1.0007,1.0007,0.0007,2021-06-25
1.0037,1.0037,1.0037,0.0029979015,2021-06-30
0.9483,0.9483,0.9483,-0.0551957756,2021-07-30
0.9353,0.9353,0.9353,-0.013708742,2021-08-31
0.9083,0.9083,0.9083,-0.028867743,2021-09-03
0.9275,0.9275,0.9275,0.0211383904,2021-09-10
0.9074,0.9074,0.9074,-0.021671159,2021-09-17
0.8948,0.8948,0.8948,-0.0138858276,2021-09-24
0.8956,0.8956,0.8956,0.0008940545,2021-09-30
0.8884,0.8884,0.8884,-0.0080393033,2021-10-08
0.886,0.886,0.886,-0.0027014858,2021-10-15
0.8904,0.8904,0.8904,0.00496614,2021-10-22
0.9077,0.9077,0.9077,0.0194294699,2021-10-29
0.9,0.9,0.9,-0.008482979,2021-11-05
0.9163,0.9163,0.9163,0.0181111111,2021-11-12
0.9199,0.9199,0.9199,0.0039288443,2021-11-19
0.9162,0.9162,0.9162,-0.0040221763,2021-11-26
0.9163,0.9163,0.9163,0.0001091465,2021-11-30
0.9185,0.9185,0.9185,0.0024009604,2021-12-03
0.918,0.918,0.918,-0.0005443658,2021-12-10
0.8917,0.8917,0.8917,-0.0286492375,2021-12-17
0.8695,0.8695,0.8695,-0.0248962656,2021-12-24
0.8894,0.8894,0.8894,0.0228867165,2021-12-31
0.8351,0.8351,0.8351,-0.0610523949,2022-01-07
0.8315,0.8315,0.8315,-0.004310861,2022-01-14
0.8244,0.8244,0.8244,-0.0085387853,2022-01-21
0.8099,0.8099,0.8099,-0.0175885492,2022-01-28
0.7881,0.7881,0.7881,-0.0269169033,2022-02-11
0.7841,0.7841,0.7841,-0.005075498,2022-02-18
0.7818,0.7818,0.7818,-0.0029332993,2022-02-25
0.7828,0.7828,0.7828,0.0012790995,2022-02-28
0.7741,0.7741,0.7741,-0.0111139499,2022-03-04
0.7634,0.7634,0.7634,-0.0138225036,2022-03-11
0.7627,0.7627,0.7627,-0.0009169505,2022-03-18
0.7592,0.7592,0.7592,-0.0045889603,2022-03-25
0.7607,0.7607,0.7607,0.001975764,2022-03-31
0.7617,0.7617,0.7617,0.0013145787,2022-04-01
0.7591,0.7591,0.7591,-0.0034134174,2022-04-08
0.7531,0.7531,0.7531,-0.007904097,2022-04-15
0.7464,0.7464,0.7464,-0.0088965609,2022-04-22
0.749,0.749,0.749,0.0034833869,2022-04-29
0.7457,0.7457,0.7457,-0.0044058745,2022-05-06
0.7504,0.7504,0.7504,0.0063028027,2022-05-13
0.7553,0.7553,0.7553,0.0065298507,2022-05-20
0.7473,0.7473,0.7473,-0.0105918178,2022-05-27
0.7637,0.7637,0.7637,0.0219456711,2022-05-31
0.7674,0.7674,0.7674,0.0048448344,2022-06-02
0.7828,0.7828,0.7828,0.0200677613,2022-06-10
0.7862,0.7862,0.7862,0.0043433827,2022-06-17
0.8094,0.8094,0.8094,0.0295090308,2022-06-24
0.808,0.808,0.808,-0.0017296763,2022-06-30
0.8025,0.8025,0.8025,-0.0068069307,2022-07-01
0.7919,0.7919,0.7919,-0.0132087227,2022-07-08
0.7775,0.7775,0.7775,-0.0181841142,2022-07-15
0.7669,0.7669,0.7669,-0.0136334405,2022-07-22
0.7467,0.7467,0.7467,-0.0263398096,2022-07-29
0.7458,0.7458,0.7458,-0.0012053033,2022-08-05
0.7461,0.7461,0.7461,0.0004022526,2022-08-12
0.7413,0.7413,0.7413,-0.006433454,2022-08-19
0.7342,0.7342,0.7342,-0.0095777688,2022-08-26
0.7276,0.7276,0.7276,-0.0089893762,2022-08-31
0.7217,0.7217,0.7217,-0.008108851,2022-09-02
0.7242,0.7242,0.7242,0.0034640432,2022-09-09
0.7096,0.7096,0.7096,-0.0201601767,2022-09-16
0.7037,0.7037,0.7037,-0.0083145434,2022-09-23
0.6964,0.6964,0.6964,-0.0103737388,2022-09-30
0.7021,0.7021,0.7021,0.0081849512,2022-10-14
0.6892,0.6892,0.6892,-0.0183734511,2022-10-21
0.6833,0.6833,0.6833,-0.00856065,2022-10-28
0.6775,0.6775,0.6775,-0.0084882189,2022-10-31
0.6931,0.6931,0.6931,0.0230258303,2022-11-04
0.681,0.681,0.681,-0.0174577983,2022-11-11
0.6688,0.6688,0.6688,-0.0179148311,2022-11-18
0.6609,0.6609,0.6609,-0.011812201,2022-11-25
0.6668,0.6668,0.6668,0.0089272205,2022-11-30
0.6758,0.6758,0.6758,0.0134973005,2022-12-02
0.6735,0.6735,0.6735,-0.0034033738,2022-12-09
0.6621,0.6621,0.6621,-0.0169265033,2022-12-16
0.6476,0.6476,0.6476,-0.0219000151,2022-12-23
0.67,0.67,0.67,0.0345892526,2022-12-30
0.6897,0.6897,0.6897,0.0294029851,2023-01-06
0.6891,0.6891,0.6891,-0.0008699435,2023-01-13
0.6989,0.6989,0.6989,0.0142214483,2023-01-20
0.6961,0.6961,0.6961,-0.0040062956,2023-01-31
0.6893,0.6893,0.6893,-0.0097687114,2023-02-03
0.6786,0.6786,0.6786,-0.0155229943,2023-02-10
0.6637,0.6637,0.6637,-0.0219569702,2023-02-17
0.661,0.661,0.661,-0.0040681031,2023-02-24
0.6638,0.6638,0.6638,0.0042360061,2023-02-28
0.655,0.655,0.655,-0.0132570051,2023-03-03
0.643,0.643,0.643,-0.0183206107,2023-03-10
0.6415,0.6415,0.6415,-0.0023328149,2023-03-17
0.6546,0.6546,0.6546,0.0204208885,2023-03-24
0.6588,0.6588,0.6588,0.006416132,2023-03-31
0.6875,0.6875,0.6875,0.0435640559,2023-04-07
0.6851,0.6851,0.6851,-0.0034909091,2023-04-14
0.6792,0.6792,0.6792,-0.0086118815,2023-04-21
0.6546,0.6546,0.6546,-0.0362190813,2023-04-28
0.6504,0.6504,0.6504,-0.006416132,2023-05-05
0.6336,0.6336,0.6336,-0.0258302583,2023-05-12
0.6324,0.6324,0.6324,-0.0018939394,2023-05-19
0.6338,0.6338,0.6338,0.0022137887,2023-05-26
0.6361,0.6361,0.6361,0.003628905,2023-05-31
0.635,0.635,0.635,-0.0017292878,2023-06-02
0.6353,0.6353,0.6353,0.0004724409,2023-06-09
0.6459,0.6459,0.6459,0.0166850307,2023-06-16
0.6323,0.6323,0.6323,-0.021055891,2023-06-21
0.6192,0.6192,0.6192,-0.0207180136,2023-06-30
0.6106,0.6106,0.6106,-0.0138888889,2023-07-07
0.6096,0.6096,0.6096,-0.0016377334,2023-07-14
0.606,0.606,0.606,-0.0059055118,2023-07-21
0.6052,0.6052,0.6052,-0.001320132,2023-07-28
0.6055,0.6055,0.6055,0.0004957039,2023-07-31
0.6081,0.6081,0.6081,0.0042939719,2023-08-04
0.605,0.605,0.605,-0.0050978457,2023-08-11
0.6035,0.6035,0.6035,-0.0024793388,2023-08-18
0.6039,0.6039,0.6039,0.0006628003,2023-08-25
0.606,0.606,0.606,0.0034773969,2023-08-31
0.6064,0.6064,0.6064,0.000660066,2023-09-01
0.6049,0.6049,0.6049,-0.0024736148,2023-09-08
0.6039,0.6039,0.6039,-0.0016531658,2023-09-15
0.6039,0.6039,0.6039,0.0,2023-09-22
0.6032,0.6032,0.6032,-0.0011591323,2023-09-28
0.6028,0.6028,0.6028,-0.00066313,2023-10-13
0.6025,0.6025,0.6025,-0.0004976775,2023-10-20
0.6024,0.6024,0.6024,-0.0001659751,2023-10-27
0.6026,0.6026,0.6026,0.0003320053,2023-10-31
0.603,0.603,0.603,0.0006637902,2023-11-03
0.6034,0.6034,0.6034,0.0006633499,2023-11-10
0.6032,0.6032,0.6032,-0.0003314551,2023-11-17
0.603,0.603,0.603,-0.000331565,2023-11-24
0.6032,0.6032,0.6032,0.000331675,2023-11-30
0.6029,0.6029,0.6029,-0.0004973475,2023-12-01
0.6026,0.6026,0.6026,-0.000497595,2023-12-08
0.6034,0.6034,0.6034,0.0013275805,2023-12-15
0.6032,0.6032,0.6032,-0.0003314551,2023-12-22
0.6031,0.6031,0.6031,-0.0001657825,2023-12-29
0.6011,0.6011,0.6011,-0.0033161996,2024-01-05
0.6007,0.6007,0.6007,-0.0006654467,2024-01-12
0.6003,0.6003,0.6003,-0.0006658898,2024-01-19
0.6,0.6,0.6,-0.0004997501,2024-01-26
0.5999,0.5999,0.5999,-0.0001666667,2024-01-31
0.5999,0.5999,0.5999,0.0,2024-02-02
0.5999,0.5999,0.5999,0.0,2024-02-08
0.6022,0.6022,0.6022,0.0038339723,2024-02-23
0.6032,0.6032,0.6032,0.0016605779,2024-02-29
0.6037,0.6037,0.6037,0.0008289125,2024-03-01
0.6077,0.6077,0.6077,0.0066258075,2024-03-08
0.6059,0.6059,0.6059,-0.0029619878,2024-03-15
0.6083,0.6083,0.6083,0.0039610497,2024-03-22
0.6039,0.6039,0.6039,-0.0072332731,2024-03-29
0.6035,0.6035,0.6035,-0.0006623613,2024-04-03
0.6028,0.6028,0.6028,-0.0011599006,2024-04-12
0.5993,0.5993,0.5993,-0.0058062376,2024-04-19
