nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.843,1.843,1.843,0.0,2024-11-15
1.8099,1.8099,1.8099,-0.0179598481,2024-11-22
1.7834,1.7834,1.7834,-0.0146416929,2024-11-29
1.783,1.783,1.783,-0.0002242907,2024-12-06
1.8571,1.8571,1.8571,0.0415591699,2024-12-13
1.8188,1.8188,1.8188,-0.0206235529,2024-12-20
1.7201,1.7201,1.7201,-0.0542665494,2024-12-27
1.718,1.718,1.718,-0.0012208593,2024-12-31
1.6961,1.6961,1.6961,-0.0127473807,2025-01-03
1.6715,1.6715,1.6715,-0.0145038618,2025-01-10
1.7081,1.7081,1.7081,0.0218965001,2025-01-17
1.6789,1.6789,1.6789,-0.0170950179,2025-01-24
1.6325,1.6325,1.6325,-0.0276371434,2025-01-27
1.7597,1.7597,1.7597,0.0779173047,2025-02-07
1.7352,1.7352,1.7352,-0.0139228278,2025-02-14
1.7509,1.7509,1.7509,0.0090479484,2025-02-21
1.7385,1.7385,1.7385,-0.0070820721,2025-02-28
1.7465,1.7465,1.7465,0.0046016681,2025-03-07
1.778,1.778,1.778,0.0180360721,2025-03-14
1.8232,1.8232,1.8232,0.0254218223,2025-03-21
1.7821,1.7821,1.7821,-0.0225427819,2025-03-28
1.7736,1.7736,1.7736,-0.0047696538,2025-03-31
1.8545,1.8545,1.8545,0.0456134416,2025-04-03
1.9084,1.9084,1.9084,0.0290644379,2025-04-11
1.9538,1.9538,1.9538,0.0237895619,2025-04-18
1.9883,1.9883,1.9883,0.0176578974,2025-04-25
1.9905,1.9905,1.9905,0.0011064729,2025-04-30
2.0454,2.0454,2.0454,0.0275810098,2025-05-09
2.0716,2.0716,2.0716,0.0128092305,2025-05-16
2.0554,2.0554,2.0554,-0.0078200425,2025-05-23
2.0795,2.0795,2.0795,0.0117252116,2025-05-30
2.0924,2.0924,2.0924,0.0062034143,2025-06-06
2.0508,2.0508,2.0508,-0.0198814758,2025-06-13
2.0257,2.0257,2.0257,-0.0122391262,2025-06-20
2.0863,2.0863,2.0863,0.0299155847,2025-06-27
2.1028,2.1028,2.1028,0.007908738,2025-06-30
2.1524,2.1524,2.1524,0.0235875975,2025-07-04
2.2006,2.2006,2.2006,0.0223936071,2025-07-11
2.2947,2.2947,2.2947,0.0427610652,2025-07-18
2.3336,2.3336,2.3336,0.016952107,2025-07-25
2.3894,2.3894,2.3894,0.023911553,2025-07-31
2.3798,2.3798,2.3798,-0.004017745,2025-08-01
2.4122,2.4122,2.4122,0.0136145895,2025-08-08
2.4259,2.4259,2.4259,0.0056794627,2025-08-15
2.3858,2.3858,2.3858,-0.0165299476,2025-08-22
2.3516,2.3516,2.3516,-0.0143348143,2025-08-29
2.2708,2.2708,2.2708,-0.034359585,2025-09-05
2.2957,2.2957,2.2957,0.0109652986,2025-09-12
2.3203,2.3203,2.3203,0.0107156858,2025-09-19
2.3692,2.3692,2.3692,0.021074861,2025-09-26
2.3858,2.3858,2.3858,0.0070065845,2025-09-30
2.3931,2.3931,2.3931,0.0030597703,2025-10-10
2.2693,2.2693,2.2693,-0.051732063,2025-10-17
2.3117,2.3117,2.3117,0.0186841757,2025-10-24
2.3267,2.3267,2.3267,0.0064887312,2025-10-31
2.3115,2.3115,2.3115,-0.0065328577,2025-11-07
2.3103,2.3103,2.3103,-0.0005191434,2025-11-14
2.2475,2.2475,2.2475,-0.027182617,2025-11-21
2.3578,2.3578,2.3578,0.0490767519,2025-11-28
2.3296,2.3296,2.3296,-0.011960302,2025-12-05
2.3346,2.3346,2.3346,0.0021462912,2025-12-12
2.3838,2.3838,2.3838,0.021074274,2025-12-19
2.3978,2.3978,2.3978,0.0058729759,2025-12-26
2.4053,2.4053,2.4053,0.0031278672,2025-12-31
2.5875,2.5875,2.5875,0.0757493868,2026-01-09
2.6522,2.6522,2.6522,0.0250048309,2026-01-16
2.7179,2.7179,2.7179,0.0247718875,2026-01-23
2.6539,2.6539,2.6539,-0.0235475919,2026-01-30
2.6342,2.6342,2.6342,-0.0074230378,2026-02-06
2.6977,2.6977,2.6977,0.0241059904,2026-02-13
2.7906,2.7906,2.7906,0.0344367424,2026-02-27
2.7469,2.7469,2.7469,-0.0156597148,2026-03-06
2.7127,2.7127,2.7127,-0.0124503986,2026-03-13
2.5672,2.5672,2.5672,-0.0536365982,2026-03-20
2.5248,2.5248,2.5248,-0.0165160486,2026-03-27
2.4258,2.4258,2.4258,-0.0392110266,2026-04-03
2.5199,2.5199,2.5199,0.0387913266,2026-04-10
2.5421,2.5421,2.5421,0.0088098734,2026-04-17
2.4862,2.4862,2.4862,-0.0219896936,2026-04-24
2.5287,2.5287,2.5287,0.0170943609,2026-04-30
2.5943,2.5943,2.5943,0.0259421837,2026-05-08
2.5797,2.5797,2.5797,-0.0056277223,2026-05-15
2.5461,2.5461,2.5461,-0.0130247703,2026-05-22
