nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-02-09
1.0,1.0,1.0,0.0,2018-02-14
1.0,1.0,1.0,0.0,2018-02-23
1.0,1.0,1.0,0.0,2018-02-28
1.0,1.0,1.0,0.0,2018-03-02
1.0,1.0,1.0,0.0,2018-03-09
0.996,0.996,0.996,-0.004,2018-03-16
1.0,1.0,1.0,0.0040160643,2018-03-23
1.026,1.026,1.026,0.026,2018-03-30
1.008,1.008,1.008,-0.0175438596,2018-04-04
0.985,0.985,0.985,-0.0228174603,2018-04-13
0.967,0.967,0.967,-0.0182741117,2018-04-20
0.99,0.99,0.99,0.0237849018,2018-04-27
0.987,0.987,0.987,-0.003030303,2018-05-04
0.967,0.967,0.967,-0.0202634245,2018-05-11
0.961,0.961,0.961,-0.006204757,2018-05-18
0.957,0.957,0.957,-0.0041623309,2018-05-25
0.952,0.952,0.952,-0.0052246604,2018-05-31
0.956,0.956,0.956,0.0042016807,2018-06-01
0.995,0.995,0.995,0.0407949791,2018-06-08
1.026,1.026,1.026,0.0311557789,2018-06-15
1.064,1.064,1.064,0.037037037,2018-06-22
1.06,1.06,1.06,-0.0037593985,2018-06-29
1.044,1.044,1.044,-0.0150943396,2018-07-06
1.061,1.061,1.061,0.0162835249,2018-07-13
1.057,1.057,1.057,-0.0037700283,2018-07-20
1.059,1.059,1.059,0.0018921476,2018-07-27
1.053,1.053,1.053,-0.0056657224,2018-07-31
1.086,1.086,1.086,0.0313390313,2018-08-03
1.103,1.103,1.103,0.0156537753,2018-08-10
1.154,1.154,1.154,0.046237534,2018-08-17
1.143,1.143,1.143,-0.0095320624,2018-08-24
1.151,1.151,1.151,0.0069991251,2018-08-31
1.162,1.162,1.162,0.009556907,2018-09-07
1.136,1.136,1.136,-0.0223752151,2018-09-14
1.157,1.157,1.157,0.0184859155,2018-09-21
1.192,1.192,1.192,0.0302506482,2018-09-28
1.237,1.237,1.237,0.0377516779,2018-10-12
1.233,1.233,1.233,-0.0032336297,2018-10-19
1.232,1.232,1.232,-0.00081103,2018-10-26
1.239,1.239,1.239,0.0056818182,2018-10-31
1.23,1.23,1.23,-0.0072639225,2018-11-02
1.226,1.226,1.226,-0.0032520325,2018-11-09
1.235,1.235,1.235,0.0073409462,2018-11-16
1.204,1.204,1.204,-0.0251012146,2018-11-23
1.154,1.154,1.154,-0.0415282392,2018-11-30
1.185,1.185,1.185,0.0268630849,2018-12-07
1.179,1.179,1.179,-0.0050632911,2018-12-14
1.184,1.184,1.184,0.0042408821,2018-12-21
1.205,1.205,1.205,0.0177364865,2018-12-28
1.177,1.177,1.177,-0.0232365145,2019-01-04
1.153,1.153,1.153,-0.0203908241,2019-01-11
1.134,1.134,1.134,-0.0164787511,2019-01-18
1.148,1.148,1.148,0.012345679,2019-01-25
1.151,1.151,1.151,0.0026132404,2019-01-31
1.159,1.159,1.159,0.0069504778,2019-02-01
1.101,1.101,1.101,-0.0500431406,2019-02-15
1.097,1.097,1.097,-0.0036330609,2019-02-22
1.122,1.122,1.122,0.0227894257,2019-02-28
1.105,1.105,1.105,-0.0151515152,2019-03-01
