nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-08-26
1.0001,1.0001,1.0001,0.0001,2019-08-27
1.0001,1.0001,1.0001,0.0,2019-08-28
1.0002,1.0002,1.0002,9.999e-05,2019-08-29
1.0002,1.0002,1.0002,0.0,2019-08-30
1.0004,1.0004,1.0004,0.00019996,2019-09-02
1.0004,1.0004,1.0004,0.0,2019-09-03
1.0004,1.0004,1.0004,0.0,2019-09-04
1.0005,1.0005,1.0005,9.996e-05,2019-09-05
1.0001,1.0001,1.0001,-0.0003998001,2019-09-06
1.0003,1.0003,1.0003,0.00019998,2019-09-09
1.0003,1.0003,1.0003,0.0,2019-09-10
1.0003,1.0003,1.0003,0.0,2019-09-11
1.0004,1.0004,1.0004,9.997e-05,2019-09-12
1.0006,1.0006,1.0006,0.00019992,2019-09-16
1.0006,1.0006,1.0006,0.0,2019-09-17
1.0007,1.0007,1.0007,9.994e-05,2019-09-18
1.0007,1.0007,1.0007,0.0,2019-09-19
1.0007,1.0007,1.0007,0.0,2019-09-20
1.0007,1.0007,1.0007,0.0,2019-09-23
1.0008,1.0008,1.0008,9.993e-05,2019-09-24
1.0008,1.0008,1.0008,0.0,2019-09-25
1.0009,1.0009,1.0009,9.99201e-05,2019-09-26
1.001,1.001,1.001,9.99101e-05,2019-09-27
1.0011,1.0011,1.0011,9.99001e-05,2019-09-30
1.0011,1.0011,1.0011,0.0,2019-10-08
1.0228,1.0228,1.0228,0.0216761562,2019-10-09
1.0245,1.0245,1.0245,0.001662104,2019-10-10
1.0321,1.0321,1.0321,0.0074182528,2019-10-11
1.0435,1.0435,1.0435,0.0110454413,2019-10-14
1.045,1.045,1.045,0.0014374701,2019-10-15
1.0457,1.0457,1.0457,0.0006698565,2019-10-16
1.0425,1.0425,1.0425,-0.0030601511,2019-10-17
1.028,1.028,1.028,-0.0139088729,2019-10-18
1.0385,1.0385,1.0385,0.0102140078,2019-10-21
1.0375,1.0375,1.0375,-0.0009629273,2019-10-22
1.0328,1.0328,1.0328,-0.0045301205,2019-10-23
1.0387,1.0387,1.0387,0.0057126259,2019-10-24
1.0381,1.0381,1.0381,-0.0005776451,2019-10-25
1.0329,1.0329,1.0329,-0.0050091513,2019-10-28
1.0278,1.0278,1.0278,-0.0049375545,2019-10-29
1.024,1.024,1.024,-0.0036972174,2019-10-30
1.0211,1.0211,1.0211,-0.0028320313,2019-10-31
1.0282,1.0282,1.0282,0.0069532857,2019-11-01
1.0306,1.0306,1.0306,0.0023341762,2019-11-04
1.0288,1.0288,1.0288,-0.0017465554,2019-11-05
1.0243,1.0243,1.0243,-0.004374028,2019-11-06
1.0276,1.0276,1.0276,0.0032217124,2019-11-07
1.0232,1.0232,1.0232,-0.0042818217,2019-11-08
1.0171,1.0171,1.0171,-0.0059616888,2019-11-11
1.019,1.019,1.019,0.0018680562,2019-11-12
1.0168,1.0168,1.0168,-0.0021589794,2019-11-13
1.016,1.016,1.016,-0.0007867821,2019-11-14
1.0091,1.0091,1.0091,-0.0067913386,2019-11-15
1.0171,1.0171,1.0171,0.0079278565,2019-11-18
1.0229,1.0229,1.0229,0.0057024875,2019-11-19
1.0174,1.0174,1.0174,-0.0053768697,2019-11-20
1.017,1.017,1.017,-0.000393159,2019-11-21
1.0179,1.0179,1.0179,0.0008849558,2019-11-22
1.0368,1.0368,1.0368,0.0185676393,2019-11-25
1.0322,1.0322,1.0322,-0.0044367284,2019-11-26
1.0284,1.0284,1.0284,-0.0036814571,2019-11-27
1.0255,1.0255,1.0255,-0.0028199144,2019-11-28
1.0213,1.0213,1.0213,-0.0040955631,2019-11-29
1.0235,1.0235,1.0235,0.0021541173,2019-12-02
1.0253,1.0253,1.0253,0.0017586712,2019-12-03
1.0182,1.0182,1.0182,-0.0069248025,2019-12-04
1.0201,1.0201,1.0201,0.0018660381,2019-12-05
1.0211,1.0211,1.0211,0.000980296,2019-12-06
1.0301,1.0301,1.0301,0.0088140241,2019-12-09
1.0266,1.0266,1.0266,-0.0033977284,2019-12-10
1.0303,1.0303,1.0303,0.0036041301,2019-12-11
1.0277,1.0277,1.0277,-0.0025235368,2019-12-12
1.0404,1.0404,1.0404,0.0123576919,2019-12-13
1.0408,1.0408,1.0408,0.0003844675,2019-12-16
1.0542,1.0542,1.0542,0.0128747118,2019-12-17
1.0528,1.0528,1.0528,-0.0013280212,2019-12-18
1.057,1.057,1.057,0.0039893617,2019-12-19
1.0586,1.0586,1.0586,0.0015137181,2019-12-20
1.0453,1.0453,1.0453,-0.0125637635,2019-12-23
1.0469,1.0469,1.0469,0.0015306611,2019-12-24
1.0446,1.0446,1.0446,-0.0021969625,2019-12-25
1.054,1.054,1.054,0.0089986598,2019-12-26
1.0554,1.0554,1.0554,0.0013282732,2019-12-27
1.0626,1.0626,1.0626,0.006822058,2019-12-30
