nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-11-10
1.0001,1.0001,1.0001,0.0001,2023-11-17
1.0,1.0,1.0,-9.999e-05,2023-11-24
1.0,1.0,1.0,0.0,2023-11-30
1.0,1.0,1.0,0.0,2023-12-01
0.9998,0.9998,0.9998,-0.0002,2023-12-08
0.9981,0.9981,0.9981,-0.0017003401,2023-12-15
0.9931,0.9931,0.9931,-0.0050095181,2023-12-22
0.9878,0.9878,0.9878,-0.0053368241,2023-12-29
0.9885,0.9885,0.9885,0.0007086455,2024-01-05
0.9747,0.9747,0.9747,-0.0139605463,2024-01-12
0.9746,0.9746,0.9746,-0.0001025957,2024-01-19
0.9746,0.9746,0.9746,0.0,2024-01-26
0.9746,0.9746,0.9746,0.0,2024-01-31
0.9746,0.9746,0.9746,0.0,2024-02-02
0.9745,0.9745,0.9745,-0.0001026062,2024-02-08
0.9744,0.9744,0.9744,-0.0001026167,2024-02-23
0.9743,0.9743,0.9743,-0.0001026273,2024-02-29
0.9743,0.9743,0.9743,0.0,2024-03-01
0.9743,0.9743,0.9743,0.0,2024-03-08
0.9742,0.9742,0.9742,-0.0001026378,2024-03-15
0.9742,0.9742,0.9742,0.0,2024-03-22
0.9742,0.9742,0.9742,0.0,2024-03-29
0.9741,0.9741,0.9741,-0.0001026483,2024-04-03
0.9741,0.9741,0.9741,0.0,2024-04-12
0.974,0.974,0.974,-0.0001026589,2024-04-19
0.974,0.974,0.974,0.0,2024-04-26
0.9739,0.9739,0.9739,-0.0001026694,2024-04-30
0.9739,0.9739,0.9739,0.0,2024-05-10
0.9738,0.9738,0.9738,-0.0001026799,2024-05-17
0.9738,0.9738,0.9738,0.0,2024-05-24
0.9737,0.9737,0.9737,-0.0001026905,2024-05-31
0.9737,0.9737,0.9737,0.0,2024-06-07
0.9737,0.9737,0.9737,0.0,2024-06-14
0.9737,0.9737,0.9737,0.0,2024-06-21
0.9737,0.9737,0.9737,0.0,2024-06-28
0.9734,0.9734,0.9734,-0.0003081031,2024-07-05
0.9734,0.9734,0.9734,0.0,2024-07-12
0.9732,0.9732,0.9732,-0.0002054654,2024-07-19
0.9731,0.9731,0.9731,-0.0001027538,2024-07-26
0.973,0.973,0.973,-0.0001027644,2024-07-31
0.9731,0.9731,0.9731,0.0001027749,2024-08-02
0.9732,0.9732,0.9732,0.0001027644,2024-08-09
0.9729,0.9729,0.9729,-0.0003082614,2024-08-16
0.973,0.973,0.973,0.0001027855,2024-08-23
0.973,0.973,0.973,0.0,2024-08-30
0.9731,0.9731,0.9731,0.0001027749,2024-09-06
0.962,0.962,0.962,-0.0114068441,2024-09-13
0.9689,0.9689,0.9689,0.0071725572,2024-09-20
1.0402,1.0402,1.0402,0.0735886056,2024-09-27
1.0501,1.0501,1.0501,0.0095174005,2024-09-30
1.0557,1.0557,1.0557,0.0053328254,2024-10-11
1.056,1.056,1.056,0.0002841716,2024-10-18
1.0558,1.0558,1.0558,-0.0001893939,2024-10-25
1.0563,1.0563,1.0563,0.0004735745,2024-10-31
1.0563,1.0563,1.0563,0.0,2024-11-01
1.0561,1.0561,1.0561,-0.0001893401,2024-11-08
1.0559,1.0559,1.0559,-0.000189376,2024-11-15
1.0349,1.0349,1.0349,-0.019888247,2024-11-22
1.0492,1.0492,1.0492,0.0138177602,2024-11-29
1.0669,1.0669,1.0669,0.0168699962,2024-12-06
1.0762,1.0762,1.0762,0.0087168432,2024-12-13
1.0699,1.0699,1.0699,-0.0058539305,2024-12-20
1.0713,1.0713,1.0713,0.0013085335,2024-12-27
1.0457,1.0457,1.0457,-0.0238962009,2024-12-31
0.992,0.992,0.992,-0.0513531606,2025-01-03
0.9826,0.9826,0.9826,-0.0094758065,2025-01-10
1.0295,1.0295,1.0295,0.0477305109,2025-01-17
1.0462,1.0462,1.0462,0.0162214667,2025-01-24
1.0333,1.0333,1.0333,-0.0123303384,2025-01-27
1.0767,1.0767,1.0767,0.0420013549,2025-02-07
1.1002,1.1002,1.1002,0.0218259497,2025-02-14
1.1224,1.1224,1.1224,0.0201781494,2025-02-21
1.0859,1.0859,1.0859,-0.0325196009,2025-02-28
1.1151,1.1151,1.1151,0.0268901372,2025-03-07
1.1551,1.1551,1.1551,0.0358712223,2025-03-14
1.121,1.121,1.121,-0.0295212536,2025-03-21
1.1123,1.1123,1.1123,-0.0077609277,2025-03-28
1.0891,1.0891,1.0891,-0.0208576823,2025-03-31
1.0914,1.0914,1.0914,0.0021118355,2025-04-03
1.0016,1.0016,1.0016,-0.0822796408,2025-04-11
0.9978,0.9978,0.9978,-0.0037939297,2025-04-18
1.0256,1.0256,1.0256,0.0278612948,2025-04-25
1.0306,1.0306,1.0306,0.004875195,2025-04-30
1.063,1.063,1.063,0.0314379973,2025-05-09
1.0613,1.0613,1.0613,-0.0015992474,2025-05-16
1.0469,1.0469,1.0469,-0.0135682653,2025-05-23
1.0642,1.0642,1.0642,0.0165249785,2025-05-30
1.0975,1.0975,1.0975,0.0312911107,2025-06-06
1.1008,1.1008,1.1008,0.0030068337,2025-06-13
1.0811,1.0811,1.0811,-0.0178960756,2025-06-20
1.1748,1.1748,1.1748,0.0866709833,2025-06-27
1.0,1.1825,1.1825,0.0065543071,2025-06-30
0.9967,1.1792,1.17859775,-0.0033,2025-07-04
1.0454,1.2279,1.2361855,0.0488612421,2025-07-11
1.0656,1.2481,1.260072,0.0193227473,2025-07-18
1.1185,1.301,1.32262625,0.0496433934,2025-07-25
1.0981,1.2806,1.29850325,-0.0182387126,2025-07-31
1.0988,1.2813,1.299331,0.0006374647,2025-08-01
1.1147,1.2972,1.31813275,0.0144703313,2025-08-08
1.1187,1.3012,1.32286275,0.0035884094,2025-08-15
1.1412,1.3237,1.349469,0.0201126307,2025-08-22
1.1341,1.3166,1.34107325,-0.0062215212,2025-08-29
1.1412,1.3237,1.349469,0.0062604709,2025-09-05
1.1616,1.3441,1.373592,0.0178759201,2025-09-12
1.1695,1.352,1.38293375,0.0068009642,2025-09-19
1.1798,1.3623,1.3951135,0.0088071826,2025-09-26
1.1792,1.3617,1.394404,-0.0005085608,2025-09-30
1.1681,1.3506,1.38127825,-0.0094131615,2025-10-10
1.1531,1.3356,1.36354075,-0.0128413663,2025-10-17
1.1664,1.3489,1.379268,0.0115341254,2025-10-24
1.1678,1.3503,1.3809235,0.0012002743,2025-10-31
1.1897,1.3722,1.40682025,0.0187532112,2025-11-07
1.2126,1.3951,1.4338995,0.0192485501,2025-11-14
1.2212,1.4037,1.444069,0.0070921986,2025-11-21
1.2298,1.4123,1.4542385,0.0070422535,2025-11-28
1.2227,1.4052,1.44584275,-0.0057732965,2025-12-05
1.1979,1.3804,1.41651675,-0.0202829803,2025-12-12
1.1879,1.3704,1.40469175,-0.0083479422,2025-12-19
1.1832,1.3657,1.399134,-0.003956562,2025-12-26
1.1881,1.3706,1.40492825,0.0041413117,2025-12-31
1.2016,1.3841,1.420892,0.0113626799,2026-01-09
1.1981,1.3806,1.41675325,-0.002912783,2026-01-16
1.2102,1.3927,1.4310615,0.0100993239,2026-01-23
1.206,1.3885,1.426095,-0.0034705007,2026-01-30
1.1995,1.382,1.41840875,-0.0053897181,2026-02-06
1.2067,1.3892,1.42692275,0.006002501,2026-02-13
1.2172,1.3997,1.439339,0.0087014171,2026-02-27
1.1949,1.3774,1.41296925,-0.0183207361,2026-03-06
1.1831,1.3656,1.39901575,-0.0098753034,2026-03-13
1.1123,1.2948,1.31529475,-0.0598427859,2026-03-20
1.0857,1.2682,1.28384025,-0.0239144116,2026-03-27
1.0491,1.2316,1.24056075,-0.0337109699,2026-04-03
1.1402,1.3227,1.3482865,0.0868363359,2026-04-10
1.1825,1.365,1.39830625,0.0370987546,2026-04-17
1.1924,1.3749,1.410013,0.008372093,2026-04-24
1.2235,1.406,1.44678875,0.0260818517,2026-04-30
1.2654,1.4479,1.4963355,0.0342460155,2026-05-08
1.2596,1.4421,1.489477,-0.0045835309,2026-05-15
1.256,1.4385,1.48522,-0.0028580502,2026-05-22
