nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-05-28
1.0001,1.0001,1.0001,0.0001,2025-05-30
1.0002,1.0002,1.0002,9.999e-05,2025-06-06
1.0001,1.0001,1.0001,-9.998e-05,2025-06-13
1.0001,1.0001,1.0001,0.0,2025-06-20
1.003,1.003,1.003,0.00289971,2025-06-27
1.0054,1.0054,1.0054,0.0023928215,2025-06-30
1.0077,1.0077,1.0077,0.0022876467,2025-07-04
1.0227,1.0227,1.0227,0.0148853826,2025-07-11
1.0223,1.0223,1.0223,-0.0003911215,2025-07-18
1.0365,1.0365,1.0365,0.0138902475,2025-07-25
1.0246,1.0246,1.0246,-0.0114809455,2025-07-31
1.027,1.027,1.027,0.0023423775,2025-08-01
1.0398,1.0398,1.0398,0.0124634859,2025-08-08
1.0372,1.0372,1.0372,-0.0025004809,2025-08-15
1.0514,1.0514,1.0514,0.0136907057,2025-08-22
1.0389,1.0389,1.0389,-0.01188891,2025-08-29
1.035,1.035,1.035,-0.0037539705,2025-09-05
1.0439,1.0439,1.0439,0.0085990338,2025-09-12
1.0286,1.0286,1.0286,-0.0146565763,2025-09-19
1.0234,1.0234,1.0234,-0.0050554151,2025-09-26
1.0253,1.0253,1.0253,0.0018565566,2025-09-30
1.0334,1.0334,1.0334,0.0079001268,2025-10-10
1.0218,1.0218,1.0218,-0.0112250823,2025-10-17
1.0403,1.0403,1.0403,0.0181053044,2025-10-24
1.0408,1.0408,1.0408,0.0004806306,2025-10-31
1.0545,1.0545,1.0545,0.0131629516,2025-11-07
1.0652,1.0652,1.0652,0.0101469891,2025-11-14
1.0386,1.0386,1.0386,-0.0249718363,2025-11-21
1.0464,1.0464,1.0464,0.0075101098,2025-11-28
1.0442,1.0442,1.0442,-0.0021024465,2025-12-05
1.0295,1.0295,1.0295,-0.0140777629,2025-12-12
1.038,1.038,1.038,0.0082564352,2025-12-19
1.038,1.038,1.038,0.0,2025-12-26
1.0337,1.0337,1.0337,-0.0041425819,2025-12-31
1.0509,1.0509,1.0509,0.016639257,2026-01-09
1.0587,1.0587,1.0587,0.0074222095,2026-01-16
1.1046,1.1046,1.1046,0.0433550581,2026-01-23
1.0938,1.0938,1.0938,-0.0097772949,2026-01-30
1.088,1.088,1.088,-0.0053026147,2026-02-06
1.0817,1.0817,1.0817,-0.0057904412,2026-02-13
1.0984,1.0984,1.0984,0.0154386614,2026-02-27
1.0873,1.0873,1.0873,-0.0101056082,2026-03-06
1.0833,1.0833,1.0833,-0.0036788375,2026-03-13
1.0552,1.0552,1.0552,-0.0259392597,2026-03-20
1.0542,1.0542,1.0542,-0.0009476876,2026-03-27
1.0351,1.0351,1.0351,-0.0181180042,2026-04-03
1.0567,1.0567,1.0567,0.020867549,2026-04-10
1.0619,1.0619,1.0619,0.0049209804,2026-04-17
1.0534,1.0534,1.0534,-0.0080045202,2026-04-24
1.0606,1.0606,1.0606,0.0068350104,2026-04-30
1.0921,1.0921,1.0921,0.0297001697,2026-05-08
1.0779,1.0779,1.0779,-0.0130024723,2026-05-15
1.0676,1.0676,1.0676,-0.0095556174,2026-05-22
