nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-11-12
0.9999,0.9999,0.9999,-0.0001,2024-11-15
0.9998,0.9998,0.9998,-0.00010001,2024-11-22
0.9996,0.9996,0.9996,-0.00020004,2024-11-29
0.9993,0.9993,0.9993,-0.00030012,2024-12-06
0.9991,0.9991,0.9991,-0.0002001401,2024-12-13
0.9963,0.9963,0.9963,-0.0028025223,2024-12-20
0.9995,0.9995,0.9995,0.003211884,2024-12-27
0.9965,0.9965,0.9965,-0.0030015008,2024-12-31
0.9686,0.9686,0.9686,-0.027997993,2025-01-03
0.9772,0.9772,0.9772,0.0088787941,2025-01-10
0.9694,0.9694,0.9694,-0.0079819894,2025-01-17
1.0103,1.0103,1.0103,0.042191046,2025-01-24
0.9873,0.9873,0.9873,-0.0227655152,2025-01-27
1.0176,1.0176,1.0176,0.03068976,2025-02-07
1.0306,1.0306,1.0306,0.0127751572,2025-02-14
1.069,1.069,1.069,0.0372598486,2025-02-21
1.0388,1.0388,1.0388,-0.0282507016,2025-02-28
1.0549,1.0549,1.0549,0.0154986523,2025-03-07
1.0529,1.0529,1.0529,-0.0018959143,2025-03-14
1.0524,1.0524,1.0524,-0.0004748789,2025-03-21
1.0475,1.0475,1.0475,-0.0046560243,2025-03-28
1.063,1.063,1.063,0.014797136,2025-03-31
1.0706,1.0706,1.0706,0.0071495767,2025-04-03
1.0453,1.0453,1.0453,-0.0236316084,2025-04-11
1.0148,1.0148,1.0148,-0.0291782263,2025-04-18
1.0298,1.0298,1.0298,0.0147812377,2025-04-25
1.0255,1.0255,1.0255,-0.0041755681,2025-04-30
1.0296,1.0296,1.0296,0.0039980497,2025-05-09
1.0249,1.0249,1.0249,-0.0045648796,2025-05-16
1.0137,1.0137,1.0137,-0.0109278954,2025-05-23
1.0267,1.0267,1.0267,0.012824307,2025-05-30
1.0674,1.0674,1.0674,0.0396415701,2025-06-06
1.0636,1.0636,1.0636,-0.0035600525,2025-06-13
1.0775,1.0775,1.0775,0.0130688229,2025-06-20
1.1154,1.1154,1.1154,0.0351740139,2025-06-27
1.1185,1.1185,1.1185,0.002779272,2025-06-30
1.1006,1.1006,1.1006,-0.0160035762,2025-07-04
1.111,1.111,1.111,0.0094493912,2025-07-11
1.1436,1.1436,1.1436,0.0293429343,2025-07-18
1.173,1.173,1.173,0.0257082896,2025-07-25
1.1783,1.1783,1.1783,0.0045183291,2025-07-31
1.1875,1.1875,1.1875,0.0078078588,2025-08-01
1.1966,1.1966,1.1966,0.0076631579,2025-08-08
1.1731,1.1731,1.1731,-0.0196389771,2025-08-15
1.2037,1.2037,1.2037,0.0260847328,2025-08-22
1.1968,1.1968,1.1968,-0.0057323253,2025-08-29
1.1601,1.1601,1.1601,-0.030665107,2025-09-05
1.1744,1.1744,1.1744,0.0123265236,2025-09-12
1.1601,1.1601,1.1601,-0.0121764305,2025-09-19
1.189,1.189,1.189,0.0249116455,2025-09-26
1.2311,1.2311,1.2311,0.0354079058,2025-09-30
1.2549,1.2549,1.2549,0.0193323044,2025-10-10
1.1404,1.1404,1.1404,-0.0912423301,2025-10-17
1.2258,1.2258,1.2258,0.0748860049,2025-10-24
1.1473,1.1473,1.1473,-0.0640398107,2025-10-31
1.1557,1.1557,1.1557,0.0073215375,2025-11-07
1.1705,1.1705,1.1705,0.0128060915,2025-11-14
0.9815,0.9815,0.9815,-0.1614694575,2025-11-21
1.1458,1.1458,1.1458,0.1673968416,2025-11-28
1.1659,1.1659,1.1659,0.0175423285,2025-12-05
1.2065,1.2065,1.2065,0.0348228836,2025-12-12
1.1528,1.1528,1.1528,-0.0445089101,2025-12-19
1.2219,1.2219,1.2219,0.0599410132,2025-12-26
1.2066,1.2066,1.2066,-0.0125214829,2025-12-31
1.3206,1.3206,1.3206,0.094480358,2026-01-09
1.0268,1.3863,1.3863,0.0497501136,2026-01-16
1.1153,1.4748,1.50578534,0.0861901052,2026-01-23
1.0299,1.3894,1.39048536,-0.0765713261,2026-01-30
1.0144,1.3739,1.36955855,-0.0150500049,2026-02-06
1.0184,1.3779,1.37495902,0.0039432177,2026-02-13
1.0864,1.4459,1.46676697,0.0667714061,2026-02-27
1.0344,1.3939,1.39656089,-0.0478645066,2026-03-06
0.9736,1.3331,1.31447378,-0.0587780356,2026-03-13
0.8864,1.2459,1.19674359,-0.0895645029,2026-03-20
0.8136,1.1731,1.09845508,-0.0821299639,2026-03-27
0.8383,1.1978,1.13180297,0.0303588987,2026-03-31
0.7796,1.1391,1.05255111,-0.0700226649,2026-04-03
0.8407,1.2002,1.13504325,0.0783735249,2026-04-10
0.9833,1.3428,1.32756992,0.1696205543,2026-04-17
1.0333,1.3928,1.39507576,0.0508491813,2026-04-24
1.035,1.3945,1.39737096,0.0016452144,2026-04-30
1.1346,1.4941,1.5318426,0.0962318841,2026-05-08
1.1367,1.4962,1.53467784,0.0018508726,2026-05-15
1.18,1.5395,1.5931379,0.0380927246,2026-05-22
