nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9998,0.9998,0.9998,0.0,2022-01-19
0.9998,0.9998,0.9998,0.0,2022-01-21
0.9993,0.9993,0.9993,-0.0005001,2022-01-28
0.9991,0.9991,0.9991,-0.0002001401,2022-02-11
1.0119,1.0119,1.0119,0.0128115304,2022-02-18
1.017,1.017,1.017,0.0050400237,2022-02-25
1.0193,1.0193,1.0193,0.0022615536,2022-02-28
1.0135,1.0135,1.0135,-0.0056901795,2022-03-04
1.0026,1.0026,1.0026,-0.0107548101,2022-03-11
1.0134,1.0134,1.0134,0.0107719928,2022-03-18
1.0075,1.0075,1.0075,-0.0058219854,2022-03-25
1.0114,1.0114,1.0114,0.0038709677,2022-03-31
1.0138,1.0138,1.0138,0.0023729484,2022-04-01
1.0138,1.0138,1.0138,0.0,2022-04-08
1.0128,1.0128,1.0128,-0.0009863878,2022-04-15
1.0093,1.0093,1.0093,-0.0034557662,2022-04-22
1.0075,1.0075,1.0075,-0.0017834142,2022-04-29
1.0099,1.0099,1.0099,0.002382134,2022-05-06
1.0182,1.0182,1.0182,0.0082186355,2022-05-13
1.0213,1.0213,1.0213,0.0030445885,2022-05-20
1.0235,1.0235,1.0235,0.0021541173,2022-05-27
1.0239,1.0239,1.0239,0.0003908158,2022-05-31
1.0238,1.0238,1.0238,-9.76658e-05,2022-06-02
1.031,1.031,1.031,0.0070326236,2022-06-10
1.0392,1.0392,1.0392,0.0079534433,2022-06-17
1.0416,1.0416,1.0416,0.0023094688,2022-06-24
1.0465,1.0465,1.0465,0.0047043011,2022-06-30
1.0469,1.0469,1.0469,0.0003822265,2022-07-01
1.0425,1.0425,1.0425,-0.0042028847,2022-07-08
1.0388,1.0388,1.0388,-0.0035491607,2022-07-15
1.048,1.048,1.048,0.0088563727,2022-07-22
1.0529,1.0529,1.0529,0.0046755725,2022-07-29
1.0524,1.0524,1.0524,-0.0004748789,2022-08-05
1.0595,1.0595,1.0595,0.0067464842,2022-08-12
1.0575,1.0575,1.0575,-0.0018876829,2022-08-19
1.0541,1.0541,1.0541,-0.00321513,2022-08-26
1.0517,1.0517,1.0517,-0.0022768238,2022-08-31
1.0559,1.0559,1.0559,0.0039935343,2022-09-02
1.0637,1.0637,1.0637,0.0073870632,2022-09-09
1.054,1.054,1.054,-0.0091191125,2022-09-16
1.0593,1.0593,1.0593,0.005028463,2022-09-23
1.0529,1.0529,1.0529,-0.0060417257,2022-09-30
1.059,1.059,1.059,0.0057935227,2022-10-14
1.0581,1.0581,1.0581,-0.0008498584,2022-10-21
1.0532,1.0532,1.0532,-0.0046309423,2022-10-28
1.0521,1.0521,1.0521,-0.001044436,2022-10-31
1.0613,1.0613,1.0613,0.0087444159,2022-11-04
1.0674,1.0674,1.0674,0.005747668,2022-11-11
1.0616,1.0616,1.0616,-0.0054337643,2022-11-18
1.0668,1.0668,1.0668,0.0048982668,2022-11-25
1.072,1.072,1.072,0.0048743907,2022-11-30
1.0752,1.0752,1.0752,0.0029850746,2022-12-02
1.0755,1.0755,1.0755,0.0002790179,2022-12-09
1.066,1.066,1.066,-0.0088331009,2022-12-16
1.0528,1.0528,1.0528,-0.0123827392,2022-12-23
1.0616,1.0616,1.0616,0.0083586626,2022-12-30
1.0771,1.0771,1.0771,0.0146006029,2023-01-06
1.0759,1.0759,1.0759,-0.0011141027,2023-01-13
1.0883,1.0883,1.0883,0.0115252347,2023-01-20
1.0926,1.0926,1.0926,0.0039511164,2023-01-31
1.0964,1.0964,1.0964,0.0034779425,2023-02-03
1.1017,1.1017,1.1017,0.0048340022,2023-02-10
1.0943,1.0943,1.0943,-0.0067168921,2023-02-17
1.1005,1.1005,1.1005,0.0056657224,2023-02-24
1.1018,1.1018,1.1018,0.0011812812,2023-02-28
1.1083,1.1083,1.1083,0.0058994373,2023-03-03
1.106,1.106,1.106,-0.0020752504,2023-03-10
1.1097,1.1097,1.1097,0.0033453888,2023-03-17
1.1194,1.1194,1.1194,0.0087411012,2023-03-24
1.1212,1.1212,1.1212,0.0016080043,2023-03-31
1.1263,1.1263,1.1263,0.0045486978,2023-04-07
1.1288,1.1288,1.1288,0.0022196573,2023-04-14
1.1245,1.1245,1.1245,-0.0038093551,2023-04-21
1.131,1.131,1.131,0.0057803468,2023-04-28
1.1308,1.1308,1.1308,-0.0001768347,2023-05-05
1.1234,1.1234,1.1234,-0.0065440396,2023-05-12
1.1324,1.1324,1.1324,0.008011394,2023-05-19
1.1306,1.1306,1.1306,-0.0015895443,2023-05-26
