nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-10-29
1.0,1.0,1.0,0.0,2020-10-30
0.9999,0.9999,0.9999,-0.0001,2020-11-02
0.9998,0.9998,0.9998,-0.00010001,2020-11-03
0.9998,0.9998,0.9998,0.0,2020-11-04
0.9998,0.9998,0.9998,0.0,2020-11-05
0.9997,0.9997,0.9997,-0.00010002,2020-11-06
0.9995,0.9995,0.9995,-0.00020006,2020-11-09
0.9995,0.9995,0.9995,0.0,2020-11-10
0.9994,0.9994,0.9994,-0.00010005,2020-11-11
0.9994,0.9994,0.9994,0.0,2020-11-12
0.9994,0.9994,0.9994,0.0,2020-11-13
0.9993,0.9993,0.9993,-0.00010006,2020-11-16
0.9992,0.9992,0.9992,-0.00010007,2020-11-17
0.9983,0.9983,0.9983,-0.0009007206,2020-11-18
1.0,1.0,1.0,0.0017028949,2020-11-19
1.0005,1.0005,1.0005,0.0005,2020-11-20
1.0024,1.0024,1.0024,0.0018990505,2020-11-23
1.0037,1.0037,1.0037,0.0012968875,2020-11-24
0.9966,0.9966,0.9966,-0.0070738268,2020-11-25
0.9949,0.9949,0.9949,-0.0017057997,2020-11-26
1.0007,1.0007,1.0007,0.0058297316,2020-11-27
0.9991,0.9991,0.9991,-0.0015988808,2020-11-30
1.0037,1.0037,1.0037,0.0046041437,2020-12-01
1.0046,1.0046,1.0046,0.0008966823,2020-12-02
1.0008,1.0008,1.0008,-0.0037826,2020-12-03
0.9972,0.9972,0.9972,-0.0035971223,2020-12-04
0.9901,0.9901,0.9901,-0.0071199358,2020-12-07
0.9859,0.9859,0.9859,-0.0042419958,2020-12-08
0.9805,0.9805,0.9805,-0.0054772289,2020-12-09
0.9844,0.9844,0.9844,0.0039775625,2020-12-10
0.975,0.975,0.975,-0.0095489638,2020-12-11
0.9783,0.9783,0.9783,0.0033846154,2020-12-14
0.9775,0.9775,0.9775,-0.0008177451,2020-12-15
0.971,0.971,0.971,-0.0066496164,2020-12-16
0.9779,0.9779,0.9779,0.0071060762,2020-12-17
0.9798,0.9798,0.9798,0.001942939,2020-12-18
0.9797,0.9797,0.9797,-0.0001020616,2020-12-21
0.9712,0.9712,0.9712,-0.0086761253,2020-12-22
0.9726,0.9726,0.9726,0.0014415157,2020-12-23
0.9696,0.9696,0.9696,-0.0030845157,2020-12-24
0.9752,0.9752,0.9752,0.0057755776,2020-12-25
0.9775,0.9775,0.9775,0.0023584906,2020-12-28
0.9733,0.9733,0.9733,-0.0042966752,2020-12-29
0.981,0.981,0.981,0.0079112298,2020-12-30
0.99,0.99,0.99,0.0091743119,2020-12-31
0.9951,0.9951,0.9951,0.0051515152,2021-01-04
0.9959,0.9959,0.9959,0.0008039393,2021-01-05
1.0039,1.0039,1.0039,0.008032935,2021-01-06
1.0063,1.0063,1.0063,0.0023906764,2021-01-07
1.0029,1.0029,1.0029,-0.0033787141,2021-01-08
1.0008,1.0008,1.0008,-0.0020939276,2021-01-11
1.0108,1.0108,1.0108,0.0099920064,2021-01-12
1.0115,1.0115,1.0115,0.0006925208,2021-01-13
1.0055,1.0055,1.0055,-0.0059317845,2021-01-14
1.0029,1.0029,1.0029,-0.0025857782,2021-01-15
1.0179,1.0179,1.0179,0.0149566258,2021-01-18
1.0125,1.0125,1.0125,-0.0053050398,2021-01-19
1.0222,1.0222,1.0222,0.0095802469,2021-01-20
1.0294,1.0294,1.0294,0.0070436314,2021-01-21
1.0123,1.0123,1.0123,-0.0166116184,2021-01-22
1.0033,1.0033,1.0033,-0.0088906451,2021-01-25
0.9986,0.9986,0.9986,-0.004684541,2021-01-26
0.9959,0.9959,0.9959,-0.0027037853,2021-01-27
0.9785,0.9785,0.9785,-0.0174716337,2021-01-28
0.9638,0.9638,0.9638,-0.0150229944,2021-01-29
0.9711,0.9711,0.9711,0.0075741855,2021-02-01
0.976,0.976,0.976,0.0050458243,2021-02-02
0.9636,0.9636,0.9636,-0.012704918,2021-02-03
0.943,0.943,0.943,-0.0213781652,2021-02-04
0.9391,0.9391,0.9391,-0.004135737,2021-02-05
0.9495,0.9495,0.9495,0.011074433,2021-02-08
0.9637,0.9637,0.9637,0.0149552396,2021-02-09
0.9695,0.9695,0.9695,0.0060184705,2021-02-10
1.0007,1.0007,1.0007,0.0321815369,2021-02-18
1.0134,1.0134,1.0134,0.0126911162,2021-02-19
1.0286,1.0286,1.0286,0.0149990132,2021-02-22
1.0273,1.0273,1.0273,-0.0012638538,2021-02-23
1.0212,1.0212,1.0212,-0.0059378955,2021-02-24
1.0377,1.0377,1.0377,0.0161574618,2021-02-25
1.0192,1.0192,1.0192,-0.0178278886,2021-02-26
1.0367,1.0367,1.0367,0.0171703297,2021-03-01
1.041,1.041,1.041,0.0041477766,2021-03-02
1.0591,1.0591,1.0591,0.0173871278,2021-03-03
1.0582,1.0582,1.0582,-0.0008497781,2021-03-04
1.0426,1.0426,1.0426,-0.0147420147,2021-03-05
1.0227,1.0227,1.0227,-0.0190868981,2021-03-08
1.008,1.008,1.008,-0.0143737166,2021-03-09
1.0066,1.0066,1.0066,-0.0013888889,2021-03-10
1.0383,1.0383,1.0383,0.0314921518,2021-03-11
1.0498,1.0498,1.0498,0.011075797,2021-03-12
1.0452,1.0452,1.0452,-0.004381787,2021-03-15
1.0449,1.0449,1.0449,-0.0002870264,2021-03-16
1.0425,1.0425,1.0425,-0.0022968705,2021-03-17
1.0414,1.0414,1.0414,-0.0010551559,2021-03-18
1.0221,1.0221,1.0221,-0.0185327444,2021-03-19
1.0368,1.0368,1.0368,0.0143821544,2021-03-22
1.0335,1.0335,1.0335,-0.0031828704,2021-03-23
1.013,1.013,1.013,-0.0198355104,2021-03-24
1.0062,1.0062,1.0062,-0.0067127345,2021-03-25
1.0173,1.0173,1.0173,0.0110316041,2021-03-26
1.0179,1.0179,1.0179,0.0005897965,2021-03-29
1.0262,1.0262,1.0262,0.0081540426,2021-03-30
1.0166,1.0166,1.0166,-0.0093549016,2021-03-31
1.023,1.023,1.023,0.0062954948,2021-04-01
1.028,1.028,1.028,0.0048875855,2021-04-02
1.0352,1.0352,1.0352,0.0070038911,2021-04-06
1.0439,1.0439,1.0439,0.0084041731,2021-04-07
1.033,1.033,1.033,-0.0104416132,2021-04-08
1.0253,1.0253,1.0253,-0.0074540174,2021-04-09
1.0156,1.0156,1.0156,-0.0094606457,2021-04-12
1.0075,1.0075,1.0075,-0.0079755809,2021-04-13
1.0124,1.0124,1.0124,0.0048635236,2021-04-14
1.0085,1.0085,1.0085,-0.0038522323,2021-04-15
1.0166,1.0166,1.0166,0.0080317303,2021-04-16
1.0316,1.0316,1.0316,0.0147550659,2021-04-19
1.0329,1.0329,1.0329,0.0012601784,2021-04-20
1.0346,1.0346,1.0346,0.0016458515,2021-04-21
1.0468,1.0468,1.0468,0.0117919969,2021-04-22
1.0592,1.0592,1.0592,0.0118456248,2021-04-23
1.0503,1.0503,1.0503,-0.008402568,2021-04-26
1.0447,1.0447,1.0447,-0.00533181,2021-04-27
1.0454,1.0454,1.0454,0.0006700488,2021-04-28
