nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-03-10
1.0,1.0,1.0,0.0,2022-03-11
0.9997,0.9997,0.9997,-0.0003,2022-03-18
0.9997,0.9997,0.9997,0.0,2022-03-25
0.9994,0.9994,0.9994,-0.00030009,2022-04-01
0.9991,0.9991,0.9991,-0.0003001801,2022-04-08
0.9989,0.9989,0.9989,-0.0002001802,2022-04-15
0.9986,0.9986,0.9986,-0.0003003304,2022-04-22
0.9983,0.9983,0.9983,-0.0003004206,2022-04-29
0.998,0.998,0.998,-0.0003005109,2022-05-06
0.9977,0.9977,0.9977,-0.0003006012,2022-05-13
0.9974,0.9974,0.9974,-0.0003006916,2022-05-20
0.9971,0.9971,0.9971,-0.000300782,2022-05-27
0.9968,0.9968,0.9968,-0.0003008725,2022-06-02
0.9963,0.9963,0.9963,-0.0005016051,2022-06-10
0.996,0.996,0.996,-0.0003011141,2022-06-17
0.9986,0.9986,0.9986,0.0026104418,2022-06-24
1.0138,1.0138,1.0138,0.0152213098,2022-07-01
1.0444,1.0444,1.0444,0.0301834681,2022-07-08
1.1442,1.1442,1.1442,0.0955572578,2022-07-15
1.2396,1.2396,1.2396,0.083377032,2022-07-22
1.2634,1.2634,1.2634,0.0191997419,2022-07-29
1.3049,1.3049,1.3049,0.0328478708,2022-08-05
1.3626,1.3626,1.3626,0.0442179477,2022-08-12
1.3691,1.3691,1.3691,0.0047702921,2022-08-19
1.4188,1.4188,1.4188,0.0363012198,2022-08-26
1.4221,1.4221,1.4221,0.0023259092,2022-09-02
1.3726,1.3726,1.3726,-0.0348076788,2022-09-09
1.3565,1.3565,1.3565,-0.0117295643,2022-09-16
1.3242,1.3242,1.3242,-0.023811279,2022-09-23
1.2962,1.2962,1.2962,-0.0211448422,2022-09-30
1.3387,1.3387,1.3387,0.03278815,2022-10-14
1.3247,1.3247,1.3247,-0.0104579069,2022-10-21
1.29,1.29,1.29,-0.0261946101,2022-10-28
1.3512,1.3512,1.3512,0.0474418605,2022-11-04
1.3788,1.3788,1.3788,0.0204262877,2022-11-11
1.4111,1.4111,1.4111,0.0234261677,2022-11-18
1.3491,1.3491,1.3491,-0.0439373538,2022-11-25
1.4002,1.4002,1.4002,0.0378771033,2022-12-02
1.4437,1.4437,1.4437,0.0310669904,2022-12-09
1.428,1.428,1.428,-0.0108748355,2022-12-16
1.3839,1.3839,1.3839,-0.0308823529,2022-12-23
1.4081,1.4081,1.4081,0.0174868126,2022-12-30
1.438,1.438,1.438,0.0212342873,2023-01-06
1.397,1.397,1.397,-0.028511822,2023-01-13
1.4589,1.4589,1.4589,0.0443092341,2023-01-20
1.5157,1.5157,1.5157,0.038933443,2023-02-03
1.5031,1.5031,1.5031,-0.0083129907,2023-02-10
1.505,1.505,1.505,0.0012640543,2023-02-17
1.5668,1.5668,1.5668,0.0410631229,2023-02-24
1.5653,1.5653,1.5653,-0.0009573653,2023-03-03
1.559,1.559,1.559,-0.0040247876,2023-03-10
1.5397,1.5397,1.5397,-0.0123797306,2023-03-17
1.6057,1.6057,1.6057,0.0428654933,2023-03-24
1.6077,1.6077,1.6077,0.0012455627,2023-03-31
1.6335,1.6335,1.6335,0.0160477701,2023-04-07
1.684,1.684,1.684,0.0309152127,2023-04-14
1.7062,1.7062,1.7062,0.0131828979,2023-04-21
1.8265,1.8265,1.8265,0.0705075607,2023-04-28
1.8463,1.8463,1.8463,0.0108404051,2023-05-05
1.8202,1.8202,1.8202,-0.0141363809,2023-05-12
1.8712,1.8712,1.8712,0.028018899,2023-05-19
1.874,1.874,1.874,0.001496366,2023-05-26
1.8916,1.8916,1.8916,0.0093916756,2023-06-02
1.9161,1.9161,1.9161,0.0129519983,2023-06-09
1.9864,1.9864,1.9864,0.0366891081,2023-06-16
1.9234,1.9234,1.9234,-0.0317156665,2023-06-21
1.8921,1.8921,1.8921,-0.0162732661,2023-06-30
1.9031,1.9031,1.9031,0.0058136462,2023-07-07
1.8511,1.8511,1.8511,-0.0273238401,2023-07-14
1.7427,1.7427,1.7427,-0.0585597753,2023-07-21
1.7905,1.7905,1.7905,0.0274287026,2023-07-28
1.7836,1.7836,1.7836,-0.0038536722,2023-08-04
1.7639,1.7639,1.7639,-0.0110450774,2023-08-11
1.7451,1.7451,1.7451,-0.0106582006,2023-08-18
1.7238,1.7238,1.7238,-0.0122056043,2023-08-25
1.763,1.763,1.763,0.0227404571,2023-09-01
1.7426,1.7426,1.7426,-0.0115711855,2023-09-08
1.7539,1.7539,1.7539,0.0064845633,2023-09-15
1.7614,1.7614,1.7614,0.0042761845,2023-09-22
1.7754,1.7754,1.7754,0.007948223,2023-09-28
1.759,1.759,1.759,-0.009237355,2023-10-13
1.7469,1.7469,1.7469,-0.0068789085,2023-10-20
1.7538,1.7538,1.7538,0.003949854,2023-10-27
1.773,1.773,1.773,0.0109476565,2023-11-03
1.809,1.809,1.809,0.0203045685,2023-11-10
1.8276,1.8276,1.8276,0.0102819237,2023-11-17
1.8282,1.8282,1.8282,0.0003282994,2023-11-24
1.8782,1.8782,1.8782,0.0273493053,2023-12-01
1.8993,1.8993,1.8993,0.0112341604,2023-12-08
1.914,1.914,1.914,0.0077396936,2023-12-15
1.8869,1.8869,1.8869,-0.0141588297,2023-12-22
1.9184,1.9184,1.9184,0.0166940484,2023-12-29
1.8936,1.8936,1.8936,-0.0129274395,2024-01-05
1.903,1.903,1.903,0.0049640896,2024-01-12
1.8804,1.8804,1.8804,-0.0118759853,2024-01-19
1.8912,1.8912,1.8912,0.0057434588,2024-01-26
1.8308,1.8308,1.8308,-0.0319373942,2024-02-02
1.9084,1.9084,1.9084,0.0423858423,2024-02-08
2.0282,2.0282,2.0282,0.0627750996,2024-02-23
2.117,2.117,2.117,0.0437826644,2024-03-01
2.1056,2.1056,2.1056,-0.0053849787,2024-03-08
2.1439,2.1439,2.1439,0.0181895897,2024-03-15
2.1497,2.1497,2.1497,0.0027053501,2024-03-22
2.1032,2.1032,2.1032,-0.0216309252,2024-03-29
2.1103,2.1103,2.1103,0.0033758083,2024-04-03
2.047,2.047,2.047,-0.0299957352,2024-04-12
2.0246,2.0246,2.0246,-0.0109428432,2024-04-19
2.0641,2.0641,2.0641,0.0195100267,2024-04-26
2.0711,2.0711,2.0711,0.0033913086,2024-04-30
2.1161,2.1161,2.1161,0.0217275844,2024-05-10
2.1055,2.1055,2.1055,-0.0050092151,2024-05-17
2.0935,2.0935,2.0935,-0.0056993588,2024-05-24
2.1024,2.1024,2.1024,0.0042512539,2024-05-31
2.0284,2.0284,2.0284,-0.0351978691,2024-06-07
2.043,2.043,2.043,0.0071977914,2024-06-14
2.0226,2.0226,2.0226,-0.0099853157,2024-06-21
2.0048,2.0048,2.0048,-0.0088005537,2024-06-28
1.9839,1.9839,1.9839,-0.01042498,2024-07-05
1.975,1.975,1.975,-0.0044861132,2024-07-12
1.9384,1.9384,1.9384,-0.0185316456,2024-07-19
1.9208,1.9208,1.9208,-0.0090796533,2024-07-26
1.9618,1.9618,1.9618,0.0213452728,2024-07-31
1.9696,1.9696,1.9696,0.0039759405,2024-08-02
1.9375,1.9375,1.9375,-0.0162977254,2024-08-09
1.9166,1.9166,1.9166,-0.0107870968,2024-08-16
1.8465,1.8465,1.8465,-0.0365751852,2024-08-23
1.8877,1.8877,1.8877,0.0223124831,2024-08-30
1.8824,1.8824,1.8824,-0.0028076495,2024-09-06
1.863,1.863,1.863,-0.0103059924,2024-09-13
1.842,1.842,1.842,-0.0112721417,2024-09-20
2.03,2.03,2.03,0.102062975,2024-09-27
2.2309,2.2309,2.2309,0.0989655172,2024-09-30
2.0576,2.0576,2.0576,-0.0776816531,2024-10-11
2.072,2.072,2.072,0.0069984448,2024-10-18
2.1693,2.1693,2.1693,0.0469594595,2024-10-25
2.1501,2.1501,2.1501,-0.0088507814,2024-10-31
2.1034,2.1034,2.1034,-0.02171992,2024-11-01
2.2566,2.2566,2.2566,0.0728344585,2024-11-08
2.1372,2.1372,2.1372,-0.0529114597,2024-11-15
2.1236,2.1236,2.1236,-0.0063634662,2024-11-22
2.1622,2.1622,2.1622,0.0181766811,2024-11-29
2.1889,2.1889,2.1889,0.0123485339,2024-12-06
2.1714,2.1714,2.1714,-0.0079948833,2024-12-13
2.1125,2.1125,2.1125,-0.0271253569,2024-12-20
2.1369,2.1369,2.1369,0.0115502959,2024-12-27
2.0724,2.0724,2.0724,-0.0301839113,2024-12-31
2.0259,2.0259,2.0259,-0.0224377533,2025-01-03
1.9724,1.9724,1.9724,-0.0264080162,2025-01-10
2.0039,2.0039,2.0039,0.0159703914,2025-01-17
2.0171,2.0171,2.0171,0.006587155,2025-01-24
2.0253,2.0253,2.0253,0.0040652422,2025-01-27
2.114,2.114,2.114,0.0437959808,2025-02-07
2.153,2.153,2.153,0.018448439,2025-02-14
2.2219,2.2219,2.2219,0.0320018579,2025-02-21
2.1072,2.1072,2.1072,-0.0516224853,2025-02-28
2.2175,2.2175,2.2175,0.0523443432,2025-03-07
2.2847,2.2847,2.2847,0.0303043968,2025-03-14
2.2627,2.2627,2.2627,-0.009629273,2025-03-21
2.2099,2.2099,2.2099,-0.0233349538,2025-03-28
2.191,2.191,2.191,-0.0085524232,2025-03-31
2.1971,2.1971,2.1971,0.0027841168,2025-04-03
2.0718,2.0718,2.0718,-0.057029721,2025-04-11
2.0422,2.0422,2.0422,-0.0142870933,2025-04-18
2.0424,2.0424,2.0424,9.79336e-05,2025-04-25
2.0469,2.0469,2.0469,0.0022032902,2025-04-30
2.056,2.056,2.056,0.0044457472,2025-05-09
2.0419,2.0419,2.0419,-0.0068579767,2025-05-16
2.0722,2.0722,2.0722,0.0148391204,2025-05-23
2.125,2.125,2.125,0.025480166,2025-05-30
2.1428,2.1428,2.1428,0.0083764706,2025-06-06
2.3078,2.3078,2.3078,0.0770020534,2025-06-13
2.1471,2.1471,2.1471,-0.0696334171,2025-06-20
2.1964,2.1964,2.1964,0.0229612035,2025-06-27
2.2132,2.2132,2.2132,0.00764888,2025-06-30
2.3456,2.3456,2.3456,0.0598228809,2025-07-04
2.3225,2.3225,2.3225,-0.0098482265,2025-07-11
2.3895,2.3895,2.3895,0.0288482239,2025-07-18
2.3932,2.3932,2.3932,0.0015484411,2025-07-25
2.4941,2.4941,2.4941,0.0421611232,2025-07-31
2.4862,2.4862,2.4862,-0.0031674752,2025-08-01
2.5347,2.5347,2.5347,0.0195076824,2025-08-08
2.5929,2.5929,2.5929,0.0229612972,2025-08-15
2.6876,2.6876,2.6876,0.0365228123,2025-08-22
2.5926,2.5926,2.5926,-0.035347522,2025-08-29
2.7293,2.7293,2.7293,0.0527269922,2025-09-05
2.7146,2.7146,2.7146,-0.0053859964,2025-09-12
2.6859,2.6859,2.6859,-0.01057246,2025-09-19
2.6303,2.6303,2.6303,-0.0207006962,2025-09-26
2.6947,2.6947,2.6947,0.0244838992,2025-09-30
2.6677,2.6677,2.6677,-0.0100196682,2025-10-10
2.584,2.584,2.584,-0.0313753421,2025-10-17
2.5549,2.5549,2.5549,-0.0112616099,2025-10-24
