nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-01-22
1.0,1.0,1.0,0.0,2021-01-25
1.0,1.0,1.0,0.0,2021-02-01
1.004,1.004,1.004,0.004,2021-02-22
0.993,0.993,0.993,-0.0109561753,2021-03-01
0.961,0.961,0.961,-0.0322255791,2021-03-08
1.034,1.034,1.034,0.075962539,2021-03-15
1.033,1.033,1.033,-0.000967118,2021-03-22
1.019,1.019,1.019,-0.013552759,2021-03-29
1.026,1.026,1.026,0.0068694799,2021-04-12
1.063,1.063,1.063,0.0360623782,2021-04-19
1.068,1.068,1.068,0.0047036689,2021-04-26
1.101,1.101,1.101,0.0308988764,2021-05-07
1.135,1.135,1.135,0.0308810173,2021-05-14
1.132,1.132,1.132,-0.0026431718,2021-05-21
1.142,1.142,1.142,0.0088339223,2021-05-28
1.189,1.189,1.189,0.0411558669,2021-06-04
1.23,1.23,1.23,0.0344827586,2021-06-11
1.322,1.322,1.322,0.074796748,2021-06-18
1.345,1.345,1.345,0.017397882,2021-06-25
1.342,1.342,1.342,-0.0022304833,2021-07-02
1.389,1.389,1.389,0.0350223547,2021-07-09
1.52,1.52,1.52,0.094312455,2021-07-16
1.643,1.643,1.643,0.0809210526,2021-07-23
1.717,1.717,1.717,0.0450395618,2021-07-30
1.719,1.719,1.719,0.0011648224,2021-08-06
1.755,1.755,1.755,0.0209424084,2021-08-13
1.706,1.706,1.706,-0.0279202279,2021-08-20
1.752,1.752,1.752,0.0269636577,2021-08-27
1.704,1.704,1.704,-0.0273972603,2021-09-03
1.69,1.69,1.69,-0.0082159624,2021-09-10
1.616,1.616,1.616,-0.0437869822,2021-09-17
1.611,1.611,1.611,-0.0030940594,2021-09-22
1.594,1.594,1.594,-0.0105524519,2021-09-24
1.595,1.595,1.595,0.0006273526,2021-09-30
1.634,1.634,1.634,0.0244514107,2021-10-08
1.705,1.705,1.705,0.0434516524,2021-10-15
1.698,1.698,1.698,-0.0041055718,2021-10-22
1.712,1.712,1.712,0.0082449941,2021-10-29
1.69,1.69,1.69,-0.0128504673,2021-11-05
1.737,1.737,1.737,0.0278106509,2021-11-12
1.774,1.774,1.774,0.0213010938,2021-11-19
1.859,1.859,1.859,0.0479143179,2021-11-26
1.854,1.854,1.854,-0.0026896181,2021-12-03
1.866,1.866,1.866,0.0064724919,2021-12-10
1.825,1.825,1.825,-0.0219721329,2021-12-17
1.858,1.858,1.858,0.0180821918,2021-12-24
1.802,1.802,1.802,-0.0301399354,2021-12-31
1.765,1.765,1.765,-0.0205327414,2022-01-07
1.804,1.804,1.804,0.0220963173,2022-01-14
1.714,1.714,1.714,-0.0498891353,2022-01-21
1.66,1.66,1.66,-0.0315052509,2022-01-28
1.685,1.685,1.685,0.015060241,2022-02-11
1.683,1.683,1.683,-0.0011869436,2022-02-18
1.693,1.693,1.693,0.0059417706,2022-02-25
1.7,1.7,1.7,0.0041346722,2022-03-04
1.68,1.68,1.68,-0.0117647059,2022-03-11
1.69,1.69,1.69,0.005952381,2022-03-18
1.726,1.726,1.726,0.0213017751,2022-03-25
1.736,1.736,1.736,0.0057937428,2022-04-01
1.713,1.713,1.713,-0.0132488479,2022-04-08
1.704,1.704,1.704,-0.0052539405,2022-04-15
1.696,1.696,1.696,-0.0046948357,2022-04-22
1.642,1.642,1.642,-0.0318396226,2022-04-29
1.636,1.636,1.636,-0.0036540804,2022-05-06
1.649,1.649,1.649,0.0079462103,2022-05-13
1.678,1.678,1.678,0.017586416,2022-05-20
1.671,1.671,1.671,-0.0041716329,2022-05-27
1.664,1.664,1.664,-0.0041891083,2022-06-02
1.691,1.691,1.691,0.0162259615,2022-06-10
1.695,1.695,1.695,0.0023654642,2022-06-17
1.674,1.674,1.674,-0.0123893805,2022-06-24
1.69,1.69,1.69,0.009557945,2022-07-01
1.698,1.698,1.698,0.0047337278,2022-07-08
1.671,1.671,1.671,-0.0159010601,2022-07-15
1.684,1.684,1.684,0.0077797726,2022-07-22
1.692,1.692,1.692,0.0047505938,2022-07-29
1.63,1.63,1.63,-0.036643026,2022-08-05
1.639,1.639,1.639,0.0055214724,2022-08-12
1.65,1.65,1.65,0.0067114094,2022-08-19
1.53,1.53,1.53,-0.0727272727,2022-08-26
1.592,1.592,1.592,0.0405228758,2022-09-02
1.563,1.563,1.563,-0.0182160804,2022-09-09
1.49,1.49,1.49,-0.0467050544,2022-09-16
1.471,1.471,1.471,-0.0127516779,2022-09-23
1.444,1.444,1.444,-0.0183548606,2022-09-30
1.533,1.533,1.533,0.061634349,2022-10-14
1.499,1.499,1.499,-0.0221787345,2022-10-21
1.457,1.457,1.457,-0.0280186791,2022-10-28
1.532,1.532,1.532,0.0514756349,2022-11-04
1.55,1.55,1.55,0.0117493473,2022-11-11
1.552,1.552,1.552,0.0012903226,2022-11-18
1.566,1.566,1.566,0.0090206186,2022-11-25
1.579,1.579,1.579,0.0083014049,2022-12-02
1.611,1.611,1.611,0.0202659911,2022-12-09
1.574,1.574,1.574,-0.0229671012,2022-12-16
1.502,1.502,1.502,-0.0457433291,2022-12-23
1.497,1.497,1.497,-0.0033288948,2022-12-30
1.515,1.515,1.515,0.0120240481,2023-01-06
1.499,1.499,1.499,-0.0105610561,2023-01-13
1.54,1.54,1.54,0.0273515677,2023-01-20
1.59,1.59,1.59,0.0324675325,2023-02-03
1.591,1.591,1.591,0.0006289308,2023-02-10
1.563,1.563,1.563,-0.0175989943,2023-02-17
1.551,1.551,1.551,-0.0076775432,2023-02-24
1.589,1.589,1.589,0.0245003224,2023-03-03
1.604,1.604,1.604,0.0094398993,2023-03-10
1.551,1.551,1.551,-0.033042394,2023-03-17
1.564,1.564,1.564,0.0083816892,2023-03-24
1.549,1.549,1.549,-0.0095907928,2023-03-31
1.554,1.554,1.554,0.003227889,2023-04-07
1.523,1.523,1.523,-0.0199485199,2023-04-14
1.491,1.491,1.491,-0.0210111622,2023-04-21
1.433,1.433,1.433,-0.0389000671,2023-04-28
1.373,1.373,1.373,-0.0418702024,2023-05-05
1.307,1.307,1.307,-0.0480699199,2023-05-12
1.371,1.371,1.371,0.0489671002,2023-05-19
1.393,1.393,1.393,0.0160466813,2023-05-26
1.404,1.404,1.404,0.007896626,2023-06-02
1.405,1.405,1.405,0.0007122507,2023-06-09
1.444,1.444,1.444,0.0277580071,2023-06-16
1.458,1.458,1.458,0.0096952909,2023-06-21
1.365,1.365,1.365,-0.0637860082,2023-06-30
1.357,1.357,1.357,-0.0058608059,2023-07-07
1.369,1.369,1.369,0.0088430361,2023-07-14
1.327,1.327,1.327,-0.030679328,2023-07-21
1.324,1.324,1.324,-0.0022607385,2023-07-28
1.346,1.346,1.346,0.0166163142,2023-08-04
1.332,1.332,1.332,-0.0104011887,2023-08-11
1.314,1.314,1.314,-0.0135135135,2023-08-18
1.283,1.283,1.283,-0.0235920852,2023-08-25
1.332,1.332,1.332,0.0381917381,2023-09-01
1.301,1.301,1.301,-0.0232732733,2023-09-08
1.291,1.291,1.291,-0.0076863951,2023-09-15
1.342,1.342,1.342,0.0395042603,2023-09-22
1.347,1.347,1.347,0.0037257824,2023-09-28
1.334,1.334,1.334,-0.0096510765,2023-10-13
1.3,1.3,1.3,-0.0254872564,2023-10-20
1.299,1.299,1.299,-0.0007692308,2023-10-27
1.306,1.306,1.306,0.0053887606,2023-11-03
1.328,1.328,1.328,0.0168453292,2023-11-10
1.346,1.346,1.346,0.0135542169,2023-11-17
1.328,1.328,1.328,-0.0133729569,2023-11-24
1.363,1.363,1.363,0.0263554217,2023-12-01
1.373,1.373,1.373,0.0073367572,2023-12-08
1.369,1.369,1.369,-0.0029133285,2023-12-15
1.342,1.342,1.342,-0.0197224251,2023-12-22
1.367,1.367,1.367,0.0186289121,2023-12-29
1.321,1.321,1.321,-0.0336503292,2024-01-05
1.326,1.326,1.326,0.0037850114,2024-01-12
1.317,1.317,1.317,-0.0067873303,2024-01-19
1.322,1.322,1.322,0.0037965072,2024-01-26
1.277,1.277,1.277,-0.0340393343,2024-02-02
1.322,1.322,1.322,0.035238841,2024-02-08
1.364,1.364,1.364,0.0317700454,2024-02-23
