nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2022-03-16
1.0,1.0,1.0,-9.999e-05,2022-03-17
1.0,1.0,1.0,0.0,2022-03-18
0.9999,0.9999,0.9999,-0.0001,2022-03-21
0.9999,0.9999,0.9999,0.0,2022-03-22
0.9999,0.9999,0.9999,0.0,2022-03-23
0.9999,0.9999,0.9999,0.0,2022-03-24
1.0,1.0,1.0,0.00010001,2022-03-25
1.0,1.0,1.0,0.0,2022-03-28
1.0,1.0,1.0,0.0,2022-03-29
1.0001,1.0001,1.0001,0.0001,2022-03-30
1.0001,1.0001,1.0001,0.0,2022-03-31
1.0038,1.0038,1.0038,0.00369963,2022-04-01
1.0054,1.0054,1.0054,0.001593943,2022-04-06
1.0059,1.0059,1.0059,0.0004973145,2022-04-07
1.006,1.006,1.006,9.94135e-05,2022-04-08
1.0061,1.0061,1.0061,9.94036e-05,2022-04-11
1.0038,1.0038,1.0038,-0.0022860551,2022-04-12
1.006,1.006,1.006,0.0021916716,2022-04-13
1.0055,1.0055,1.0055,-0.0004970179,2022-04-14
1.0077,1.0077,1.0077,0.0021879662,2022-04-15
1.0073,1.0073,1.0073,-0.0003969435,2022-04-18
1.0079,1.0079,1.0079,0.0005956517,2022-04-19
1.0066,1.0066,1.0066,-0.0012898105,2022-04-20
1.005,1.005,1.005,-0.0015895092,2022-04-21
1.0034,1.0034,1.0034,-0.0015920398,2022-04-22
1.0034,1.0034,1.0034,0.0,2022-04-25
0.9971,0.9971,0.9971,-0.0062786526,2022-04-26
0.9973,0.9973,0.9973,0.0002005817,2022-04-27
1.0007,1.0007,1.0007,0.0034092049,2022-04-28
1.002,1.002,1.002,0.0012990906,2022-04-29
1.0028,1.0028,1.0028,0.0007984032,2022-05-05
1.0015,1.0015,1.0015,-0.0012963702,2022-05-06
0.9981,0.9981,0.9981,-0.0033949076,2022-05-09
0.9958,0.9958,0.9958,-0.0023043783,2022-05-10
0.9957,0.9957,0.9957,-0.0001004218,2022-05-11
0.9962,0.9962,0.9962,0.0005021593,2022-05-12
0.9957,0.9957,0.9957,-0.0005019072,2022-05-13
0.995,0.995,0.995,-0.000703023,2022-05-16
0.9949,0.9949,0.9949,-0.0001005025,2022-05-17
0.9957,0.9957,0.9957,0.0008041009,2022-05-18
0.9956,0.9956,0.9956,-0.0001004319,2022-05-19
0.9953,0.9953,0.9953,-0.0003013258,2022-05-20
0.9967,0.9967,0.9967,0.0014066111,2022-05-23
0.9939,0.9939,0.9939,-0.0028092706,2022-05-24
0.9951,0.9951,0.9951,0.0012073649,2022-05-25
0.9954,0.9954,0.9954,0.0003014772,2022-05-26
0.9954,0.9954,0.9954,0.0,2022-05-27
0.9954,0.9954,0.9954,0.0,2022-05-30
0.9956,0.9956,0.9956,0.0002009243,2022-05-31
0.995,0.995,0.995,-0.0006026517,2022-06-01
0.9973,0.9973,0.9973,0.0023115578,2022-06-02
1.0011,1.0011,1.0011,0.0038102878,2022-06-06
1.0018,1.0018,1.0018,0.0006992308,2022-06-07
1.0031,1.0031,1.0031,0.0012976642,2022-06-08
0.9998,0.9998,0.9998,-0.0032898016,2022-06-09
1.0014,1.0014,1.0014,0.0016003201,2022-06-10
0.999,0.999,0.999,-0.0023966447,2022-06-13
0.9988,0.9988,0.9988,-0.0002002002,2022-06-14
0.9983,0.9983,0.9983,-0.0005006007,2022-06-15
0.9973,0.9973,0.9973,-0.0010017029,2022-06-16
0.9976,0.9976,0.9976,0.0003008122,2022-06-17
0.9965,0.9965,0.9965,-0.0011026464,2022-06-20
0.9962,0.9962,0.9962,-0.0003010537,2022-06-21
0.9957,0.9957,0.9957,-0.0005019072,2022-06-22
0.9976,0.9976,0.9976,0.0019082053,2022-06-23
0.9999,0.9999,0.9999,0.0023055333,2022-06-24
1.0017,1.0017,1.0017,0.00180018,2022-06-27
1.0033,1.0033,1.0033,0.0015972846,2022-06-28
1.0005,1.0005,1.0005,-0.0027907904,2022-06-29
1.002,1.002,1.002,0.0014992504,2022-06-30
1.0024,1.0024,1.0024,0.0003992016,2022-07-01
1.0038,1.0038,1.0038,0.001396648,2022-07-04
1.0037,1.0037,1.0037,-9.96214e-05,2022-07-05
1.0027,1.0027,1.0027,-0.0009963136,2022-07-06
1.0034,1.0034,1.0034,0.0006981151,2022-07-07
1.0028,1.0028,1.0028,-0.0005979669,2022-07-08
1.0059,1.0059,1.0059,0.0030913442,2022-07-11
1.0055,1.0055,1.0055,-0.0003976538,2022-07-12
1.0062,1.0062,1.0062,0.0006961711,2022-07-13
1.0072,1.0072,1.0072,0.0009938382,2022-07-14
1.0071,1.0071,1.0071,-9.92851e-05,2022-07-15
1.0079,1.0079,1.0079,0.00079436,2022-07-18
1.0079,1.0079,1.0079,0.0,2022-07-19
1.0084,1.0084,1.0084,0.000496081,2022-07-20
1.0081,1.0081,1.0081,-0.000297501,2022-07-21
1.0083,1.0083,1.0083,0.000198393,2022-07-22
1.0077,1.0077,1.0077,-0.000595061,2022-07-25
1.0084,1.0084,1.0084,0.0006946512,2022-07-26
1.0094,1.0094,1.0094,0.00099167,2022-07-27
1.0135,1.0135,1.0135,0.0040618189,2022-07-28
1.0138,1.0138,1.0138,0.0002960039,2022-07-29
1.0155,1.0155,1.0155,0.0016768593,2022-08-01
1.0141,1.0141,1.0141,-0.0013786312,2022-08-02
1.0148,1.0148,1.0148,0.0006902672,2022-08-03
1.0148,1.0148,1.0148,0.0,2022-08-04
1.0149,1.0149,1.0149,9.85416e-05,2022-08-05
1.0161,1.0161,1.0161,0.0011823825,2022-08-08
1.017,1.017,1.017,0.0008857396,2022-08-09
1.0176,1.0176,1.0176,0.0005899705,2022-08-10
1.0175,1.0175,1.0175,-9.82704e-05,2022-08-11
1.0165,1.0165,1.0165,-0.000982801,2022-08-12
1.0177,1.0177,1.0177,0.0011805214,2022-08-15
1.0182,1.0182,1.0182,0.0004913039,2022-08-16
1.0185,1.0185,1.0185,0.0002946376,2022-08-17
1.0195,1.0195,1.0195,0.000981836,2022-08-18
1.0182,1.0182,1.0182,-0.0012751349,2022-08-19
1.0188,1.0188,1.0188,0.0005892752,2022-08-22
1.0197,1.0197,1.0197,0.0008833922,2022-08-23
1.0178,1.0178,1.0178,-0.0018632931,2022-08-24
1.017,1.017,1.017,-0.000786009,2022-08-25
1.0162,1.0162,1.0162,-0.0007866273,2022-08-26
1.0173,1.0173,1.0173,0.0010824641,2022-08-29
1.017,1.017,1.017,-0.0002948983,2022-08-30
1.0158,1.0158,1.0158,-0.001179941,2022-08-31
1.0162,1.0162,1.0162,0.0003937783,2022-09-01
1.0169,1.0169,1.0169,0.0006888408,2022-09-02
1.0166,1.0166,1.0166,-0.0002950143,2022-09-05
1.0168,1.0168,1.0168,0.0001967342,2022-09-06
1.0214,1.0214,1.0214,0.0045239969,2022-09-07
1.0208,1.0208,1.0208,-0.000587429,2022-09-08
1.0211,1.0211,1.0211,0.0002938871,2022-09-09
1.0216,1.0216,1.0216,0.000489668,2022-09-13
1.0215,1.0215,1.0215,-9.78857e-05,2022-09-14
1.021,1.021,1.021,-0.0004894763,2022-09-15
1.0212,1.0212,1.0212,0.0001958864,2022-09-16
1.0185,1.0185,1.0185,-0.0026439483,2022-09-19
1.019,1.019,1.019,0.000490918,2022-09-20
1.0192,1.0192,1.0192,0.0001962709,2022-09-21
1.0197,1.0197,1.0197,0.0004905808,2022-09-22
1.0194,1.0194,1.0194,-0.0002942042,2022-09-23
1.0197,1.0197,1.0197,0.0002942908,2022-09-26
1.02,1.02,1.02,0.0002942042,2022-09-27
1.0194,1.0194,1.0194,-0.0005882353,2022-09-28
1.0195,1.0195,1.0195,9.80969e-05,2022-09-29
1.0189,1.0189,1.0189,-0.0005885238,2022-09-30
1.0201,1.0201,1.0201,0.0011777407,2022-10-10
1.0202,1.0202,1.0202,9.80296e-05,2022-10-11
1.0207,1.0207,1.0207,0.0004901,2022-10-12
1.0195,1.0195,1.0195,-0.0011756638,2022-10-13
1.0207,1.0207,1.0207,0.0011770476,2022-10-14
1.0209,1.0209,1.0209,0.000195944,2022-10-17
1.0196,1.0196,1.0196,-0.0012733862,2022-10-18
1.0171,1.0171,1.0171,-0.0024519419,2022-10-19
1.017,1.017,1.017,-9.83187e-05,2022-10-20
1.018,1.018,1.018,0.0009832842,2022-10-21
