nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0002,1.0002,1.0002,0.0,2025-08-15
1.0002,1.0002,1.0002,0.0,2025-08-22
0.9911,0.9911,0.9911,-0.0090981804,2025-08-29
0.9761,0.9761,0.9761,-0.0151346988,2025-09-05
0.9973,0.9973,0.9973,0.0217190862,2025-09-12
0.9916,0.9916,0.9916,-0.0057154317,2025-09-19
0.9773,0.9773,0.9773,-0.0144211376,2025-09-26
0.9943,0.9943,0.9943,0.0173948634,2025-09-30
0.9941,0.9941,0.9941,-0.0002011465,2025-10-10
0.9704,0.9704,0.9704,-0.0238406599,2025-10-17
1.0036,1.0036,1.0036,0.0342126958,2025-10-24
1.0051,1.0051,1.0051,0.0014946194,2025-10-31
1.0318,1.0318,1.0318,0.0265645209,2025-11-07
1.0604,1.0604,1.0604,0.0277185501,2025-11-14
0.9936,0.9936,0.9936,-0.0629950962,2025-11-21
1.0256,1.0256,1.0256,0.0322061192,2025-11-28
1.0316,1.0316,1.0316,0.005850234,2025-12-05
1.0231,1.0231,1.0231,-0.0082396278,2025-12-12
1.029,1.029,1.029,0.0057667872,2025-12-19
1.0517,1.0517,1.0517,0.0220602527,2025-12-26
1.0498,1.0498,1.0498,-0.0018065988,2025-12-31
1.1024,1.1024,1.1024,0.0501047819,2026-01-09
1.1186,1.1186,1.1186,0.0146952104,2026-01-16
1.1644,1.1644,1.1644,0.0409440372,2026-01-23
1.141,1.141,1.141,-0.0200961869,2026-01-30
1.1405,1.1405,1.1405,-0.0004382121,2026-02-06
1.1427,1.1427,1.1427,0.0019289785,2026-02-13
1.1745,1.1745,1.1745,0.0278288265,2026-02-27
1.1579,1.1579,1.1579,-0.0141336739,2026-03-06
1.1657,1.1657,1.1657,0.006736333,2026-03-13
1.1107,1.1107,1.1107,-0.0471819508,2026-03-20
1.1046,1.1046,1.1046,-0.0054920321,2026-03-27
1.0724,1.0724,1.0724,-0.0291508238,2026-04-03
1.1302,1.1302,1.1302,0.0538977993,2026-04-10
1.1559,1.1559,1.1559,0.0227393382,2026-04-17
1.1548,1.1548,1.1548,-0.0009516394,2026-04-24
1.1898,1.1898,1.1898,0.0303082785,2026-04-30
1.2373,1.2373,1.2373,0.0399226761,2026-05-08
1.216,1.216,1.216,-0.0172149034,2026-05-15
1.2271,1.2271,1.2271,0.0091282895,2026-05-22
1.0215,1.2215,1.2215,-0.0045636052,2026-05-26
