nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-02-28
1.0,1.0,1.0,0.0,2020-03-06
0.955,0.955,0.955,-0.045,2020-03-13
0.915,0.915,0.915,-0.0418848168,2020-03-20
0.928,0.928,0.928,0.0142076503,2020-03-27
0.932,0.932,0.932,0.0043103448,2020-04-03
0.95,0.95,0.95,0.0193133047,2020-04-10
0.974,0.974,0.974,0.0252631579,2020-04-17
1.004,1.004,1.004,0.0308008214,2020-04-24
1.009,1.009,1.009,0.0049800797,2020-04-30
1.031,1.031,1.031,0.0218037661,2020-05-08
1.04,1.04,1.04,0.0087293889,2020-05-15
1.026,1.026,1.026,-0.0134615385,2020-05-22
1.046,1.046,1.046,0.0194931774,2020-05-29
1.065,1.065,1.065,0.0181644359,2020-06-05
1.085,1.085,1.085,0.0187793427,2020-06-12
1.116,1.116,1.116,0.0285714286,2020-06-19
1.158,1.158,1.158,0.0376344086,2020-06-24
1.187,1.187,1.187,0.0250431779,2020-07-03
1.25,1.25,1.25,0.0530749789,2020-07-10
1.211,1.211,1.211,-0.0312,2020-07-17
1.225,1.225,1.225,0.0115606936,2020-07-24
1.286,1.286,1.286,0.0497959184,2020-07-31
1.269,1.269,1.269,-0.0132192846,2020-08-07
1.251,1.251,1.251,-0.0141843972,2020-08-14
1.268,1.268,1.268,0.0135891287,2020-08-21
1.294,1.294,1.294,0.0205047319,2020-08-28
1.307,1.307,1.307,0.0100463679,2020-09-04
1.273,1.273,1.273,-0.026013772,2020-09-11
1.32,1.32,1.32,0.0369206599,2020-09-18
1.28,1.28,1.28,-0.0303030303,2020-09-25
1.29,1.29,1.29,0.0078125,2020-09-30
1.308,1.308,1.308,0.0139534884,2020-10-09
1.326,1.326,1.326,0.0137614679,2020-10-16
1.353,1.353,1.353,0.020361991,2020-10-23
1.379,1.379,1.379,0.0192165558,2020-10-30
1.445,1.445,1.445,0.0478607687,2020-11-06
1.435,1.435,1.435,-0.0069204152,2020-11-13
1.464,1.464,1.464,0.0202090592,2020-11-20
