nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-01-20
1.0,1.0,1.0,0.0,2022-01-21
0.9997,0.9997,0.9997,-0.0003,2022-01-28
0.9894,0.9894,0.9894,-0.0103030909,2022-02-11
1.0051,1.0051,1.0051,0.015868203,2022-02-18
0.9984,0.9984,0.9984,-0.0066660034,2022-02-25
0.9742,0.9742,0.9742,-0.0242387821,2022-03-04
0.9293,0.9293,0.9293,-0.0460890987,2022-03-11
0.8885,0.8885,0.8885,-0.0439040138,2022-03-18
0.8688,0.8688,0.8688,-0.0221722003,2022-03-25
0.8754,0.8754,0.8754,0.0075966851,2022-04-01
0.8686,0.8686,0.8686,-0.0077678775,2022-04-08
0.8542,0.8542,0.8542,-0.016578402,2022-04-15
0.839,0.839,0.839,-0.0177944275,2022-04-22
0.8487,0.8487,0.8487,0.0115613826,2022-04-29
0.8387,0.8387,0.8387,-0.0117827265,2022-05-06
0.8525,0.8525,0.8525,0.016454036,2022-05-13
0.8744,0.8744,0.8744,0.0256891496,2022-05-20
0.8667,0.8667,0.8667,-0.0088060384,2022-05-27
0.9055,0.9055,0.9055,0.0447675089,2022-06-02
0.9324,0.9324,0.9324,0.029707344,2022-06-10
0.9505,0.9505,0.9505,0.0194122694,2022-06-17
0.9802,0.9802,0.9802,0.0312467123,2022-06-24
0.991,0.991,0.991,0.0110181596,2022-07-01
0.9806,0.9806,0.9806,-0.0104944501,2022-07-08
0.9724,0.9724,0.9724,-0.0083622272,2022-07-15
0.9799,0.9799,0.9799,0.0077128754,2022-07-22
0.9847,0.9847,0.9847,0.004898459,2022-07-29
0.9808,0.9808,0.9808,-0.0039605971,2022-08-05
1.0056,1.0056,1.0056,0.0252854812,2022-08-12
1.008,1.008,1.008,0.0023866348,2022-08-19
0.9886,0.9886,0.9886,-0.0192460317,2022-08-26
0.9601,0.9601,0.9601,-0.0288286466,2022-09-02
0.9773,0.9773,0.9773,0.0179148005,2022-09-09
0.9218,0.9218,0.9218,-0.0567891129,2022-09-16
0.9023,0.9023,0.9023,-0.0211542634,2022-09-23
0.8777,0.8777,0.8777,-0.0272636595,2022-09-30
0.9058,0.9058,0.9058,0.032015495,2022-10-14
0.8947,0.8947,0.8947,-0.0122543608,2022-10-21
0.8372,0.8372,0.8372,-0.0642673522,2022-10-28
0.9056,0.9056,0.9056,0.0817009078,2022-11-04
0.9227,0.9227,0.9227,0.0188825088,2022-11-11
0.9285,0.9285,0.9285,0.0062859001,2022-11-18
0.9153,0.9153,0.9153,-0.0142164782,2022-11-25
0.9397,0.9397,0.9397,0.0266579264,2022-12-02
0.9464,0.9464,0.9464,0.0071299351,2022-12-09
0.934,0.934,0.934,-0.0131022823,2022-12-16
0.8933,0.8933,0.8933,-0.0435760171,2022-12-23
0.9154,0.9154,0.9154,0.0247397291,2022-12-30
0.9578,0.9578,0.9578,0.0463185493,2023-01-06
0.9728,0.9728,0.9728,0.0156608895,2023-01-13
0.992,0.992,0.992,0.0197368421,2023-01-20
0.9968,0.9968,0.9968,0.0048387097,2023-01-31
1.0025,1.0025,1.0025,0.0057182986,2023-02-03
1.0136,1.0136,1.0136,0.0110723192,2023-02-10
1.0104,1.0104,1.0104,-0.0031570639,2023-02-17
1.0262,1.0262,1.0262,0.0156373713,2023-02-24
1.0285,1.0285,1.0285,0.0022412785,2023-02-28
1.0377,1.0377,1.0377,0.0089450656,2023-03-03
1.008,1.008,1.008,-0.0286209887,2023-03-10
1.0083,1.0083,1.0083,0.000297619,2023-03-17
1.0234,1.0234,1.0234,0.0149757017,2023-03-24
1.0303,1.0303,1.0303,0.0067422318,2023-03-31
1.0255,1.0255,1.0255,-0.0046588372,2023-04-07
1.0253,1.0253,1.0253,-0.0001950268,2023-04-14
1.0112,1.0112,1.0112,-0.0137520726,2023-04-21
1.0235,1.0235,1.0235,0.0121637658,2023-04-28
1.0134,1.0134,1.0134,-0.0098680997,2023-05-05
0.9983,0.9983,0.9983,-0.0149003355,2023-05-12
1.0205,1.0205,1.0205,0.0222378043,2023-05-19
1.013,1.013,1.013,-0.0073493386,2023-05-26
1.0038,1.0038,1.0038,-0.0090819348,2023-05-31
1.0198,1.0198,1.0198,0.0159394302,2023-06-02
1.0136,1.0136,1.0136,-0.0060796235,2023-06-09
1.0513,1.0513,1.0513,0.0371941594,2023-06-16
1.0312,1.0312,1.0312,-0.0191191858,2023-06-21
1.0442,1.0442,1.0442,0.0126066718,2023-06-30
1.0321,1.0321,1.0321,-0.0115878184,2023-07-07
1.048,1.048,1.048,0.015405484,2023-07-14
1.0234,1.0234,1.0234,-0.0234732824,2023-07-21
1.0391,1.0391,1.0391,0.0153410201,2023-07-28
1.0441,1.0441,1.0441,0.0048118564,2023-07-31
1.0359,1.0359,1.0359,-0.0078536539,2023-08-04
1.0068,1.0068,1.0068,-0.0280915146,2023-08-11
0.9903,0.9903,0.9903,-0.0163885578,2023-08-18
0.9642,0.9642,0.9642,-0.0263556498,2023-08-25
0.999,0.999,0.999,0.0360920971,2023-08-31
1.0031,1.0031,1.0031,0.0041041041,2023-09-01
0.9918,0.9918,0.9918,-0.0112650783,2023-09-08
0.9864,0.9864,0.9864,-0.0054446461,2023-09-15
0.9949,0.9949,0.9949,0.0086171938,2023-09-22
0.9957,0.9957,0.9957,0.0008041009,2023-09-28
0.9928,0.9928,0.9928,-0.0029125239,2023-10-13
0.9438,0.9438,0.9438,-0.0493553586,2023-10-20
0.9616,0.9616,0.9616,0.018859928,2023-10-27
0.9592,0.9592,0.9592,-0.0024958403,2023-10-31
0.9698,0.9698,0.9698,0.0110508757,2023-11-03
0.9674,0.9674,0.9674,-0.0024747371,2023-11-10
0.9829,0.9829,0.9829,0.0160223279,2023-11-17
0.9804,0.9804,0.9804,-0.0025434937,2023-11-24
0.9777,0.9777,0.9777,-0.002753978,2023-11-30
0.9735,0.9735,0.9735,-0.0042957963,2023-12-01
0.9437,0.9437,0.9437,-0.0306111967,2023-12-08
0.9412,0.9412,0.9412,-0.002649147,2023-12-15
0.919,0.919,0.919,-0.0235869103,2023-12-22
0.9541,0.9541,0.9541,0.0381936888,2023-12-29
0.9427,0.9427,0.9427,-0.0119484331,2024-01-05
0.9346,0.9346,0.9346,-0.0085923411,2024-01-12
0.9113,0.9113,0.9113,-0.0249304515,2024-01-19
0.9121,0.9121,0.9121,0.0008778668,2024-01-26
0.8599,0.8599,0.8599,-0.0572305668,2024-01-31
0.8401,0.8401,0.8401,-0.0230259332,2024-02-02
0.8938,0.8938,0.8938,0.0639209618,2024-02-08
0.9244,0.9244,0.9244,0.0342358469,2024-02-23
0.9333,0.9333,0.9333,0.0096278667,2024-02-29
0.939,0.939,0.939,0.006107361,2024-03-01
0.955,0.955,0.955,0.0170394036,2024-03-08
