nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-08-06
1.0,1.0,1.0,0.0,2020-08-07
0.9999,0.9999,0.9999,-0.0001,2020-08-10
0.9999,0.9999,0.9999,0.0,2020-08-11
0.9998,0.9998,0.9998,-0.00010001,2020-08-12
0.9998,0.9998,0.9998,0.0,2020-08-13
0.9998,0.9998,0.9998,0.0,2020-08-14
0.9997,0.9997,0.9997,-0.00010002,2020-08-17
0.9997,0.9997,0.9997,0.0,2020-08-18
0.9996,0.9996,0.9996,-0.00010003,2020-08-19
0.9996,0.9996,0.9996,0.0,2020-08-20
0.9996,0.9996,0.9996,0.0,2020-08-21
0.9991,0.9991,0.9991,-0.0005002001,2020-08-24
0.9991,0.9991,0.9991,0.0,2020-08-25
0.999,0.999,0.999,-0.0001000901,2020-08-26
0.999,0.999,0.999,0.0,2020-08-27
0.999,0.999,0.999,0.0,2020-08-28
0.9989,0.9989,0.9989,-0.0001001001,2020-08-31
0.9988,0.9988,0.9988,-0.0001001101,2020-09-01
0.9987,0.9987,0.9987,-0.0001001201,2020-09-02
0.9985,0.9985,0.9985,-0.0002002603,2020-09-03
0.9986,0.9986,0.9986,0.0001001502,2020-09-04
0.9929,0.9929,0.9929,-0.0057079912,2020-09-07
0.9964,0.9964,0.9964,0.0035250277,2020-09-08
0.9911,0.9911,0.9911,-0.0053191489,2020-09-09
0.9726,0.9726,0.9726,-0.0186661285,2020-09-10
0.976,0.976,0.976,0.0034957845,2020-09-11
0.9839,0.9839,0.9839,0.0080942623,2020-09-14
0.976,0.976,0.976,-0.0080292713,2020-09-15
0.972,0.972,0.972,-0.0040983607,2020-09-16
0.9776,0.9776,0.9776,0.0057613169,2020-09-17
0.9846,0.9846,0.9846,0.0071603928,2020-09-18
0.9866,0.9866,0.9866,0.0020312817,2020-09-21
0.9802,0.9802,0.9802,-0.0064869248,2020-09-22
0.9827,0.9827,0.9827,0.0025504999,2020-09-23
0.9717,0.9717,0.9717,-0.0111936501,2020-09-24
0.9653,0.9653,0.9653,-0.006586395,2020-09-25
0.9567,0.9567,0.9567,-0.0089091474,2020-09-28
0.959,0.959,0.959,0.0024040974,2020-09-29
0.9572,0.9572,0.9572,-0.0018769552,2020-09-30
0.9682,0.9682,0.9682,0.0114918512,2020-10-09
0.9822,0.9822,0.9822,0.0144598224,2020-10-12
0.9834,0.9834,0.9834,0.0012217471,2020-10-13
0.9826,0.9826,0.9826,-0.0008135042,2020-10-14
0.9852,0.9852,0.9852,0.0026460411,2020-10-15
0.9853,0.9853,0.9853,0.0001015022,2020-10-16
0.9861,0.9861,0.9861,0.0008119355,2020-10-19
0.9903,0.9903,0.9903,0.0042592029,2020-10-20
0.9905,0.9905,0.9905,0.000201959,2020-10-21
0.9995,0.9995,0.9995,0.00908632,2020-10-22
0.9998,0.9998,0.9998,0.0003001501,2020-10-23
1.0016,1.0016,1.0016,0.0018003601,2020-10-26
1.0043,1.0043,1.0043,0.0026956869,2020-10-27
1.0085,1.0085,1.0085,0.0041820173,2020-10-28
1.0146,1.0146,1.0146,0.006048587,2020-10-29
1.009,1.009,1.009,-0.0055194165,2020-10-30
1.0152,1.0152,1.0152,0.0061446977,2020-11-02
1.0184,1.0184,1.0184,0.0031520883,2020-11-03
1.0164,1.0164,1.0164,-0.0019638649,2020-11-04
1.0242,1.0242,1.0242,0.007674144,2020-11-05
1.0187,1.0187,1.0187,-0.0053700449,2020-11-06
1.0246,1.0246,1.0246,0.0057916953,2020-11-09
1.0213,1.0213,1.0213,-0.0032207691,2020-11-10
1.0164,1.0164,1.0164,-0.0047978067,2020-11-11
1.0187,1.0187,1.0187,0.0022628886,2020-11-12
1.0196,1.0196,1.0196,0.0008834789,2020-11-13
1.0208,1.0208,1.0208,0.0011769321,2020-11-16
1.0186,1.0186,1.0186,-0.0021551724,2020-11-17
1.0169,1.0169,1.0169,-0.0016689574,2020-11-18
1.0136,1.0136,1.0136,-0.0032451568,2020-11-19
1.0171,1.0171,1.0171,0.0034530387,2020-11-20
1.0215,1.0215,1.0215,0.004326025,2020-11-23
1.0245,1.0245,1.0245,0.0029368576,2020-11-24
1.0207,1.0207,1.0207,-0.0037091264,2020-11-25
1.013,1.013,1.013,-0.0075438425,2020-11-26
1.0146,1.0146,1.0146,0.0015794669,2020-11-27
1.0156,1.0156,1.0156,0.0009856101,2020-11-30
1.0185,1.0185,1.0185,0.0028554549,2020-12-01
1.0168,1.0168,1.0168,-0.0016691213,2020-12-02
1.0155,1.0155,1.0155,-0.0012785208,2020-12-03
1.0166,1.0166,1.0166,0.0010832102,2020-12-04
1.0165,1.0165,1.0165,-9.83671e-05,2020-12-07
1.0199,1.0199,1.0199,0.0033448106,2020-12-08
1.0175,1.0175,1.0175,-0.0023531719,2020-12-09
1.0185,1.0185,1.0185,0.000982801,2020-12-10
1.0142,1.0142,1.0142,-0.0042218949,2020-12-11
