nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
2.0357,2.0357,2.0357,0.0,2024-06-14
2.0371,2.0371,2.0371,0.0006877241,2024-06-21
2.0566,2.0566,2.0566,0.0095724314,2024-06-28
2.0553,2.0553,2.0553,-0.0006321113,2024-07-05
2.045,2.045,2.045,-0.0050114339,2024-07-12
2.0364,2.0364,2.0364,-0.004205379,2024-07-19
2.0698,2.0698,2.0698,0.0164014928,2024-07-26
2.0786,2.0786,2.0786,0.0042516185,2024-07-31
2.0675,2.0675,2.0675,-0.0053401328,2024-08-02
2.053,2.053,2.053,-0.0070133011,2024-08-09
2.0475,2.0475,2.0475,-0.0026790063,2024-08-16
2.0408,2.0408,2.0408,-0.0032722833,2024-08-23
2.039,2.039,2.039,-0.0008820071,2024-08-30
2.0332,2.0332,2.0332,-0.0028445316,2024-09-06
2.0325,2.0325,2.0325,-0.0003442849,2024-09-13
2.0235,2.0235,2.0235,-0.0044280443,2024-09-20
2.1201,2.1201,2.1201,0.047739066,2024-09-27
2.1244,2.1244,2.1244,0.0020282062,2024-09-30
2.1115,2.1115,2.1115,-0.0060723028,2024-10-11
2.1744,2.1744,2.1744,0.0297892493,2024-10-18
2.1917,2.1917,2.1917,0.0079562178,2024-10-25
2.1854,2.1854,2.1854,-0.002874481,2024-10-31
2.1668,2.1668,2.1668,-0.0085110277,2024-11-01
2.2211,2.2211,2.2211,0.0250599963,2024-11-08
2.2454,2.2454,2.2454,0.010940525,2024-11-15
2.2419,2.2419,2.2419,-0.0015587423,2024-11-22
2.2403,2.2403,2.2403,-0.0007136804,2024-11-29
2.25,2.25,2.25,0.0043297773,2024-12-06
2.2372,2.2372,2.2372,-0.0056888889,2024-12-13
2.2579,2.2579,2.2579,0.0092526372,2024-12-20
2.2651,2.2651,2.2651,0.0031888038,2024-12-27
2.2723,2.2723,2.2723,0.0031786676,2024-12-31
2.3125,2.3125,2.3125,0.017691326,2025-01-03
2.3215,2.3215,2.3215,0.0038918919,2025-01-10
2.3368,2.3368,2.3368,0.0065905664,2025-01-17
2.3406,2.3406,2.3406,0.0016261554,2025-01-24
2.3365,2.3365,2.3365,-0.0017516876,2025-01-27
2.3675,2.3675,2.3675,0.0132677081,2025-02-07
2.3869,2.3869,2.3869,0.0081942978,2025-02-14
2.4109,2.4109,2.4109,0.0100548829,2025-02-21
2.4281,2.4281,2.4281,0.0071342652,2025-02-28
2.4582,2.4582,2.4582,0.012396524,2025-03-07
2.4621,2.4621,2.4621,0.0015865267,2025-03-14
2.4769,2.4769,2.4769,0.0060111287,2025-03-21
2.4789,2.4789,2.4789,0.0008074609,2025-03-28
2.4753,2.4753,2.4753,-0.001452257,2025-03-31
2.4716,2.4716,2.4716,-0.0014947683,2025-04-03
2.3802,2.3802,2.3802,-0.0369800939,2025-04-11
2.3881,2.3881,2.3881,0.0033190488,2025-04-18
2.398,2.398,2.398,0.004145555,2025-04-25
2.396,2.396,2.396,-0.0008340284,2025-04-30
2.415,2.415,2.415,0.0079298831,2025-05-09
2.4199,2.4199,2.4199,0.0020289855,2025-05-16
2.409,2.409,2.409,-0.0045043184,2025-05-23
2.416,2.416,2.416,0.00290577,2025-05-30
2.4244,2.4244,2.4244,0.0034768212,2025-06-06
2.424,2.424,2.424,-0.0001649893,2025-06-13
2.4403,2.4403,2.4403,0.0067244224,2025-06-20
2.446,2.446,2.446,0.0023357784,2025-06-27
2.4545,2.4545,2.4545,0.0034750613,2025-06-30
2.4524,2.4524,2.4524,-0.0008555714,2025-07-04
2.4551,2.4551,2.4551,0.0011009623,2025-07-11
2.4609,2.4609,2.4609,0.0023624292,2025-07-18
2.4777,2.4777,2.4777,0.0068267707,2025-07-25
2.4668,2.4668,2.4668,-0.0043992412,2025-07-31
2.4725,2.4725,2.4725,0.0023106859,2025-08-01
2.4767,2.4767,2.4767,0.0016986855,2025-08-08
2.5017,2.5017,2.5017,0.0100940768,2025-08-15
2.5025,2.5025,2.5025,0.0003197825,2025-08-22
2.4699,2.4699,2.4699,-0.013026973,2025-08-29
2.4867,2.4867,2.4867,0.0068018948,2025-09-05
2.4972,2.4972,2.4972,0.0042224635,2025-09-12
2.4932,2.4932,2.4932,-0.001601794,2025-09-17
2.477,2.477,2.477,-0.0064976737,2025-09-19
2.4702,2.4702,2.4702,-0.0027452564,2025-09-24
2.4732,2.4732,2.4732,0.0012144766,2025-09-26
2.4725,2.4725,2.4725,-0.0002830341,2025-09-30
2.4668,2.4668,2.4668,-0.0023053589,2025-10-10
2.4642,2.4642,2.4642,-0.0010539971,2025-10-15
2.4332,2.4332,2.4332,-0.0125801477,2025-10-17
2.4471,2.4471,2.4471,0.0057126418,2025-10-24
2.4454,2.4454,2.4454,-0.0006946998,2025-10-31
2.442,2.442,2.442,-0.0013903656,2025-11-07
2.4402,2.4402,2.4402,-0.0007371007,2025-11-14
2.4666,2.4666,2.4666,0.0108187853,2025-11-21
2.4788,2.4788,2.4788,0.0049460796,2025-11-28
2.4813,2.4813,2.4813,0.0010085525,2025-12-05
2.4829,2.4829,2.4829,0.0006448233,2025-12-12
2.4608,2.4608,2.4608,-0.008900882,2025-12-19
2.4919,2.4919,2.4919,0.0126381664,2025-12-26
2.4881,2.4881,2.4881,-0.0015249408,2025-12-31
2.5617,2.5617,2.5617,0.0295808046,2026-01-09
2.5758,2.5758,2.5758,0.0055041574,2026-01-16
2.5858,2.5858,2.5858,0.003882289,2026-01-23
2.5661,2.5661,2.5661,-0.007618532,2026-01-30
2.5703,2.5703,2.5703,0.001636725,2026-02-06
2.5627,2.5627,2.5627,-0.0029568533,2026-02-13
2.5876,2.5876,2.5876,0.0097163148,2026-02-27
2.5961,2.5961,2.5961,0.0032848972,2026-03-06
2.5724,2.5724,2.5724,-0.0091290782,2026-03-13
2.57,2.57,2.57,-0.0009329809,2026-03-20
2.5587,2.5587,2.5587,-0.0043968872,2026-03-25
2.5612,2.5612,2.5612,0.0009770587,2026-03-27
2.5516,2.5516,2.5516,-0.003748243,2026-03-31
2.5463,2.5463,2.5463,-0.0020771281,2026-04-03
2.568,2.568,2.568,0.0085221694,2026-04-10
2.5904,2.5904,2.5904,0.0087227414,2026-04-17
2.58,2.58,2.58,-0.004014824,2026-04-24
2.5835,2.5835,2.5835,0.0013565891,2026-04-30
2.6006,2.6006,2.6006,0.0066189278,2026-05-08
2.5937,2.5937,2.5937,-0.0026532339,2026-05-15
2.564,2.564,2.564,-0.0114508231,2026-05-22
