nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-05-08
1.0003,1.0003,1.0003,0.0003,2024-05-17
0.9947,0.9947,0.9947,-0.0055983205,2024-05-24
0.9948,0.9948,0.9948,0.0001005328,2024-05-31
0.9946,0.9946,0.9946,-0.0002010454,2024-06-07
0.9979,0.9979,0.9979,0.0033179168,2024-06-14
0.9935,0.9935,0.9935,-0.0044092594,2024-06-21
0.9892,0.9892,0.9892,-0.0043281329,2024-06-28
0.9843,0.9843,0.9843,-0.0049534978,2024-07-05
0.9817,0.9817,0.9817,-0.0026414711,2024-07-12
0.9804,0.9804,0.9804,-0.0013242335,2024-07-19
0.9664,0.9664,0.9664,-0.0142798858,2024-07-26
0.9704,0.9704,0.9704,0.0041390728,2024-07-31
0.9645,0.9645,0.9645,-0.006079967,2024-08-02
0.9633,0.9633,0.9633,-0.001244168,2024-08-09
0.962,0.962,0.962,-0.0013495277,2024-08-16
0.9585,0.9585,0.9585,-0.0036382536,2024-08-23
0.9599,0.9599,0.9599,0.0014606155,2024-08-30
0.9548,0.9548,0.9548,-0.0053130534,2024-09-06
0.9489,0.9489,0.9489,-0.0061793046,2024-09-13
0.9506,0.9506,0.9506,0.0017915481,2024-09-20
1.0048,1.0048,1.0048,0.0570166211,2024-09-27
1.053,1.053,1.053,0.0479697452,2024-09-30
1.0598,1.0598,1.0598,0.0064577398,2024-10-11
1.0657,1.0657,1.0657,0.0055670881,2024-10-18
1.066,1.066,1.066,0.0002815051,2024-10-25
1.0542,1.0542,1.0542,-0.0110694184,2024-10-31
1.0554,1.0554,1.0554,0.0011383039,2024-11-01
1.096,1.096,1.096,0.038468827,2024-11-08
1.0824,1.0824,1.0824,-0.0124087591,2024-11-15
1.0701,1.0701,1.0701,-0.0113636364,2024-11-22
1.0818,1.0818,1.0818,0.0109335576,2024-11-29
1.0942,1.0942,1.0942,0.0114623775,2024-12-06
1.0942,1.0942,1.0942,0.0,2024-12-13
1.0953,1.0953,1.0953,0.0010053007,2024-12-20
1.1012,1.1012,1.1012,0.0053866521,2024-12-27
1.0873,1.0873,1.0873,-0.0126225935,2024-12-31
1.0756,1.0756,1.0756,-0.0107605997,2025-01-03
1.0709,1.0709,1.0709,-0.0043696541,2025-01-10
1.0805,1.0805,1.0805,0.0089644224,2025-01-17
1.0812,1.0812,1.0812,0.0006478482,2025-01-24
1.0803,1.0803,1.0803,-0.0008324084,2025-01-27
1.0924,1.0924,1.0924,0.0112005924,2025-02-07
1.1055,1.1055,1.1055,0.0119919443,2025-02-14
1.1343,1.1343,1.1343,0.0260515604,2025-02-21
1.1051,1.1051,1.1051,-0.0257427488,2025-02-28
1.1305,1.1305,1.1305,0.0229843453,2025-03-07
1.129,1.129,1.129,-0.0013268465,2025-03-14
1.1107,1.1107,1.1107,-0.0162090345,2025-03-21
1.1052,1.1052,1.1052,-0.0049518322,2025-03-28
1.0972,1.0972,1.0972,-0.0072385089,2025-03-31
1.0916,1.0916,1.0916,-0.0051039008,2025-04-03
1.0523,1.0523,1.0523,-0.0360021986,2025-04-11
1.0548,1.0548,1.0548,0.0023757484,2025-04-18
1.0601,1.0601,1.0601,0.0050246492,2025-04-25
1.054,1.054,1.054,-0.0057541741,2025-04-30
1.0654,1.0654,1.0654,0.0108159393,2025-05-09
1.0678,1.0678,1.0678,0.0022526751,2025-05-16
1.0691,1.0691,1.0691,0.0012174565,2025-05-23
1.0657,1.0657,1.0657,-0.0031802451,2025-05-30
1.0741,1.0741,1.0741,0.0078821432,2025-06-06
1.0716,1.0716,1.0716,-0.00232753,2025-06-13
1.0596,1.0596,1.0596,-0.0111982083,2025-06-20
1.0818,1.0818,1.0818,0.0209513024,2025-06-27
1.0873,1.0873,1.0873,0.0050841191,2025-06-30
1.0881,1.0881,1.0881,0.0007357675,2025-07-04
1.0975,1.0975,1.0975,0.0086389119,2025-07-11
1.1179,1.1179,1.1179,0.0185876993,2025-07-18
1.148,1.148,1.148,0.0269254853,2025-07-25
1.1415,1.1415,1.1415,-0.0056620209,2025-07-31
1.143,1.143,1.143,0.0013140604,2025-08-01
1.1626,1.1626,1.1626,0.0171478565,2025-08-08
1.1851,1.1851,1.1851,0.0193531739,2025-08-15
1.2102,1.2102,1.2102,0.0211796473,2025-08-22
1.2068,1.2068,1.2068,-0.002809453,2025-08-29
1.1911,1.1911,1.1911,-0.0130096122,2025-09-05
1.2099,1.2099,1.2099,0.0157837293,2025-09-12
1.1963,1.1963,1.1963,-0.0112405984,2025-09-19
1.2008,1.2008,1.2008,0.0037615983,2025-09-26
1.2276,1.2276,1.2276,0.0223184544,2025-09-30
1.2155,1.2155,1.2155,-0.0098566308,2025-10-10
1.1862,1.1862,1.1862,-0.0241053065,2025-10-17
1.2075,1.2075,1.2075,0.0179564997,2025-10-24
1.215,1.215,1.215,0.0062111801,2025-10-31
1.2206,1.2206,1.2206,0.0046090535,2025-11-07
1.2157,1.2157,1.2157,-0.0040144191,2025-11-14
1.15,1.15,1.15,-0.0540429382,2025-11-21
1.1744,1.1744,1.1744,0.0212173913,2025-11-28
1.1792,1.1792,1.1792,0.0040871935,2025-12-05
1.1748,1.1748,1.1748,-0.0037313433,2025-12-12
1.1754,1.1754,1.1754,0.0005107252,2025-12-19
1.1996,1.1996,1.1996,0.0205887357,2025-12-26
1.1849,1.1849,1.1849,-0.0122540847,2025-12-31
1.2509,1.2509,1.2509,0.055700903,2026-01-09
1.2679,1.2679,1.2679,0.013590215,2026-01-16
1.2788,1.2788,1.2788,0.0085968925,2026-01-23
1.264,1.264,1.264,-0.01157335,2026-01-30
1.2528,1.2528,1.2528,-0.0088607595,2026-02-06
1.257,1.257,1.257,0.0033524904,2026-02-13
1.2605,1.2605,1.2605,0.0027844073,2026-02-27
1.2199,1.2199,1.2199,-0.0322094407,2026-03-06
1.2144,1.2144,1.2144,-0.0045085663,2026-03-13
1.1623,1.1623,1.1623,-0.0429018445,2026-03-20
1.1483,1.1483,1.1483,-0.012045083,2026-03-27
1.1267,1.1267,1.1267,-0.0188104154,2026-04-03
1.1559,1.1559,1.1559,0.025916393,2026-04-10
1.1715,1.1715,1.1715,0.0134959772,2026-04-17
1.1592,1.1592,1.1592,-0.0104993598,2026-04-24
1.1682,1.1682,1.1682,0.0077639752,2026-04-30
1.185,1.185,1.185,0.0143810991,2026-05-08
1.1324,1.1324,1.1324,-0.0443881857,2026-05-15
1.1143,1.1143,1.1143,-0.0159837513,2026-05-22
