nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2016-01-14
0.999,0.999,0.999,-0.001,2016-01-29
0.999,0.999,0.999,0.0,2016-02-05
0.999,0.999,0.999,0.0,2016-02-19
0.995,0.995,0.995,-0.004004004,2016-02-26
0.983,0.983,0.983,-0.0120603015,2016-03-04
0.986,0.986,0.986,0.003051882,2016-03-11
0.988,0.988,0.988,0.0020283976,2016-03-18
1.0,1.0,1.0,0.012145749,2016-03-25
0.99,0.99,0.99,-0.01,2016-04-01
0.986,0.986,0.986,-0.004040404,2016-04-08
0.986,0.986,0.986,0.0,2016-04-15
0.985,0.985,0.985,-0.0010141988,2016-04-22
0.985,0.985,0.985,0.0,2016-04-29
0.985,0.985,0.985,0.0,2016-05-06
0.985,0.985,0.985,0.0,2016-05-11
0.997,0.997,0.997,0.0121827411,2016-05-13
0.998,0.998,0.998,0.001003009,2016-05-17
0.998,0.998,0.998,0.0,2016-05-20
0.998,0.998,0.998,0.0,2016-05-27
0.998,0.998,0.998,0.0,2016-06-03
0.998,0.998,0.998,0.0,2016-06-08
0.998,0.998,0.998,0.0,2016-06-17
1.0,1.0,1.0,0.002004008,2016-06-24
1.007,1.007,1.007,0.007,2016-07-01
1.006,1.006,1.006,-0.0009930487,2016-07-08
1.006,1.006,1.006,0.0,2016-07-15
0.998,0.998,0.998,-0.0079522863,2016-07-22
0.999,0.999,0.999,0.001002004,2016-07-29
1.003,1.003,1.003,0.004004004,2016-08-05
1.006,1.006,1.006,0.0029910269,2016-08-12
1.004,1.004,1.004,-0.0019880716,2016-08-19
1.004,1.004,1.004,0.0,2016-08-26
1.004,1.004,1.004,0.0,2016-09-02
1.003,1.003,1.003,-0.0009960159,2016-09-09
1.003,1.003,1.003,0.0,2016-09-14
1.003,1.003,1.003,0.0,2016-09-19
1.004,1.004,1.004,0.000997009,2016-09-23
1.002,1.002,1.002,-0.0019920319,2016-09-30
1.002,1.002,1.002,0.0,2016-10-10
1.004,1.004,1.004,0.001996008,2016-10-14
1.001,1.001,1.001,-0.0029880478,2016-10-21
0.998,0.998,0.998,-0.002997003,2016-10-28
0.998,0.998,0.998,0.0,2016-11-04
0.998,0.998,0.998,0.0,2016-11-07
0.998,0.998,0.998,0.0,2016-11-08
0.998,0.998,0.998,0.0,2016-11-09
0.998,0.998,0.998,0.0,2016-11-10
0.996,0.996,0.996,-0.002004008,2016-11-11
0.996,0.996,0.996,0.0,2016-11-14
0.996,0.996,0.996,0.0,2016-11-15
0.997,0.997,0.997,0.0010040161,2016-11-16
0.997,0.997,0.997,0.0,2016-11-17
0.996,0.996,0.996,-0.001003009,2016-11-18
0.996,0.996,0.996,0.0,2016-11-21
0.996,0.996,0.996,0.0,2016-11-22
0.995,0.995,0.995,-0.0010040161,2016-11-23
0.995,0.995,0.995,0.0,2016-11-24
0.996,0.996,0.996,0.0010050251,2016-11-25
0.996,0.996,0.996,0.0,2016-11-28
0.989,0.989,0.989,-0.0070281124,2016-11-30
0.989,0.989,0.989,0.0,2016-12-01
0.986,0.986,0.986,-0.003033367,2016-12-02
0.986,0.986,0.986,0.0,2016-12-05
0.986,0.986,0.986,0.0,2016-12-06
0.986,0.986,0.986,0.0,2016-12-07
0.986,0.986,0.986,0.0,2016-12-08
0.991,0.991,0.991,0.0050709939,2016-12-09
0.991,0.991,0.991,0.0,2016-12-12
0.991,0.991,0.991,0.0,2016-12-13
0.991,0.991,0.991,0.0,2016-12-14
0.991,0.991,0.991,0.0,2016-12-15
0.995,0.995,0.995,0.0040363269,2016-12-16
0.995,0.995,0.995,0.0,2016-12-19
0.995,0.995,0.995,0.0,2016-12-20
0.995,0.995,0.995,0.0,2016-12-21
0.995,0.995,0.995,0.0,2016-12-22
0.997,0.997,0.997,0.0020100503,2016-12-23
0.997,0.997,0.997,0.0,2016-12-26
0.997,0.997,0.997,0.0,2016-12-27
0.997,0.997,0.997,0.0,2016-12-28
0.997,0.997,0.997,0.0,2016-12-29
0.996,0.996,0.996,-0.001003009,2016-12-30
0.996,0.996,0.996,0.0,2017-01-03
0.996,0.996,0.996,0.0,2017-01-04
0.996,0.996,0.996,0.0,2017-01-05
0.995,0.995,0.995,-0.0010040161,2017-01-06
0.995,0.995,0.995,0.0,2017-01-09
0.995,0.995,0.995,0.0,2017-01-10
0.995,0.995,0.995,0.0,2017-01-11
0.995,0.995,0.995,0.0,2017-01-12
0.992,0.992,0.992,-0.0030150754,2017-01-13
0.992,0.992,0.992,0.0,2017-01-16
0.992,0.992,0.992,0.0,2017-01-17
0.992,0.992,0.992,0.0,2017-01-18
0.992,0.992,0.992,0.0,2017-01-19
0.986,0.986,0.986,-0.0060483871,2017-01-20
0.986,0.986,0.986,0.0,2017-01-23
0.986,0.986,0.986,0.0,2017-01-24
0.986,0.986,0.986,0.0,2017-01-25
0.986,0.986,0.986,0.0,2017-01-26
0.985,0.985,0.985,-0.0010141988,2017-02-03
0.985,0.985,0.985,0.0,2017-02-06
0.985,0.985,0.985,0.0,2017-02-07
0.985,0.985,0.985,0.0,2017-02-08
0.987,0.987,0.987,0.0020304569,2017-02-09
0.987,0.987,0.987,0.0,2017-02-10
0.987,0.987,0.987,0.0,2017-02-13
0.986,0.986,0.986,-0.0010131712,2017-02-14
0.986,0.986,0.986,0.0,2017-02-15
0.986,0.986,0.986,0.0,2017-02-16
0.987,0.987,0.987,0.0010141988,2017-02-17
0.987,0.987,0.987,0.0,2017-02-20
0.987,0.987,0.987,0.0,2017-02-21
0.987,0.987,0.987,0.0,2017-02-22
0.987,0.987,0.987,0.0,2017-02-23
0.987,0.987,0.987,0.0,2017-02-24
0.987,0.987,0.987,0.0,2017-02-27
0.986,0.986,0.986,-0.0010131712,2017-02-28
0.986,0.986,0.986,0.0,2017-03-01
0.986,0.986,0.986,0.0,2017-03-02
0.985,0.985,0.985,-0.0010141988,2017-03-03
0.985,0.985,0.985,0.0,2017-03-06
0.988,0.988,0.988,0.0030456853,2017-03-07
0.988,0.988,0.988,0.0,2017-03-08
0.988,0.988,0.988,0.0,2017-03-09
0.989,0.989,0.989,0.0010121457,2017-03-10
0.989,0.989,0.989,0.0,2017-03-13
0.989,0.989,0.989,0.0,2017-03-14
0.989,0.989,0.989,0.0,2017-03-15
0.989,0.989,0.989,0.0,2017-03-16
0.991,0.991,0.991,0.0020222447,2017-03-17
0.991,0.991,0.991,0.0,2017-03-20
0.991,0.991,0.991,0.0,2017-03-21
0.991,0.991,0.991,0.0,2017-03-22
0.991,0.991,0.991,0.0,2017-03-23
0.988,0.988,0.988,-0.0030272452,2017-03-24
0.988,0.988,0.988,0.0,2017-03-27
0.988,0.988,0.988,0.0,2017-03-28
0.988,0.988,0.988,0.0,2017-03-29
0.988,0.988,0.988,0.0,2017-03-30
0.981,0.981,0.981,-0.0070850202,2017-03-31
0.981,0.981,0.981,0.0,2017-04-05
0.981,0.981,0.981,0.0,2017-04-06
0.981,0.981,0.981,0.0,2017-04-07
0.981,0.981,0.981,0.0,2017-04-10
0.981,0.981,0.981,0.0,2017-04-11
0.981,0.981,0.981,0.0,2017-04-12
0.978,0.978,0.978,-0.003058104,2017-04-13
0.976,0.976,0.976,-0.0020449898,2017-04-14
0.976,0.976,0.976,0.0,2017-04-17
0.976,0.976,0.976,0.0,2017-04-18
0.976,0.976,0.976,0.0,2017-04-19
0.976,0.976,0.976,0.0,2017-04-20
0.972,0.972,0.972,-0.0040983607,2017-04-21
0.972,0.972,0.972,0.0,2017-04-24
0.972,0.972,0.972,0.0,2017-04-25
0.972,0.972,0.972,0.0,2017-04-26
0.972,0.972,0.972,0.0,2017-04-27
0.976,0.976,0.976,0.0041152263,2017-04-28
0.976,0.976,0.976,0.0,2017-05-02
0.976,0.976,0.976,0.0,2017-05-03
0.976,0.976,0.976,0.0,2017-05-04
0.974,0.974,0.974,-0.0020491803,2017-05-05
0.974,0.974,0.974,0.0,2017-05-08
0.974,0.974,0.974,0.0,2017-05-09
0.974,0.974,0.974,0.0,2017-05-10
0.974,0.974,0.974,0.0,2017-05-11
0.973,0.973,0.973,-0.001026694,2017-05-12
0.973,0.973,0.973,0.0,2017-05-15
0.973,0.973,0.973,0.0,2017-05-16
0.973,0.973,0.973,0.0,2017-05-17
0.973,0.973,0.973,0.0,2017-05-18
0.972,0.972,0.972,-0.0010277492,2017-05-19
0.972,0.972,0.972,0.0,2017-05-22
0.972,0.972,0.972,0.0,2017-05-23
0.972,0.972,0.972,0.0,2017-05-24
0.972,0.972,0.972,0.0,2017-05-25
0.971,0.971,0.971,-0.0010288066,2017-05-26
0.971,0.971,0.971,0.0,2017-05-31
0.971,0.971,0.971,0.0,2017-06-01
0.971,0.971,0.971,0.0,2017-06-02
0.971,0.971,0.971,0.0,2017-06-05
0.971,0.971,0.971,0.0,2017-06-06
0.891,0.891,0.891,-0.0823892894,2017-06-07
0.891,0.891,0.891,0.0,2017-06-08
0.891,0.891,0.891,0.0,2017-06-09
0.891,0.891,0.891,0.0,2017-06-12
0.892,0.892,0.892,0.0011223345,2017-06-13
