nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-07-10
1.0,1.0,1.0,0.0,2020-07-17
1.0,1.0,1.0,0.0,2020-07-24
1.0,1.0,1.0,0.0,2020-07-31
1.0,1.0,1.0,0.0,2020-08-07
1.0,1.0,1.0,0.0,2020-08-14
0.999,0.999,0.999,-0.001,2020-08-21
1.004,1.004,1.004,0.005005005,2020-08-28
1.007,1.007,1.007,0.0029880478,2020-08-31
1.013,1.013,1.013,0.005958292,2020-09-04
0.987,0.987,0.987,-0.0256663376,2020-09-11
1.011,1.011,1.011,0.0243161094,2020-09-18
0.984,0.984,0.984,-0.0267062315,2020-09-25
0.976,0.976,0.976,-0.0081300813,2020-09-30
0.987,0.987,0.987,0.0112704918,2020-10-09
0.984,0.984,0.984,-0.0030395137,2020-10-16
0.972,0.972,0.972,-0.012195122,2020-10-23
0.957,0.957,0.957,-0.0154320988,2020-10-30
0.966,0.966,0.966,0.0094043887,2020-11-06
0.982,0.982,0.982,0.016563147,2020-11-13
0.982,0.982,0.982,0.0,2020-11-20
0.951,0.951,0.951,-0.0315682281,2020-11-27
0.941,0.941,0.941,-0.0105152471,2020-11-30
0.948,0.948,0.948,0.0074388948,2020-12-04
0.937,0.937,0.937,-0.0116033755,2020-12-11
0.959,0.959,0.959,0.0234791889,2020-12-18
1.01,1.01,1.01,0.0531803962,2020-12-25
1.046,1.046,1.046,0.0356435644,2020-12-31
1.088,1.088,1.088,0.0401529637,2021-01-08
1.088,1.088,1.088,0.0,2021-01-15
1.154,1.154,1.154,0.0606617647,2021-01-22
0.925,1.05,1.05,-0.0901213172,2021-01-28
0.918,1.043,1.04205405,-0.0075675676,2021-01-29
0.996,1.121,1.13059459,0.0849673203,2021-02-05
1.02,1.145,1.15783784,0.0240963855,2021-02-10
1.07,1.195,1.21459459,0.0490196078,2021-02-19
0.957,1.082,1.08632432,-0.1056074766,2021-02-26
0.913,1.038,1.03637838,-0.0459770115,2021-03-05
0.848,0.973,0.96259459,-0.0711938664,2021-03-12
0.84,0.965,0.95351351,-0.0094339623,2021-03-19
0.824,0.949,0.93535135,-0.019047619,2021-03-26
0.825,0.95,0.93648649,0.0012135922,2021-03-31
0.838,0.963,0.95124324,0.0157575758,2021-04-02
0.83,0.955,0.94216216,-0.0095465394,2021-04-09
0.834,0.959,0.9467027,0.0048192771,2021-04-16
0.833,0.958,0.94556757,-0.0011990408,2021-04-23
0.835,0.96,0.94783784,0.0024009604,2021-04-30
0.825,0.95,0.93648649,-0.0119760479,2021-05-07
0.831,0.956,0.9432973,0.0072727273,2021-05-14
0.828,0.953,0.93989189,-0.0036101083,2021-05-21
0.823,0.948,0.93421622,-0.0060386473,2021-05-28
0.823,0.948,0.93421622,0.0,2021-05-31
0.821,0.946,0.93194595,-0.0024301337,2021-06-04
0.816,0.941,0.92627027,-0.006090134,2021-06-11
0.812,0.937,0.92172973,-0.0049019608,2021-06-18
0.811,0.936,0.92059459,-0.0012315271,2021-06-25
0.812,0.937,0.92172973,0.0012330456,2021-06-30
0.81,0.935,0.91945946,-0.0024630542,2021-07-02
0.811,0.936,0.92059459,0.0012345679,2021-07-09
0.812,0.937,0.92172973,0.0012330456,2021-07-16
0.812,0.937,0.92172973,0.0,2021-07-23
0.815,0.94,0.92513514,0.0036945813,2021-07-30
0.817,0.942,0.92740541,0.0024539877,2021-08-06
0.816,0.941,0.92627027,-0.0012239902,2021-08-13
0.811,0.936,0.92059459,-0.006127451,2021-08-20
0.813,0.938,0.92286486,0.0024660912,2021-08-27
0.813,0.938,0.92286486,0.0,2021-08-31
0.813,0.938,0.92286486,0.0,2021-09-03
0.814,0.939,0.924,0.0012300123,2021-09-10
0.812,0.937,0.92172973,-0.0024570025,2021-09-17
0.806,0.931,0.91491892,-0.0073891626,2021-09-24
0.801,0.926,0.90924324,-0.0062034739,2021-09-30
0.802,0.927,0.91037838,0.0012484395,2021-10-08
0.801,0.926,0.90924324,-0.0012468828,2021-10-15
0.799,0.924,0.90697297,-0.0024968789,2021-10-22
0.798,0.923,0.90583784,-0.0012515645,2021-10-29
0.798,0.923,0.90583784,0.0,2021-11-05
0.798,0.923,0.90583784,0.0,2021-11-12
0.798,0.923,0.90583784,0.0,2021-11-19
0.8,0.925,0.90810811,0.0025062657,2021-11-26
0.8,0.925,0.90810811,0.0,2021-11-30
0.799,0.924,0.90697297,-0.00125,2021-12-03
0.799,0.924,0.90697297,0.0,2021-12-10
0.799,0.924,0.90697297,0.0,2021-12-17
0.802,0.927,0.91037838,0.0037546934,2021-12-24
0.804,0.929,0.91264865,0.0024937656,2021-12-31
0.805,0.93,0.91378378,0.0012437811,2022-01-07
0.806,0.931,0.91491892,0.001242236,2022-01-14
0.801,0.926,0.90924324,-0.0062034739,2022-01-21
0.796,0.921,0.90356757,-0.0062421973,2022-01-28
0.795,0.92,0.90243243,-0.0012562814,2022-02-11
0.797,0.922,0.9047027,0.0025157233,2022-02-18
0.797,0.922,0.9047027,0.0,2022-02-25
0.797,0.922,0.9047027,0.0,2022-02-28
0.797,0.922,0.9047027,0.0,2022-03-04
0.791,0.916,0.89789189,-0.0075282309,2022-03-11
0.793,0.918,0.90016216,0.002528445,2022-03-18
0.793,0.918,0.90016216,0.0,2022-03-25
0.792,0.917,0.89902703,-0.001261034,2022-03-31
0.792,0.917,0.89902703,0.0,2022-04-01
0.792,0.917,0.89902703,0.0,2022-04-08
0.789,0.914,0.89562162,-0.0037878788,2022-04-15
0.786,0.911,0.89221622,-0.0038022814,2022-04-22
0.784,0.909,0.88994595,-0.0025445293,2022-04-29
0.784,0.909,0.88994595,0.0,2022-05-06
0.784,0.909,0.88994595,0.0,2022-05-13
0.785,0.91,0.89108108,0.0012755102,2022-05-20
0.786,0.911,0.89221622,0.0012738854,2022-05-27
0.786,0.911,0.89221622,0.0,2022-05-31
0.786,0.911,0.89221622,0.0,2022-06-02
0.787,0.912,0.89335135,0.0012722646,2022-06-10
0.789,0.914,0.89562162,0.0025412961,2022-06-17
0.79,0.915,0.89675676,0.0012674271,2022-06-24
0.791,0.916,0.89789189,0.0012658228,2022-06-30
0.791,0.916,0.89789189,0.0,2022-07-01
0.79,0.915,0.89675676,-0.0012642225,2022-07-08
0.789,0.914,0.89562162,-0.0012658228,2022-07-15
0.79,0.915,0.89675676,0.0012674271,2022-07-22
0.79,0.915,0.89675676,0.0,2022-07-29
0.789,0.914,0.89562162,-0.0012658228,2022-08-05
0.79,0.915,0.89675676,0.0012674271,2022-08-12
0.79,0.915,0.89675676,0.0,2022-08-19
0.789,0.914,0.89562162,-0.0012658228,2022-08-26
0.788,0.913,0.89448649,-0.0012674271,2022-08-31
0.788,0.913,0.89448649,0.0,2022-09-02
0.789,0.914,0.89562162,0.0012690355,2022-09-09
0.788,0.913,0.89448649,-0.0012674271,2022-09-16
0.788,0.913,0.89448649,0.0,2022-09-23
0.787,0.912,0.89335135,-0.0012690355,2022-09-30
0.788,0.913,0.89448649,0.001270648,2022-10-14
0.788,0.913,0.89448649,0.0,2022-10-21
0.789,0.914,0.89562162,0.0012690355,2022-10-28
0.789,0.914,0.89562162,0.0,2022-10-31
0.79,0.915,0.89675676,0.0012674271,2022-11-04
0.79,0.915,0.89675676,0.0,2022-11-11
0.791,0.916,0.89789189,0.0012658228,2022-11-18
0.791,0.916,0.89789189,0.0,2022-11-25
0.793,0.918,0.90016216,0.002528445,2022-11-30
0.794,0.919,0.9012973,0.001261034,2022-12-02
0.793,0.918,0.90016216,-0.0012594458,2022-12-09
0.793,0.918,0.90016216,0.0,2022-12-16
0.792,0.917,0.89902703,-0.001261034,2022-12-23
0.791,0.916,0.89789189,-0.0012626263,2022-12-30
0.792,0.917,0.89902703,0.0012642225,2023-01-06
0.792,0.917,0.89902703,0.0,2023-01-13
0.794,0.919,0.9012973,0.0025252525,2023-01-20
0.794,0.919,0.9012973,0.0,2023-01-31
0.794,0.919,0.9012973,0.0,2023-02-03
0.796,0.921,0.90356757,0.0025188917,2023-02-10
0.794,0.919,0.9012973,-0.0025125628,2023-02-17
0.794,0.919,0.9012973,0.0,2023-02-24
0.794,0.919,0.9012973,0.0,2023-02-28
