nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-11-29
0.9998,0.9998,0.9998,-0.0002,2024-12-06
0.9997,0.9997,0.9997,-0.00010002,2024-12-13
0.9995,0.9995,0.9995,-0.00020006,2024-12-20
0.9992,0.9992,0.9992,-0.0003001501,2024-12-27
0.999,0.999,0.999,-0.0002001601,2024-12-31
0.9988,0.9988,0.9988,-0.0002002002,2025-01-03
0.9984,0.9984,0.9984,-0.0004004806,2025-01-10
1.0021,1.0021,1.0021,0.0037059295,2025-01-17
1.0054,1.0054,1.0054,0.0032930845,2025-01-24
0.9997,0.9997,0.9997,-0.0056693853,2025-01-27
1.0126,1.0126,1.0126,0.0129038712,2025-02-07
1.0219,1.0219,1.0219,0.0091842781,2025-02-14
1.0394,1.0394,1.0394,0.0171249633,2025-02-21
1.0167,1.0167,1.0167,-0.0218395228,2025-02-28
1.0407,1.0407,1.0407,0.0236057834,2025-03-07
1.0485,1.0485,1.0485,0.0074949553,2025-03-14
1.0405,1.0405,1.0405,-0.0076299475,2025-03-21
1.0355,1.0355,1.0355,-0.004805382,2025-03-28
1.0332,1.0332,1.0332,-0.0022211492,2025-03-31
1.033,1.033,1.033,-0.0001935734,2025-04-03
1.0117,1.0117,1.0117,-0.0206195547,2025-04-11
1.0134,1.0134,1.0134,0.00168034,2025-04-18
1.0209,1.0209,1.0209,0.0074008289,2025-04-25
1.0219,1.0219,1.0219,0.0009795279,2025-04-30
1.0218,1.0218,1.0218,-9.78569e-05,2025-05-09
1.023,1.023,1.023,0.0011743981,2025-05-16
1.0189,1.0189,1.0189,-0.0040078201,2025-05-23
1.0247,1.0247,1.0247,0.0056924134,2025-05-30
1.035,1.035,1.035,0.0100517225,2025-06-06
1.0362,1.0362,1.0362,0.0011594203,2025-06-13
1.0315,1.0315,1.0315,-0.0045358039,2025-06-20
1.0504,1.0504,1.0504,0.0183228308,2025-06-27
1.0572,1.0572,1.0572,0.0064737243,2025-06-30
1.0598,1.0598,1.0598,0.0024593265,2025-07-04
1.0776,1.0776,1.0776,0.0167956218,2025-07-11
1.0869,1.0869,1.0869,0.0086302895,2025-07-18
1.0,1.0926,1.0926,0.0052442727,2025-07-23
1.0088,1.1014,1.10221488,0.0088,2025-07-25
1.0063,1.0989,1.09948338,-0.0024781919,2025-07-31
1.0065,1.0991,1.0997019,0.0001987479,2025-08-01
1.02,1.1126,1.114452,0.0134128167,2025-08-08
1.0421,1.1347,1.13859846,0.0216666667,2025-08-15
1.0612,1.1538,1.15946712,0.0183283754,2025-08-22
1.0707,1.1633,1.16984682,0.0089521297,2025-08-29
1.0587,1.1513,1.15673562,-0.0112076212,2025-09-05
1.0816,1.1742,1.18175616,0.0216303013,2025-09-12
1.0819,1.1745,1.18208394,0.0002773669,2025-09-19
1.0834,1.176,1.18372284,0.0013864498,2025-09-26
1.0951,1.1877,1.19650626,0.0107993354,2025-09-30
1.0933,1.1859,1.19453958,-0.0016436855,2025-10-10
1.0642,1.1568,1.16274492,-0.0266166651,2025-10-17
1.0891,1.1817,1.18995066,0.0233978575,2025-10-24
1.0986,1.1912,1.20033036,0.0087227986,2025-10-31
1.1131,1.2057,1.21617306,0.0131986164,2025-11-07
1.1143,1.2069,1.21748418,0.0010780703,2025-11-14
1.0758,1.1684,1.17541908,-0.0345508391,2025-11-21
1.1029,1.1955,1.20502854,0.0251905559,2025-11-28
1.1034,1.196,1.20557484,0.0004533503,2025-12-05
1.1097,1.2023,1.21245822,0.0057096248,2025-12-12
1.1115,1.2041,1.2144249,0.00162206,2025-12-19
1.1367,1.2293,1.24195842,0.0226720648,2025-12-26
1.1362,1.2288,1.24141212,-0.0004398698,2025-12-31
1.1777,1.2703,1.28675502,0.0365252596,2026-01-09
1.1881,1.2807,1.29811806,0.0088307718,2026-01-16
1.2104,1.303,1.32248304,0.0187694638,2026-01-23
1.0,1.2917,1.31013666,-0.0093357568,2026-01-26
0.9918,1.2835,1.29939354,-0.0082,2026-01-30
0.9823,1.274,1.28694724,-0.0095785441,2026-02-06
0.9931,1.2848,1.30109672,0.0109946045,2026-02-13
1.0261,1.3178,1.34433123,0.033229282,2026-02-27
1.003,1.2947,1.31406707,-0.0225124257,2026-03-06
0.9946,1.2863,1.30306192,-0.0083748754,2026-03-13
0.9624,1.2541,1.26087552,-0.032374824,2026-03-20
0.968,1.2597,1.26821229,0.0058187864,2026-03-27
0.9542,1.2459,1.2501324,-0.0142561983,2026-04-03
0.9821,1.2738,1.28668521,0.0292391532,2026-04-10
1.0076,1.2993,1.3200937,0.0259647694,2026-04-17
1.0122,1.3039,1.32612033,0.0045653037,2026-04-24
1.0225,1.3142,1.33961473,0.0101758546,2026-04-30
1.0496,1.3413,1.37511944,0.0265036675,2026-05-08
1.0422,1.3339,1.36542443,-0.0070503049,2026-05-15
1.0452,1.3369,1.36935484,0.0028785262,2026-05-22
