nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-06-15
1.0,1.0,1.0,0.0,2018-06-25
0.9999,0.9999,0.9999,-0.0001,2018-06-29
0.9995,0.9995,0.9995,-0.00040004,2018-07-06
0.9992,0.9992,0.9992,-0.0003001501,2018-07-13
0.999,0.999,0.999,-0.0002001601,2018-07-20
0.9999,0.9999,0.9999,0.0009009009,2018-07-27
0.9742,0.9742,0.9742,-0.0257025703,2018-07-31
0.939,0.939,0.939,-0.036132211,2018-08-03
0.9508,0.9508,0.9508,0.0125665602,2018-08-10
0.8853,0.8853,0.8853,-0.0688893563,2018-08-17
0.9608,0.9608,0.9608,0.0852818254,2018-08-24
0.9604,0.9604,0.9604,-0.0004163197,2018-08-31
0.9498,0.9498,0.9498,-0.0110370679,2018-09-07
0.9402,0.9402,0.9402,-0.010107391,2018-09-10
0.936,0.936,0.936,-0.0044671347,2018-09-11
0.8968,0.8968,0.8968,-0.0418803419,2018-09-12
0.9045,0.9045,0.9045,0.0085860839,2018-09-13
0.9028,0.9028,0.9028,-0.0018794914,2018-09-14
0.8897,0.8897,0.8897,-0.0145104121,2018-09-21
0.8865,0.8865,0.8865,-0.003596718,2018-09-28
0.8764,0.8764,0.8764,-0.011393119,2018-10-12
0.8768,0.8768,0.8768,0.0004564126,2018-10-19
0.8451,0.8451,0.8451,-0.0361541971,2018-10-26
0.8538,0.8538,0.8538,0.0102946397,2018-10-31
0.9027,0.9027,0.9027,0.0572733661,2018-11-02
0.8778,0.8778,0.8778,-0.0275839149,2018-11-09
0.8757,0.8757,0.8757,-0.0023923445,2018-11-16
0.8725,0.8725,0.8725,-0.0036542195,2018-11-23
0.8792,0.8792,0.8792,0.0076790831,2018-11-30
0.8676,0.8676,0.8676,-0.0131938126,2018-12-07
0.8644,0.8644,0.8644,-0.0036883356,2018-12-14
0.8461,0.8461,0.8461,-0.0211707543,2018-12-21
0.8531,0.8531,0.8531,0.0082732538,2018-12-28
0.8489,0.8489,0.8489,-0.0049232212,2019-01-04
0.8553,0.8553,0.8553,0.0075391683,2019-01-11
0.8642,0.8642,0.8642,0.0104057056,2019-01-18
0.8708,0.8708,0.8708,0.007637121,2019-01-25
0.8841,0.8841,0.8841,0.0152733119,2019-01-31
0.9048,0.9048,0.9048,0.023413641,2019-02-01
0.9368,0.9368,0.9368,0.0353669319,2019-02-15
0.9701,0.9701,0.9701,0.0355465414,2019-02-22
0.9867,0.9867,0.9867,0.017111638,2019-02-28
0.9992,0.9992,0.9992,0.0126684909,2019-03-01
0.9572,0.9572,0.9572,-0.0420336269,2019-03-08
1.021,1.021,1.021,0.0666527372,2019-03-15
1.0303,1.0303,1.0303,0.0091087169,2019-03-22
1.073,1.073,1.073,0.0414442395,2019-03-29
1.0907,1.0907,1.0907,0.0164958062,2019-04-04
1.1062,1.1062,1.1062,0.0142110571,2019-04-12
1.1288,1.1288,1.1288,0.0204303019,2019-04-19
1.1274,1.1274,1.1274,-0.0012402551,2019-04-26
1.1464,1.1464,1.1464,0.016852936,2019-04-30
1.0913,1.0913,1.0913,-0.0480635031,2019-05-10
1.0791,1.0791,1.0791,-0.0111793274,2019-05-17
1.0802,1.0802,1.0802,0.001019368,2019-05-24
1.0909,1.0909,1.0909,0.009905573,2019-05-31
1.0751,1.0751,1.0751,-0.014483454,2019-06-06
1.1095,1.1095,1.1095,0.0319970235,2019-06-14
1.1433,1.1433,1.1433,0.0304641731,2019-06-21
1.1702,1.1702,1.1702,0.0235283828,2019-06-28
1.1911,1.1911,1.1911,0.0178601948,2019-07-05
1.1931,1.1931,1.1931,0.0016791201,2019-07-12
1.1681,1.1681,1.1681,-0.0209538178,2019-07-19
1.1872,1.1872,1.1872,0.0163513398,2019-07-26
1.1724,1.1724,1.1724,-0.0124663073,2019-07-31
1.162,1.162,1.162,-0.0088706926,2019-08-02
1.1757,1.1757,1.1757,0.0117900172,2019-08-09
1.2201,1.2201,1.2201,0.0377647359,2019-08-16
1.2907,1.2907,1.2907,0.0578641095,2019-08-23
1.3217,1.3217,1.3217,0.0240179747,2019-08-30
1.3083,1.3083,1.3083,-0.010138458,2019-09-06
1.2791,1.2791,1.2791,-0.02231904,2019-09-12
1.3186,1.3186,1.3186,0.0308810883,2019-09-20
1.3296,1.3296,1.3296,0.0083421811,2019-09-27
1.3284,1.3284,1.3284,-0.0009025271,2019-09-30
1.3867,1.3867,1.3867,0.0438873833,2019-10-11
1.4281,1.4281,1.4281,0.0298550516,2019-10-18
1.4112,1.4112,1.4112,-0.0118339052,2019-10-25
1.4586,1.4586,1.4586,0.0335884354,2019-10-31
1.4674,1.4674,1.4674,0.0060331825,2019-11-01
1.4848,1.4848,1.4848,0.0118577075,2019-11-08
1.4614,1.4614,1.4614,-0.0157596983,2019-11-15
1.4437,1.4437,1.4437,-0.0121116737,2019-11-22
1.3762,1.3762,1.3762,-0.046754866,2019-11-29
1.4102,1.4102,1.4102,0.0247057114,2019-12-06
1.4016,1.4016,1.4016,-0.0060984258,2019-12-13
1.3913,1.3913,1.3913,-0.0073487443,2019-12-20
1.3932,1.3932,1.3932,0.0013656293,2019-12-27
1.4047,1.4047,1.4047,0.0082543784,2019-12-31
1.3957,1.3957,1.3957,-0.006407062,2020-01-03
1.4348,1.4348,1.4348,0.0280146163,2020-01-10
1.4323,1.4323,1.4323,-0.0017424031,2020-01-17
1.3736,1.3736,1.3736,-0.0409830343,2020-01-23
1.3811,1.3811,1.3811,0.0054601048,2020-02-07
1.3839,1.3839,1.3839,0.0020273695,2020-02-14
1.4239,1.4239,1.4239,0.0289038225,2020-02-21
1.3075,1.3075,1.3075,-0.0817473137,2020-02-28
1.3605,1.3605,1.3605,0.0405353728,2020-03-06
1.2542,1.2542,1.2542,-0.0781330393,2020-03-13
1.2542,1.2542,1.2542,0.0,2020-03-17
1.188,1.188,1.188,-0.0527826503,2020-03-20
1.2805,1.2805,1.2805,0.0778619529,2020-03-27
1.2849,1.2849,1.2849,0.0034361578,2020-03-31
1.2751,1.2751,1.2751,-0.0076270527,2020-04-03
1.3303,1.3303,1.3303,0.0432907223,2020-04-10
1.3612,1.3612,1.3612,0.0232278433,2020-04-17
1.3926,1.3926,1.3926,0.0230678813,2020-04-24
1.4055,1.4055,1.4055,0.0092632486,2020-04-30
1.4711,1.4711,1.4711,0.0466737816,2020-05-08
1.5265,1.5265,1.5265,0.0376588947,2020-05-15
1.5294,1.5294,1.5294,0.0018997707,2020-05-22
1.6275,1.6275,1.6275,0.0641428011,2020-05-29
1.6243,1.6243,1.6243,-0.0019662058,2020-06-05
1.6722,1.6722,1.6722,0.0294896263,2020-06-12
1.7179,1.7179,1.7179,0.0273292668,2020-06-19
1.7454,1.7454,1.7454,0.0160079166,2020-06-24
1.8183,1.8183,1.8183,0.0417669302,2020-06-30
1.8489,1.8489,1.8489,0.0168289061,2020-07-03
1.9999,1.9999,1.9999,0.0816701823,2020-07-10
1.9039,1.9039,1.9039,-0.0480024001,2020-07-17
1.9613,1.9613,1.9613,0.0301486423,2020-07-24
2.0136,2.0136,2.0136,0.0266659868,2020-07-31
2.0228,2.0228,2.0228,0.0045689313,2020-08-07
1.9829,1.9829,1.9829,-0.0197251335,2020-08-14
2.0636,2.0636,2.0636,0.0406979676,2020-08-21
2.0636,2.0636,2.0636,0.0,2020-08-25
2.1281,2.1281,2.1281,0.0312560574,2020-08-28
2.0964,2.0964,2.0964,-0.0148959165,2020-08-31
2.0662,2.0662,2.0662,-0.0144056478,2020-09-04
1.9158,1.9158,1.9158,-0.0727906301,2020-09-11
1.9304,1.9304,1.9304,0.0076208372,2020-09-18
1.9003,1.9003,1.9003,-0.0155926233,2020-09-25
1.9102,1.9102,1.9102,0.0052097037,2020-09-30
1.9584,1.9584,1.9584,0.0252329599,2020-10-09
1.9514,1.9514,1.9514,-0.0035743464,2020-10-16
1.8293,1.8293,1.8293,-0.0625704622,2020-10-23
1.9362,1.9362,1.9362,0.0584376537,2020-10-30
1.9526,1.9526,1.9526,0.0084701994,2020-11-06
1.9019,1.9019,1.9019,-0.0259653795,2020-11-13
1.9042,1.9042,1.9042,0.001209317,2020-11-16
1.8963,1.8963,1.8963,-0.0041487239,2020-11-20
1.8506,1.8506,1.8506,-0.0240995623,2020-11-27
1.8382,1.8382,1.8382,-0.0067005296,2020-11-30
1.8791,1.8791,1.8791,0.0222500272,2020-12-04
1.8913,1.8913,1.8913,0.0064924698,2020-12-11
1.9476,1.9476,1.9476,0.0297678845,2020-12-15
1.9937,1.9937,1.9937,0.0236701581,2020-12-18
2.1556,2.1556,2.1556,0.0812057983,2020-12-25
2.2578,2.2578,2.2578,0.0474113936,2020-12-31
2.3028,2.3028,2.3028,0.0199309062,2021-01-08
2.3382,2.3382,2.3382,0.0153725899,2021-01-15
2.3811,2.3811,2.3811,0.0183474468,2021-01-20
2.5563,2.5563,2.5563,0.0735794381,2021-01-22
2.4124,2.4124,2.4124,-0.0562922975,2021-01-29
2.4497,2.4497,2.4497,0.0154617808,2021-02-05
2.6283,2.6283,2.6283,0.0729068866,2021-02-10
2.5716,2.5716,2.5716,-0.0215728798,2021-02-18
2.5394,2.5394,2.5394,-0.0125213875,2021-02-19
2.2605,2.2605,2.2605,-0.1098290935,2021-02-26
2.2277,2.2277,2.2277,-0.0145100641,2021-03-05
2.1634,2.1634,2.1634,-0.0288638506,2021-03-12
2.1131,2.1131,2.1131,-0.0232504391,2021-03-15
2.1649,2.1649,2.1649,0.0245137476,2021-03-19
2.2001,2.2001,2.2001,0.0162594115,2021-03-26
2.2407,2.2407,2.2407,0.0184537066,2021-03-31
2.2801,2.2801,2.2801,0.0175837908,2021-04-02
2.2336,2.2336,2.2336,-0.0203938424,2021-04-09
2.2092,2.2092,2.2092,-0.0109240688,2021-04-15
2.2135,2.2135,2.2135,0.0019464059,2021-04-16
2.3168,2.3168,2.3168,0.0466681726,2021-04-23
2.3815,2.3815,2.3815,0.0279264503,2021-04-30
2.2709,2.2709,2.2709,-0.0464413185,2021-05-07
2.3137,2.3137,2.3137,0.0188471531,2021-05-14
2.3579,2.3579,2.3579,0.0191036003,2021-05-17
2.3445,2.3445,2.3445,-0.005683023,2021-05-21
2.3843,2.3843,2.3843,0.016975901,2021-05-28
2.4512,2.4512,2.4512,0.0280585497,2021-05-31
2.4086,2.4086,2.4086,-0.0173792428,2021-06-04
2.4268,2.4268,2.4268,0.0075562567,2021-06-11
2.4486,2.4486,2.4486,0.0089830229,2021-06-15
2.5407,2.5407,2.5407,0.0376133301,2021-06-18
2.5635,2.5635,2.5635,0.0089739048,2021-06-25
2.6309,2.6309,2.6309,0.0262921787,2021-06-30
2.5394,2.5394,2.5394,-0.034778973,2021-07-02
2.6162,2.6162,2.6162,0.0302433646,2021-07-09
2.5819,2.5819,2.5819,-0.0131106185,2021-07-15
2.5498,2.5498,2.5498,-0.0124327046,2021-07-16
2.6652,2.6652,2.6652,0.0452584516,2021-07-23
2.6943,2.6943,2.6943,0.0109185052,2021-07-30
2.7247,2.7247,2.7247,0.0112830791,2021-08-06
2.6903,2.6903,2.6903,-0.0126252431,2021-08-13
2.6099,2.6099,2.6099,-0.0298851429,2021-08-16
2.6488,2.6488,2.6488,0.0149047856,2021-08-20
2.7834,2.7834,2.7834,0.0508154636,2021-08-27
2.8782,2.8782,2.8782,0.0340590645,2021-08-31
2.7825,2.7825,2.7825,-0.0332499479,2021-09-03
2.8317,2.8317,2.8317,0.0176819407,2021-09-10
2.7728,2.7728,2.7728,-0.020800226,2021-09-15
2.6695,2.6695,2.6695,-0.0372547605,2021-09-17
2.6495,2.6495,2.6495,-0.0074920397,2021-09-24
2.6629,2.6629,2.6629,0.005057558,2021-09-30
2.7005,2.7005,2.7005,0.0141199444,2021-10-08
2.7492,2.7492,2.7492,0.0180336975,2021-10-15
2.7612,2.7612,2.7612,0.0043649062,2021-10-22
2.8094,2.8094,2.8094,0.0174561785,2021-10-29
2.7437,2.7437,2.7437,-0.0233857763,2021-11-05
2.8297,2.8297,2.8297,0.0313445348,2021-11-12
2.7624,2.7624,2.7624,-0.0237834399,2021-11-15
2.8245,2.8245,2.8245,0.0224804518,2021-11-19
2.839,2.839,2.839,0.005133652,2021-11-26
2.9281,2.9281,2.9281,0.0313842902,2021-11-30
2.8633,2.8633,2.8633,-0.0221303917,2021-12-03
2.8128,2.8128,2.8128,-0.0176369923,2021-12-10
2.7981,2.7981,2.7981,-0.0052261092,2021-12-15
2.7555,2.7555,2.7555,-0.0152246167,2021-12-17
2.7559,2.7559,2.7559,0.0001451642,2021-12-24
2.7816,2.7816,2.7816,0.0093254472,2021-12-28
2.7923,2.7923,2.7923,0.0038467069,2021-12-31
2.5863,2.5863,2.5863,-0.0737743079,2022-01-07
2.5456,2.5456,2.5456,-0.0157367668,2022-01-14
2.5969,2.5969,2.5969,0.0201524199,2022-01-17
2.5047,2.5047,2.5047,-0.03550387,2022-01-21
2.3965,2.3965,2.3965,-0.0431987863,2022-01-28
2.3385,2.3385,2.3385,-0.0242019612,2022-02-11
2.3273,2.3273,2.3273,-0.0047893949,2022-02-15
2.3386,2.3386,2.3386,0.0048554119,2022-02-18
2.3446,2.3446,2.3446,0.0025656376,2022-02-25
2.3522,2.3522,2.3522,0.0032414911,2022-02-28
2.2489,2.2489,2.2489,-0.0439163336,2022-03-04
2.1981,2.1981,2.1981,-0.0225888212,2022-03-11
2.0261,2.0261,2.0261,-0.0782493972,2022-03-15
2.0808,2.0808,2.0808,0.0269976803,2022-03-16
2.179,2.179,2.179,0.0471933872,2022-03-17
2.1575,2.1575,2.1575,-0.0098669114,2022-03-18
2.1388,2.1388,2.1388,-0.0086674392,2022-03-24
2.0743,2.0743,2.0743,-0.0301570974,2022-03-25
2.08,2.08,2.08,0.002747915,2022-03-31
2.0979,2.0979,2.0979,0.0086057692,2022-04-01
2.114,2.114,2.114,0.007674341,2022-04-08
2.1058,2.1058,2.1058,-0.0038789026,2022-04-15
1.9907,1.9907,1.9907,-0.0546585621,2022-04-22
2.0187,2.0187,2.0187,0.0140654041,2022-04-29
1.939,1.939,1.939,-0.039480854,2022-05-06
1.9384,1.9384,1.9384,-0.0003094379,2022-05-13
1.9247,1.9247,1.9247,-0.0070676847,2022-05-16
1.966,1.966,1.966,0.0214578895,2022-05-20
1.9205,1.9205,1.9205,-0.0231434385,2022-05-27
1.9571,1.9571,1.9571,0.0190575371,2022-05-31
1.9706,1.9706,1.9706,0.0068979613,2022-06-02
2.075,2.075,2.075,0.0529787882,2022-06-10
2.0643,2.0643,2.0643,-0.0051566265,2022-06-15
2.1018,2.1018,2.1018,0.0181659642,2022-06-17
2.2035,2.2035,2.2035,0.0483870968,2022-06-24
2.1208,2.1208,2.1208,-0.0375312004,2022-06-30
2.1145,2.1145,2.1145,-0.0029705771,2022-07-01
2.1179,2.1179,2.1179,0.0016079451,2022-07-08
2.0834,2.0834,2.0834,-0.0162897209,2022-07-15
2.0544,2.0544,2.0544,-0.0139195546,2022-07-22
2.0383,2.0383,2.0383,-0.007836838,2022-07-29
2.0045,2.0045,2.0045,-0.0165824462,2022-08-05
2.0267,2.0267,2.0267,0.0110750811,2022-08-12
2.061,2.061,2.061,0.0169240637,2022-08-15
2.0132,2.0132,2.0132,-0.0231926249,2022-08-19
1.9135,1.9135,1.9135,-0.0495231472,2022-08-26
1.8614,1.8614,1.8614,-0.0272275934,2022-08-31
1.8454,1.8454,1.8454,-0.0085956807,2022-09-02
1.8882,1.8882,1.8882,0.0231928037,2022-09-09
1.8469,1.8469,1.8469,-0.021872683,2022-09-15
1.8254,1.8254,1.8254,-0.0116411284,2022-09-16
1.7823,1.7823,1.7823,-0.0236112633,2022-09-23
1.7646,1.7646,1.7646,-0.009930988,2022-09-30
1.7622,1.7622,1.7622,-0.0013600816,2022-10-14
1.7667,1.7667,1.7667,0.0025536261,2022-10-17
1.7072,1.7072,1.7072,-0.0336786098,2022-10-21
1.6216,1.6216,1.6216,-0.0501405811,2022-10-28
1.6165,1.6165,1.6165,-0.0031450419,2022-10-31
1.652,1.652,1.652,0.0219610269,2022-11-04
1.6427,1.6427,1.6427,-0.00562954,2022-11-11
1.6428,1.6428,1.6428,6.08754e-05,2022-11-15
1.5916,1.5916,1.5916,-0.0311663014,2022-11-18
1.5362,1.5362,1.5362,-0.0348077406,2022-11-25
1.5559,1.5559,1.5559,0.0128238511,2022-11-30
1.559,1.559,1.559,0.001992416,2022-12-02
1.6029,1.6029,1.6029,0.0281590763,2022-12-09
1.589,1.589,1.589,-0.0086717824,2022-12-15
1.594,1.594,1.594,0.0031466331,2022-12-16
1.5649,1.5649,1.5649,-0.0182559598,2022-12-20
1.5992,1.5992,1.5992,0.0219183334,2022-12-23
1.5897,1.5897,1.5897,-0.0059404702,2022-12-30
1.6427,1.6427,1.6427,0.0333396238,2023-01-06
1.6631,1.6631,1.6631,0.0124185792,2023-01-13
1.6346,1.6346,1.6346,-0.0171366725,2023-01-16
1.5917,1.5917,1.5917,-0.0262449529,2023-01-20
1.5682,1.5682,1.5682,-0.0147640887,2023-01-31
1.5706,1.5706,1.5706,0.001530417,2023-02-03
1.5322,1.5322,1.5322,-0.0244492551,2023-02-10
1.532,1.532,1.532,-0.0001305313,2023-02-15
1.5342,1.5342,1.5342,0.0014360313,2023-02-17
1.5264,1.5264,1.5264,-0.0050840829,2023-02-24
1.5309,1.5309,1.5309,0.0029481132,2023-02-28
1.5369,1.5369,1.5369,0.0039192632,2023-03-03
1.5307,1.5307,1.5307,-0.0040340946,2023-03-10
1.5387,1.5387,1.5387,0.005226367,2023-03-15
1.5428,1.5428,1.5428,0.002664587,2023-03-17
1.5389,1.5389,1.5389,-0.0025278714,2023-03-24
1.5352,1.5352,1.5352,-0.0024043148,2023-03-31
1.5495,1.5495,1.5495,0.0093147473,2023-04-07
1.5498,1.5498,1.5498,0.0001936108,2023-04-14
1.56,1.56,1.56,0.0065814944,2023-04-17
1.5266,1.5266,1.5266,-0.0214102564,2023-04-21
1.5272,1.5272,1.5272,0.0003930303,2023-04-28
1.519,1.519,1.519,-0.0053693033,2023-05-05
1.4746,1.4746,1.4746,-0.0292297564,2023-05-12
1.4773,1.4773,1.4773,0.001831005,2023-05-15
1.4754,1.4754,1.4754,-0.0012861301,2023-05-19
1.481,1.481,1.481,0.0037955809,2023-05-26
1.472,1.472,1.472,-0.006076975,2023-05-31
1.4747,1.4747,1.4747,0.0018342391,2023-06-02
1.4704,1.4704,1.4704,-0.0029158473,2023-06-09
1.5261,1.5261,1.5261,0.0378808487,2023-06-15
1.5284,1.5284,1.5284,0.0015071096,2023-06-16
1.5245,1.5245,1.5245,-0.002551688,2023-06-21
1.5066,1.5066,1.5066,-0.0117415546,2023-06-30
1.5013,1.5013,1.5013,-0.0035178548,2023-07-07
1.5296,1.5296,1.5296,0.0188503297,2023-07-14
1.5389,1.5389,1.5389,0.0060800209,2023-07-17
1.5261,1.5261,1.5261,-0.0083176295,2023-07-21
