nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2023-05-17
1.0001,1.0001,1.0001,0.0,2023-05-19
1.0003,1.0003,1.0003,0.00019998,2023-05-26
1.0004,1.0004,1.0004,9.997e-05,2023-05-31
1.0003,1.0003,1.0003,-9.996e-05,2023-06-02
1.0009,1.0009,1.0009,0.0005998201,2023-06-09
1.0009,1.0009,1.0009,0.0,2023-06-16
1.0001,1.0001,1.0001,-0.0007992806,2023-06-21
1.0004,1.0004,1.0004,0.00029997,2023-06-30
0.9999,0.9999,0.9999,-0.0004998001,2023-07-07
1.0028,1.0028,1.0028,0.00290029,2023-07-14
0.9988,0.9988,0.9988,-0.0039888313,2023-07-21
1.0064,1.0064,1.0064,0.007609131,2023-07-28
1.0074,1.0074,1.0074,0.0009936407,2023-07-31
1.0042,1.0042,1.0042,-0.0031764939,2023-08-04
0.9926,0.9926,0.9926,-0.0115514838,2023-08-11
0.9833,0.9833,0.9833,-0.0093693331,2023-08-18
0.9774,0.9774,0.9774,-0.0060002034,2023-08-25
0.9856,0.9856,0.9856,0.0083896051,2023-08-31
0.988,0.988,0.988,0.0024350649,2023-09-01
0.9845,0.9845,0.9845,-0.0035425101,2023-09-08
0.9838,0.9838,0.9838,-0.0007110208,2023-09-15
0.9856,0.9856,0.9856,0.0018296402,2023-09-22
0.9815,0.9815,0.9815,-0.0041599026,2023-09-28
0.9841,0.9841,0.9841,0.0026490066,2023-10-13
0.9671,0.9671,0.9671,-0.0172746672,2023-10-20
0.9726,0.9726,0.9726,0.0056871058,2023-10-27
0.9745,0.9745,0.9745,0.0019535266,2023-10-31
0.9769,0.9769,0.9769,0.0024628014,2023-11-03
0.976,0.976,0.976,-0.0009212816,2023-11-10
0.9787,0.9787,0.9787,0.0027663934,2023-11-17
0.9774,0.9774,0.9774,-0.0013282926,2023-11-24
0.9755,0.9755,0.9755,-0.0019439329,2023-11-30
0.9737,0.9737,0.9737,-0.0018452076,2023-12-01
0.9657,0.9657,0.9657,-0.008216083,2023-12-08
0.9659,0.9659,0.9659,0.0002071037,2023-12-15
0.962,0.962,0.962,-0.0040376851,2023-12-22
0.9751,0.9751,0.9751,0.0136174636,2023-12-29
0.9681,0.9681,0.9681,-0.0071787509,2024-01-05
0.9638,0.9638,0.9638,-0.0044416899,2024-01-12
0.9604,0.9604,0.9604,-0.0035277028,2024-01-19
0.9703,0.9703,0.9703,0.0103082049,2024-01-26
0.9566,0.9566,0.9566,-0.0141193445,2024-01-31
0.9536,0.9536,0.9536,-0.003136107,2024-02-02
0.9782,0.9782,0.9782,0.0257969799,2024-02-08
0.999,0.999,0.999,0.0212635453,2024-02-23
1.0019,1.0019,1.0019,0.0029029029,2024-02-29
