nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0677,1.0677,1.0677,0.0,2025-10-17
1.0843,1.0843,1.0843,0.0155474384,2025-10-24
1.0879,1.0879,1.0879,0.0033201144,2025-10-31
1.0905,1.0905,1.0905,0.0023899255,2025-11-03
1.0932,1.0932,1.0932,0.0024759285,2025-11-07
1.1034,1.1034,1.1034,0.0093304061,2025-11-14
1.092,1.092,1.092,-0.010331702,2025-11-21
1.0976,1.0976,1.0976,0.0051282051,2025-11-28
1.0969,1.0969,1.0969,-0.0006377551,2025-12-03
1.098,1.098,1.098,0.0010028261,2025-12-05
1.0987,1.0987,1.0987,0.0006375228,2025-12-12
1.1008,1.1008,1.1008,0.0019113498,2025-12-19
1.1034,1.1034,1.1034,0.0023619186,2025-12-22
1.1064,1.1064,1.1064,0.002718869,2025-12-25
1.1079,1.1079,1.1079,0.0013557484,2025-12-26
1.1039,1.1039,1.1039,-0.0036104342,2025-12-29
1.1061,1.1061,1.1061,0.0019929341,2025-12-31
1.1249,1.1249,1.1249,0.0169966549,2026-01-09
1.1422,1.1422,1.1422,0.0153791448,2026-01-16
1.1536,1.1536,1.1536,0.0099807389,2026-01-23
1.1578,1.1578,1.1578,0.0036407767,2026-01-26
1.1678,1.1678,1.1678,0.0086370703,2026-01-30
1.146,1.146,1.146,-0.0186675801,2026-02-06
1.1519,1.1519,1.1519,0.0051483421,2026-02-13
1.175,1.175,1.175,0.0200538241,2026-02-27
1.1738,1.1738,1.1738,-0.0010212766,2026-03-06
1.1674,1.1674,1.1674,-0.0054523769,2026-03-13
1.1438,1.1438,1.1438,-0.0202158643,2026-03-20
1.1351,1.1351,1.1351,-0.0076062249,2026-03-27
1.1364,1.1364,1.1364,0.0011452735,2026-04-03
1.1682,1.1682,1.1682,0.0279831045,2026-04-10
1.1693,1.1693,1.1693,0.0009416196,2026-04-17
1.1718,1.1718,1.1718,0.0021380313,2026-04-24
1.1772,1.1772,1.1772,0.0046082949,2026-04-30
1.1872,1.1872,1.1872,0.0084947333,2026-05-08
1.1724,1.1724,1.1724,-0.0124663073,2026-05-15
1.1595,1.1595,1.1595,-0.0110030706,2026-05-22
