nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-06-14
1.0,1.0,1.0,0.0,2023-06-15
1.0,1.0,1.0,0.0,2023-06-16
0.9998,0.9998,0.9998,-0.0002,2023-06-21
1.0002,1.0002,1.0002,0.00040008,2023-06-30
1.0065,1.0065,1.0065,0.0062987403,2023-07-07
0.9989,0.9989,0.9989,-0.007550919,2023-07-14
1.0144,1.0144,1.0144,0.0155170688,2023-07-21
1.0277,1.0277,1.0277,0.0131111987,2023-07-28
1.0295,1.0295,1.0295,0.0017514839,2023-07-31
1.0253,1.0253,1.0253,-0.0040796503,2023-08-04
0.9965,0.9965,0.9965,-0.0280893397,2023-08-11
0.9921,0.9921,0.9921,-0.0044154541,2023-08-18
0.965,0.965,0.965,-0.0273157948,2023-08-25
1.0117,1.0117,1.0117,0.0483937824,2023-08-31
1.0077,1.0077,1.0077,-0.0039537412,2023-09-01
1.0133,1.0133,1.0133,0.0055572095,2023-09-08
1.0191,1.0191,1.0191,0.0057238725,2023-09-15
1.0149,1.0149,1.0149,-0.0041212835,2023-09-22
1.0207,1.0207,1.0207,0.0057148488,2023-09-28
1.0016,1.0016,1.0016,-0.0187126482,2023-10-13
0.9685,0.9685,0.9685,-0.0330471246,2023-10-20
0.9953,0.9953,0.9953,0.0276716572,2023-10-27
1.0136,1.0136,1.0136,0.0183864162,2023-10-31
1.0176,1.0176,1.0176,0.0039463299,2023-11-03
1.0522,1.0522,1.0522,0.0340015723,2023-11-10
1.0596,1.0596,1.0596,0.0070328835,2023-11-17
1.0573,1.0573,1.0573,-0.0021706304,2023-11-24
1.0493,1.0493,1.0493,-0.0075664428,2023-11-30
1.0531,1.0531,1.0531,0.0036214619,2023-12-01
1.0412,1.0412,1.0412,-0.0112999715,2023-12-08
1.0702,1.0702,1.0702,0.0278524779,2023-12-15
1.0558,1.0558,1.0558,-0.0134554289,2023-12-22
1.0554,1.0554,1.0554,-0.0003788596,2023-12-29
1.1034,1.1034,1.1034,0.0454803866,2024-01-05
1.0929,1.0929,1.0929,-0.0095160413,2024-01-12
1.0604,1.0604,1.0604,-0.0297373959,2024-01-19
1.0338,1.0338,1.0338,-0.0250848736,2024-01-26
0.9567,0.9567,0.9567,-0.0745792223,2024-01-31
0.9627,0.9627,0.9627,0.0062715585,2024-02-02
0.8523,0.8523,0.8523,-0.1146774696,2024-02-08
0.9152,0.9152,0.9152,0.0738003051,2024-02-23
0.9488,0.9488,0.9488,0.0367132867,2024-02-29
0.9531,0.9531,0.9531,0.0045320405,2024-03-01
1.0697,1.0697,1.0697,0.1223376351,2024-03-08
1.0693,1.0693,1.0693,-0.0003739366,2024-03-15
1.0946,1.0946,1.0946,0.0236603385,2024-03-22
1.0899,1.0899,1.0899,-0.004293806,2024-03-29
1.156,1.156,1.156,0.0606477659,2024-04-03
1.1781,1.1781,1.1781,0.0191176471,2024-04-12
1.1233,1.1233,1.1233,-0.0465155759,2024-04-19
1.0668,1.0668,1.0668,-0.0502982284,2024-04-26
1.0762,1.0762,1.0762,0.0088113986,2024-04-30
1.1499,1.1499,1.1499,0.0684816949,2024-05-10
1.0768,1.0768,1.0768,-0.0635707453,2024-05-17
1.0586,1.0586,1.0586,-0.0169019316,2024-05-24
1.0574,1.0574,1.0574,-0.0011335726,2024-05-31
0.9522,0.9522,0.9522,-0.0994893134,2024-06-07
0.9337,0.9337,0.9337,-0.0194286915,2024-06-14
0.9264,0.9264,0.9264,-0.0078183571,2024-06-21
0.9399,0.9399,0.9399,0.0145725389,2024-06-28
0.9441,0.9441,0.9441,0.0044685605,2024-07-05
0.8153,0.8153,0.8153,-0.136426226,2024-07-12
0.8035,0.8035,0.8035,-0.0144732,2024-07-19
0.7643,0.7643,0.7643,-0.0487865588,2024-07-26
0.7801,0.7801,0.7801,0.0206725108,2024-07-31
0.7617,0.7617,0.7617,-0.0235867197,2024-08-02
0.7637,0.7637,0.7637,0.0026257057,2024-08-09
0.7221,0.7221,0.7221,-0.0544716512,2024-08-16
0.7012,0.7012,0.7012,-0.0289433596,2024-08-23
0.7261,0.7261,0.7261,0.0355105533,2024-08-30
0.7093,0.7093,0.7093,-0.0231373089,2024-09-06
0.7083,0.7083,0.7083,-0.0014098407,2024-09-13
0.7218,0.7218,0.7218,0.0190597205,2024-09-20
0.7856,0.7856,0.7856,0.0883901358,2024-09-27
0.8613,0.8613,0.8613,0.0963594705,2024-09-30
0.7768,0.7768,0.7768,-0.0981075119,2024-10-11
0.9268,0.9268,0.9268,0.193099897,2024-10-18
0.9688,0.9688,0.9688,0.0453172205,2024-10-25
1.1179,1.1179,1.1179,0.1539017341,2024-10-31
1.0752,1.0752,1.0752,-0.0381966187,2024-11-01
1.2373,1.2373,1.2373,0.1507626488,2024-11-08
1.1095,1.1095,1.1095,-0.1032894205,2024-11-15
1.1463,1.1463,1.1463,0.0331680937,2024-11-22
1.21,1.21,1.21,0.0555700951,2024-11-29
1.25,1.25,1.25,0.0330578512,2024-12-06
1.227,1.227,1.227,-0.0184,2024-12-13
1.1255,1.1255,1.1255,-0.0827220864,2024-12-20
1.1247,1.1247,1.1247,-0.0007107952,2024-12-27
1.1618,1.1618,1.1618,0.0329865742,2024-12-31
1.1375,1.1375,1.1375,-0.0209158203,2025-01-03
1.1151,1.1151,1.1151,-0.0196923077,2025-01-10
1.1966,1.1966,1.1966,0.0730876155,2025-01-17
1.1389,1.1389,1.1389,-0.0482199565,2025-01-24
1.132,1.132,1.132,-0.0060584775,2025-01-27
1.1514,1.1514,1.1514,0.0171378092,2025-02-07
1.1599,1.1599,1.1599,0.0073823172,2025-02-14
1.1461,1.1461,1.1461,-0.0118975774,2025-02-21
1.137,1.137,1.137,-0.0079399703,2025-02-28
1.1654,1.1654,1.1654,0.0249780123,2025-03-07
1.2158,1.2158,1.2158,0.0432469538,2025-03-14
1.2751,1.2751,1.2751,0.0487744695,2025-03-21
1.2483,1.2483,1.2483,-0.0210179594,2025-03-28
1.2375,1.2375,1.2375,-0.0086517664,2025-03-31
1.2301,1.2301,1.2301,-0.005979798,2025-04-03
1.1054,1.1054,1.1054,-0.101373872,2025-04-11
1.1166,1.1166,1.1166,0.0101320789,2025-04-18
1.1712,1.1712,1.1712,0.0488984417,2025-04-25
1.209,1.209,1.209,0.0322745902,2025-04-30
1.2907,1.2907,1.2907,0.0675765095,2025-05-09
1.3177,1.3177,1.3177,0.0209188812,2025-05-16
1.2714,1.2714,1.2714,-0.0351369811,2025-05-23
1.279,1.279,1.279,0.0059776624,2025-05-30
1.3043,1.3043,1.3043,0.019781079,2025-06-06
1.2847,1.2847,1.2847,-0.0150272177,2025-06-13
1.2343,1.2343,1.2343,-0.0392309489,2025-06-20
1.2633,1.2633,1.2633,0.0234950984,2025-06-27
1.2654,1.2654,1.2654,0.001662313,2025-06-30
1.2389,1.2389,1.2389,-0.0209419946,2025-07-04
1.2437,1.2437,1.2437,0.0038744047,2025-07-11
1.311,1.311,1.311,0.0541127281,2025-07-18
1.319,1.319,1.319,0.0061022121,2025-07-25
